dataset,freq,indic,s_adj,geo,time,value,status
ei_bsbu_m_r2,M,BS-CEME-BAL,NSA,EU27_2020,1980-01,-9.8,
ei_bsbu_m_r2,M,BS-CEME-BAL,NSA,EU27_2020,1980-04,1.9,
ei_bsbu_m_r2,M,BS-CEME-BAL,NSA,EU27_2020,1980-07,-8.6,
ei_bsbu_m_r2,M,BS-CEME-BAL,NSA,EU27_2020,1980-10,-22.7,
ei_bsbu_m_r2,M,BS-CEME-BAL,NSA,EU27_2020,1981-01,-26.8,
ei_bsbu_m_r2,M,BS-CEME-BAL,NSA,EU27_2020,1981-04,-8.4,
ei_bsbu_m_r2,M,BS-CEME-BAL,NSA,EU27_2020,1981-07,-22.0,
ei_bsbu_m_r2,M,BS-CEME-BAL,NSA,EU27_2020,1981-10,-44.1,
ei_bsbu_m_r2,M,BS-CEME-BAL,NSA,EU27_2020,1982-01,-44.5,
ei_bsbu_m_r2,M,BS-CEME-BAL,NSA,EU27_2020,1982-04,-21.8,
ei_bsbu_m_r2,M,BS-CEME-BAL,NSA,EU27_2020,1982-07,-23.7,
ei_bsbu_m_r2,M,BS-CEME-BAL,NSA,EU27_2020,1982-10,-50.6,
ei_bsbu_m_r2,M,BS-CEME-BAL,NSA,EU27_2020,1983-01,-37.6,
ei_bsbu_m_r2,M,BS-CEME-BAL,NSA,EU27_2020,1983-04,-10.0,
ei_bsbu_m_r2,M,BS-CEME-BAL,NSA,EU27_2020,1983-07,-27.1,
ei_bsbu_m_r2,M,BS-CEME-BAL,NSA,EU27_2020,1983-10,-38.2,
ei_bsbu_m_r2,M,BS-CEME-BAL,NSA,EU27_2020,1984-01,-40.8,
ei_bsbu_m_r2,M,BS-CEME-BAL,NSA,EU27_2020,1984-04,-21.9,
ei_bsbu_m_r2,M,BS-CEME-BAL,NSA,EU27_2020,1984-07,-28.7,
ei_bsbu_m_r2,M,BS-CEME-BAL,NSA,EU27_2020,1984-10,-45.6,
ei_bsbu_m_r2,M,BS-CEME-BAL,NSA,EU27_2020,1985-01,-46.0,
ei_bsbu_m_r2,M,BS-CEME-BAL,NSA,EU27_2020,1985-02,-35.1,
ei_bsbu_m_r2,M,BS-CEME-BAL,NSA,EU27_2020,1985-03,-25.5,
ei_bsbu_m_r2,M,BS-CEME-BAL,NSA,EU27_2020,1985-04,-18.3,
ei_bsbu_m_r2,M,BS-CEME-BAL,NSA,EU27_2020,1985-05,-19.5,
ei_bsbu_m_r2,M,BS-CEME-BAL,NSA,EU27_2020,1985-06,-17.2,
ei_bsbu_m_r2,M,BS-CEME-BAL,NSA,EU27_2020,1985-07,-17.0,
ei_bsbu_m_r2,M,BS-CEME-BAL,NSA,EU27_2020,1985-08,-16.4,
ei_bsbu_m_r2,M,BS-CEME-BAL,NSA,EU27_2020,1985-09,-17.5,
ei_bsbu_m_r2,M,BS-CEME-BAL,NSA,EU27_2020,1985-10,-27.5,
ei_bsbu_m_r2,M,BS-CEME-BAL,NSA,EU27_2020,1985-11,-34.8,
ei_bsbu_m_r2,M,BS-CEME-BAL,NSA,EU27_2020,1985-12,-38.6,
ei_bsbu_m_r2,M,BS-CEME-BAL,NSA,EU27_2020,1986-01,-25.0,
ei_bsbu_m_r2,M,BS-CEME-BAL,NSA,EU27_2020,1986-02,-14.4,
ei_bsbu_m_r2,M,BS-CEME-BAL,NSA,EU27_2020,1986-03,-4.5,
ei_bsbu_m_r2,M,BS-CEME-BAL,NSA,EU27_2020,1986-04,0.7,
ei_bsbu_m_r2,M,BS-CEME-BAL,NSA,EU27_2020,1986-05,2.0,
ei_bsbu_m_r2,M,BS-CEME-BAL,NSA,EU27_2020,1986-06,-0.8,
ei_bsbu_m_r2,M,BS-CEME-BAL,NSA,EU27_2020,1986-07,-4.9,
ei_bsbu_m_r2,M,BS-CEME-BAL,NSA,EU27_2020,1986-08,-2.0,
ei_bsbu_m_r2,M,BS-CEME-BAL,NSA,EU27_2020,1986-09,-8.1,
ei_bsbu_m_r2,M,BS-CEME-BAL,NSA,EU27_2020,1986-10,-20.6,
ei_bsbu_m_r2,M,BS-CEME-BAL,NSA,EU27_2020,1986-11,-28.6,
ei_bsbu_m_r2,M,BS-CEME-BAL,NSA,EU27_2020,1986-12,-31.3,
ei_bsbu_m_r2,M,BS-CEME-BAL,NSA,EU27_2020,1987-01,-23.2,
ei_bsbu_m_r2,M,BS-CEME-BAL,NSA,EU27_2020,1987-02,-8.6,
ei_bsbu_m_r2,M,BS-CEME-BAL,NSA,EU27_2020,1987-03,0.6,
ei_bsbu_m_r2,M,BS-CEME-BAL,NSA,EU27_2020,1987-04,2.7,
ei_bsbu_m_r2,M,BS-CEME-BAL,NSA,EU27_2020,1987-05,7.5,
ei_bsbu_m_r2,M,BS-CEME-BAL,NSA,EU27_2020,1987-06,3.8,
ei_bsbu_m_r2,M,BS-CEME-BAL,NSA,EU27_2020,1987-07,-0.8,
ei_bsbu_m_r2,M,BS-CEME-BAL,NSA,EU27_2020,1987-08,-5.2,
ei_bsbu_m_r2,M,BS-CEME-BAL,NSA,EU27_2020,1987-09,-13.4,
ei_bsbu_m_r2,M,BS-CEME-BAL,NSA,EU27_2020,1987-10,-14.6,
ei_bsbu_m_r2,M,BS-CEME-BAL,NSA,EU27_2020,1987-11,-27.9,
ei_bsbu_m_r2,M,BS-CEME-BAL,NSA,EU27_2020,1987-12,-35.5,
ei_bsbu_m_r2,M,BS-CEME-BAL,NSA,EU27_2020,1988-01,-17.7,
ei_bsbu_m_r2,M,BS-CEME-BAL,NSA,EU27_2020,1988-02,-11.9,
ei_bsbu_m_r2,M,BS-CEME-BAL,NSA,EU27_2020,1988-03,-2.0,
ei_bsbu_m_r2,M,BS-CEME-BAL,NSA,EU27_2020,1988-04,3.4,
ei_bsbu_m_r2,M,BS-CEME-BAL,NSA,EU27_2020,1988-05,1.5,
ei_bsbu_m_r2,M,BS-CEME-BAL,NSA,EU27_2020,1988-06,2.3,
ei_bsbu_m_r2,M,BS-CEME-BAL,NSA,EU27_2020,1988-07,2.3,
ei_bsbu_m_r2,M,BS-CEME-BAL,NSA,EU27_2020,1988-08,5.8,
ei_bsbu_m_r2,M,BS-CEME-BAL,NSA,EU27_2020,1988-09,-7.8,
ei_bsbu_m_r2,M,BS-CEME-BAL,NSA,EU27_2020,1988-10,-9.5,
ei_bsbu_m_r2,M,BS-CEME-BAL,NSA,EU27_2020,1988-11,-21.0,
