month,nonalcoholic_beverages
2015-01,102.09999999999999
2015-02,101.40000000000001
2015-03,101.09999999999999
2015-04,99.700000000000003
2015-05,101.2
2015-06,101.3
2015-07,100.90000000000001
2015-08,99.200000000000003
2015-09,97.400000000000006
2015-10,99.900000000000006
2015-11,99.200000000000003
2015-12,96.599999999999994
2016-01,100.2
2016-02,100.2
2016-03,100.40000000000001
2016-04,101.3
2016-05,100.40000000000001
2016-06,99.599999999999994
2016-07,100.40000000000001
2016-08,101.40000000000001
2016-09,100.5
2016-10,98.299999999999997
2016-11,100.90000000000001
2016-12,99.299999999999997
2017-01,101.09999999999999
2017-02,100.3
2017-03,102.59999999999999
2017-04,101.3
2017-05,102.09999999999999
2017-06,101.59999999999999
2017-07,103
2017-08,102.90000000000001
2017-09,102.09999999999999
2017-10,102.5
2017-11,101.3
2017-12,101.40000000000001
2018-01,102.90000000000001
2018-02,101
2018-03,101.40000000000001
2018-04,101.90000000000001
2018-05,101
2018-06,101.7
2018-07,100
2018-08,103.8
2018-09,102.2
2018-10,101.90000000000001
2018-11,101.09999999999999
2018-12,101.09999999999999
2019-01,101.5
2019-02,103.5
2019-03,103.5
2019-04,102.09999999999999
2019-05,100.40000000000001
2019-06,102
2019-07,101.40000000000001
2019-08,102.2
2019-09,100.40000000000001
2019-10,102.5
2019-11,101
2019-12,103.40000000000001
2020-01,102.7
2020-02,104.90000000000001
2020-03,105.2
2020-04,104.3
2020-05,103.90000000000001
2020-06,102.5
2020-07,105.5
2020-08,105.59999999999999
2020-09,102.7
2020-10,103.09999999999999
2020-11,102.7
2020-12,102.3
2021-01,105.5
2021-02,104.8
2021-03,104.7
2021-04,105.8
2021-05,103.5
2021-06,104.90000000000001
2021-07,105.2
2021-08,104.90000000000001
2021-09,106
2021-10,104.5
2021-11,104.90000000000001
2021-12,103.90000000000001
2022-01,109.90000000000001
2022-02,112.09999999999999
2022-03,113.09999999999999
2022-04,113.3
2022-05,115.7
2022-06,116.09999999999999
2022-07,118.8
2022-08,120.2
2022-09,120.59999999999999
2022-10,120.40000000000001
2022-11,122
2022-12,121.40000000000001
2023-01,130.69999999999999
2023-02,132.40000000000001
2023-03,133.69999999999999
2023-04,130.90000000000001
2023-05,132.09999999999999
2023-06,133.69999999999999
2023-07,133
2023-08,133.19999999999999
2023-09,133.59999999999999
2023-10,130.80000000000001
2023-11,132.30000000000001
2023-12,130.19999999999999
2024-01,135.40000000000001
2024-02,134.30000000000001
2024-03,133.80000000000001
2024-04,137.40000000000001
2024-05,137.30000000000001
2024-06,135.5
2024-07,137.30000000000001
2024-08,138.5
2024-09,139.09999999999999
2024-10,138.19999999999999
2024-11,137.69999999999999
2024-12,137.5
2025-01,143.30000000000001
2025-02,142.09999999999999
2025-03,143.80000000000001
2025-04,143.5
2025-05,146.19999999999999
2025-06,145.90000000000001
2025-07,147.30000000000001
2025-08,146.40000000000001
2025-09,146.19999999999999
2025-10,147
2025-11,144.40000000000001
2025-12,142.40000000000001
2026-01,148.90000000000001
2026-02,144.59999999999999
2026-03,144.19999999999999
2026-04,145.5
2026-05,143.80000000000001
2026-06,142.90000000000001
2026-07,144.69999999999999
