edge,horizon,n_train,n_features,seconds
2010-12,3,101,72,16.673099700012244
2010-12,6,98,72,15.65423769998597
2010-12,9,95,72,18.03532290001749
2010-12,12,92,72,14.341719399992144
2011-01,3,102,72,15.038272699981462
2011-01,6,99,72,14.800425299996277
2011-01,9,96,72,17.49874360000831
2011-01,12,93,72,16.08411329999217
2011-02,3,103,72,16.851938400010113
2011-02,6,100,72,13.910224199993536
2011-02,9,97,72,14.05381079998915
2011-02,12,94,72,14.85346730001038
2011-03,3,104,72,18.38841610000236
2011-03,6,101,72,14.029637300001923
2011-03,9,98,72,19.037702600006014
2011-03,12,95,72,17.82633040001383
2011-04,3,105,72,16.19401820001076
2011-04,6,102,72,19.170572599978186
2011-04,9,99,72,21.163960699981544
2011-04,12,96,72,20.233732199994847
2011-05,3,106,72,18.34651610002038
2011-05,6,103,72,17.344200499996077
2011-05,9,100,72,17.156562100019073
2011-05,12,97,72,19.189054099988425
2011-06,3,107,72,17.699581599998055
2011-06,6,104,72,14.818323599989526
2011-06,9,101,72,18.793667899997672
2011-06,12,98,72,18.737399400008144
2011-07,3,108,72,19.65053430001717
2011-07,6,105,72,17.69211939998786
2011-07,9,102,72,18.11657810001634
2011-07,12,99,72,18.393692499987083
2011-08,3,109,72,17.16869130000123
2011-08,6,106,72,16.174079799995525
2011-08,9,103,72,19.258654100005515
2011-08,12,100,72,19.021988899999997
2011-09,3,110,72,16.590643700008513
2011-09,6,107,72,20.35946259999764
2011-09,9,104,72,19.728328100027284
2011-09,12,101,72,17.390088999993168
2011-10,3,111,72,17.215773299976718
2011-10,6,108,72,17.46072929998627
2011-10,9,105,72,17.779842299991287
2011-10,12,102,72,18.574843399983365
2011-11,3,112,72,16.8043879000179
2011-11,6,109,72,19.349448900000425
2011-11,9,106,72,19.900327299983473
2011-11,12,103,72,18.64518200000748
2011-12,3,113,72,20.83063250000123
2011-12,6,110,72,21.51638180000009
2011-12,9,107,72,21.676027600013185
2011-12,12,104,72,18.970234700012952
2012-01,3,114,72,17.996095600014087
2012-01,6,111,72,18.359324899996864
2012-01,9,108,72,19.67137639998691
2012-01,12,105,72,17.242269300011685
2012-02,3,115,72,18.199589500000002
2012-02,6,112,72,16.153385200013872
2012-02,9,109,72,18.184245000011288
2012-02,12,106,72,16.880489000002854
2012-03,3,116,72,19.749660800007405
2012-03,6,113,72,16.326527900004294
2012-03,9,110,72,20.44037989998469
2012-03,12,107,72,18.805496099987067
2012-04,3,117,72,19.06526259999373
2012-04,6,114,72,16.87960899999598
2012-04,9,111,72,19.183911499974784
2012-04,12,108,72,18.64646059999359
2012-05,3,118,72,21.112244899995858
2012-05,6,115,72,14.111122400005115
2012-05,9,112,72,19.963147400005255
2012-05,12,109,72,18.89802150000469
2012-06,3,119,72,20.465595699992264
2012-06,6,116,72,16.66206269999384
2012-06,9,113,72,18.863549100002274
2012-06,12,110,72,20.492111500003375
2012-07,3,120,72,17.6332380999811
2012-07,6,117,72,13.863854800001718
2012-07,9,114,72,18.808112599974265
2012-07,12,111,72,18.290249799989397
2012-08,3,121,72,18.479967399995076
2012-08,6,118,72,17.478675399994245
2012-08,9,115,72,17.931037400005152
2012-08,12,112,72,18.892187800025567
2012-09,3,122,72,18.179978300002404
2012-09,6,119,72,18.443858699989505
2012-09,9,116,72,15.68336769999587
2012-09,12,113,72,17.93016719998559
2012-10,3,123,72,17.970210700004827
2012-10,6,120,72,18.178017900005216
2012-10,9,117,72,18.59872290000203
2012-10,12,114,72,19.279620399989653
2012-11,3,124,72,17.672981100011384
2012-11,6,121,72,18.33325940000941
2012-11,9,118,72,19.461614600004395
2012-11,12,115,72,19.601970699994126
2012-12,3,125,72,17.74622359999921
2012-12,6,122,72,15.26631430000998
2012-12,9,119,72,18.81655689998297
2012-12,12,116,72,15.927379100001417
2013-01,3,126,72,18.66857309997431
2013-01,6,123,72,16.618736800010083
2013-01,9,120,72,17.837118700001156
2013-01,12,117,72,18.982412499986822
2013-02,3,127,72,19.777161800011527
2013-02,6,124,72,16.219662400020752
2013-02,9,121,72,17.05210870000883
2013-02,12,118,72,18.87516090000281
2013-03,3,128,72,21.523548599972855
2013-03,6,125,72,17.92991219999385
2013-03,9,122,72,18.345477599999867
2013-03,12,119,72,18.41585049999412
2013-04,3,129,72,17.002681399986614
2013-04,6,126,72,17.65887169999769
2013-04,9,123,72,18.064866400003666
2013-04,12,120,72,20.43664670002181
2013-05,3,130,72,18.148207599995658
2013-05,6,127,72,16.08822030000738
2013-05,9,124,72,17.254882700013695
2013-05,12,121,72,19.958741799986456
2013-06,3,131,72,17.410580099996878
2013-06,6,128,72,17.136934800015297
2013-06,9,125,72,17.377991200017277
2013-06,12,122,72,19.355450000002747
2013-07,3,132,72,19.277189799991902
2013-07,6,129,72,18.491980199993122
2013-07,9,126,72,19.459942499990575
2013-07,12,123,72,18.31517350001377
2013-08,3,133,72,21.602275600016583
2013-08,6,130,72,16.337071600020863
2013-08,9,127,72,21.167020499997307
2013-08,12,124,72,19.469633100001374
2013-09,3,134,72,18.40681719998247
2013-09,6,131,72,15.888222699984908
2013-09,9,128,72,20.147626199992374
2013-09,12,125,72,18.48629699999583
2013-10,3,135,72,20.85280719998991
2013-10,6,132,72,15.576633299991954
2013-10,9,129,72,19.954033400019398
2013-10,12,126,72,19.06164970001555
2013-11,3,136,72,16.457001400005538
2013-11,6,133,72,16.63165240001399
2013-11,9,130,72,17.56811199997901
2013-11,12,127,72,18.461431500007166
2013-12,3,137,72,18.90485410002293
2013-12,6,134,72,17.796022399998037
2013-12,9,131,72,18.58242240000982
2013-12,12,128,72,18.298289400001522
2014-01,3,138,72,21.413739899988286
