edge,horizon,scheme,quantile,weight
2010-12,3,TVW1,0.25,0.22362698662873373
2010-12,3,TVW1,0.5,0.4
2010-12,3,TVW1,0.75,0.3763730133712663
2010-12,3,TVW2,0.3333333333333333,0.3000000000000001
2010-12,3,TVW2,0.5,0.3
2010-12,3,TVW2,0.6666666666666666,0.4
2010-12,3,TVW3,0.1,0.15000000000000002
2010-12,3,TVW3,0.25,0.17158701091098544
2010-12,3,TVW3,0.5,0.30000000000000004
2010-12,3,TVW3,0.75,0.22841298908901453
2010-12,3,TVW3,0.9,0.15000000000000002
2010-12,6,TVW1,0.25,0.2
2010-12,6,TVW1,0.5,0.4
2010-12,6,TVW1,0.75,0.4
2010-12,6,TVW2,0.3333333333333333,0.2
2010-12,6,TVW2,0.5,0.4
2010-12,6,TVW2,0.6666666666666666,0.39999999999999997
2010-12,6,TVW3,0.1,0.02229107233693252
2010-12,6,TVW3,0.25,0.14999999999999997
2010-12,6,TVW3,0.5,0.4999999999999997
2010-12,6,TVW3,0.75,0.17770892766306773
2010-12,6,TVW3,0.9,0.14999999999999997
2010-12,9,TVW1,0.25,0.2
2010-12,9,TVW1,0.5,0.5579279889990904
2010-12,9,TVW1,0.75,0.24207201100090964
2010-12,9,TVW2,0.3333333333333333,0.20000000000000004
2010-12,9,TVW2,0.5,0.4999999999999999
2010-12,9,TVW2,0.6666666666666666,0.30000000000000004
2010-12,9,TVW3,0.1,0.0
2010-12,9,TVW3,0.25,0.20606865103631852
2010-12,9,TVW3,0.5,0.5
2010-12,9,TVW3,0.75,0.2939313489636815
2010-12,9,TVW3,0.9,0.0
2010-12,12,TVW1,0.25,0.39999999999999997
2010-12,12,TVW1,0.5,0.4
2010-12,12,TVW1,0.75,0.2
2010-12,12,TVW2,0.3333333333333333,0.4000000000000001
2010-12,12,TVW2,0.5,0.30000000000000004
2010-12,12,TVW2,0.6666666666666666,0.3
2010-12,12,TVW3,0.1,0.14999999999999997
2010-12,12,TVW3,0.25,0.2835296319750431
2010-12,12,TVW3,0.5,0.29999999999999993
2010-12,12,TVW3,0.75,0.19290974099256547
2010-12,12,TVW3,0.9,0.07356062703239154
2011-01,3,TVW1,0.25,0.30387979670656057
2011-01,3,TVW1,0.5,0.40000000000000013
2011-01,3,TVW1,0.75,0.2961202032934393
2011-01,3,TVW2,0.3333333333333333,0.30000000000000016
2011-01,3,TVW2,0.5,0.3
2011-01,3,TVW2,0.6666666666666666,0.4
2011-01,3,TVW3,0.1,0.050000000000000086
2011-01,3,TVW3,0.25,0.34999999999999976
2011-01,3,TVW3,0.5,0.3000000000000002
2011-01,3,TVW3,0.75,0.15000000000000016
2011-01,3,TVW3,0.9,0.1499999999999998
2011-01,6,TVW1,0.25,0.2
2011-01,6,TVW1,0.5,0.4690550573571177
2011-01,6,TVW1,0.75,0.33094494264288227
2011-01,6,TVW2,0.3333333333333333,0.20000000000000004
2011-01,6,TVW2,0.5,0.4794785824781616
2011-01,6,TVW2,0.6666666666666666,0.3205214175218385
2011-01,6,TVW3,0.1,0.0017056003559682113
2011-01,6,TVW3,0.25,0.15000000000000013
2011-01,6,TVW3,0.5,0.4999999999999997
2011-01,6,TVW3,0.75,0.3482943996440319
2011-01,6,TVW3,0.9,0.0
2011-01,9,TVW1,0.25,0.2
2011-01,9,TVW1,0.5,0.6
2011-01,9,TVW1,0.75,0.2
2011-01,9,TVW2,0.3333333333333333,0.3000000000000001
2011-01,9,TVW2,0.5,0.5
2011-01,9,TVW2,0.6666666666666666,0.2
2011-01,9,TVW3,0.1,7.228141697032572e-17
2011-01,9,TVW3,0.25,0.3017220232678763
2011-01,9,TVW3,0.5,0.49999999999999983
2011-01,9,TVW3,0.75,0.14999999999999997
2011-01,9,TVW3,0.9,0.04827797673212381
2011-01,12,TVW1,0.25,0.3554202095209365
2011-01,12,TVW1,0.5,0.4
2011-01,12,TVW1,0.75,0.24457979047906342
2011-01,12,TVW2,0.3333333333333333,0.40000000000000013
2011-01,12,TVW2,0.5,0.31303502904600333
2011-01,12,TVW2,0.6666666666666666,0.28696497095399665
2011-01,12,TVW3,0.1,0.14999999999999994
2011-01,12,TVW3,0.25,0.20360870917245766
2011-01,12,TVW3,0.5,0.30000000000000004
2011-01,12,TVW3,0.75,0.3463912908275424
2011-01,12,TVW3,0.9,1.1356825064989449e-17
2011-02,3,TVW1,0.25,0.27537807280188853
2011-02,3,TVW1,0.5,0.4
2011-02,3,TVW1,0.75,0.32462192719811145
2011-02,3,TVW2,0.3333333333333333,0.30000000000000004
2011-02,3,TVW2,0.5,0.3
2011-02,3,TVW2,0.6666666666666666,0.39999999999999997
2011-02,3,TVW3,0.1,0.15000000000000002
2011-02,3,TVW3,0.25,0.22609594028931024
2011-02,3,TVW3,0.5,0.30000000000000004
2011-02,3,TVW3,0.75,0.17390405971068976
2011-02,3,TVW3,0.9,0.15000000000000002
2011-02,6,TVW1,0.25,0.2
2011-02,6,TVW1,0.5,0.44813679903068127
2011-02,6,TVW1,0.75,0.35186320096931883
2011-02,6,TVW2,0.3333333333333333,0.2
2011-02,6,TVW2,0.5,0.4
2011-02,6,TVW2,0.6666666666666666,0.4
2011-02,6,TVW3,0.1,0.004488354374438076
2011-02,6,TVW3,0.25,0.1500000000000001
2011-02,6,TVW3,0.5,0.49999999999999983
2011-02,6,TVW3,0.75,0.3455116456255619
2011-02,6,TVW3,0.9,0.0
2011-02,9,TVW1,0.25,0.20000000000000007
2011-02,9,TVW1,0.5,0.6
2011-02,9,TVW1,0.75,0.2
2011-02,9,TVW2,0.3333333333333333,0.21849707303347937
2011-02,9,TVW2,0.5,0.4999999999999997
2011-02,9,TVW2,0.6666666666666666,0.28150292696652085
2011-02,9,TVW3,0.1,0.0
2011-02,9,TVW3,0.25,0.27840222114113156
2011-02,9,TVW3,0.5,0.5000000000000001
2011-02,9,TVW3,0.75,0.15000000000000002
2011-02,9,TVW3,0.9,0.07159777885886848
2011-02,12,TVW1,0.25,0.30609900206334517
2011-02,12,TVW1,0.5,0.4
2011-02,12,TVW1,0.75,0.29390099793665486
2011-02,12,TVW2,0.3333333333333333,0.34156504647380503
2011-02,12,TVW2,0.5,0.3
2011-02,12,TVW2,0.6666666666666666,0.35843495352619514
2011-02,12,TVW3,0.1,0.15
2011-02,12,TVW3,0.25,0.25
2011-02,12,TVW3,0.5,0.3
2011-02,12,TVW3,0.75,0.15000000000000002
2011-02,12,TVW3,0.9,0.14999999999999997
2011-03,3,TVW1,0.25,0.35496133964913174
2011-03,3,TVW1,0.5,0.4
2011-03,3,TVW1,0.75,0.24503866035086835
2011-03,3,TVW2,0.3333333333333333,0.32093301415255315
2011-03,3,TVW2,0.5,0.30000000000000054
2011-03,3,TVW2,0.6666666666666666,0.3790669858474463
2011-03,3,TVW3,0.1,0.14999999999999997
2011-03,3,TVW3,0.25,0.25248203113672657
2011-03,3,TVW3,0.5,0.29999999999999993
2011-03,3,TVW3,0.75,0.14999999999999997
2011-03,3,TVW3,0.9,0.14751796886327356
2011-03,6,TVW1,0.25,0.30172005843180155
2011-03,6,TVW1,0.5,0.3999999999999999
2011-03,6,TVW1,0.75,0.2982799415681985
2011-03,6,TVW2,0.3333333333333333,0.2
2011-03,6,TVW2,0.5,0.5
2011-03,6,TVW2,0.6666666666666666,0.3000000000000001
2011-03,6,TVW3,0.1,4.0214238526399744e-19
2011-03,6,TVW3,0.25,0.3499999999999999
2011-03,6,TVW3,0.5,0.31514877843916284
2011-03,6,TVW3,0.75,0.3348512215608373
2011-03,6,TVW3,0.9,2.6835313192940206e-17
2011-03,9,TVW1,0.25,0.22621854219692508
2011-03,9,TVW1,0.5,0.573781457803075
2011-03,9,TVW1,0.75,0.2
2011-03,9,TVW2,0.3333333333333333,0.37375559456293006
2011-03,9,TVW2,0.5,0.42624440543707004
2011-03,9,TVW2,0.6666666666666666,0.2
2011-03,9,TVW3,0.1,0.1363785155668316
2011-03,9,TVW3,0.25,0.15000000000000002
2011-03,9,TVW3,0.5,0.5000000000000001
2011-03,9,TVW3,0.75,0.15000000000000002
2011-03,9,TVW3,0.9,0.0636214844331683
2011-03,12,TVW1,0.25,0.359926585869005
2011-03,12,TVW1,0.5,0.3999999999999999
2011-03,12,TVW1,0.75,0.240073414130995
2011-03,12,TVW2,0.3333333333333333,0.4
2011-03,12,TVW2,0.5,0.3
2011-03,12,TVW2,0.6666666666666666,0.3
2011-03,12,TVW3,0.1,0.14999999999999997
2011-03,12,TVW3,0.25,0.2659652071032987
2011-03,12,TVW3,0.5,0.3
2011-03,12,TVW3,0.75,0.15
2011-03,12,TVW3,0.9,0.1340347928967013
2011-04,3,TVW1,0.25,0.4
2011-04,3,TVW1,0.5,0.4
2011-04,3,TVW1,0.75,0.2
2011-04,3,TVW2,0.3333333333333333,0.4
2011-04,3,TVW2,0.5,0.4000000000000001
2011-04,3,TVW2,0.6666666666666666,0.2
2011-04,3,TVW3,0.1,0.14208636126861204
2011-04,3,TVW3,0.25,0.35000000000000003
2011-04,3,TVW3,0.5,0.30000000000000004
2011-04,3,TVW3,0.75,0.1500000000000001
2011-04,3,TVW3,0.9,0.05791363873138783
2011-04,6,TVW1,0.25,0.3727640446366981
2011-04,6,TVW1,0.5,0.42723595536330194
2011-04,6,TVW1,0.75,0.2
2011-04,6,TVW2,0.3333333333333333,0.3000000000000001
2011-04,6,TVW2,0.5,0.4999999999999999
2011-04,6,TVW2,0.6666666666666666,0.19999999999999998
2011-04,6,TVW3,0.1,0.0
2011-04,6,TVW3,0.25,0.3499999999999998
2011-04,6,TVW3,0.5,0.4999999999999998
2011-04,6,TVW3,0.75,0.1500000000000004
2011-04,6,TVW3,0.9,0.0
2011-04,9,TVW1,0.25,0.34450498341496993
2011-04,9,TVW1,0.5,0.45549501658503005
2011-04,9,TVW1,0.75,0.20000000000000004
2011-04,9,TVW2,0.3333333333333333,0.3947576313406291
2011-04,9,TVW2,0.5,0.4052423686593709
2011-04,9,TVW2,0.6666666666666666,0.2
2011-04,9,TVW3,0.1,0.15
2011-04,9,TVW3,0.25,0.1554074642956876
2011-04,9,TVW3,0.5,0.5000000000000001
2011-04,9,TVW3,0.75,0.15000000000000002
2011-04,9,TVW3,0.9,0.0445925357043123
2011-04,12,TVW1,0.25,0.39285764686619884
2011-04,12,TVW1,0.5,0.4
2011-04,12,TVW1,0.75,0.20714235313380117
2011-04,12,TVW2,0.3333333333333333,0.39999999999999997
2011-04,12,TVW2,0.5,0.4000000000000001
2011-04,12,TVW2,0.6666666666666666,0.2
2011-04,12,TVW3,0.1,0.15
2011-04,12,TVW3,0.25,0.28473592666026243
2011-04,12,TVW3,0.5,0.3
2011-04,12,TVW3,0.75,0.15
2011-04,12,TVW3,0.9,0.11526407333973761
2011-05,3,TVW1,0.25,0.37200442689562235
2011-05,3,TVW1,0.5,0.40000000000000013
2011-05,3,TVW1,0.75,0.22799557310437754
2011-05,3,TVW2,0.3333333333333333,0.4000000000000001
2011-05,3,TVW2,0.5,0.30000000000000004
2011-05,3,TVW2,0.6666666666666666,0.3
2011-05,3,TVW3,0.1,0.10710672490705493
2011-05,3,TVW3,0.25,0.35
2011-05,3,TVW3,0.5,0.3000000000000001
2011-05,3,TVW3,0.75,0.15000000000000002
2011-05,3,TVW3,0.9,0.09289327509294497
2011-05,6,TVW1,0.25,0.25380861176292413
2011-05,6,TVW1,0.5,0.4
2011-05,6,TVW1,0.75,0.34619138823707585
2011-05,6,TVW2,0.3333333333333333,0.30000000000000004
2011-05,6,TVW2,0.5,0.3
2011-05,6,TVW2,0.6666666666666666,0.39999999999999997
2011-05,6,TVW3,0.1,0.05438228814376241
2011-05,6,TVW3,0.25,0.3499999999999999
2011-05,6,TVW3,0.5,0.30000000000000016
2011-05,6,TVW3,0.75,0.17835799990924675
2011-05,6,TVW3,0.9,0.1172597119469908
2011-05,9,TVW1,0.25,0.2000000000000001
2011-05,9,TVW1,0.5,0.5999999999999999
2011-05,9,TVW1,0.75,0.19999999999999996
2011-05,9,TVW2,0.3333333333333333,0.3
2011-05,9,TVW2,0.5,0.5
2011-05,9,TVW2,0.6666666666666666,0.20000000000000004
2011-05,9,TVW3,0.1,0.0
2011-05,9,TVW3,0.25,0.30385922600948
2011-05,9,TVW3,0.5,0.4999999999999999
2011-05,9,TVW3,0.75,0.14999999999999997
2011-05,9,TVW3,0.9,0.04614077399051999
2011-05,12,TVW1,0.25,0.30025689850682635
2011-05,12,TVW1,0.5,0.3999999999999999
2011-05,12,TVW1,0.75,0.2997431014931737
2011-05,12,TVW2,0.3333333333333333,0.22738800492057265
2011-05,12,TVW2,0.5,0.4999999999999999
2011-05,12,TVW2,0.6666666666666666,0.27261199507942757
2011-05,12,TVW3,0.1,0.013626586301104067
2011-05,12,TVW3,0.25,0.35
2011-05,12,TVW3,0.5,0.3
2011-05,12,TVW3,0.75,0.2934861168076792
2011-05,12,TVW3,0.9,0.04288729689121678
2011-06,3,TVW1,0.25,0.4
2011-06,3,TVW1,0.5,0.4
2011-06,3,TVW1,0.75,0.2
2011-06,3,TVW2,0.3333333333333333,0.4
2011-06,3,TVW2,0.5,0.4000000000000001
2011-06,3,TVW2,0.6666666666666666,0.2
2011-06,3,TVW3,0.1,0.13954975163077937
2011-06,3,TVW3,0.25,0.3499999999999999
2011-06,3,TVW3,0.5,0.29999999999999993
2011-06,3,TVW3,0.75,0.14999999999999997
2011-06,3,TVW3,0.9,0.060450248369220805
2011-06,6,TVW1,0.25,0.39636721897065313
2011-06,6,TVW1,0.5,0.4
2011-06,6,TVW1,0.75,0.20363278102934684
2011-06,6,TVW2,0.3333333333333333,0.38916470482026716
2011-06,6,TVW2,0.5,0.30000000000000004
2011-06,6,TVW2,0.6666666666666666,0.31083529517973285
2011-06,6,TVW3,0.1,0.0
2011-06,6,TVW3,0.25,0.3499999999999999
2011-06,6,TVW3,0.5,0.43567644399736255
2011-06,6,TVW3,0.75,0.21432355600263758
2011-06,6,TVW3,0.9,4.554489027999295e-18
2011-06,9,TVW1,0.25,0.2000000000000001
2011-06,9,TVW1,0.5,0.5999999999999999
2011-06,9,TVW1,0.75,0.19999999999999998
2011-06,9,TVW2,0.3333333333333333,0.3000000000000001
2011-06,9,TVW2,0.5,0.49999999999999994
2011-06,9,TVW2,0.6666666666666666,0.2
2011-06,9,TVW3,0.1,0.08080934843658429
