sample,horizon,model,n,rmse,mae,bias,first_target,last_target,paper_rmse,difference_vs_paper
paper_window,3,AR3,175,0.7325763726143368,0.3807003354586943,-0.06952352452958038,2011-03,2025-09,0.71,0.02257637261433687
paper_window,3,AR3_DIRECT,175,0.7482372921806173,0.39632885784645316,-0.07278629234369802,2011-03,2025-09,,
paper_window,3,ARIMA313,175,0.7440765964671088,0.40120528474198797,-0.004367429451754237,2011-03,2025-09,0.716,0.028076596467108805
paper_window,3,LQR_ENSEMBLE,175,0.7258735832570384,0.37852980182595924,-0.1337754036244537,2011-03,2025-09,0.739,-0.013126416742961555
paper_window,3,QRF_MEAN,175,0.7062434389386161,0.3882129150649007,-0.012417918824186459,2011-03,2025-09,0.713,-0.006756561061383892
paper_window,3,QRF_MEDIAN,175,0.7242020051699078,0.3793608223940934,-0.09845474990488082,2011-03,2025-09,0.731,-0.0067979948300921356
paper_window,3,RW,175,0.9846436340765959,0.514412358286791,0.007698788535265579,2011-03,2025-09,0.896,0.08864363407659592
paper_window,3,TVW1,175,0.7063500574356991,0.37709105045746866,-0.06584967895110506,2011-03,2025-09,0.694,0.012350057435699169
paper_window,3,TVW2,175,0.7158298245426503,0.37882395408942177,-0.0814068815246372,2011-03,2025-09,0.701,0.01482982454265036
paper_window,3,TVW3,175,0.7044825182154878,0.3864174896138237,-0.03651390069945208,2011-03,2025-09,0.669,0.03548251821548776
paper_window,6,AR3,172,0.7232190608398359,0.386130425899198,-0.0893632363308334,2011-06,2025-09,0.74,-0.0167809391601641
paper_window,6,AR3_DIRECT,172,0.7240132582896182,0.3875548031451379,-0.05902035060981304,2011-06,2025-09,,
paper_window,6,ARIMA313,172,0.711558887757956,0.4108268367147538,-0.007506372792764779,2011-06,2025-09,0.736,-0.02444111224204404
paper_window,6,LQR_ENSEMBLE,172,0.7253620044706001,0.37046249213585375,-0.15036231129192335,2011-06,2025-09,0.748,-0.022637995529399935
paper_window,6,QRF_MEAN,172,0.7119733351250189,0.4060569176741449,-0.02305512661043982,2011-06,2025-09,0.723,-0.011026664874981051
