edge,horizon,model,forecast,target_period,actual,convention,policy
2010-12,3,QRF_MEDIAN,0.2392344497607723,2011-03,0.1061571125265281,paper,full
2010-12,3,QRF_MEAN,0.2604361107103081,2011-03,0.1061571125265281,paper,full
2010-12,3,TVW1,0.27239472514902907,2011-03,0.1061571125265281,paper,full
2010-12,3,TVW2,0.2471918413024165,2011-03,0.1061571125265281,paper,full
2010-12,3,TVW3,0.24552142460403942,2011-03,0.1061571125265281,paper,full
2010-12,3,LQR_ENSEMBLE,0.19441306497224783,2011-03,0.1061571125265281,paper,full
2010-12,6,QRF_MEDIAN,0.2392344497607723,2011-06,-0.1052631578947305,paper,full
2010-12,6,QRF_MEAN,0.3853233739030687,2011-06,-0.1052631578947305,paper,full
2010-12,6,TVW1,0.30530137660867984,2011-06,-0.1052631578947305,paper,full
2010-12,6,TVW2,0.2726849303467826,2011-06,-0.1052631578947305,paper,full
2010-12,6,TVW3,0.3878084312414942,2011-06,-0.1052631578947305,paper,full
2010-12,6,LQR_ENSEMBLE,0.24315420361901038,2011-06,-0.1052631578947305,paper,full
2010-12,9,QRF_MEDIAN,0.1251595823836715,2011-09,-0.2107481559536439,paper,full
2010-12,9,QRF_MEAN,0.21963065058519773,2011-09,-0.2107481559536439,paper,full
2010-12,9,TVW1,0.1346327350693524,2011-09,-0.2107481559536439,paper,full
2010-12,9,TVW2,0.1397418051532339,2011-09,-0.2107481559536439,paper,full
2010-12,9,TVW3,0.14528464705954885,2011-09,-0.2107481559536439,paper,full
2010-12,9,LQR_ENSEMBLE,0.16290268423205567,2011-09,-0.2107481559536439,paper,full
2010-12,12,QRF_MEDIAN,0.2352941176470668,2011-12,0.4197271773347388,paper,full
2010-12,12,QRF_MEAN,0.16490463538110173,2011-12,0.4197271773347388,paper,full
2010-12,12,TVW1,0.13826311689274728,2011-12,0.4197271773347388,paper,full
2010-12,12,TVW2,0.1817646423892636,2011-12,0.4197271773347388,paper,full
2010-12,12,TVW3,0.08407239404847419,2011-12,0.4197271773347388,paper,full
2010-12,12,LQR_ENSEMBLE,0.3661687608903361,2011-12,0.4197271773347388,paper,full
2011-01,3,QRF_MEDIAN,0.464891381275756,2011-04,0.212089077412525,paper,full
2011-01,3,QRF_MEAN,0.6679873616549593,2011-04,0.212089077412525,paper,full
2011-01,3,TVW1,0.47206302912232234,2011-04,0.212089077412525,paper,full
2011-01,3,TVW2,0.46400645934660756,2011-04,0.212089077412525,paper,full
2011-01,3,TVW3,0.5489110796468698,2011-04,0.212089077412525,paper,full
2011-01,3,LQR_ENSEMBLE,0.19900068441233051,2011-04,0.212089077412525,paper,full
