"Ukazatel","IndicatorType","Typ indexu","TYPUDAJE5B","Klasifikace SITC","SITCVAD","Území","Uz0","Měsíce, měsíční kumulace, měsíce klouzavých průměrů, čtvrtletí, roky","CASMKMQRM12","Hodnota","MJ_TEXT","MJ_SYMBOL"
"Index dovozních cen (%)","614703","Mezičtvrtletní index","IQ","Úhrn celkem","00890001","Česko","CZ","4. čtvrtletí 2022","2022-Q4","95.9","procento","%"
"Index dovozních cen (%)","614703","Mezičtvrtletní index","IQ","Úhrn celkem","00890001","Česko","CZ","leden - březen 2023","2023-03K","95.7","procento","%"
"Index dovozních cen (%)","614703","Mezičtvrtletní index","IQ","Úhrn celkem","00890001","Česko","CZ","1. čtvrtletí 2023","2023-Q1","95.7","procento","%"
"Index dovozních cen (%)","614703","Mezičtvrtletní index","IQ","Úhrn celkem","00890001","Česko","CZ","2. čtvrtletí 2023","2023-Q2","95.5","procento","%"
"Index dovozních cen (%)","614703","Mezičtvrtletní index","IQ","Úhrn celkem","00890001","Česko","CZ","3. čtvrtletí 2023","2023-Q3","101.3","procento","%"
"Index dovozních cen (%)","614703","Mezičtvrtletní index","IQ","Úhrn celkem","00890001","Česko","CZ","4. čtvrtletí 2023","2023-Q4","101.5","procento","%"
"Index dovozních cen (%)","614703","Mezičtvrtletní index","IQ","Úhrn celkem","00890001","Česko","CZ","leden - březen 2024","2024-03K","100.1","procento","%"
"Index dovozních cen (%)","614703","Mezičtvrtletní index","IQ","Úhrn celkem","00890001","Česko","CZ","1. čtvrtletí 2024","2024-Q1","100.1","procento","%"
"Index dovozních cen (%)","614703","Mezičtvrtletní index","IQ","Úhrn celkem","00890001","Česko","CZ","2. čtvrtletí 2024","2024-Q2","100.1","procento","%"
"Index dovozních cen (%)","614703","Mezičtvrtletní index","IQ","Úhrn celkem","00890001","Česko","CZ","3. čtvrtletí 2024","2024-Q3","101.0","procento","%"
"Index dovozních cen (%)","614703","Mezičtvrtletní index","IQ","Úhrn celkem","00890001","Česko","CZ","4. čtvrtletí 2024","2024-Q4","100.9","procento","%"
"Index dovozních cen (%)","614703","Mezičtvrtletní index","IQ","Úhrn celkem","00890001","Česko","CZ","leden - březen 2025","2025-03K","100.2","procento","%"
"Index dovozních cen (%)","614703","Mezičtvrtletní index","IQ","Úhrn celkem","00890001","Česko","CZ","1. čtvrtletí 2025","2025-Q1","100.2","procento","%"
"Index dovozních cen (%)","614703","Mezičtvrtletní index","IQ","Úhrn celkem","00890001","Česko","CZ","2. čtvrtletí 2025","2025-Q2","97.5","procento","%"
"Index dovozních cen (%)","614703","Mezičtvrtletní index","IQ","Úhrn celkem","00890001","Česko","CZ","3. čtvrtletí 2025","2025-Q3","98.2","procento","%"
"Index dovozních cen (%)","614703","Mezičtvrtletní index","IQ","Úhrn celkem","00890001","Česko","CZ","4. čtvrtletí 2025","2025-Q4","98.9","procento","%"
"Index dovozních cen (%)","614703","Mezičtvrtletní index","IQ","Úhrn celkem","00890001","Česko","CZ","leden - březen 2026","2026-03K","101.0","procento","%"
"Index dovozních cen (%)","614703","Mezičtvrtletní index","IQ","Úhrn celkem","00890001","Česko","CZ","1. čtvrtletí 2026","2026-Q1","101.0","procento","%"
"Index dovozních cen (%)","614703","Mezičtvrtletní index","IQ","Úhrn celkem","00890001","Česko","CZ","2. čtvrtletí 2026","2026-Q2","104.7","procento","%"
"Směnné relace (%)","733001","Mezičtvrtletní index","IQ","Úhrn celkem","00890001","Česko","CZ","3. čtvrtletí 2023","2023-Q3","99.4","procento","%"
"Směnné relace (%)","733001","Mezičtvrtletní index","IQ","Úhrn celkem","00890001","Česko","CZ","4. čtvrtletí 2023","2023-Q4","99.1","procento","%"
"Směnné relace (%)","733001","Mezičtvrtletní index","IQ","Úhrn celkem","00890001","Česko","CZ","leden - březen 2024","2024-03K","101.6","procento","%"
"Směnné relace (%)","733001","Mezičtvrtletní index","IQ","Úhrn celkem","00890001","Česko","CZ","1. čtvrtletí 2024","2024-Q1","101.6","procento","%"
"Směnné relace (%)","733001","Mezičtvrtletní index","IQ","Úhrn celkem","00890001","Česko","CZ","2. čtvrtletí 2024","2024-Q2","100.5","procento","%"
"Směnné relace (%)","733001","Mezičtvrtletní index","IQ","Úhrn celkem","00890001","Česko","CZ","3. čtvrtletí 2024","2024-Q3","99.8","procento","%"
"Směnné relace (%)","733001","Mezičtvrtletní index","IQ","Úhrn celkem","00890001","Česko","CZ","4. čtvrtletí 2024","2024-Q4","100.0","procento","%"
"Směnné relace (%)","733001","Mezičtvrtletní index","IQ","Úhrn celkem","00890001","Česko","CZ","leden - březen 2025","2025-03K","99.8","procento","%"
"Směnné relace (%)","733001","Mezičtvrtletní index","IQ","Úhrn celkem","00890001","Česko","CZ","1. čtvrtletí 2025","2025-Q1","99.8","procento","%"
