"Ukazatel","IndicatorType","Klasifikace CZ-CPA-Úhrn a sekce","CZCPAVAD.CZCPA1","Klasifikace CZ-CPA-Oddíl","CZCPAVAD.CZCPA2","Typ indexu","TYPUDAJE5B","Území","Uz0","Měsíce, měsíční kumulace, měsíce klouzavých průměrů, čtvrtletí, roky","CASMKMQRM12","Hodnota","MJ_TEXT","MJ_SYMBOL"
"Index vývozních cen (%)","614603","Úhrn celkem","ABCDEJ","","","Mezičtvrtletní index","IQ","Česko","CZ","2. čtvrtletí 2023","2023-Q2","97.8","procento","%"
"Index vývozních cen (%)","614603","Úhrn celkem","ABCDEJ","","","Mezičtvrtletní index","IQ","Česko","CZ","3. čtvrtletí 2023","2023-Q3","100.7","procento","%"
"Index vývozních cen (%)","614603","Úhrn celkem","ABCDEJ","","","Mezičtvrtletní index","IQ","Česko","CZ","4. čtvrtletí 2023","2023-Q4","100.6","procento","%"
"Index vývozních cen (%)","614603","Úhrn celkem","ABCDEJ","","","Mezičtvrtletní index","IQ","Česko","CZ","leden - březen 2024","2024-03K","101.7","procento","%"
"Index vývozních cen (%)","614603","Úhrn celkem","ABCDEJ","","","Mezičtvrtletní index","IQ","Česko","CZ","1. čtvrtletí 2024","2024-Q1","101.7","procento","%"
"Index vývozních cen (%)","614603","Úhrn celkem","ABCDEJ","","","Mezičtvrtletní index","IQ","Česko","CZ","2. čtvrtletí 2024","2024-Q2","100.6","procento","%"
"Index vývozních cen (%)","614603","Úhrn celkem","ABCDEJ","","","Mezičtvrtletní index","IQ","Česko","CZ","3. čtvrtletí 2024","2024-Q3","100.8","procento","%"
"Index vývozních cen (%)","614603","Úhrn celkem","ABCDEJ","","","Mezičtvrtletní index","IQ","Česko","CZ","4. čtvrtletí 2024","2024-Q4","100.9","procento","%"
"Index vývozních cen (%)","614603","Úhrn celkem","ABCDEJ","","","Mezičtvrtletní index","IQ","Česko","CZ","leden - březen 2025","2025-03K","100.0","procento","%"
"Index vývozních cen (%)","614603","Úhrn celkem","ABCDEJ","","","Mezičtvrtletní index","IQ","Česko","CZ","1. čtvrtletí 2025","2025-Q1","100.0","procento","%"
"Index vývozních cen (%)","614603","Úhrn celkem","ABCDEJ","","","Mezičtvrtletní index","IQ","Česko","CZ","2. čtvrtletí 2025","2025-Q2","98.3","procento","%"
"Index vývozních cen (%)","614603","Úhrn celkem","ABCDEJ","","","Mezičtvrtletní index","IQ","Česko","CZ","3. čtvrtletí 2025","2025-Q3","98.2","procento","%"
"Index vývozních cen (%)","614603","Úhrn celkem","ABCDEJ","","","Mezičtvrtletní index","IQ","Česko","CZ","4. čtvrtletí 2025","2025-Q4","99.3","procento","%"
