"Ukazatel","IndicatorType","Klasifikace CZ-CPA-Úhrn a sekce","CZCPAVAD.CZCPA1","Klasifikace CZ-CPA-Oddíl","CZCPAVAD.CZCPA2","Typ indexu","TYPUDAJE5B","Území","Uz0","Měsíce, měsíční kumulace, měsíce klouzavých průměrů, čtvrtletí, roky","CASMKMQRM12","Hodnota","MJ_TEXT","MJ_SYMBOL"
"Index vývozních cen (%)","614603","ELEKTŘINA, PLYN, PÁRA A KLIMATIZOVANÝ VZDUCH","D","","","Meziroční index","IR","Česko","CZ","leden - září 2015","2015-09K","90.7","procento","%"
"Index vývozních cen (%)","614603","ELEKTŘINA, PLYN, PÁRA A KLIMATIZOVANÝ VZDUCH","D","","","Meziroční index","IR","Česko","CZ","3. čtvrtletí 2015","2015-Q3","91.2","procento","%"
"Index vývozních cen (%)","614603","ELEKTŘINA, PLYN, PÁRA A KLIMATIZOVANÝ VZDUCH","D","","","Meziroční index","IR","Česko","CZ","říjen 2015","2015-10","93.5","procento","%"
"Index vývozních cen (%)","614603","ELEKTŘINA, PLYN, PÁRA A KLIMATIZOVANÝ VZDUCH","D","","","Meziroční index","IR","Česko","CZ","leden - říjen 2015","2015-10K","91.0","procento","%"
"Index vývozních cen (%)","614603","ELEKTŘINA, PLYN, PÁRA A KLIMATIZOVANÝ VZDUCH","D","","","Meziroční index","IR","Česko","CZ","listopad 2015","2015-11","88.3","procento","%"
"Index vývozních cen (%)","614603","ELEKTŘINA, PLYN, PÁRA A KLIMATIZOVANÝ VZDUCH","D","","","Meziroční index","IR","Česko","CZ","leden - listopad 2015","2015-11K","90.8","procento","%"
"Index vývozních cen (%)","614603","ELEKTŘINA, PLYN, PÁRA A KLIMATIZOVANÝ VZDUCH","D","","","Meziroční index","IR","Česko","CZ","prosinec 2015","2015-12","81.7","procento","%"
"Index vývozních cen (%)","614603","ELEKTŘINA, PLYN, PÁRA A KLIMATIZOVANÝ VZDUCH","D","","","Meziroční index","IR","Česko","CZ","leden - prosinec 2015","2015-12K","90.0","procento","%"
"Index vývozních cen (%)","614603","ELEKTŘINA, PLYN, PÁRA A KLIMATIZOVANÝ VZDUCH","D","","","Meziroční index","IR","Česko","CZ","4. čtvrtletí 2015","2015-Q4","87.8","procento","%"
"Index vývozních cen (%)","614603","ELEKTŘINA, PLYN, PÁRA A KLIMATIZOVANÝ VZDUCH","D","","","Meziroční index","IR","Česko","CZ","2015","2015","90.0","procento","%"
"Index vývozních cen (%)","614603","ELEKTŘINA, PLYN, PÁRA A KLIMATIZOVANÝ VZDUCH","D","","","Meziroční index","IR","Česko","CZ","leden 2016","2016-01","88.0","procento","%"
"Index vývozních cen (%)","614603","ELEKTŘINA, PLYN, PÁRA A KLIMATIZOVANÝ VZDUCH","D","","","Meziroční index","IR","Česko","CZ","leden 2016","2016-01K","88.0","procento","%"
"Index vývozních cen (%)","614603","ELEKTŘINA, PLYN, PÁRA A KLIMATIZOVANÝ VZDUCH","D","","","Meziroční index","IR","Česko","CZ","únor 2016","2016-02","73.8","procento","%"
"Index vývozních cen (%)","614603","ELEKTŘINA, PLYN, PÁRA A KLIMATIZOVANÝ VZDUCH","D","","","Meziroční index","IR","Česko","CZ","leden - únor 2016","2016-02K","80.7","procento","%"
"Index vývozních cen (%)","614603","ELEKTŘINA, PLYN, PÁRA A KLIMATIZOVANÝ VZDUCH","D","","","Meziroční index","IR","Česko","CZ","březen 2016","2016-03","83.0","procento","%"
"Index vývozních cen (%)","614603","ELEKTŘINA, PLYN, PÁRA A KLIMATIZOVANÝ VZDUCH","D","","","Meziroční index","IR","Česko","CZ","leden - březen 2016","2016-03K","81.4","procento","%"
"Index vývozních cen (%)","614603","ELEKTŘINA, PLYN, PÁRA A KLIMATIZOVANÝ VZDUCH","D","","","Meziroční index","IR","Česko","CZ","1. čtvrtletí 2016","2016-Q1","81.4","procento","%"
"Index vývozních cen (%)","614603","ELEKTŘINA, PLYN, PÁRA A KLIMATIZOVANÝ VZDUCH","D","","","Meziroční index","IR","Česko","CZ","duben 2016","2016-04","84.1","procento","%"
"Index vývozních cen (%)","614603","ELEKTŘINA, PLYN, PÁRA A KLIMATIZOVANÝ VZDUCH","D","","","Meziroční index","IR","Česko","CZ","leden - duben 2016","2016-04K","82.0","procento","%"
"Index vývozních cen (%)","614603","ELEKTŘINA, PLYN, PÁRA A KLIMATIZOVANÝ VZDUCH","D","","","Meziroční index","IR","Česko","CZ","květen 2016","2016-05","86.9","procento","%"
"Index vývozních cen (%)","614603","ELEKTŘINA, PLYN, PÁRA A KLIMATIZOVANÝ VZDUCH","D","","","Meziroční index","IR","Česko","CZ","leden - květen 2016","2016-05K","82.9","procento","%"
"Index vývozních cen (%)","614603","ELEKTŘINA, PLYN, PÁRA A KLIMATIZOVANÝ VZDUCH","D","","","Meziroční index","IR","Česko","CZ","červen 2016","2016-06","89.4","procento","%"
"Index vývozních cen (%)","614603","ELEKTŘINA, PLYN, PÁRA A KLIMATIZOVANÝ VZDUCH","D","","","Meziroční index","IR","Česko","CZ","leden - červen 2016","2016-06K","84.0","procento","%"
"Index vývozních cen (%)","614603","ELEKTŘINA, PLYN, PÁRA A KLIMATIZOVANÝ VZDUCH","D","","","Meziroční index","IR","Česko","CZ","2. čtvrtletí 2016","2016-Q2","86.8","procento","%"
"Index vývozních cen (%)","614603","ELEKTŘINA, PLYN, PÁRA A KLIMATIZOVANÝ VZDUCH","D","","","Meziroční index","IR","Česko","CZ","červenec 2016","2016-07","85.0","procento","%"
"Index vývozních cen (%)","614603","ELEKTŘINA, PLYN, PÁRA A KLIMATIZOVANÝ VZDUCH","D","","","Meziroční index","IR","Česko","CZ","leden - červenec 2016","2016-07K","84.1","procento","%"
"Index vývozních cen (%)","614603","ELEKTŘINA, PLYN, PÁRA A KLIMATIZOVANÝ VZDUCH","D","","","Meziroční index","IR","Česko","CZ","srpen 2016","2016-08","90.5","procento","%"
"Index vývozních cen (%)","614603","ELEKTŘINA, PLYN, PÁRA A KLIMATIZOVANÝ VZDUCH","D","","","Meziroční index","IR","Česko","CZ","leden - srpen 2016","2016-08K","84.9","procento","%"
"Index vývozních cen (%)","614603","ELEKTŘINA, PLYN, PÁRA A KLIMATIZOVANÝ VZDUCH","D","","","Meziroční index","IR","Česko","CZ","září 2016","2016-09","93.7","procento","%"
"Index vývozních cen (%)","614603","ELEKTŘINA, PLYN, PÁRA A KLIMATIZOVANÝ VZDUCH","D","","","Meziroční index","IR","Česko","CZ","leden - září 2016","2016-09K","85.9","procento","%"
"Index vývozních cen (%)","614603","ELEKTŘINA, PLYN, PÁRA A KLIMATIZOVANÝ VZDUCH","D","","","Meziroční index","IR","Česko","CZ","3. čtvrtletí 2016","2016-Q3","89.6","procento","%"
"Index vývozních cen (%)","614603","ELEKTŘINA, PLYN, PÁRA A KLIMATIZOVANÝ VZDUCH","D","","","Meziroční index","IR","Česko","CZ","říjen 2016","2016-10","92.8","procento","%"
"Index vývozních cen (%)","614603","ELEKTŘINA, PLYN, PÁRA A KLIMATIZOVANÝ VZDUCH","D","","","Meziroční index","IR","Česko","CZ","leden - říjen 2016","2016-10K","86.6","procento","%"
"Index vývozních cen (%)","614603","ELEKTŘINA, PLYN, PÁRA A KLIMATIZOVANÝ VZDUCH","D","","","Meziroční index","IR","Česko","CZ","listopad 2016","2016-11","99.7","procento","%"
"Index vývozních cen (%)","614603","ELEKTŘINA, PLYN, PÁRA A KLIMATIZOVANÝ VZDUCH","D","","","Meziroční index","IR","Česko","CZ","leden - listopad 2016","2016-11K","87.8","procento","%"
"Index vývozních cen (%)","614603","ELEKTŘINA, PLYN, PÁRA A KLIMATIZOVANÝ VZDUCH","D","","","Meziroční index","IR","Česko","CZ","prosinec 2016","2016-12","113.9","procento","%"
"Index vývozních cen (%)","614603","ELEKTŘINA, PLYN, PÁRA A KLIMATIZOVANÝ VZDUCH","D","","","Meziroční index","IR","Česko","CZ","leden - prosinec 2016","2016-12K","89.8","procento","%"
"Index vývozních cen (%)","614603","ELEKTŘINA, PLYN, PÁRA A KLIMATIZOVANÝ VZDUCH","D","","","Meziroční index","IR","Česko","CZ","4. čtvrtletí 2016","2016-Q4","101.6","procento","%"
"Index vývozních cen (%)","614603","ELEKTŘINA, PLYN, PÁRA A KLIMATIZOVANÝ VZDUCH","D","","","Meziroční index","IR","Česko","CZ","2016","2016","89.8","procento","%"
"Index vývozních cen (%)","614603","ELEKTŘINA, PLYN, PÁRA A KLIMATIZOVANÝ VZDUCH","D","","","Meziroční index","IR","Česko","CZ","leden 2017","2017-01","131.1","procento","%"
"Index vývozních cen (%)","614603","ELEKTŘINA, PLYN, PÁRA A KLIMATIZOVANÝ VZDUCH","D","","","Meziroční index","IR","Česko","CZ","leden 2017","2017-01K","131.1","procento","%"
"Index vývozních cen (%)","614603","ELEKTŘINA, PLYN, PÁRA A KLIMATIZOVANÝ VZDUCH","D","","","Meziroční index","IR","Česko","CZ","únor 2017","2017-02","140.3","procento","%"
"Index vývozních cen (%)","614603","ELEKTŘINA, PLYN, PÁRA A KLIMATIZOVANÝ VZDUCH","D","","","Meziroční index","IR","Česko","CZ","leden - únor 2017","2017-02K","135.5","procento","%"
"Index vývozních cen (%)","614603","ELEKTŘINA, PLYN, PÁRA A KLIMATIZOVANÝ VZDUCH","D","","","Meziroční index","IR","Česko","CZ","březen 2017","2017-03","124.6","procento","%"
"Index vývozních cen (%)","614603","ELEKTŘINA, PLYN, PÁRA A KLIMATIZOVANÝ VZDUCH","D","","","Meziroční index","IR","Česko","CZ","leden - březen 2017","2017-03K","132.0","procento","%"
"Index vývozních cen (%)","614603","ELEKTŘINA, PLYN, PÁRA A KLIMATIZOVANÝ VZDUCH","D","","","Meziroční index","IR","Česko","CZ","1. čtvrtletí 2017","2017-Q1","132.0","procento","%"
"Index vývozních cen (%)","614603","ELEKTŘINA, PLYN, PÁRA A KLIMATIZOVANÝ VZDUCH","D","","","Meziroční index","IR","Česko","CZ","duben 2017","2017-04","110.4","procento","%"
"Index vývozních cen (%)","614603","ELEKTŘINA, PLYN, PÁRA A KLIMATIZOVANÝ VZDUCH","D","","","Meziroční index","IR","Česko","CZ","leden - duben 2017","2017-04K","126.7","procento","%"
"Index vývozních cen (%)","614603","ELEKTŘINA, PLYN, PÁRA A KLIMATIZOVANÝ VZDUCH","D","","","Meziroční index","IR","Česko","CZ","květen 2017","2017-05","111.7","procento","%"
"Index vývozních cen (%)","614603","ELEKTŘINA, PLYN, PÁRA A KLIMATIZOVANÝ VZDUCH","D","","","Meziroční index","IR","Česko","CZ","leden - květen 2017","2017-05K","123.8","procento","%"
"Index vývozních cen (%)","614603","ELEKTŘINA, PLYN, PÁRA A KLIMATIZOVANÝ VZDUCH","D","","","Meziroční index","IR","Česko","CZ","červen 2017","2017-06","98.8","procento","%"
"Index vývozních cen (%)","614603","ELEKTŘINA, PLYN, PÁRA A KLIMATIZOVANÝ VZDUCH","D","","","Meziroční index","IR","Česko","CZ","leden - červen 2017","2017-06K","119.5","procento","%"
"Index vývozních cen (%)","614603","ELEKTŘINA, PLYN, PÁRA A KLIMATIZOVANÝ VZDUCH","D","","","Meziroční index","IR","Česko","CZ","2. čtvrtletí 2017","2017-Q2","106.7","procento","%"
"Index vývozních cen (%)","614603","ELEKTŘINA, PLYN, PÁRA A KLIMATIZOVANÝ VZDUCH","D","","","Meziroční index","IR","Česko","CZ","červenec 2017","2017-07","97.0","procento","%"
"Index vývozních cen (%)","614603","ELEKTŘINA, PLYN, PÁRA A KLIMATIZOVANÝ VZDUCH","D","","","Meziroční index","IR","Česko","CZ","leden - červenec 2017","2017-07K","116.1","procento","%"
"Index vývozních cen (%)","614603","ELEKTŘINA, PLYN, PÁRA A KLIMATIZOVANÝ VZDUCH","D","","","Meziroční index","IR","Česko","CZ","srpen 2017","2017-08","95.8","procento","%"
"Index vývozních cen (%)","614603","ELEKTŘINA, PLYN, PÁRA A KLIMATIZOVANÝ VZDUCH","D","","","Meziroční index","IR","Česko","CZ","leden - srpen 2017","2017-08K","113.5","procento","%"
"Index vývozních cen (%)","614603","ELEKTŘINA, PLYN, PÁRA A KLIMATIZOVANÝ VZDUCH","D","","","Meziroční index","IR","Česko","CZ","září 2017","2017-09","93.1","procento","%"
"Index vývozních cen (%)","614603","ELEKTŘINA, PLYN, PÁRA A KLIMATIZOVANÝ VZDUCH","D","","","Meziroční index","IR","Česko","CZ","leden - září 2017","2017-09K","111.0","procento","%"
"Index vývozních cen (%)","614603","ELEKTŘINA, PLYN, PÁRA A KLIMATIZOVANÝ VZDUCH","D","","","Meziroční index","IR","Česko","CZ","3. čtvrtletí 2017","2017-Q3","95.3","procento","%"
"Index vývozních cen (%)","614603","ELEKTŘINA, PLYN, PÁRA A KLIMATIZOVANÝ VZDUCH","D","","","Meziroční index","IR","Česko","CZ","říjen 2017","2017-10","85.9","procento","%"
"Index vývozních cen (%)","614603","ELEKTŘINA, PLYN, PÁRA A KLIMATIZOVANÝ VZDUCH","D","","","Meziroční index","IR","Česko","CZ","leden - říjen 2017","2017-10K","108.2","procento","%"
"Index vývozních cen (%)","614603","ELEKTŘINA, PLYN, PÁRA A KLIMATIZOVANÝ VZDUCH","D","","","Meziroční index","IR","Česko","CZ","listopad 2017","2017-11","90.5","procento","%"
"Index vývozních cen (%)","614603","ELEKTŘINA, PLYN, PÁRA A KLIMATIZOVANÝ VZDUCH","D","","","Meziroční index","IR","Česko","CZ","leden - listopad 2017","2017-11K","106.3","procento","%"
"Index vývozních cen (%)","614603","ELEKTŘINA, PLYN, PÁRA A KLIMATIZOVANÝ VZDUCH","D","","","Meziroční index","IR","Česko","CZ","prosinec 2017","2017-12","85.7","procento","%"
"Index vývozních cen (%)","614603","ELEKTŘINA, PLYN, PÁRA A KLIMATIZOVANÝ VZDUCH","D","","","Meziroční index","IR","Česko","CZ","leden - prosinec 2017","2017-12K","104.3","procento","%"
"Index vývozních cen (%)","614603","ELEKTŘINA, PLYN, PÁRA A KLIMATIZOVANÝ VZDUCH","D","","","Meziroční index","IR","Česko","CZ","4. čtvrtletí 2017","2017-Q4","87.4","procento","%"
"Index vývozních cen (%)","614603","ELEKTŘINA, PLYN, PÁRA A KLIMATIZOVANÝ VZDUCH","D","","","Meziroční index","IR","Česko","CZ","2017","2017","104.3","procento","%"
"Index vývozních cen (%)","614603","ELEKTŘINA, PLYN, PÁRA A KLIMATIZOVANÝ VZDUCH","D","","","Meziroční index","IR","Česko","CZ","leden 2018","2018-01","74.4","procento","%"
"Index vývozních cen (%)","614603","ELEKTŘINA, PLYN, PÁRA A KLIMATIZOVANÝ VZDUCH","D","","","Meziroční index","IR","Česko","CZ","leden 2018","2018-01K","74.4","procento","%"
"Index vývozních cen (%)","614603","ELEKTŘINA, PLYN, PÁRA A KLIMATIZOVANÝ VZDUCH","D","","","Meziroční index","IR","Česko","CZ","únor 2018","2018-02","85.0","procento","%"
"Index vývozních cen (%)","614603","ELEKTŘINA, PLYN, PÁRA A KLIMATIZOVANÝ VZDUCH","D","","","Meziroční index","IR","Česko","CZ","leden - únor 2018","2018-02K","79.6","procento","%"
"Index vývozních cen (%)","614603","ELEKTŘINA, PLYN, PÁRA A KLIMATIZOVANÝ VZDUCH","D","","","Meziroční index","IR","Česko","CZ","březen 2018","2018-03","94.2","procento","%"
"Index vývozních cen (%)","614603","ELEKTŘINA, PLYN, PÁRA A KLIMATIZOVANÝ VZDUCH","D","","","Meziroční index","IR","Česko","CZ","leden - březen 2018","2018-03K","84.0","procento","%"
"Index vývozních cen (%)","614603","ELEKTŘINA, PLYN, PÁRA A KLIMATIZOVANÝ VZDUCH","D","","","Meziroční index","IR","Česko","CZ","1. čtvrtletí 2018","2018-Q1","84.0","procento","%"
"Index vývozních cen (%)","614603","ELEKTŘINA, PLYN, PÁRA A KLIMATIZOVANÝ VZDUCH","D","","","Meziroční index","IR","Česko","CZ","duben 2018","2018-04","94.2","procento","%"
"Index vývozních cen (%)","614603","ELEKTŘINA, PLYN, PÁRA A KLIMATIZOVANÝ VZDUCH","D","","","Meziroční index","IR","Česko","CZ","leden - duben 2018","2018-04K","86.2","procento","%"
"Index vývozních cen (%)","614603","ELEKTŘINA, PLYN, PÁRA A KLIMATIZOVANÝ VZDUCH","D","","","Meziroční index","IR","Česko","CZ","květen 2018","2018-05","98.4","procento","%"
"Index vývozních cen (%)","614603","ELEKTŘINA, PLYN, PÁRA A KLIMATIZOVANÝ VZDUCH","D","","","Meziroční index","IR","Česko","CZ","leden - květen 2018","2018-05K","88.3","procento","%"
"Index vývozních cen (%)","614603","ELEKTŘINA, PLYN, PÁRA A KLIMATIZOVANÝ VZDUCH","D","","","Meziroční index","IR","Česko","CZ","červen 2018","2018-06","112.3","procento","%"
"Index vývozních cen (%)","614603","ELEKTŘINA, PLYN, PÁRA A KLIMATIZOVANÝ VZDUCH","D","","","Meziroční index","IR","Česko","CZ","leden - červen 2018","2018-06K","91.8","procento","%"
"Index vývozních cen (%)","614603","ELEKTŘINA, PLYN, PÁRA A KLIMATIZOVANÝ VZDUCH","D","","","Meziroční index","IR","Česko","CZ","2. čtvrtletí 2018","2018-Q2","101.5","procento","%"
"Index vývozních cen (%)","614603","ELEKTŘINA, PLYN, PÁRA A KLIMATIZOVANÝ VZDUCH","D","","","Meziroční index","IR","Česko","CZ","červenec 2018","2018-07","123.0","procento","%"
"Index vývozních cen (%)","614603","ELEKTŘINA, PLYN, PÁRA A KLIMATIZOVANÝ VZDUCH","D","","","Meziroční index","IR","Česko","CZ","leden - červenec 2018","2018-07K","95.7","procento","%"
"Index vývozních cen (%)","614603","ELEKTŘINA, PLYN, PÁRA A KLIMATIZOVANÝ VZDUCH","D","","","Meziroční index","IR","Česko","CZ","srpen 2018","2018-08","134.8","procento","%"
"Index vývozních cen (%)","614603","ELEKTŘINA, PLYN, PÁRA A KLIMATIZOVANÝ VZDUCH","D","","","Meziroční index","IR","Česko","CZ","leden - srpen 2018","2018-08K","99.9","procento","%"
"Index vývozních cen (%)","614603","ELEKTŘINA, PLYN, PÁRA A KLIMATIZOVANÝ VZDUCH","D","","","Meziroční index","IR","Česko","CZ","září 2018","2018-09","132.0","procento","%"
"Index vývozních cen (%)","614603","ELEKTŘINA, PLYN, PÁRA A KLIMATIZOVANÝ VZDUCH","D","","","Meziroční index","IR","Česko","CZ","leden - září 2018","2018-09K","103.2","procento","%"
"Index vývozních cen (%)","614603","ELEKTŘINA, PLYN, PÁRA A KLIMATIZOVANÝ VZDUCH","D","","","Meziroční index","IR","Česko","CZ","3. čtvrtletí 2018","2018-Q3","129.9","procento","%"
"Index vývozních cen (%)","614603","ELEKTŘINA, PLYN, PÁRA A KLIMATIZOVANÝ VZDUCH","D","","","Meziroční index","IR","Česko","CZ","říjen 2018","2018-10","135.9","procento","%"
"Index vývozních cen (%)","614603","ELEKTŘINA, PLYN, PÁRA A KLIMATIZOVANÝ VZDUCH","D","","","Meziroční index","IR","Česko","CZ","leden - říjen 2018","2018-10K","106.1","procento","%"
"Index vývozních cen (%)","614603","ELEKTŘINA, PLYN, PÁRA A KLIMATIZOVANÝ VZDUCH","D","","","Meziroční index","IR","Česko","CZ","listopad 2018","2018-11","127.1","procento","%"
"Index vývozních cen (%)","614603","ELEKTŘINA, PLYN, PÁRA A KLIMATIZOVANÝ VZDUCH","D","","","Meziroční index","IR","Česko","CZ","leden - listopad 2018","2018-11K","108.0","procento","%"
"Index vývozních cen (%)","614603","ELEKTŘINA, PLYN, PÁRA A KLIMATIZOVANÝ VZDUCH","D","","","Meziroční index","IR","Česko","CZ","prosinec 2018","2018-12","123.2","procento","%"
"Index vývozních cen (%)","614603","ELEKTŘINA, PLYN, PÁRA A KLIMATIZOVANÝ VZDUCH","D","","","Meziroční index","IR","Česko","CZ","leden - prosinec 2018","2018-12K","109.2","procento","%"
"Index vývozních cen (%)","614603","ELEKTŘINA, PLYN, PÁRA A KLIMATIZOVANÝ VZDUCH","D","","","Meziroční index","IR","Česko","CZ","4. čtvrtletí 2018","2018-Q4","128.6","procento","%"
"Index vývozních cen (%)","614603","ELEKTŘINA, PLYN, PÁRA A KLIMATIZOVANÝ VZDUCH","D","","","Meziroční index","IR","Česko","CZ","2018","2018","109.2","procento","%"
"Index vývozních cen (%)","614603","ELEKTŘINA, PLYN, PÁRA A KLIMATIZOVANÝ VZDUCH","D","","","Meziroční index","IR","Česko","CZ","leden 2019","2019-01","142.2","procento","%"
"Index vývozních cen (%)","614603","ELEKTŘINA, PLYN, PÁRA A KLIMATIZOVANÝ VZDUCH","D","","","Meziroční index","IR","Česko","CZ","leden 2019","2019-01K","142.2","procento","%"
"Index vývozních cen (%)","614603","ELEKTŘINA, PLYN, PÁRA A KLIMATIZOVANÝ VZDUCH","D","","","Meziroční index","IR","Česko","CZ","únor 2019","2019-02","119.0","procento","%"
"Index vývozních cen (%)","614603","ELEKTŘINA, PLYN, PÁRA A KLIMATIZOVANÝ VZDUCH","D","","","Meziroční index","IR","Česko","CZ","leden - únor 2019","2019-02K","130.1","procento","%"
"Index vývozních cen (%)","614603","ELEKTŘINA, PLYN, PÁRA A KLIMATIZOVANÝ VZDUCH","D","","","Meziroční index","IR","Česko","CZ","březen 2019","2019-03","100.0","procento","%"
"Index vývozních cen (%)","614603","ELEKTŘINA, PLYN, PÁRA A KLIMATIZOVANÝ VZDUCH","D","","","Meziroční index","IR","Česko","CZ","leden - březen 2019","2019-03K","119.8","procento","%"
"Index vývozních cen (%)","614603","ELEKTŘINA, PLYN, PÁRA A KLIMATIZOVANÝ VZDUCH","D","","","Meziroční index","IR","Česko","CZ","1. čtvrtletí 2019","2019-Q1","119.8","procento","%"
"Index vývozních cen (%)","614603","ELEKTŘINA, PLYN, PÁRA A KLIMATIZOVANÝ VZDUCH","D","","","Meziroční index","IR","Česko","CZ","duben 2019","2019-04","118.0","procento","%"
"Index vývozních cen (%)","614603","ELEKTŘINA, PLYN, PÁRA A KLIMATIZOVANÝ VZDUCH","D","","","Meziroční index","IR","Česko","CZ","leden - duben 2019","2019-04K","119.4","procento","%"
"Index vývozních cen (%)","614603","ELEKTŘINA, PLYN, PÁRA A KLIMATIZOVANÝ VZDUCH","D","","","Meziroční index","IR","Česko","CZ","květen 2019","2019-05","113.3","procento","%"
"Index vývozních cen (%)","614603","ELEKTŘINA, PLYN, PÁRA A KLIMATIZOVANÝ VZDUCH","D","","","Meziroční index","IR","Česko","CZ","leden - květen 2019","2019-05K","118.2","procento","%"
"Index vývozních cen (%)","614603","ELEKTŘINA, PLYN, PÁRA A KLIMATIZOVANÝ VZDUCH","D","","","Meziroční index","IR","Česko","CZ","červen 2019","2019-06","98.4","procento","%"
"Index vývozních cen (%)","614603","ELEKTŘINA, PLYN, PÁRA A KLIMATIZOVANÝ VZDUCH","D","","","Meziroční index","IR","Česko","CZ","leden - červen 2019","2019-06K","114.7","procento","%"
"Index vývozních cen (%)","614603","ELEKTŘINA, PLYN, PÁRA A KLIMATIZOVANÝ VZDUCH","D","","","Meziroční index","IR","Česko","CZ","2. čtvrtletí 2019","2019-Q2","109.4","procento","%"
"Index vývozních cen (%)","614603","ELEKTŘINA, PLYN, PÁRA A KLIMATIZOVANÝ VZDUCH","D","","","Meziroční index","IR","Česko","CZ","červenec 2019","2019-07","97.1","procento","%"
"Index vývozních cen (%)","614603","ELEKTŘINA, PLYN, PÁRA A KLIMATIZOVANÝ VZDUCH","D","","","Meziroční index","IR","Česko","CZ","leden - červenec 2019","2019-07K","111.9","procento","%"
"Index vývozních cen (%)","614603","ELEKTŘINA, PLYN, PÁRA A KLIMATIZOVANÝ VZDUCH","D","","","Meziroční index","IR","Česko","CZ","srpen 2019","2019-08","89.7","procento","%"
"Index vývozních cen (%)","614603","ELEKTŘINA, PLYN, PÁRA A KLIMATIZOVANÝ VZDUCH","D","","","Meziroční index","IR","Česko","CZ","leden - srpen 2019","2019-08K","108.6","procento","%"
"Index vývozních cen (%)","614603","ELEKTŘINA, PLYN, PÁRA A KLIMATIZOVANÝ VZDUCH","D","","","Meziroční index","IR","Česko","CZ","září 2019","2019-09","89.9","procento","%"
"Index vývozních cen (%)","614603","ELEKTŘINA, PLYN, PÁRA A KLIMATIZOVANÝ VZDUCH","D","","","Meziroční index","IR","Česko","CZ","leden - září 2019","2019-09K","106.2","procento","%"
"Index vývozních cen (%)","614603","ELEKTŘINA, PLYN, PÁRA A KLIMATIZOVANÝ VZDUCH","D","","","Meziroční index","IR","Česko","CZ","3. čtvrtletí 2019","2019-Q3","92.1","procento","%"
"Index vývozních cen (%)","614603","ELEKTŘINA, PLYN, PÁRA A KLIMATIZOVANÝ VZDUCH","D","","","Meziroční index","IR","Česko","CZ","říjen 2019","2019-10","89.6","procento","%"
"Index vývozních cen (%)","614603","ELEKTŘINA, PLYN, PÁRA A KLIMATIZOVANÝ VZDUCH","D","","","Meziroční index","IR","Česko","CZ","leden - říjen 2019","2019-10K","104.3","procento","%"
"Index vývozních cen (%)","614603","ELEKTŘINA, PLYN, PÁRA A KLIMATIZOVANÝ VZDUCH","D","","","Meziroční index","IR","Česko","CZ","listopad 2019","2019-11","91.0","procento","%"
"Index vývozních cen (%)","614603","ELEKTŘINA, PLYN, PÁRA A KLIMATIZOVANÝ VZDUCH","D","","","Meziroční index","IR","Česko","CZ","leden - listopad 2019","2019-11K","102.9","procento","%"
"Index vývozních cen (%)","614603","ELEKTŘINA, PLYN, PÁRA A KLIMATIZOVANÝ VZDUCH","D","","","Meziroční index","IR","Česko","CZ","prosinec 2019","2019-12","91.2","procento","%"
"Index vývozních cen (%)","614603","ELEKTŘINA, PLYN, PÁRA A KLIMATIZOVANÝ VZDUCH","D","","","Meziroční index","IR","Česko","CZ","leden - prosinec 2019","2019-12K","101.8","procento","%"
"Index vývozních cen (%)","614603","ELEKTŘINA, PLYN, PÁRA A KLIMATIZOVANÝ VZDUCH","D","","","Meziroční index","IR","Česko","CZ","4. čtvrtletí 2019","2019-Q4","90.6","procento","%"
"Index vývozních cen (%)","614603","ELEKTŘINA, PLYN, PÁRA A KLIMATIZOVANÝ VZDUCH","D","","","Meziroční index","IR","Česko","CZ","2019","2019","101.8","procento","%"
"Index vývozních cen (%)","614603","ELEKTŘINA, PLYN, PÁRA A KLIMATIZOVANÝ VZDUCH","D","","","Meziroční index","IR","Česko","CZ","leden 2020","2020-01","83.4","procento","%"
"Index vývozních cen (%)","614603","ELEKTŘINA, PLYN, PÁRA A KLIMATIZOVANÝ VZDUCH","D","","","Meziroční index","IR","Česko","CZ","leden 2020","2020-01K","83.4","procento","%"
"Index vývozních cen (%)","614603","ELEKTŘINA, PLYN, PÁRA A KLIMATIZOVANÝ VZDUCH","D","","","Meziroční index","IR","Česko","CZ","únor 2020","2020-02","82.0","procento","%"
"Index vývozních cen (%)","614603","ELEKTŘINA, PLYN, PÁRA A KLIMATIZOVANÝ VZDUCH","D","","","Meziroční index","IR","Česko","CZ","leden - únor 2020","2020-02K","82.7","procento","%"
"Index vývozních cen (%)","614603","ELEKTŘINA, PLYN, PÁRA A KLIMATIZOVANÝ VZDUCH","D","","","Meziroční index","IR","Česko","CZ","březen 2020","2020-03","97.9","procento","%"
"Index vývozních cen (%)","614603","ELEKTŘINA, PLYN, PÁRA A KLIMATIZOVANÝ VZDUCH","D","","","Meziroční index","IR","Česko","CZ","leden - březen 2020","2020-03K","87.0","procento","%"
"Index vývozních cen (%)","614603","ELEKTŘINA, PLYN, PÁRA A KLIMATIZOVANÝ VZDUCH","D","","","Meziroční index","IR","Česko","CZ","1. čtvrtletí 2020","2020-Q1","87.0","procento","%"
"Index vývozních cen (%)","614603","ELEKTŘINA, PLYN, PÁRA A KLIMATIZOVANÝ VZDUCH","D","","","Meziroční index","IR","Česko","CZ","duben 2020","2020-04","85.2","procento","%"
