item,cutoff,eligible,national_point,reasons
electricity,2019-12-31,False,,cohort_shares:unavailable;cohort_shares:unavailable_at_cutoff;cohort_shares:population_or_measure_not_comparable;cohort_shares:unarchived_vintage;reset_schedule:unavailable;reset_schedule:unavailable_at_cutoff;reset_schedule:population_or_measure_not_comparable;reset_schedule:unarchived_vintage;fixed_quantities:unavailable;fixed_quantities:unavailable_at_cutoff;fixed_quantities:population_or_measure_not_comparable;fixed_quantities:unarchived_vintage;tariff_components:unavailable;tariff_components:unavailable_at_cutoff;tariff_components:population_or_measure_not_comparable;tariff_components:unarchived_vintage;cpi_mapping:unavailable;cpi_mapping:unavailable_at_cutoff;cpi_mapping:population_or_measure_not_comparable;cpi_mapping:unarchived_vintage;item_weights:unavailable;item_weights:unavailable_at_cutoff;item_weights:population_or_measure_not_comparable;item_weights:unarchived_vintage;baseline_energy:unavailable;baseline_energy:unavailable_at_cutoff;baseline_energy:population_or_measure_not_comparable;baseline_energy:unarchived_vintage;credit_denominator:unavailable;credit_denominator:unavailable_at_cutoff;credit_denominator:population_or_measure_not_comparable;credit_denominator:unarchived_vintage
electricity,2021-12-31,False,,cohort_shares:unavailable;cohort_shares:unavailable_at_cutoff;cohort_shares:population_or_measure_not_comparable;cohort_shares:unarchived_vintage;reset_schedule:unavailable;reset_schedule:unavailable_at_cutoff;reset_schedule:population_or_measure_not_comparable;reset_schedule:unarchived_vintage;fixed_quantities:unavailable;fixed_quantities:unavailable_at_cutoff;fixed_quantities:population_or_measure_not_comparable;fixed_quantities:unarchived_vintage;tariff_components:unavailable;tariff_components:unavailable_at_cutoff;tariff_components:population_or_measure_not_comparable;tariff_components:unarchived_vintage;cpi_mapping:unavailable;cpi_mapping:unavailable_at_cutoff;cpi_mapping:population_or_measure_not_comparable;cpi_mapping:unarchived_vintage;item_weights:unavailable;item_weights:unavailable_at_cutoff;item_weights:population_or_measure_not_comparable;item_weights:unarchived_vintage;baseline_energy:unavailable;baseline_energy:unavailable_at_cutoff;baseline_energy:population_or_measure_not_comparable;baseline_energy:unarchived_vintage;credit_denominator:unavailable;credit_denominator:unavailable_at_cutoff;credit_denominator:population_or_measure_not_comparable;credit_denominator:unarchived_vintage
electricity,2022-11-30,False,,cohort_shares:unavailable;cohort_shares:unavailable_at_cutoff;cohort_shares:population_or_measure_not_comparable;cohort_shares:unarchived_vintage;reset_schedule:unavailable;reset_schedule:unavailable_at_cutoff;reset_schedule:population_or_measure_not_comparable;reset_schedule:unarchived_vintage;fixed_quantities:unavailable;fixed_quantities:unavailable_at_cutoff;fixed_quantities:population_or_measure_not_comparable;fixed_quantities:unarchived_vintage;tariff_components:unavailable;tariff_components:unavailable_at_cutoff;tariff_components:population_or_measure_not_comparable;tariff_components:unarchived_vintage;cpi_mapping:unavailable;cpi_mapping:unavailable_at_cutoff;cpi_mapping:population_or_measure_not_comparable;cpi_mapping:unarchived_vintage;item_weights:unavailable;item_weights:unavailable_at_cutoff;item_weights:population_or_measure_not_comparable;item_weights:unarchived_vintage;baseline_energy:unavailable;baseline_energy:unavailable_at_cutoff;baseline_energy:population_or_measure_not_comparable;baseline_energy:unarchived_vintage;credit_denominator:unavailable;credit_denominator:unavailable_at_cutoff;credit_denominator:population_or_measure_not_comparable;credit_denominator:unarchived_vintage
electricity,2025-12-31,False,,cohort_shares:unavailable;cohort_shares:unavailable_at_cutoff;cohort_shares:population_or_measure_not_comparable;cohort_shares:unarchived_vintage;reset_schedule:unavailable;reset_schedule:unavailable_at_cutoff;reset_schedule:population_or_measure_not_comparable;reset_schedule:unarchived_vintage;fixed_quantities:unavailable;fixed_quantities:unavailable_at_cutoff;fixed_quantities:population_or_measure_not_comparable;fixed_quantities:unarchived_vintage;tariff_components:unavailable;tariff_components:unavailable_at_cutoff;tariff_components:population_or_measure_not_comparable;tariff_components:unarchived_vintage;cpi_mapping:unavailable;cpi_mapping:unavailable_at_cutoff;cpi_mapping:population_or_measure_not_comparable;cpi_mapping:unarchived_vintage;item_weights:unavailable;item_weights:unavailable_at_cutoff;item_weights:population_or_measure_not_comparable;item_weights:unarchived_vintage;baseline_energy:unavailable;baseline_energy:unavailable_at_cutoff;baseline_energy:population_or_measure_not_comparable;baseline_energy:unarchived_vintage;credit_denominator:unavailable;credit_denominator:unavailable_at_cutoff;credit_denominator:population_or_measure_not_comparable;credit_denominator:unarchived_vintage
electricity,2026-09-15,False,,cohort_shares:unavailable;cohort_shares:unavailable_at_cutoff;cohort_shares:population_or_measure_not_comparable;cohort_shares:unarchived_vintage;reset_schedule:unavailable;reset_schedule:unavailable_at_cutoff;reset_schedule:population_or_measure_not_comparable;reset_schedule:unarchived_vintage;fixed_quantities:unavailable;fixed_quantities:unavailable_at_cutoff;fixed_quantities:population_or_measure_not_comparable;fixed_quantities:unarchived_vintage;tariff_components:unavailable;tariff_components:unavailable_at_cutoff;tariff_components:population_or_measure_not_comparable;tariff_components:unarchived_vintage;cpi_mapping:unavailable;cpi_mapping:unavailable_at_cutoff;cpi_mapping:population_or_measure_not_comparable;cpi_mapping:unarchived_vintage;item_weights:unavailable;item_weights:unavailable_at_cutoff;item_weights:population_or_measure_not_comparable;item_weights:unarchived_vintage;baseline_energy:unavailable;baseline_energy:unavailable_at_cutoff;baseline_energy:population_or_measure_not_comparable;baseline_energy:unarchived_vintage;credit_denominator:unavailable;credit_denominator:unavailable_at_cutoff;credit_denominator:population_or_measure_not_comparable;credit_denominator:unarchived_vintage
gas,2019-12-31,False,,cohort_shares:unavailable;cohort_shares:unavailable_at_cutoff;cohort_shares:population_or_measure_not_comparable;cohort_shares:unarchived_vintage;reset_schedule:unavailable;reset_schedule:unavailable_at_cutoff;reset_schedule:population_or_measure_not_comparable;reset_schedule:unarchived_vintage;fixed_quantities:unavailable;fixed_quantities:unavailable_at_cutoff;fixed_quantities:population_or_measure_not_comparable;fixed_quantities:unarchived_vintage;tariff_components:unavailable;tariff_components:unavailable_at_cutoff;tariff_components:population_or_measure_not_comparable;tariff_components:unarchived_vintage;cpi_mapping:unavailable;cpi_mapping:unavailable_at_cutoff;cpi_mapping:population_or_measure_not_comparable;cpi_mapping:unarchived_vintage;item_weights:unavailable;item_weights:unavailable_at_cutoff;item_weights:population_or_measure_not_comparable;item_weights:unarchived_vintage;baseline_energy:unavailable;baseline_energy:unavailable_at_cutoff;baseline_energy:population_or_measure_not_comparable;baseline_energy:unarchived_vintage
gas,2021-12-31,False,,cohort_shares:unavailable;cohort_shares:unavailable_at_cutoff;cohort_shares:population_or_measure_not_comparable;cohort_shares:unarchived_vintage;reset_schedule:unavailable;reset_schedule:unavailable_at_cutoff;reset_schedule:population_or_measure_not_comparable;reset_schedule:unarchived_vintage;fixed_quantities:unavailable;fixed_quantities:unavailable_at_cutoff;fixed_quantities:population_or_measure_not_comparable;fixed_quantities:unarchived_vintage;tariff_components:unavailable;tariff_components:unavailable_at_cutoff;tariff_components:population_or_measure_not_comparable;tariff_components:unarchived_vintage;cpi_mapping:unavailable;cpi_mapping:unavailable_at_cutoff;cpi_mapping:population_or_measure_not_comparable;cpi_mapping:unarchived_vintage;item_weights:unavailable;item_weights:unavailable_at_cutoff;item_weights:population_or_measure_not_comparable;item_weights:unarchived_vintage;baseline_energy:unavailable;baseline_energy:unavailable_at_cutoff;baseline_energy:population_or_measure_not_comparable;baseline_energy:unarchived_vintage
gas,2022-11-30,False,,cohort_shares:unavailable;cohort_shares:unavailable_at_cutoff;cohort_shares:population_or_measure_not_comparable;cohort_shares:unarchived_vintage;reset_schedule:unavailable;reset_schedule:unavailable_at_cutoff;reset_schedule:population_or_measure_not_comparable;reset_schedule:unarchived_vintage;fixed_quantities:unavailable;fixed_quantities:unavailable_at_cutoff;fixed_quantities:population_or_measure_not_comparable;fixed_quantities:unarchived_vintage;tariff_components:unavailable;tariff_components:unavailable_at_cutoff;tariff_components:population_or_measure_not_comparable;tariff_components:unarchived_vintage;cpi_mapping:unavailable;cpi_mapping:unavailable_at_cutoff;cpi_mapping:population_or_measure_not_comparable;cpi_mapping:unarchived_vintage;item_weights:unavailable;item_weights:unavailable_at_cutoff;item_weights:population_or_measure_not_comparable;item_weights:unarchived_vintage;baseline_energy:unavailable;baseline_energy:unavailable_at_cutoff;baseline_energy:population_or_measure_not_comparable;baseline_energy:unarchived_vintage
gas,2025-12-31,False,,cohort_shares:unavailable;cohort_shares:unavailable_at_cutoff;cohort_shares:population_or_measure_not_comparable;cohort_shares:unarchived_vintage;reset_schedule:unavailable;reset_schedule:unavailable_at_cutoff;reset_schedule:population_or_measure_not_comparable;reset_schedule:unarchived_vintage;fixed_quantities:unavailable;fixed_quantities:unavailable_at_cutoff;fixed_quantities:population_or_measure_not_comparable;fixed_quantities:unarchived_vintage;tariff_components:unavailable;tariff_components:unavailable_at_cutoff;tariff_components:population_or_measure_not_comparable;tariff_components:unarchived_vintage;cpi_mapping:unavailable;cpi_mapping:unavailable_at_cutoff;cpi_mapping:population_or_measure_not_comparable;cpi_mapping:unarchived_vintage;item_weights:unavailable;item_weights:unavailable_at_cutoff;item_weights:population_or_measure_not_comparable;item_weights:unarchived_vintage;baseline_energy:unavailable;baseline_energy:unavailable_at_cutoff;baseline_energy:population_or_measure_not_comparable;baseline_energy:unarchived_vintage
gas,2026-09-15,False,,cohort_shares:unavailable;cohort_shares:unavailable_at_cutoff;cohort_shares:population_or_measure_not_comparable;cohort_shares:unarchived_vintage;reset_schedule:unavailable;reset_schedule:unavailable_at_cutoff;reset_schedule:population_or_measure_not_comparable;reset_schedule:unarchived_vintage;fixed_quantities:unavailable;fixed_quantities:unavailable_at_cutoff;fixed_quantities:population_or_measure_not_comparable;fixed_quantities:unarchived_vintage;tariff_components:unavailable;tariff_components:unavailable_at_cutoff;tariff_components:population_or_measure_not_comparable;tariff_components:unarchived_vintage;cpi_mapping:unavailable;cpi_mapping:unavailable_at_cutoff;cpi_mapping:population_or_measure_not_comparable;cpi_mapping:unarchived_vintage;item_weights:unavailable;item_weights:unavailable_at_cutoff;item_weights:population_or_measure_not_comparable;item_weights:unarchived_vintage;baseline_energy:unavailable;baseline_energy:unavailable_at_cutoff;baseline_energy:population_or_measure_not_comparable;baseline_energy:unarchived_vintage
