month,footwear
2015-01,95
2015-02,93.200000000000003
2015-03,94.799999999999997
2015-04,101.59999999999999
2015-05,101.7
2015-06,101.5
2015-07,98.400000000000006
2015-08,96.400000000000006
2015-09,100.7
2015-10,105.59999999999999
2015-11,106
2015-12,105
2016-01,101
2016-02,100.2
2016-03,101.3
2016-04,107.40000000000001
2016-05,106.8
2016-06,106.8
2016-07,103.09999999999999
2016-08,101.40000000000001
2016-09,104.5
2016-10,110.40000000000001
2016-11,110.09999999999999
2016-12,109.09999999999999
2017-01,104.5
2017-02,103
2017-03,104.09999999999999
2017-04,110.8
2017-05,111.2
2017-06,110.3
2017-07,107.40000000000001
2017-08,106
2017-09,108.2
2017-10,113.09999999999999
2017-11,113
2017-12,111.7
2018-01,107.5
2018-02,105.90000000000001
2018-03,108.09999999999999
2018-04,114.3
2018-05,113.59999999999999
2018-06,112.8
2018-07,109.7
2018-08,107.90000000000001
2018-09,109.8
2018-10,112.2
2018-11,115.2
2018-12,114.59999999999999
2019-01,112.3
2019-02,110.90000000000001
2019-03,111.7
2019-04,115.3
2019-05,115.2
2019-06,114.8
2019-07,112.09999999999999
2019-08,111.5
2019-09,113
2019-10,115.09999999999999
2019-11,115.59999999999999
2019-12,116.09999999999999
2020-01,114.09999999999999
2020-02,115.09999999999999
2020-03,115.40000000000001
2020-04,117.59999999999999
2020-05,117.59999999999999
2020-06,117.09999999999999
2020-07,114
2020-08,113.5
2020-09,115.09999999999999
2020-10,118.8
2020-11,118.5
2020-12,118.3
2021-01,118.40000000000001
2021-02,118.2
2021-03,119.40000000000001
2021-04,121.90000000000001
2021-05,122.2
2021-06,122.8
2021-07,121.3
2021-08,123
2021-09,126.5
2021-10,131.59999999999999
2021-11,133.5
2021-12,134.40000000000001
2022-01,134.19999999999999
2022-02,135.5
2022-03,137.69999999999999
2022-04,140.30000000000001
2022-05,142.5
2022-06,143.30000000000001
2022-07,139.69999999999999
2022-08,141
2022-09,145.19999999999999
2022-10,151.59999999999999
2022-11,152.90000000000001
2022-12,154
2023-01,152.90000000000001
2023-02,153.40000000000001
2023-03,154.69999999999999
2023-04,156.40000000000001
2023-05,157.5
2023-06,157.40000000000001
2023-07,154.5
2023-08,155
2023-09,157.59999999999999
2023-10,162.30000000000001
2023-11,163
2023-12,161.80000000000001
2024-01,160.90000000000001
2024-02,161.19999999999999
2024-03,162.69999999999999
2024-04,161.59999999999999
2024-05,160.90000000000001
2024-06,160.40000000000001
2024-07,157.5
2024-08,156.40000000000001
2024-09,157.19999999999999
2024-10,159.09999999999999
2024-11,159.80000000000001
2024-12,158.59999999999999
2025-01,154.59999999999999
2025-02,153.59999999999999
2025-03,154.69999999999999
2025-04,155.19999999999999
2025-05,156.40000000000001
2025-06,156.40000000000001
2025-07,151.69999999999999
2025-08,149.5
2025-09,151.30000000000001
2025-10,154.5
2025-11,154.19999999999999
2025-12,152.90000000000001
2026-01,149.90000000000001
2026-02,148.69999999999999
2026-03,148.80000000000001
2026-04,148.80000000000001
2026-05,148.90000000000001
2026-06,148.90000000000001
2026-07,145.40000000000001
