origin,h,target,as_of_utc,model,mm_forecast,mm_actual,yy_actual,yy_exante,cumulative_log_forecast,cumulative_log_actual,core_mm_forecast,core_mm_actual,core_cumulative_log_forecast,core_cumulative_log_actual,previous_origin,previous_h,previous_forecast,revision
2019-03,0,2019-03,2019-04-09T21:59:00+00:00,DAMPED_P95_Q001_R16,0.0994602395416571,0.1863932898415576,2.969348659003822,2.8800008017511463,0.0,0.0,,-0.1,,,2019-02,1.0,3.002338236620428,-0.12233743486928184
2019-03,1,2019-04,2019-04-09T21:59:00+00:00,DAMPED_P95_Q001_R16,0.34799962806220097,0.0930232558139509,2.769818529130847,2.94221186824725,0.34739551050208856,0.09298001599665273,0.4956782191150255,0.4,0.4944537791517014,0.39920212695374535,2019-02,2.0,3.028433650819742,-0.0862217825724918
2019-04,0,2019-04,2019-05-12T21:59:00+00:00,DAMPED_P95_Q001_R16,0.3871075486743048,0.0930232558139509,2.769818529130847,3.0717675404249056,0.0,0.0,,0.4,,,2019-03,1.0,2.94221186824725,0.12955567217765562
2019-03,2,2019-05,2019-04-09T21:59:00+00:00,DAMPED_P95_Q001_R16,0.23729188285416716,0.6505576208178487,2.9467680608364977,2.696055317443029,0.58440630075338,0.7414306439227463,0.2152689803385136,0.1,0.7094913878088766,0.49915216026209863,2019-02,3.0,2.797516574469725,-0.10146125702669595
2019-04,1,2019-05,2019-05-12T21:59:00+00:00,DAMPED_P95_Q001_R16,0.24510006706895954,0.6505576208178487,2.9467680608364977,2.8333109770437632,0.24480018675918092,0.6484506279260935,0.1407508475636263,0.1,0.14065188640640514,0.09995003330835331,2019-03,2.0,2.696055317443029,0.13725565960073416
2019-05,0,2019-05,2019-06-10T21:59:00+00:00,DAMPED_P95_Q001_R16,0.2254766707170906,0.6505576208178487,2.9467680608364977,2.5119894464748858,0.0,0.0,,0.1,,,2019-04,1.0,2.8333109770437632,-0.32132153056887747
2019-03,3,2019-06,2019-04-09T21:59:00+00:00,DAMPED_P95_Q001_R16,0.16670660580465757,0.1846722068328699,2.7462121212121224,2.477607726976361,0.7509741053350703,0.925932541279676,0.28571479139206646,0.3,0.9947987902866232,0.7987030582419465,2019-02,4.0,2.5950212436200717,-0.11741351664371091
2019-04,2,2019-06,2019-05-12T21:59:00+00:00,DAMPED_P95_Q001_R16,0.12521766350190255,0.1846722068328699,2.7462121212121224,2.5720685810237844,0.36993951832827765,0.8329525252830231,0.21243955703988165,0.3,0.35286610969489285,0.3995009312882012,2019-03,3.0,2.477607726976361,0.09446085404742366
2019-05,1,2019-06,2019-06-10T21:59:00+00:00,DAMPED_P95_Q001_R16,0.16464787099765366,0.1846722068328699,2.7462121212121224,2.2918309316817034,0.16451247498792484,0.18450189735692968,0.2028104532701533,0.3,0.2026050705152908,0.2995508979798479,2019-04,2.0,2.5720685810237844,-0.28023764934208106
2019-06,0,2019-06,2019-07-10T21:59:00+00:00,DAMPED_P95_Q001_R16,0.1241032984628462,0.1846722068328699,2.7462121212121224,2.684094575980366,0.0,0.0,,0.3,,,2019-05,1.0,2.2918309316817034,0.3922636442986627
2019-03,4,2019-07,2019-04-09T21:59:00+00:00,DAMPED_P95_Q001_R16,0.3320908888762051,0.3686635944700533,2.9300567107750517,2.6235637153090687,1.0825147902006529,1.2939182371197377,0.5530706543732695,1.0,1.5463456248677185,1.7937361435587549,2019-02,5.0,2.759494916340442,-0.13593120103137313
