metric,h,sample,model,n,rmse,mae,bias
core_cumulative_log,1,origins_2024plus,STABLE_LOCAL_CORE_R14B,30,0.13900084325889359,0.11212448834274384,-0.01756319853331349
core_cumulative_log,1,origins_2024plus,DAMPED_P95_Q001_R16,30,0.17029552289581987,0.1397333901045734,-0.03898143067027366
core_cumulative_log,1,origins_2024plus,FOOD_ZERO_DRIFT_R24,30,0.17048564447694134,0.14288391723511473,-0.009708649472456182
core_cumulative_log,1,origins_2024plus,FOOD_ROBUST_WINDOW_R24,30,0.17048564447694134,0.14288391723511473,-0.009708649472456182
core_cumulative_log,1,origins_2024plus,FOOD_NORM_SHIFT_R24,30,0.17048564447694134,0.14288391723511473,-0.009708649472456182
core_cumulative_log,1,origins_2024plus,FOOD_NORM_REFIT_R24,30,0.17048564447694134,0.14288391723511473,-0.009708649472456182
headline_yy,2,full,STATE_FAST_R15,86,1.2306147916797072,0.771946075999089,-0.19551718237744894
headline_yy,2,full,STABLE_LOCAL_CORE_R14B,86,1.256909811252551,0.7910717235654415,-0.19518882731172776
headline_yy,2,full,DAMPED_P95_Q001_R16,86,1.2208942508595748,0.76627087078501,-0.19187379912706823
headline_yy,2,full,FOOD_ZERO_DRIFT_R24,86,1.2481168036021448,0.7802967359540371,-0.3126842889208943
headline_yy,2,full,FOOD_ROBUST_WINDOW_R24,86,1.2302572929287445,0.7675931980453379,-0.2161510724053802
headline_yy,2,full,FOOD_NORM_SHIFT_R24,86,1.2300739986205527,0.7658526367435927,-0.23016117079271237
headline_yy,2,full,FOOD_NORM_REFIT_R24,86,1.2293990999089965,0.7669042908852446,-0.22588834439969424
headline_yy,2,origins_2019_2021,STATE_FAST_R15,33,0.6507805134382443,0.528272163492732,-0.23820879753171656
headline_yy,2,origins_2019_2021,STABLE_LOCAL_CORE_R14B,33,0.6715256253827381,0.5399238234903582,-0.3020387826498534
headline_yy,2,origins_2019_2021,DAMPED_P95_Q001_R16,33,0.6512164855099604,0.5279211971990048,-0.2345757674198062
headline_yy,2,origins_2019_2021,FOOD_ZERO_DRIFT_R24,33,0.6787864238759598,0.5561328252853879,-0.31079873855541224
headline_yy,2,origins_2019_2021,FOOD_ROBUST_WINDOW_R24,33,0.6470626651433342,0.5265069718568653,-0.22663680026142155
headline_yy,2,origins_2019_2021,FOOD_NORM_SHIFT_R24,33,0.6464852657553292,0.5246967908094115,-0.23105643038678492
headline_yy,2,origins_2019_2021,FOOD_NORM_REFIT_R24,33,0.6464982639193678,0.5246652120099952,-0.23103447432534183
headline_yy,2,origins_2022_2023,STATE_FAST_R15,24,2.1467412565408686,1.6097408718252677,-0.43800256403830556
headline_yy,2,origins_2022_2023,STABLE_LOCAL_CORE_R14B,24,2.2000618671959464,1.691219244395409,-0.3380753803595271
headline_yy,2,origins_2022_2023,DAMPED_P95_Q001_R16,24,2.127102411015118,1.5959050068704947,-0.3854400257667705
headline_yy,2,origins_2022_2023,FOOD_ZERO_DRIFT_R24,24,2.169435277233539,1.6200973215892727,-0.5874208962036442
headline_yy,2,origins_2022_2023,FOOD_ROBUST_WINDOW_R24,24,2.1484654478680567,1.6083654061959434,-0.4796933149970677
headline_yy,2,origins_2022_2023,FOOD_NORM_SHIFT_R24,24,2.14813543648432,1.6064136248830325,-0.49861692081527514
headline_yy,2,origins_2022_2023,FOOD_NORM_REFIT_R24,24,2.1465137096785227,1.6082792168315763,-0.49072263655340304
headline_yy,2,origins_2024plus,STATE_FAST_R15,29,0.44176531303019445,0.3558827660984506,0.053740488655357646
headline_yy,2,origins_2024plus,STABLE_LOCAL_CORE_R14B,29,0.4075554669595924,0.3319110408950458,0.04464999335397326
headline_yy,2,origins_2024plus,DAMPED_P95_Q001_R16,29,0.43966406860860563,0.35090259362247717,0.016910835114766532
headline_yy,2,origins_2024plus,FOOD_ZERO_DRIFT_R24,29,0.44763163473051815,0.340372425499546,-0.08746168848209805
headline_yy,2,origins_2024plus,FOOD_ROBUST_WINDOW_R24,29,0.43807473745323156,0.3461212142041339,0.013884887644615205
headline_yy,2,origins_2024plus,FOOD_NORM_SHIFT_R24,29,0.43885704112842444,0.34463467813950416,-0.006972151235956909
headline_yy,2,origins_2024plus,FOOD_NORM_REFIT_R24,29,0.4397929730947852,0.34624537296011615,-0.0008591961501984407
core_cumulative_log,2,full,STATE_FAST_R15,86,0.5711417488423787,0.43422287807503945,-0.007832933942105352
core_cumulative_log,2,full,STABLE_LOCAL_CORE_R14B,86,0.7032430386708078,0.5224411894934649,-0.008168097533304313
core_cumulative_log,2,full,DAMPED_P95_Q001_R16,86,0.5868376192092271,0.4437459204065465,-0.005341805215503268
core_cumulative_log,2,full,FOOD_ZERO_DRIFT_R24,86,0.5711417488423787,0.43422287807503945,-0.007832933942105352
core_cumulative_log,2,full,FOOD_ROBUST_WINDOW_R24,86,0.5711417488423787,0.43422287807503945,-0.007832933942105352
core_cumulative_log,2,full,FOOD_NORM_SHIFT_R24,86,0.5711417488423787,0.43422287807503945,-0.007832933942105352
core_cumulative_log,2,full,FOOD_NORM_REFIT_R24,86,0.5711417488423787,0.43422287807503945,-0.007832933942105352
core_cumulative_log,2,origins_2019_2021,STATE_FAST_R15,33,0.7083138334799606,0.5589499388190345,-0.24736144558764542
core_cumulative_log,2,origins_2019_2021,STABLE_LOCAL_CORE_R14B,33,0.8011980546492335,0.633086994593695,-0.356124046727403
core_cumulative_log,2,origins_2019_2021,DAMPED_P95_Q001_R16,33,0.7052613789298415,0.5538679697452269,-0.240953244403466
core_cumulative_log,2,origins_2019_2021,FOOD_ZERO_DRIFT_R24,33,0.7083138334799606,0.5589499388190345,-0.24736144558764542
core_cumulative_log,2,origins_2019_2021,FOOD_ROBUST_WINDOW_R24,33,0.7083138334799606,0.5589499388190345,-0.24736144558764542
core_cumulative_log,2,origins_2019_2021,FOOD_NORM_SHIFT_R24,33,0.7083138334799606,0.5589499388190345,-0.24736144558764542
core_cumulative_log,2,origins_2019_2021,FOOD_NORM_REFIT_R24,33,0.7083138334799606,0.5589499388190345,-0.24736144558764542
core_cumulative_log,2,origins_2022_2023,STATE_FAST_R15,24,0.6318645745524802,0.5373869312080406,0.3264934436318806
core_cumulative_log,2,origins_2022_2023,STABLE_LOCAL_CORE_R14B,24,0.917883609673349,0.821761681414869,0.49474747293224053
core_cumulative_log,2,origins_2022_2023,DAMPED_P95_Q001_R16,24,0.6845833477971235,0.5747611128500755,0.40830736486410024
core_cumulative_log,2,origins_2022_2023,FOOD_ZERO_DRIFT_R24,24,0.6318645745524802,0.5373869312080406,0.3264934436318806
core_cumulative_log,2,origins_2022_2023,FOOD_ROBUST_WINDOW_R24,24,0.6318645745524802,0.5373869312080406,0.3264934436318806
core_cumulative_log,2,origins_2022_2023,FOOD_NORM_SHIFT_R24,24,0.6318645745524802,0.5373869312080406,0.3264934436318806
core_cumulative_log,2,origins_2022_2023,FOOD_NORM_REFIT_R24,24,0.6318645745524802,0.5373869312080406,0.3264934436318806
core_cumulative_log,2,origins_2024plus,STATE_FAST_R15,29,0.2569718172141548,0.20691493739421624,-0.011949905579099777
core_cumulative_log,2,origins_2024plus,STABLE_LOCAL_CORE_R14B,29,0.1972058254761122,0.14882038347893722,-0.028424213663229083
core_cumulative_log,2,origins_2024plus,DAMPED_P95_Q001_R16,29,0.25963155560894513,0.2100082567230586,-0.07956258413645893
core_cumulative_log,2,origins_2024plus,FOOD_ZERO_DRIFT_R24,29,0.2569718172141548,0.20691493739421624,-0.011949905579099777
core_cumulative_log,2,origins_2024plus,FOOD_ROBUST_WINDOW_R24,29,0.2569718172141548,0.20691493739421624,-0.011949905579099777
core_cumulative_log,2,origins_2024plus,FOOD_NORM_SHIFT_R24,29,0.2569718172141548,0.20691493739421624,-0.011949905579099777
core_cumulative_log,2,origins_2024plus,FOOD_NORM_REFIT_R24,29,0.2569718172141548,0.20691493739421624,-0.011949905579099777
headline_yy,3,full,STATE_FAST_R15,84,1.4591809877871644,0.971408578467714,-0.33066172217571593
headline_yy,3,full,STABLE_LOCAL_CORE_R14B,84,1.537322537940186,1.0295519869798235,-0.33105531652931086
headline_yy,3,full,DAMPED_P95_Q001_R16,84,1.4387260776011894,0.9611615217245812,-0.3247589339317813
headline_yy,3,full,FOOD_ZERO_DRIFT_R24,84,1.4939760187526496,0.9847140945399612,-0.5069451296784626
headline_yy,3,full,FOOD_ROBUST_WINDOW_R24,84,1.4564279406573775,0.9616863397459209,-0.36207350254869697
headline_yy,3,full,FOOD_NORM_SHIFT_R24,84,1.4566126181768873,0.9615981484589164,-0.3831352738870728
headline_yy,3,full,FOOD_NORM_REFIT_R24,84,1.4560091034414882,0.9627203163153791,-0.377912352352579
headline_yy,3,origins_2019_2021,STATE_FAST_R15,32,1.0750436763602103,0.8114943236644184,-0.501449847784461
headline_yy,3,origins_2019_2021,STABLE_LOCAL_CORE_R14B,32,1.1852573752294795,0.8607205158174454,-0.6021700755367408
headline_yy,3,origins_2019_2021,DAMPED_P95_Q001_R16,32,1.069632347260663,0.8032704784878069,-0.4941736835924395
headline_yy,3,origins_2019_2021,FOOD_ZERO_DRIFT_R24,32,1.1269121418556043,0.8504533647305839,-0.6111032592529865
headline_yy,3,origins_2019_2021,FOOD_ROBUST_WINDOW_R24,32,1.0665965052594284,0.8034158401130576,-0.48409443207578423
headline_yy,3,origins_2019_2021,FOOD_NORM_SHIFT_R24,32,1.0664926790533533,0.8037084570233414,-0.4912592986901262
headline_yy,3,origins_2019_2021,FOOD_NORM_REFIT_R24,32,1.0665062348071237,0.8037580443537562,-0.4912178961567504
headline_yy,3,origins_2022_2023,STATE_FAST_R15,24,2.3661145205860223,1.820949214884264,-0.5732818758347792
headline_yy,3,origins_2022_2023,STABLE_LOCAL_CORE_R14B,24,2.4777373211549114,2.006779478310443,-0.42646180821483465
headline_yy,3,origins_2022_2023,DAMPED_P95_Q001_R16,24,2.3262024837850555,1.8063032643721246,-0.489471922460466
headline_yy,3,origins_2022_2023,FOOD_ZERO_DRIFT_R24,24,2.4060359199766785,1.835171470670821,-0.7959765192215397
headline_yy,3,origins_2022_2023,FOOD_ROBUST_WINDOW_R24,24,2.367046096711282,1.8155812448671806,-0.6354169330805545
headline_yy,3,origins_2022_2023,FOOD_NORM_SHIFT_R24,24,2.3669763562358446,1.8143038530240363,-0.6635573816140173
headline_yy,3,origins_2022_2023,FOOD_NORM_REFIT_R24,24,2.365382800941574,1.816015057236326,-0.6540994966550183
headline_yy,3,origins_2024plus,STATE_FAST_R15,28,0.517777318612281,0.42599003845729394,0.07248483879918978
headline_yy,3,origins_2024plus,STABLE_LOCAL_CORE_R14B,28,0.47159282356793614,0.3848786757391532,0.0605671152096295
headline_yy,3,origins_2024plus,DAMPED_P95_Q001_R16,28,0.5138610726515733,0.41720122029728623,0.010040484419272173
headline_yy,3,origins_2024plus,FOOD_ZERO_DRIFT_R24,28,0.5315409329443647,0.4091914633527979,-0.14016607627065467
