scope,sample,model,n,mae,rmse,bias,max_abs
all_models_common,full,DAMPED_P95_Q001_R16,1068,0.6228023984990572,0.9428791849754131,0.1086977690439472,4.273998577958542
all_models_common,full,FOOD_NORM_REFIT_R24,1068,0.6267094757126508,0.9462097625040359,0.12542924013412413,4.249768147632555
all_models_common,full,FOOD_NORM_SHIFT_R24,1068,0.6265597238120748,0.9467633810933029,0.1258382886017578,4.249625638521474
all_models_common,full,FOOD_ROBUST_WINDOW_R24,1068,0.6290582253542066,0.9477492253948347,0.12012092568320844,4.232406125544044
all_models_common,full,FOOD_ZERO_DRIFT_R24,1068,0.6290182961801676,0.9508152373874011,0.16643849958164433,4.277067845245436
all_models_common,full,STABLE_LOCAL_CORE_R14B,1068,0.5264851881805831,0.885102657404148,0.1135142137184415,4.33150934331243
all_models_common,full,STATE_FAST_R15,1068,0.6314444686001951,0.9523214613072183,0.11154790218333249,4.234760960919994
all_models_common,origins_2019_2021,DAMPED_P95_Q001_R16,408,0.6112747717117263,0.9158847839378287,0.22963368053618358,4.273998577958542
all_models_common,origins_2019_2021,FOOD_NORM_REFIT_R24,408,0.6177106794949465,0.919200895304637,0.225675644261739,4.249768147632555
all_models_common,origins_2019_2021,FOOD_NORM_SHIFT_R24,408,0.6177134805263931,0.91916143691118,0.2256912181967208,4.249625638521474
all_models_common,origins_2019_2021,FOOD_ROBUST_WINDOW_R24,408,0.6198500915616069,0.918442287848957,0.22375631997846376,4.232406125544044
all_models_common,origins_2019_2021,FOOD_ZERO_DRIFT_R24,408,0.6228844608304781,0.9277158305719433,0.2649232961559639,4.277067845245436
all_models_common,origins_2019_2021,STABLE_LOCAL_CORE_R14B,408,0.4350221096703633,0.7791362651065847,0.2197806788923689,4.33150934331243
all_models_common,origins_2019_2021,STATE_FAST_R15,408,0.6207337336672769,0.9223787661639866,0.23107447629795383,4.234760960919994
all_models_common,origins_2022_2023,DAMPED_P95_Q001_R16,288,0.9931106666332651,1.3536710780821208,0.07659597817991018,3.7743035226709445
all_models_common,origins_2022_2023,FOOD_NORM_REFIT_R24,288,0.9900768920887464,1.3547949341667245,0.1543182800129997,3.852661565722503
all_models_common,origins_2022_2023,FOOD_NORM_SHIFT_R24,288,0.9902568450730046,1.3566376132498128,0.1551252636476782,3.866339535400355
all_models_common,origins_2022_2023,FOOD_ROBUST_WINDOW_R24,288,0.9929771681781019,1.3594032398679274,0.15161228715108993,3.856813870519023
all_models_common,origins_2022_2023,FOOD_ZERO_DRIFT_R24,288,0.9909707859113852,1.3591535966611772,0.1970992923819059,3.911063122702414
all_models_common,origins_2022_2023,STABLE_LOCAL_CORE_R14B,288,0.9799888568949133,1.3734079288224592,0.15669153366053207,3.717992482783762
all_models_common,origins_2022_2023,STATE_FAST_R15,288,1.0010679110301393,1.3673886862840698,0.13625211091610795,3.8545062228261617
all_models_common,origins_2024plus,DAMPED_P95_Q001_R16,372,0.3487553299683557,0.4622506594634458,0.0009113816246198633,1.4534726704095868
all_models_common,origins_2024plus,FOOD_NORM_REFIT_R24,372,0.3552624137247687,0.4719197633935645,-0.006884137202389378,1.4479176763457855
all_models_common,origins_2024plus,FOOD_NORM_SHIFT_R24,372,0.3546900903104898,0.4710928252606541,-0.00635161486052711,1.4392761467990731
all_models_common,origins_2024plus,FOOD_ROBUST_WINDOW_R24,372,0.35741377119855855,0.4721488561683532,-0.01792410919639921,1.3860285338523899
all_models_common,origins_2024plus,FOOD_ZERO_DRIFT_R24,372,0.35552444612662654,0.47051534173609716,0.03468552826767199,1.473716812648207
all_models_common,origins_2024plus,STABLE_LOCAL_CORE_R14B,372,0.2756999178645685,0.35073197916155735,-0.0364637054597426,0.9882826696282243
all_models_common,origins_2024plus,STATE_FAST_R15,372,0.3570316418066646,0.47229320711346445,-0.03867159876775586,1.4093403681989385
all_models_common,recent_targets,DAMPED_P95_Q001_R16,438,0.3987748052534871,0.5380714521948935,-0.06568038749611725,2.515383566650272
all_models_common,recent_targets,FOOD_NORM_REFIT_R24,438,0.40099767878557896,0.5359243470425344,-0.061240047131783854,2.366265006908931
all_models_common,recent_targets,FOOD_NORM_SHIFT_R24,438,0.40011339499360654,0.5339064908432454,-0.060476984323274606,2.3291454784772503
all_models_common,recent_targets,FOOD_ROBUST_WINDOW_R24,438,0.4033334708340565,0.5365281540135526,-0.07178854384681665,2.339822957001559
all_models_common,recent_targets,FOOD_ZERO_DRIFT_R24,438,0.3989533867614477,0.5288986132515424,-0.01933121830002286,2.279563546623725
all_models_common,recent_targets,STABLE_LOCAL_CORE_R14B,438,0.33131350472668697,0.45174658702758075,-0.12642699839117374,2.130223784714844
all_models_common,recent_targets,STATE_FAST_R15,438,0.40466663896334754,0.5416475151430531,-0.09439615244350633,2.4251844983739628
