model,H,sample,n,model_rmse,zero_rmse,seasonal_rmse,model_bias,seasonal_bias,forecast_actual_correlation,rmse_vs_baseline_pct
DAMPED_P95_Q001_R16,3,full,87,2.196451677971852,2.8154627697953862,2.7555644279578053,-0.2154631160010125,0.1776457489104556,0.5399946584972571,0.0
DAMPED_P95_Q001_R16,3,origins_2019_2021,35,1.7758542356669147,2.532626713060996,1.7871522543487208,-0.4523728877392929,-0.3585537820728339,0.7664035289680308,0.0
DAMPED_P95_Q001_R16,3,origins_2022_2023,24,3.299491592188676,4.150223363240264,4.425411414373385,-0.6113487268268453,-0.3492133572543405,0.437158645825901,0.0
DAMPED_P95_Q001_R16,3,origins_2024plus,28,1.3101974221597303,1.3595276934648135,1.6775132825052104,0.4200046222368376,1.299488682209393,0.4861015415093754,0.0
DAMPED_P95_Q001_R16,6,full,84,4.192403777069995,5.0577643456562935,5.011051453069364,-0.4115023030429866,0.3755905819996967,0.3763091380146488,0.0
DAMPED_P95_Q001_R16,6,origins_2019_2021,35,3.95670995790072,5.130596042368289,3.749623850706862,-1.3979696457828603,-1.1377816882498797,0.670252378435791,0.0
DAMPED_P95_Q001_R16,6,origins_2022_2023,24,5.695128224909846,6.765832900044778,7.627527195566095,-0.5492746311940558,0.311408526661056,0.2803900614489182,0.0
DAMPED_P95_Q001_R16,6,origins_2024plus,25,2.44975852671233,2.2703383677282165,2.972571999228083,1.1018134118178629,2.5559265334741985,0.335707471476498,0.0
DAMPED_P95_Q001_R16,12,full,78,7.842109557539443,8.826950490512017,8.88976440121923,-1.1740059933903688,0.5627561747196344,-0.1403386292017931,0.0
DAMPED_P95_Q001_R16,12,origins_2019_2021,35,8.618549075682422,10.040841545235793,8.496103769844556,-4.451572667060606,-3.973285617779133,-0.110782901986275,0.0
DAMPED_P95_Q001_R16,12,origins_2022_2023,24,8.834515872395777,9.767098189083166,11.164238395719408,0.8513964142558258,3.360184612084641,0.0862396084705694,0.0
