model,H,sample,n,model_rmse,zero_rmse,seasonal_rmse,model_bias,seasonal_bias,forecast_actual_correlation,rmse_vs_baseline_pct
DAMPED_P95_Q001_R16,12,origins_2024plus,19,4.129167990823488,3.6936492824196776,5.832664540430154,2.305213785291189,5.385028818966826,-0.5747009379513689,0.0
FOOD_NORM_REFIT_R24,3,full,87,2.155057762463599,2.8154627697953862,2.7555644279578053,-0.4519839581772419,0.1776457489104556,0.597328204660356,-1.8845812053773559
FOOD_NORM_REFIT_R24,3,origins_2019_2021,35,1.7301802075978905,2.532626713060996,1.7871522543487208,-0.3858865835653478,-0.3585537820728339,0.7878664646177489,-2.5719469059841793
FOOD_NORM_REFIT_R24,3,origins_2022_2023,24,3.258301796583886,4.150223363240264,4.425411414373385,-1.0225347252863004,-0.3492133572543405,0.5300387554728881,-1.2483679516657742
FOOD_NORM_REFIT_R24,3,origins_2024plus,28,1.260410588736961,1.3595276934648135,1.6775132825052104,-0.0455621617772025,1.299488682209393,0.469286353127149,-3.7999489680494603
FOOD_NORM_REFIT_R24,6,full,84,4.039064281997142,5.0577643456562935,5.011051453069364,-0.8949808821878552,0.3755905819996967,0.5090000792874562,-3.6575555033971363
FOOD_NORM_REFIT_R24,6,origins_2019_2021,35,3.8615500984284106,5.130596042368289,3.749623850706862,-1.2648556338958985,-1.1377816882498797,0.7122594012062673,-2.405024894035901
FOOD_NORM_REFIT_R24,6,origins_2022_2023,24,5.496654069596545,6.765832900044778,7.627527195566095,-1.4125733507017344,0.311408526661056,0.4508483353946677,-3.4849813292209597
FOOD_NORM_REFIT_R24,6,origins_2024plus,25,2.2213286048830976,2.2703383677282165,2.972571999228083,0.1197325399767293,2.5559265334741985,0.3132805910009947,-9.324589315167897
FOOD_NORM_REFIT_R24,12,full,78,7.379500064431333,8.826950490512017,8.88976440121923,-2.1082922141202274,0.5627561747196344,0.2671684303351129,-5.899043997202957
FOOD_NORM_REFIT_R24,12,origins_2019_2021,35,8.395477163278466,10.040841545235793,8.496103769844556,-4.18626197630902,-3.973285617779133,0.3402112647087581,-2.5882768717226723
FOOD_NORM_REFIT_R24,12,origins_2022_2023,24,8.06111657723115,9.767098189083166,11.164238395719408,-0.932750823241813,3.360184612084641,0.4385842804263269,-8.754291761263122
FOOD_NORM_REFIT_R24,12,origins_2024plus,19,3.41165150918884,3.6936492824196776,5.832664540430154,0.2346524330127098,5.385028818966826,-0.5879734829217405,-17.376781066530366
FOOD_NORM_SHIFT_R24,3,full,87,2.1522067820338973,2.8154627697953862,2.7555644279578053,-0.4787349718066429,0.1776457489104556,0.6049105475001014,-2.0143805748920274
FOOD_NORM_SHIFT_R24,3,origins_2019_2021,35,1.7301763729908668,2.532626713060996,1.7871522543487208,-0.386369555631089,-0.3585537820728339,0.7877121831499562,-2.5721628362641913
FOOD_NORM_SHIFT_R24,3,origins_2022_2023,24,3.2515661483198777,4.150223363240264,4.425411414373385,-1.070421669516555,-0.3492133572543405,0.5463687342586083,-1.452509955844672
FOOD_NORM_SHIFT_R24,3,origins_2024plus,28,1.260190503958722,1.3595276934648135,1.6775132825052104,-0.0870317154175885,1.299488682209393,0.4669690725138802,-3.8167468013008965
FOOD_NORM_SHIFT_R24,6,full,84,4.027059630537479,5.0577643456562935,5.011051453069364,-0.9256084682313842,0.3755905819996967,0.5210889272980386,-3.943898424976433
FOOD_NORM_SHIFT_R24,6,origins_2019_2021,35,3.86193482158188,5.130596042368289,3.749623850706862,-1.2659629815664526,-1.1377816882498797,0.7121089697837555,-2.395301584580234
FOOD_NORM_SHIFT_R24,6,origins_2022_2023,24,5.471912984367883,6.765832900044778,7.627527195566095,-1.4674205165734753,0.311408526661056,0.4704535881624157,-3.9194067583174785
FOOD_NORM_SHIFT_R24,6,origins_2024plus,25,2.205744297827885,2.2703383677282165,2.972571999228083,0.071027416846119,2.5559265334741985,0.3136755016334103,-9.960746180641777
FOOD_NORM_SHIFT_R24,12,full,78,7.356939139126469,8.826950490512017,8.88976440121923,-2.136633294177172,0.5627561747196344,0.2913041780945634,-6.18673349120108
FOOD_NORM_SHIFT_R24,12,origins_2019_2021,35,8.396406183611257,10.040841545235793,8.496103769844556,-4.187559338627791,-3.973285617779133,0.3409822423015989,-2.5774975592811833
FOOD_NORM_SHIFT_R24,12,origins_2022_2023,24,8.005329372888216,9.767098189083166,11.164238395719408,-0.9848953565030132,3.360184612084641,0.4652233226571776,-9.385760481776106
FOOD_NORM_SHIFT_R24,12,origins_2024plus,19,3.3731191554664446,3.6936492824196776,5.832664540430154,0.1865614980118736,5.385028818966826,-0.5852093837949573,-18.30995583219812
FOOD_ROBUST_WINDOW_R24,3,full,87,2.175231714714363,2.8154627697953862,2.7555644279578053,-0.3703968058385071,0.1776457489104556,0.5747904730187736,-0.9661019848651198
FOOD_ROBUST_WINDOW_R24,3,origins_2019_2021,35,1.7491000221417898,2.532626713060996,1.7871522543487208,-0.3546072423824082,-0.3585537820728339,0.7593846120762888,-1.5065545914627054
FOOD_ROBUST_WINDOW_R24,3,origins_2022_2023,24,3.292691663206443,4.150223363240264,4.425411414373385,-0.9244756634027907,-0.3492133572543405,0.4919128927951623,-0.20609020487675211
FOOD_ROBUST_WINDOW_R24,3,origins_2024plus,28,1.2588422928155882,1.3595276934648135,1.6775132825052104,0.0847909748964691,1.299488682209393,0.4539048903963733,-3.919648174813861
FOOD_ROBUST_WINDOW_R24,6,full,84,4.081362342617093,5.0577643456562935,5.011051453069364,-0.719052395664123,0.3755905819996967,0.468392774948334,-2.6486340619248816
FOOD_ROBUST_WINDOW_R24,6,origins_2019_2021,35,3.8874323093552623,5.130596042368289,3.749623850706862,-1.202438355069091,-1.1377816882498797,0.6695040444675682,-1.7508902417051053
FOOD_ROBUST_WINDOW_R24,6,origins_2022_2023,24,5.580745724785213,6.765832900044778,7.627527195566095,-1.1755285043459467,0.311408526661056,0.3855325889420992,-2.0084271259132924
FOOD_ROBUST_WINDOW_R24,6,origins_2024plus,25,2.2166069850913064,2.2703383677282165,2.972571999228083,0.3959050118373829,2.5559265334741985,0.3144120887719074,-9.51732748671853
FOOD_ROBUST_WINDOW_R24,12,full,78,7.400497895807835,8.826950490512017,8.88976440121923,-1.7637096902998657,0.5627561747196344,0.1842761133896802,-5.6312865625173565
FOOD_ROBUST_WINDOW_R24,12,origins_2019_2021,35,8.393367338424357,10.040841545235793,8.496103769844556,-4.060510085633068,-3.973285617779133,-0.005695663546348,-2.6127569186027433
FOOD_ROBUST_WINDOW_R24,12,origins_2022_2023,24,8.235782442404027,9.767098189083166,11.164238395719408,-0.4011113320479563,3.360184612084641,0.3637485184105544,-6.77720702118545
FOOD_ROBUST_WINDOW_R24,12,origins_2024plus,19,3.063181670726545,3.6936492824196776,5.832664540430154,0.746061532785202,5.385028818966826,0.1599012605394911,-25.816007545974195
FOOD_ZERO_DRIFT_R24,3,full,87,2.383674695623451,2.8154627697953862,2.7555644279578053,-1.1426211397299135,0.1776457489104556,0.6089440796454763,8.52388511567328
FOOD_ZERO_DRIFT_R24,3,origins_2019_2021,35,1.9769778517912504,2.532626713060996,1.7871522543487208,-1.0384936721979936,-0.3585537820728339,0.7910797688338608,11.325457466322097
FOOD_ZERO_DRIFT_R24,3,origins_2022_2023,24,3.518282968559236,4.150223363240264,4.425411414373385,-1.7426363370747244,-0.3492133572543405,0.5542096938810913,6.631063309527252
FOOD_ZERO_DRIFT_R24,3,origins_2024plus,28,1.469338149052114,1.3595276934648135,1.6775132825052104,-0.7584817335635456,1.299488682209393,0.4665632617122693,12.146316593270035
FOOD_ZERO_DRIFT_R24,6,full,84,4.508681778885476,5.0577643456562935,5.011051453069364,-2.253087730006854,0.3755905819996967,0.5279763468663122,7.544073009983876
FOOD_ZERO_DRIFT_R24,6,origins_2019_2021,35,4.456123556642533,5.130596042368289,3.749623850706862,-2.570211214700262,-1.1377816882498797,0.7175838922230361,12.621941058494524
FOOD_ZERO_DRIFT_R24,6,origins_2022_2023,24,5.950651581954919,6.765832900044778,7.627527195566095,-2.811849851689813,0.311408526661056,0.4822770553077705,4.486700684410283
FOOD_ZERO_DRIFT_R24,6,origins_2024plus,25,2.551292643938199,2.2703383677282165,2.972571999228083,-1.2727032146204411,2.5559265334741985,0.3121393584732292,4.144658182377325
FOOD_ZERO_DRIFT_R24,12,full,78,8.496704882294473,8.826950490512017,8.88976440121923,-4.789172489789812,0.5627561747196344,0.3042993798637985,8.34718413396429
FOOD_ZERO_DRIFT_R24,12,origins_2019_2021,35,9.953284548089515,10.040841545235793,8.496103769844556,-6.79605580489541,-3.973285617779133,0.3370520830513931,15.486776958468585
FOOD_ZERO_DRIFT_R24,12,origins_2022_2023,24,8.72212698689502,9.767098189083166,11.164238395719408,-3.6737540267356894,3.360184612084641,0.4740643132166876,-1.2721566990662736
FOOD_ZERO_DRIFT_R24,12,origins_2024plus,19,4.217407380726197,3.6936492824196776,5.832664540430154,-2.5012318100320754,5.385028818966826,-0.5941086848514425,2.1369774758210225
STABLE_LOCAL_CORE_R14B,3,full,87,2.196451677971852,2.8154627697953862,2.7555644279578053,-0.2154631160010125,0.1776457489104556,0.5399946584972571,0.0
STABLE_LOCAL_CORE_R14B,3,origins_2019_2021,35,1.7758542356669147,2.532626713060996,1.7871522543487208,-0.4523728877392929,-0.3585537820728339,0.7664035289680308,0.0
STABLE_LOCAL_CORE_R14B,3,origins_2022_2023,24,3.299491592188676,4.150223363240264,4.425411414373385,-0.6113487268268453,-0.3492133572543405,0.437158645825901,0.0
STABLE_LOCAL_CORE_R14B,3,origins_2024plus,28,1.3101974221597303,1.3595276934648135,1.6775132825052104,0.4200046222368376,1.299488682209393,0.4861015415093754,0.0
STABLE_LOCAL_CORE_R14B,6,full,84,4.192403777069995,5.0577643456562935,5.011051453069364,-0.4115023030429866,0.3755905819996967,0.3763091380146488,0.0
STABLE_LOCAL_CORE_R14B,6,origins_2019_2021,35,3.95670995790072,5.130596042368289,3.749623850706862,-1.3979696457828603,-1.1377816882498797,0.670252378435791,0.0
STABLE_LOCAL_CORE_R14B,6,origins_2022_2023,24,5.695128224909846,6.765832900044778,7.627527195566095,-0.5492746311940558,0.311408526661056,0.2803900614489182,0.0
STABLE_LOCAL_CORE_R14B,6,origins_2024plus,25,2.44975852671233,2.2703383677282165,2.972571999228083,1.1018134118178629,2.5559265334741985,0.335707471476498,0.0
STABLE_LOCAL_CORE_R14B,12,full,78,7.842109557539443,8.826950490512017,8.88976440121923,-1.1740059933903688,0.5627561747196344,-0.1403386292017931,0.0
STABLE_LOCAL_CORE_R14B,12,origins_2019_2021,35,8.618549075682422,10.040841545235793,8.496103769844556,-4.451572667060606,-3.973285617779133,-0.110782901986275,0.0
STABLE_LOCAL_CORE_R14B,12,origins_2022_2023,24,8.834515872395777,9.767098189083166,11.164238395719408,0.8513964142558258,3.360184612084641,0.0862396084705694,0.0
STABLE_LOCAL_CORE_R14B,12,origins_2024plus,19,4.129167990823488,3.6936492824196776,5.832664540430154,2.305213785291189,5.385028818966826,-0.5747009379513689,0.0
STATE_FAST_R15,3,full,87,2.196451677971852,2.8154627697953862,2.7555644279578053,-0.2154631160010125,0.1776457489104556,0.5399946584972571,0.0
STATE_FAST_R15,3,origins_2019_2021,35,1.7758542356669147,2.532626713060996,1.7871522543487208,-0.4523728877392929,-0.3585537820728339,0.7664035289680308,0.0
STATE_FAST_R15,3,origins_2022_2023,24,3.299491592188676,4.150223363240264,4.425411414373385,-0.6113487268268453,-0.3492133572543405,0.437158645825901,0.0
STATE_FAST_R15,3,origins_2024plus,28,1.3101974221597303,1.3595276934648135,1.6775132825052104,0.4200046222368376,1.299488682209393,0.4861015415093754,0.0
STATE_FAST_R15,6,full,84,4.192403777069995,5.0577643456562935,5.011051453069364,-0.4115023030429866,0.3755905819996967,0.3763091380146488,0.0
STATE_FAST_R15,6,origins_2019_2021,35,3.95670995790072,5.130596042368289,3.749623850706862,-1.3979696457828603,-1.1377816882498797,0.670252378435791,0.0
STATE_FAST_R15,6,origins_2022_2023,24,5.695128224909846,6.765832900044778,7.627527195566095,-0.5492746311940558,0.311408526661056,0.2803900614489182,0.0
STATE_FAST_R15,6,origins_2024plus,25,2.44975852671233,2.2703383677282165,2.972571999228083,1.1018134118178629,2.5559265334741985,0.335707471476498,0.0
STATE_FAST_R15,12,full,78,7.842109557539443,8.826950490512017,8.88976440121923,-1.1740059933903688,0.5627561747196344,-0.1403386292017931,0.0
STATE_FAST_R15,12,origins_2019_2021,35,8.618549075682422,10.040841545235793,8.496103769844556,-4.451572667060606,-3.973285617779133,-0.110782901986275,0.0
STATE_FAST_R15,12,origins_2022_2023,24,8.834515872395777,9.767098189083166,11.164238395719408,0.8513964142558258,3.360184612084641,0.0862396084705694,0.0
STATE_FAST_R15,12,origins_2024plus,19,4.129167990823488,3.6936492824196776,5.832664540430154,2.305213785291189,5.385028818966826,-0.5747009379513689,0.0
