month,house_garden_tools
2015-01,98
2015-02,99.900000000000006
2015-03,100.8
2015-04,101.40000000000001
2015-05,101.59999999999999
2015-06,101.59999999999999
2015-07,101.40000000000001
2015-08,100.40000000000001
2015-09,98.700000000000003
2015-10,98.700000000000003
2015-11,98.299999999999997
2015-12,99.200000000000003
2016-01,97.700000000000003
2016-02,98.400000000000006
2016-03,100.3
2016-04,100.2
2016-05,100.2
2016-06,99.700000000000003
2016-07,100.40000000000001
2016-08,98.200000000000003
2016-09,98.299999999999997
2016-10,99
2016-11,98.700000000000003
2016-12,99
2017-01,98.5
2017-02,98.700000000000003
2017-03,100.2
2017-04,101
2017-05,101.09999999999999
2017-06,101.09999999999999
2017-07,100.90000000000001
2017-08,97.900000000000006
2017-09,97.900000000000006
2017-10,99.200000000000003
2017-11,98.599999999999994
2017-12,98.799999999999997
2018-01,97.799999999999997
2018-02,97.400000000000006
2018-03,99.900000000000006
2018-04,100.40000000000001
2018-05,100.7
2018-06,100.40000000000001
2018-07,99.400000000000006
2018-08,97.799999999999997
2018-09,100.2
2018-10,100.3
2018-11,99.700000000000003
2018-12,99.400000000000006
2019-01,98.099999999999994
2019-02,97.700000000000003
2019-03,99.400000000000006
2019-04,98
2019-05,100.3
2019-06,100.5
2019-07,100.90000000000001
2019-08,97.299999999999997
2019-09,97.099999999999994
2019-10,99.099999999999994
2019-11,99.599999999999994
2019-12,99.5
2020-01,98.599999999999994
2020-02,98.700000000000003
2020-03,98.200000000000003
2020-04,101.40000000000001
2020-05,102.2
2020-06,101.5
2020-07,102.40000000000001
2020-08,101.59999999999999
2020-09,101.7
2020-10,105.40000000000001
2020-11,106.09999999999999
2020-12,106.90000000000001
2021-01,101.5
2021-02,101.7
2021-03,102.90000000000001
2021-04,106.40000000000001
2021-05,107.3
2021-06,107.3
2021-07,107.59999999999999
2021-08,107.8
2021-09,107.8
2021-10,108.3
2021-11,113.8
2021-12,115.5
2022-01,111.40000000000001
2022-02,111.90000000000001
2022-03,114.2
2022-04,116
2022-05,116.90000000000001
2022-06,115.40000000000001
2022-07,116.5
2022-08,116.8
2022-09,117
2022-10,122.09999999999999
2022-11,123
2022-12,123
2023-01,118
2023-02,118.3
2023-03,118.09999999999999
2023-04,119.7
2023-05,118.7
2023-06,118.8
2023-07,117.90000000000001
2023-08,117.8
2023-09,118.09999999999999
2023-10,118.09999999999999
2023-11,119
2023-12,120.2
2024-01,118.8
2024-02,118.8
2024-03,121.5
2024-04,120.5
2024-05,120.5
2024-06,120.40000000000001
2024-07,120.59999999999999
2024-08,119.7
2024-09,119.59999999999999
2024-10,120.7
2024-11,122.2
2024-12,123.09999999999999
2025-01,119.40000000000001
2025-02,119.3
2025-03,123.5
2025-04,120.59999999999999
2025-05,120.40000000000001
2025-06,119.7
2025-07,120.3
2025-08,119.5
2025-09,119.5
2025-10,119.40000000000001
2025-11,119.7
2025-12,121.59999999999999
2026-01,120.09999999999999
2026-02,121
2026-03,121.5
2026-04,121.8
2026-05,122.2
2026-06,122
2026-07,122.09999999999999
