indicator_id,period,snapshot_id,value
SFTP01M11,1995-12-31,,11.3
SFTP01M11,1996-01-31,,11.3
SFTP01M11,1996-02-29,,11.3
SFTP01M11,1996-03-31,,11.5
SFTP01M11,1996-04-30,,11.6
SFTP01M11,1996-05-31,,11.8
SFTP01M11,1996-06-30,,12.4
SFTP01M11,1996-07-31,,12.4
SFTP01M11,1996-08-31,,12.4
SFTP01M11,1996-09-30,,12.4
SFTP01M11,1996-10-31,,12.4
SFTP01M11,1996-11-30,,12.4
SFTP01M11,1996-12-31,,12.4
SFTP01M11,1997-01-31,,12.4
SFTP01M11,1997-02-28,,12.4
SFTP01M11,1997-03-31,,12.4
SFTP01M11,1997-04-30,,12.4
SFTP01M11,1997-05-31,,12.4
SFTP01M11,1997-06-30,,18.2
SFTP01M11,1997-07-31,,14.9
SFTP01M11,1997-08-31,,14.5
SFTP01M11,1997-09-30,,14.5
SFTP01M11,1997-10-31,,14.8
SFTP01M11,1997-11-30,,14.8
SFTP01M11,1997-12-31,,14.75
SFTP01M11,1998-01-31,,14.75
SFTP01M11,1998-02-28,,14.75
SFTP01M11,1998-03-31,,15.0
SFTP01M11,1998-04-30,,15.0
SFTP01M11,1998-05-31,,15.0
SFTP01M11,1998-06-30,,15.0
SFTP01M11,1998-07-31,,14.5
SFTP01M11,1998-08-31,,14.0
SFTP01M11,1998-09-30,,13.5
SFTP01M11,1998-10-31,,12.5
SFTP01M11,1998-11-30,,11.5
SFTP01M11,1998-12-31,,9.5
SFTP01M11,1999-01-31,,8.0
SFTP01M11,1999-02-28,,8.0
SFTP01M11,1999-03-31,,7.5
SFTP01M11,1999-04-30,,7.2
SFTP01M11,1999-05-31,,6.9
SFTP01M11,1999-06-30,,6.5
SFTP01M11,1999-07-31,,6.25
SFTP01M11,1999-08-31,,6.25
SFTP01M11,1999-09-30,,6.0
SFTP01M11,1999-10-31,,5.5
SFTP01M11,1999-11-30,,5.25
SFTP01M11,1999-12-31,,5.25
SFTP01M11,2000-01-31,,5.25
SFTP01M11,2000-02-29,,5.25
SFTP01M11,2000-03-31,,5.25
SFTP01M11,2000-04-30,,5.25
SFTP01M11,2000-05-31,,5.25
SFTP01M11,2000-06-30,,5.25
SFTP01M11,2000-07-31,,5.25
SFTP01M11,2000-08-31,,5.25
SFTP01M11,2000-09-30,,5.25
SFTP01M11,2000-10-31,,5.25
SFTP01M11,2000-11-30,,5.25
SFTP01M11,2000-12-31,,5.25
SFTP01M11,2001-01-31,,5.25
SFTP01M11,2001-02-28,,5.0
SFTP01M11,2001-03-31,,5.0
SFTP01M11,2001-04-30,,5.0
SFTP01M11,2001-05-31,,5.0
SFTP01M11,2001-06-30,,5.0
SFTP01M11,2001-07-31,,5.25
SFTP01M11,2001-08-31,,5.25
SFTP01M11,2001-09-30,,5.25
SFTP01M11,2001-10-31,,5.25
SFTP01M11,2001-11-30,,4.75
SFTP01M11,2001-12-31,,4.75
SFTP01M11,2002-01-31,,4.5
SFTP01M11,2002-02-28,,4.25
SFTP01M11,2002-03-31,,4.25
SFTP01M11,2002-04-30,,3.75
SFTP01M11,2002-05-31,,3.75
SFTP01M11,2002-06-30,,3.75
SFTP01M11,2002-07-31,,3.0
SFTP01M11,2002-08-31,,3.0
SFTP01M11,2002-09-30,,3.0
SFTP01M11,2002-10-31,,3.0
SFTP01M11,2002-11-30,,2.75
SFTP01M11,2002-12-31,,2.75
SFTP01M11,2003-01-31,,2.5
SFTP01M11,2003-02-28,,2.5
SFTP01M11,2003-03-31,,2.5
SFTP01M11,2003-04-30,,2.5
SFTP01M11,2003-05-31,,2.5
SFTP01M11,2003-06-30,,2.25
SFTP01M11,2003-07-31,,2.25
SFTP01M11,2003-08-31,,2.0
SFTP01M11,2003-09-30,,2.0
SFTP01M11,2003-10-31,,2.0
SFTP01M11,2003-11-30,,2.0
SFTP01M11,2003-12-31,,2.0
SFTP01M11,2004-01-31,,2.0
SFTP01M11,2004-02-29,,2.0
SFTP01M11,2004-03-31,,2.0
SFTP01M11,2004-04-30,,2.0
SFTP01M11,2004-05-31,,2.0
SFTP01M11,2004-06-30,,2.25
SFTP01M11,2004-07-31,,2.25
SFTP01M11,2004-08-31,,2.5
SFTP01M11,2004-09-30,,2.5
SFTP01M11,2004-10-31,,2.5
SFTP01M11,2004-11-30,,2.5
SFTP01M11,2004-12-31,,2.5
SFTP01M11,2005-01-31,,2.25
SFTP01M11,2005-02-28,,2.25
SFTP01M11,2005-03-31,,2.25
SFTP01M11,2005-04-30,,1.75
SFTP01M11,2005-05-31,,1.75
SFTP01M11,2005-06-30,,1.75
SFTP01M11,2005-07-31,,1.75
SFTP01M11,2005-08-31,,1.75
SFTP01M11,2005-09-30,,1.75
SFTP01M11,2005-10-31,,2.0
SFTP01M11,2005-11-30,,2.0
SFTP01M11,2005-12-31,,2.0
SFTP01M11,2006-01-31,,2.0
SFTP01M11,2006-02-28,,2.0
SFTP01M11,2006-03-31,,2.0
SFTP01M11,2006-04-30,,2.0
SFTP01M11,2006-05-31,,2.0
SFTP01M11,2006-06-30,,2.0
SFTP01M11,2006-07-31,,2.25
SFTP01M11,2006-08-31,,2.25
SFTP01M11,2006-09-30,,2.5
SFTP01M11,2006-10-31,,2.5
SFTP01M11,2006-11-30,,2.5
SFTP01M11,2006-12-31,,2.5
SFTP01M11,2007-01-31,,2.5
SFTP01M11,2007-02-28,,2.5
SFTP01M11,2007-03-31,,2.5
SFTP01M11,2007-04-30,,2.5
SFTP01M11,2007-05-31,,2.5
SFTP01M11,2007-06-30,,2.75
SFTP01M11,2007-07-31,,3.0
SFTP01M11,2007-08-31,,3.25
SFTP01M11,2007-09-30,,3.25
SFTP01M11,2007-10-31,,3.25
SFTP01M11,2007-11-30,,3.5
SFTP01M11,2007-12-31,,3.5
SFTP01M11,2008-01-31,,3.5
SFTP01M11,2008-02-29,,3.75
SFTP01M11,2008-03-31,,3.75
SFTP01M11,2008-04-30,,3.75
SFTP01M11,2008-05-31,,3.75
SFTP01M11,2008-06-30,,3.75
SFTP01M11,2008-07-31,,3.75
SFTP01M11,2008-08-31,,3.5
SFTP01M11,2008-09-30,,3.5
SFTP01M11,2008-10-31,,3.5
SFTP01M11,2008-11-30,,2.75
SFTP01M11,2008-12-31,,2.25
SFTP01M11,2009-01-31,,2.25
SFTP01M11,2009-02-28,,1.75
SFTP01M11,2009-03-31,,1.75
SFTP01M11,2009-04-30,,1.75
SFTP01M11,2009-05-31,,1.5
SFTP01M11,2009-06-30,,1.5
SFTP01M11,2009-07-31,,1.5
SFTP01M11,2009-08-31,,1.25
SFTP01M11,2009-09-30,,1.25
SFTP01M11,2009-10-31,,1.25
SFTP01M11,2009-11-30,,1.25
SFTP01M11,2009-12-31,,1.0
SFTP01M11,2010-01-31,,1.0
SFTP01M11,2010-02-28,,1.0
SFTP01M11,2010-03-31,,1.0
SFTP01M11,2010-04-30,,1.0
SFTP01M11,2010-05-31,,0.75
