"Indicator","Territory","Weeks","Fuel type","Hodnota"
"Average consumer fuel prices in CR (CZK/l)","Czechia","Week 33, 2026","Petrol 95 O Natural","41.3"
"Average consumer fuel prices in CR (CZK/l)","Czechia","Week 33, 2026","Diesel","43.97"
"Average consumer fuel prices in CR (CZK/l)","Czechia","Week 33, 2026","LPG","22.17"
"Consumer price index of fuels (%)","Czechia","Week 33, 2026","Petrol 95 O Natural","97.8"
"Consumer price index of fuels (%)","Czechia","Week 33, 2026","Diesel","98.5"
"Consumer price index of fuels (%)","Czechia","Week 33, 2026","LPG","100"
"Average consumer fuel prices in CR (CZK/l)","Czechia","Week 32, 2026","Petrol 95 O Natural","42.22"
"Average consumer fuel prices in CR (CZK/l)","Czechia","Week 32, 2026","Diesel","44.63"
"Average consumer fuel prices in CR (CZK/l)","Czechia","Week 32, 2026","LPG","22.18"
"Consumer price index of fuels (%)","Czechia","Week 32, 2026","Petrol 95 O Natural","100.1"
"Consumer price index of fuels (%)","Czechia","Week 32, 2026","Diesel","101.8"
"Consumer price index of fuels (%)","Czechia","Week 32, 2026","LPG","100.5"
"Average consumer fuel prices in CR (CZK/l)","Czechia","Week 31, 2026","Petrol 95 O Natural","42.18"
"Average consumer fuel prices in CR (CZK/l)","Czechia","Week 31, 2026","Diesel","43.83"
"Average consumer fuel prices in CR (CZK/l)","Czechia","Week 31, 2026","LPG","22.06"
"Consumer price index of fuels (%)","Czechia","Week 31, 2026","Petrol 95 O Natural","101.4"
"Consumer price index of fuels (%)","Czechia","Week 31, 2026","Diesel","106.1"
"Consumer price index of fuels (%)","Czechia","Week 31, 2026","LPG","100"
"Average consumer fuel prices in CR (CZK/l)","Czechia","Week 30, 2026","Petrol 95 O Natural","41.61"
"Average consumer fuel prices in CR (CZK/l)","Czechia","Week 30, 2026","Diesel","41.3"
"Average consumer fuel prices in CR (CZK/l)","Czechia","Week 30, 2026","LPG","22.06"
"Consumer price index of fuels (%)","Czechia","Week 30, 2026","Petrol 95 O Natural","104.5"
"Consumer price index of fuels (%)","Czechia","Week 30, 2026","Diesel","112.3"
"Consumer price index of fuels (%)","Czechia","Week 30, 2026","LPG","100"
"Average consumer fuel prices in CR (CZK/l)","Czechia","Week 29, 2026","Petrol 95 O Natural","39.81"
"Average consumer fuel prices in CR (CZK/l)","Czechia","Week 29, 2026","Diesel","36.79"
"Average consumer fuel prices in CR (CZK/l)","Czechia","Week 29, 2026","LPG","22.07"
"Consumer price index of fuels (%)","Czechia","Week 29, 2026","Petrol 95 O Natural","101.7"
"Consumer price index of fuels (%)","Czechia","Week 29, 2026","Diesel","103.6"
"Consumer price index of fuels (%)","Czechia","Week 29, 2026","LPG","99.9"
"Average consumer fuel prices in CR (CZK/l)","Czechia","Week 28, 2026","Petrol 95 O Natural","39.15"
"Average consumer fuel prices in CR (CZK/l)","Czechia","Week 28, 2026","Diesel","35.5"
"Average consumer fuel prices in CR (CZK/l)","Czechia","Week 28, 2026","LPG","22.09"
"Consumer price index of fuels (%)","Czechia","Week 28, 2026","Petrol 95 O Natural","101"
"Consumer price index of fuels (%)","Czechia","Week 28, 2026","Diesel","101.3"
"Consumer price index of fuels (%)","Czechia","Week 28, 2026","LPG","99.9"
"Average consumer fuel prices in CR (CZK/l)","Czechia","Week 27, 2026","Petrol 95 O Natural","38.77"
"Average consumer fuel prices in CR (CZK/l)","Czechia","Week 27, 2026","Diesel","35.06"
"Average consumer fuel prices in CR (CZK/l)","Czechia","Week 27, 2026","LPG","22.12"
"Consumer price index of fuels (%)","Czechia","Week 27, 2026","Petrol 95 O Natural","99.9"
"Consumer price index of fuels (%)","Czechia","Week 27, 2026","Diesel","98.4"
"Consumer price index of fuels (%)","Czechia","Week 27, 2026","LPG","99.5"
"Average consumer fuel prices in CR (CZK/l)","Czechia","Week 26, 2026","Petrol 95 O Natural","38.82"
"Average consumer fuel prices in CR (CZK/l)","Czechia","Week 26, 2026","Diesel","35.64"
"Average consumer fuel prices in CR (CZK/l)","Czechia","Week 26, 2026","LPG","22.23"
"Consumer price index of fuels (%)","Czechia","Week 26, 2026","Petrol 95 O Natural","97.2"
"Consumer price index of fuels (%)","Czechia","Week 26, 2026","Diesel","94.2"
"Consumer price index of fuels (%)","Czechia","Week 26, 2026","LPG","99.6"
"Average consumer fuel prices in CR (CZK/l)","Czechia","Week 25, 2026","Petrol 95 O Natural","39.92"
"Average consumer fuel prices in CR (CZK/l)","Czechia","Week 25, 2026","Diesel","37.82"
"Average consumer fuel prices in CR (CZK/l)","Czechia","Week 25, 2026","LPG","22.33"
"Consumer price index of fuels (%)","Czechia","Week 25, 2026","Petrol 95 O Natural","98.7"
"Consumer price index of fuels (%)","Czechia","Week 25, 2026","Diesel","99"
"Consumer price index of fuels (%)","Czechia","Week 25, 2026","LPG","98.2"
"Average consumer fuel prices in CR (CZK/l)","Czechia","Week 24, 2026","Petrol 95 O Natural","40.46"
"Average consumer fuel prices in CR (CZK/l)","Czechia","Week 24, 2026","Diesel","38.21"
"Average consumer fuel prices in CR (CZK/l)","Czechia","Week 24, 2026","LPG","22.73"
"Consumer price index of fuels (%)","Czechia","Week 24, 2026","Petrol 95 O Natural","97.1"
