release_date,data_month,nace_code,nace_label_en,yoy_index,source_url
2015-04-10,2014-12-31,10,Manufacture of food products,105.30364215518411,https://csu.gov.cz/rychle-informace/prumysl-unor-2015
2015-04-10,2014-12-31,11,Manufacture of beverages,102.94821367072086,https://csu.gov.cz/rychle-informace/prumysl-unor-2015
2015-04-10,2014-12-31,13,Manufacture of textiles,105.81359049439779,https://csu.gov.cz/rychle-informace/prumysl-unor-2015
2015-04-10,2014-12-31,14,Manufacture of wearing apparel,94.83229203368549,https://csu.gov.cz/rychle-informace/prumysl-unor-2015
2015-04-10,2014-12-31,15,Manufacture of leather and related products,115.30995476745278,https://csu.gov.cz/rychle-informace/prumysl-unor-2015
2015-04-10,2014-12-31,16,"Manufacture of wood and of products of wood and cork, except furniture; manufacture of articles",95.29781299947382,https://csu.gov.cz/rychle-informace/prumysl-unor-2015
2015-04-10,2014-12-31,17,Manufacture of paper and paper products,108.81893528288909,https://csu.gov.cz/rychle-informace/prumysl-unor-2015
2015-04-10,2014-12-31,18,Printing and reproduction of recorded media,101.66993018121914,https://csu.gov.cz/rychle-informace/prumysl-unor-2015
2015-04-10,2014-12-31,19,Manufacture of coke and refined petroleum products,108.96135315245097,https://csu.gov.cz/rychle-informace/prumysl-unor-2015
2015-04-10,2014-12-31,20,Manufacture of chemicals and chemical products,99.86788055597472,https://csu.gov.cz/rychle-informace/prumysl-unor-2015
2015-04-10,2014-12-31,21,Manufacture of basic pharmaceutical products and pharmaceutical preparations,108.2304118671303,https://csu.gov.cz/rychle-informace/prumysl-unor-2015
2015-04-10,2014-12-31,22,Manufacture of rubber and plastic products,107.68783060355022,https://csu.gov.cz/rychle-informace/prumysl-unor-2015
2015-04-10,2014-12-31,23,Manufacture of other non-metallic mineral products,107.70144902508024,https://csu.gov.cz/rychle-informace/prumysl-unor-2015
2015-04-10,2014-12-31,24,Manufacture of basic metals,101.09477836454974,https://csu.gov.cz/rychle-informace/prumysl-unor-2015
2015-04-10,2014-12-31,25,"Manufacture of fabricated metal products, except machinery and equipment",107.12616114482603,https://csu.gov.cz/rychle-informace/prumysl-unor-2015
2015-04-10,2014-12-31,26,a zařízení,126.65778920778845,https://csu.gov.cz/rychle-informace/prumysl-unor-2015
2015-04-10,2014-12-31,27,Manufacture of electrical equipment,115.33140349858581,https://csu.gov.cz/rychle-informace/prumysl-unor-2015
2015-04-10,2014-12-31,28,Manufacture of machinery and equipment n.e.c.,107.45647837611504,https://csu.gov.cz/rychle-informace/prumysl-unor-2015
2015-04-10,2014-12-31,29,"Manufacture of motor vehicles, trailers and semi-trailers",116.01696266618828,https://csu.gov.cz/rychle-informace/prumysl-unor-2015
2015-04-10,2014-12-31,30,Manufacture of other transport equipment,118.02196332759456,https://csu.gov.cz/rychle-informace/prumysl-unor-2015
2015-04-10,2014-12-31,31,Manufacture of furniture,112.43483038071813,https://csu.gov.cz/rychle-informace/prumysl-unor-2015
2015-04-10,2014-12-31,32,Other manufacturing,106.05949313613927,https://csu.gov.cz/rychle-informace/prumysl-unor-2015
2015-04-10,2014-12-31,B,Mining and quarrying,95.55332709513478,https://csu.gov.cz/rychle-informace/prumysl-unor-2015
2015-04-10,2014-12-31,BCD,"Industry, total",107.34752733747719,https://csu.gov.cz/rychle-informace/prumysl-unor-2015
2015-04-10,2014-12-31,C,Manufacturing,109.84290601413316,https://csu.gov.cz/rychle-informace/prumysl-unor-2015
2015-04-10,2014-12-31,D,"Electricity, gas, steam and air conditioning supply*)",97.8495747976216,https://csu.gov.cz/rychle-informace/prumysl-unor-2015
2015-04-10,2015-01-31,10,Manufacture of food products,101.81704058969325,https://csu.gov.cz/rychle-informace/prumysl-unor-2015
2015-05-07,2015-01-31,10,Manufacture of food products,101.81704058969325,https://csu.gov.cz/rychle-informace/prumysl-brezen-2015
2015-04-10,2015-01-31,11,Manufacture of beverages,98.1741034554629,https://csu.gov.cz/rychle-informace/prumysl-unor-2015
2015-05-07,2015-01-31,11,Manufacture of beverages,98.1741034554629,https://csu.gov.cz/rychle-informace/prumysl-brezen-2015
2015-04-10,2015-01-31,13,Manufacture of textiles,94.85712579326395,https://csu.gov.cz/rychle-informace/prumysl-unor-2015
2015-05-07,2015-01-31,13,Manufacture of textiles,94.85712579326395,https://csu.gov.cz/rychle-informace/prumysl-brezen-2015
2015-04-10,2015-01-31,14,Manufacture of wearing apparel,93.94461998190255,https://csu.gov.cz/rychle-informace/prumysl-unor-2015
2015-05-07,2015-01-31,14,Manufacture of wearing apparel,93.94461998190255,https://csu.gov.cz/rychle-informace/prumysl-brezen-2015
2015-04-10,2015-01-31,15,Manufacture of leather and related products,93.37931981336368,https://csu.gov.cz/rychle-informace/prumysl-unor-2015
2015-05-07,2015-01-31,15,Manufacture of leather and related products,93.37931981336368,https://csu.gov.cz/rychle-informace/prumysl-brezen-2015
2015-04-10,2015-01-31,16,"Manufacture of wood and of products of wood and cork, except furniture; manufacture of articles",92.54520262266243,https://csu.gov.cz/rychle-informace/prumysl-unor-2015
2015-05-07,2015-01-31,16,"Manufacture of wood and of products of wood and cork, except furniture; manufacture of articles",92.54520262266243,https://csu.gov.cz/rychle-informace/prumysl-brezen-2015
2015-04-10,2015-01-31,17,Manufacture of paper and paper products,109.41359659626598,https://csu.gov.cz/rychle-informace/prumysl-unor-2015
2015-05-07,2015-01-31,17,Manufacture of paper and paper products,109.41359659626598,https://csu.gov.cz/rychle-informace/prumysl-brezen-2015
2015-04-10,2015-01-31,18,Printing and reproduction of recorded media,91.83436739241588,https://csu.gov.cz/rychle-informace/prumysl-unor-2015
2015-05-07,2015-01-31,18,Printing and reproduction of recorded media,91.83436739241588,https://csu.gov.cz/rychle-informace/prumysl-brezen-2015
2015-04-10,2015-01-31,19,Manufacture of coke and refined petroleum products,107.28724491905233,https://csu.gov.cz/rychle-informace/prumysl-unor-2015
2015-05-07,2015-01-31,19,Manufacture of coke and refined petroleum products,107.28724491905233,https://csu.gov.cz/rychle-informace/prumysl-brezen-2015
2015-04-10,2015-01-31,20,Manufacture of chemicals and chemical products,103.35261910709343,https://csu.gov.cz/rychle-informace/prumysl-unor-2015
2015-05-07,2015-01-31,20,Manufacture of chemicals and chemical products,103.35261910709343,https://csu.gov.cz/rychle-informace/prumysl-brezen-2015
2015-04-10,2015-01-31,21,Manufacture of basic pharmaceutical products and pharmaceutical preparations,94.42157565984095,https://csu.gov.cz/rychle-informace/prumysl-unor-2015
2015-05-07,2015-01-31,21,Manufacture of basic pharmaceutical products and pharmaceutical preparations,94.42157565984095,https://csu.gov.cz/rychle-informace/prumysl-brezen-2015
2015-04-10,2015-01-31,22,Manufacture of rubber and plastic products,103.08227831393002,https://csu.gov.cz/rychle-informace/prumysl-unor-2015
2015-05-07,2015-01-31,22,Manufacture of rubber and plastic products,103.08227831393002,https://csu.gov.cz/rychle-informace/prumysl-brezen-2015
2015-04-10,2015-01-31,23,Manufacture of other non-metallic mineral products,102.73483195801323,https://csu.gov.cz/rychle-informace/prumysl-unor-2015
2015-05-07,2015-01-31,23,Manufacture of other non-metallic mineral products,102.73483195801323,https://csu.gov.cz/rychle-informace/prumysl-brezen-2015
2015-04-10,2015-01-31,24,Manufacture of basic metals,101.0986203372509,https://csu.gov.cz/rychle-informace/prumysl-unor-2015
2015-05-07,2015-01-31,24,Manufacture of basic metals,101.0986203372509,https://csu.gov.cz/rychle-informace/prumysl-brezen-2015
2015-04-10,2015-01-31,25,"Manufacture of fabricated metal products, except machinery and equipment",100.00573044557079,https://csu.gov.cz/rychle-informace/prumysl-unor-2015
2015-05-07,2015-01-31,25,"Manufacture of fabricated metal products, except machinery and equipment",100.00573044557079,https://csu.gov.cz/rychle-informace/prumysl-brezen-2015
