month,vehicle_purchases
2015-01,99
2015-02,98.900000000000006
2015-03,99
2015-04,99.200000000000003
2015-05,99.5
2015-06,99.900000000000006
2015-07,100
2015-08,100.2
2015-09,100.8
2015-10,101.09999999999999
2015-11,101.2
2015-12,101.40000000000001
2016-01,101.59999999999999
2016-02,102.09999999999999
2016-03,102.09999999999999
2016-04,102.09999999999999
2016-05,102.09999999999999
2016-06,101.90000000000001
2016-07,101.59999999999999
2016-08,101.5
2016-09,102.09999999999999
2016-10,102.8
2016-11,103.5
2016-12,103.8
2017-01,104.90000000000001
2017-02,104.5
2017-03,104.40000000000001
2017-04,104.59999999999999
2017-05,104.90000000000001
2017-06,105
2017-07,105.5
2017-08,105.59999999999999
2017-09,106.2
2017-10,106.09999999999999
2017-11,106.3
2017-12,106.8
2018-01,107
2018-02,107.5
2018-03,107.3
2018-04,107.59999999999999
2018-05,107.40000000000001
2018-06,107.40000000000001
2018-07,108.2
2018-08,107.09999999999999
2018-09,107.09999999999999
2018-10,106.90000000000001
2018-11,107.5
2018-12,107.40000000000001
2019-01,109
2019-02,108.5
2019-03,109
2019-04,109.09999999999999
2019-05,108.2
2019-06,108.40000000000001
2019-07,108.2
2019-08,108
2019-09,108
2019-10,107.8
2019-11,107.59999999999999
2019-12,108.5
2020-01,109
2020-02,109.2
2020-03,109
2020-04,110.09999999999999
2020-05,112
2020-06,113.59999999999999
2020-07,114.59999999999999
2020-08,115.40000000000001
2020-09,116
2020-10,117.09999999999999
2020-11,116.90000000000001
2020-12,116.8
2021-01,117.7
2021-02,118.90000000000001
2021-03,119.09999999999999
2021-04,119.40000000000001
2021-05,120
2021-06,120.3
2021-07,121.09999999999999
2021-08,121.7
2021-09,123.3
2021-10,124.7
2021-11,126
2021-12,128.80000000000001
2022-01,130.80000000000001
2022-02,131.30000000000001
2022-03,132.30000000000001
2022-04,135.59999999999999
2022-05,136.5
2022-06,137.5
2022-07,138.09999999999999
2022-08,140.90000000000001
2022-09,142
2022-10,142.19999999999999
2022-11,141.40000000000001
2022-12,140.30000000000001
2023-01,139.09999999999999
2023-02,139.59999999999999
2023-03,138.80000000000001
2023-04,137.80000000000001
2023-05,137.90000000000001
2023-06,137.80000000000001
2023-07,137.5
2023-08,136.90000000000001
2023-09,136.90000000000001
2023-10,136.09999999999999
2023-11,136.09999999999999
2023-12,135.5
2024-01,135.69999999999999
2024-02,135.5
2024-03,135.59999999999999
2024-04,135.90000000000001
2024-05,136.09999999999999
2024-06,135.59999999999999
2024-07,135.69999999999999
2024-08,134.90000000000001
2024-09,134.5
2024-10,134.40000000000001
2024-11,134.59999999999999
2024-12,134.30000000000001
2025-01,135
2025-02,134.69999999999999
2025-03,135.40000000000001
2025-04,136.30000000000001
2025-05,136.69999999999999
2025-06,137.09999999999999
2025-07,136.69999999999999
2025-08,136.30000000000001
2025-09,135.5
2025-10,135.90000000000001
2025-11,136.30000000000001
2025-12,136
2026-01,135.30000000000001
2026-02,135.5
2026-03,136
2026-04,136.40000000000001
2026-05,137.09999999999999
2026-06,136.80000000000001
2026-07,136.30000000000001
