column,cells,unequal_exact,changed_above_1e_12,max_abs_difference
a6_01,292,0,0,0.0
a6_02,292,0,0,0.0
a6_03,292,0,0,0.0
a6_04,292,0,0,0.0
a6_05,292,0,0,0.0
a6_06,292,0,0,0.0
a6_07,292,0,0,0.0
a6_08,292,0,0,0.0
a6_09,292,0,0,0.0
a6_10,292,0,0,0.0
a6_11,292,0,0,0.0
a6_12,292,0,0,0.0
a6_13,292,0,0,0.0
a6_14,292,0,0,0.0
a6_15,292,0,0,0.0
a6_16,292,0,0,0.0
a6_17,292,0,0,0.0
a6_18,292,0,0,0.0
a6_19,292,0,0,0.0
a6_20,292,0,0,0.0
a6_21,292,0,0,0.0
a6_22,292,0,0,0.0
a6_23,292,0,0,0.0
a6_24,292,0,0,0.0
a6_25,292,0,0,0.0
a6_26,292,0,0,0.0
a6_27,292,0,0,0.0
a6_28,292,0,0,0.0
a6_29,292,0,0,0.0
a6_30,292,0,0,0.0
a6_31,292,0,0,0.0
a6_32,292,0,0,0.0
a6_33,292,0,0,0.0
a6_34,292,0,0,0.0
a6_35,292,0,0,0.0
a6_36,292,0,0,0.0
a6_37,292,0,0,0.0
a6_38,292,0,0,0.0
a6_39,292,0,0,0.0
a6_40,292,0,0,0.0
a6_41,292,0,0,0.0
a6_42,292,0,0,0.0
a6_43,292,0,0,0.0
a6_44,292,0,0,0.0
a6_45,292,0,0,0.0
a6_46,292,0,0,0.0
a6_47,292,0,0,0.0
a6_48,292,0,0,0.0
a6_49,292,0,0,0.0
a6_50,292,0,0,0.0
a6_51,292,0,0,0.0
a6_52,292,0,0,0.0
a6_53,292,0,0,0.0
a6_54,292,0,0,0.0
a6_55,292,0,0,0.0
a6_56,292,0,0,0.0
a6_57,292,0,0,0.0
a6_58,292,0,0,0.0
a6_59,292,0,0,0.0
a6_60,292,0,0,0.0
a6_61,292,0,0,0.0
a6_62,292,0,0,0.0
a6_63,292,0,0,0.0
a6_64,292,163,0,1.7763568394002505e-15
a6_65,292,0,0,0.0
a6_66,292,0,0,0.0
a6_67,292,0,0,0.0
a6_68,292,0,0,0.0
a6_69,292,0,0,0.0
a6_70,292,0,0,0.0
a6_71,292,0,0,0.0
a6_72,292,0,0,0.0
