origin,as_of,band,config,prediction,n_train,train_start,train_end,last_training_target,last_training_release,status
2016-03,2016-04-10 23:59:00,0,a3_w60,,0,,,,,insufficient_history
2016-03,2016-04-10 23:59:00,0,a3_wexpanding,,0,,,,,insufficient_history
2016-03,2016-04-10 23:59:00,0,a30_w60,,0,,,,,insufficient_history
2016-03,2016-04-10 23:59:00,0,a30_wexpanding,,0,,,,,insufficient_history
2016-03,2016-04-10 23:59:00,0,a300_w60,,0,,,,,insufficient_history
2016-03,2016-04-10 23:59:00,0,a300_wexpanding,,0,,,,,insufficient_history
2016-03,2016-04-10 23:59:00,1,a3_w60,,0,,,,,insufficient_history
2016-03,2016-04-10 23:59:00,1,a3_wexpanding,,0,,,,,insufficient_history
2016-03,2016-04-10 23:59:00,1,a30_w60,,0,,,,,insufficient_history
2016-03,2016-04-10 23:59:00,1,a30_wexpanding,,0,,,,,insufficient_history
2016-03,2016-04-10 23:59:00,1,a300_w60,,0,,,,,insufficient_history
2016-03,2016-04-10 23:59:00,1,a300_wexpanding,,0,,,,,insufficient_history
2016-03,2016-04-10 23:59:00,2,a3_w60,,0,,,,,insufficient_history
2016-03,2016-04-10 23:59:00,2,a3_wexpanding,,0,,,,,insufficient_history
2016-03,2016-04-10 23:59:00,2,a30_w60,,0,,,,,insufficient_history
2016-03,2016-04-10 23:59:00,2,a30_wexpanding,,0,,,,,insufficient_history
2016-03,2016-04-10 23:59:00,2,a300_w60,,0,,,,,insufficient_history
2016-03,2016-04-10 23:59:00,2,a300_wexpanding,,0,,,,,insufficient_history
2016-03,2016-04-10 23:59:00,3,a3_w60,,0,,,,,insufficient_history
2016-03,2016-04-10 23:59:00,3,a3_wexpanding,,0,,,,,insufficient_history
2016-03,2016-04-10 23:59:00,3,a30_w60,,0,,,,,insufficient_history
2016-03,2016-04-10 23:59:00,3,a30_wexpanding,,0,,,,,insufficient_history
2016-03,2016-04-10 23:59:00,3,a300_w60,,0,,,,,insufficient_history
2016-03,2016-04-10 23:59:00,3,a300_wexpanding,,0,,,,,insufficient_history
2016-04,2016-05-09 23:59:00,0,a3_w60,,0,,,,,insufficient_history
