scope,sample,h,model,n,mm_rmse,mm_mae,mm_bias,cumulative_log_rmse,cumulative_log_mae,cumulative_log_bias
core_common,full,1,CORE_LOCAL_R14,73,0.38203798911499454,0.2900968394925796,0.0057519192651389025,0.3794747260866421,0.28841869323153163,0.0062003597633975855
core_common,full,1,CORE_LEVEL_RIDGE_R14,73,0.36262840674198643,0.27293342446098634,-0.009548505505640898,0.36032993443000033,0.2714144475028058,-0.009224373112212364
core_common,full,1,CORE_GAP_RIDGE_R14,73,0.4025163778001161,0.3061199545464646,0.06516855424019537,0.39970539411759276,0.3042806191148565,0.06482115382155404
core_common,full,1,CORE_GAP_ADAPT_R14,73,0.42980098655695104,0.3316927352673852,0.09266193679026784,0.4268004623399905,0.32965855546056555,0.09211092663056415
core_common,full,1,CORE_LEVEL_RF_R14,73,0.3848399403379955,0.27352827428595256,-0.059356339828607926,0.3822292273239426,0.2720010147560491,-0.05844330471064676
core_common,full,1,CORE_GAP_RF_R14,73,0.4272693251283054,0.3184138189154455,0.08662235599101635,0.42417409053580357,0.3164118617506303,0.0862007763801307
core_common,full,1,INDEPENDENT_BRIDGE,73,0.3697813368348688,0.2914385925355034,-0.044285380937180735,0.36727675839731444,0.28984109591615337,-0.04370512635687196
core_common,full,2,CORE_LOCAL_R14,72,0.4045961366712425,0.3069492621467769,0.014334783544927596,0.7351253329772904,0.5411220990054867,0.022271144891375515
core_common,full,2,CORE_LEVEL_RIDGE_R14,72,0.37949697383704156,0.27405398374637785,-0.0037488588108648274,0.6876798259119374,0.48154524207489324,-0.014211107809258513
core_common,full,2,CORE_GAP_RIDGE_R14,72,0.4275483233466149,0.31845821409522634,0.07196688063361646,0.7808092647728084,0.5658464137938313,0.13587409212414908
core_common,full,2,CORE_GAP_ADAPT_R14,72,0.45593417550777365,0.3454242331062042,0.0993789166974181,0.8392483597515873,0.6180002379900456,0.19029130864881735
core_common,full,2,CORE_LEVEL_RF_R14,72,0.39528715173092727,0.28474321839263883,-0.052042991438199876,0.7280647433410143,0.505317725990015,-0.10958498717943338
core_common,full,2,CORE_GAP_RF_R14,72,0.451881757206275,0.3337505955814961,0.09577386138579035,0.832361135096131,0.5980349915578942,0.18334764453273622
core_common,full,2,INDEPENDENT_BRIDGE,72,0.3830674140703203,0.2919605126733304,-0.0274661204696524,0.6757472963758313,0.5259650161051697,-0.06909806915147139
core_common,full,3,CORE_LOCAL_R14,71,0.4318401515766736,0.32636476927803326,0.0116329079168223,1.1120142635627661,0.8129960126122358,0.03543717964239986
core_common,full,3,CORE_LEVEL_RIDGE_R14,71,0.4087610204969632,0.2936713546284797,-0.009507691756570251,1.0363834163708239,0.6885966074539963,-0.028394121817841896
core_common,full,3,CORE_GAP_RIDGE_R14,71,0.4614218108823777,0.33728833265761715,0.06700064503377616,1.1901235442247549,0.8360810791329347,0.19911567790392387
core_common,full,3,CORE_GAP_ADAPT_R14,71,0.48982432033667417,0.36438594594059615,0.09422188593532287,1.2802374132649543,0.914997204474847,0.2801880672844425
core_common,full,3,CORE_LEVEL_RF_R14,71,0.4191217282675981,0.307612434386798,-0.056359232819535386,1.090358975423461,0.7463896112511718,-0.16719263686154962
core_common,full,3,CORE_GAP_RF_R14,71,0.4900072861494566,0.36529616721460073,0.09292963450290809,1.2751307950187192,0.8927084602565369,0.2766512259440149
core_common,full,3,INDEPENDENT_BRIDGE,71,0.4444571429694065,0.3292389634043541,0.03753787312402449,1.0184274803096163,0.7755986759500872,-0.032268959399401394
core_common,full,4,CORE_LOCAL_R14,67,0.464972911270794,0.3525450451115084,0.00010995724415299268,1.5448252819436257,1.1311344560808665,0.016743211126921637
core_common,full,4,CORE_LEVEL_RIDGE_R14,67,0.5231194207249379,0.3859511199951917,0.02859381025027845,1.5076676017260255,0.993283121255068,-0.023450267738573876
