origin,as_of,band,config,n_validation,reason,validation_last_release
2019-02,2019-03-10 23:59:00,0,a30_wexpanding,0,insufficient_validation,
2019-02,2019-03-10 23:59:00,1,a30_wexpanding,0,insufficient_validation,
2019-02,2019-03-10 23:59:00,2,a30_wexpanding,0,insufficient_validation,
2019-02,2019-03-10 23:59:00,3,a30_wexpanding,0,insufficient_validation,
2019-03,2019-04-09 23:59:00,0,a30_wexpanding,0,insufficient_validation,
2019-03,2019-04-09 23:59:00,1,a30_wexpanding,0,insufficient_validation,
2019-03,2019-04-09 23:59:00,2,a30_wexpanding,0,insufficient_validation,
2019-03,2019-04-09 23:59:00,3,a30_wexpanding,0,insufficient_validation,
2019-04,2019-05-12 23:59:00,0,a30_wexpanding,0,insufficient_validation,
2019-04,2019-05-12 23:59:00,1,a30_wexpanding,0,insufficient_validation,
2019-04,2019-05-12 23:59:00,2,a30_wexpanding,0,insufficient_validation,
2019-04,2019-05-12 23:59:00,3,a30_wexpanding,0,insufficient_validation,
2019-05,2019-06-10 23:59:00,0,a30_wexpanding,0,insufficient_validation,
2019-05,2019-06-10 23:59:00,1,a30_wexpanding,0,insufficient_validation,
2019-05,2019-06-10 23:59:00,2,a30_wexpanding,0,insufficient_validation,
2019-05,2019-06-10 23:59:00,3,a30_wexpanding,0,insufficient_validation,
2019-06,2019-07-10 23:59:00,0,a30_wexpanding,0,insufficient_validation,
2019-06,2019-07-10 23:59:00,1,a30_wexpanding,0,insufficient_validation,
2019-06,2019-07-10 23:59:00,2,a30_wexpanding,0,insufficient_validation,
2019-06,2019-07-10 23:59:00,3,a30_wexpanding,0,insufficient_validation,
2019-07,2019-08-11 23:59:00,0,a30_wexpanding,0,insufficient_validation,
2019-07,2019-08-11 23:59:00,1,a30_wexpanding,0,insufficient_validation,
2019-07,2019-08-11 23:59:00,2,a30_wexpanding,0,insufficient_validation,
2019-07,2019-08-11 23:59:00,3,a30_wexpanding,0,insufficient_validation,
2019-08,2019-09-09 23:59:00,0,a30_wexpanding,0,insufficient_validation,
2019-08,2019-09-09 23:59:00,1,a30_wexpanding,0,insufficient_validation,
2019-08,2019-09-09 23:59:00,2,a30_wexpanding,0,insufficient_validation,
2019-08,2019-09-09 23:59:00,3,a30_wexpanding,0,insufficient_validation,
2019-09,2019-10-09 23:59:00,0,a30_wexpanding,0,insufficient_validation,
2019-09,2019-10-09 23:59:00,1,a30_wexpanding,0,insufficient_validation,
2019-09,2019-10-09 23:59:00,2,a30_wexpanding,0,insufficient_validation,
2019-09,2019-10-09 23:59:00,3,a30_wexpanding,0,insufficient_validation,
2019-10,2019-11-10 23:59:00,0,a30_wexpanding,0,insufficient_validation,
2019-10,2019-11-10 23:59:00,1,a30_wexpanding,0,insufficient_validation,
2019-10,2019-11-10 23:59:00,2,a30_wexpanding,0,insufficient_validation,
2019-10,2019-11-10 23:59:00,3,a30_wexpanding,0,insufficient_validation,
2019-11,2019-12-09 23:59:00,0,a30_wexpanding,0,insufficient_validation,
2019-11,2019-12-09 23:59:00,1,a30_wexpanding,0,insufficient_validation,
2019-11,2019-12-09 23:59:00,2,a30_wexpanding,0,insufficient_validation,
2019-11,2019-12-09 23:59:00,3,a30_wexpanding,0,insufficient_validation,
2019-12,2020-01-12 23:59:00,0,a30_wexpanding,0,insufficient_validation,
2019-12,2020-01-12 23:59:00,1,a30_wexpanding,0,insufficient_validation,
2019-12,2020-01-12 23:59:00,2,a30_wexpanding,0,insufficient_validation,
2019-12,2020-01-12 23:59:00,3,a30_wexpanding,0,insufficient_validation,
2020-01,2020-02-13 23:59:00,0,a30_wexpanding,0,insufficient_validation,
2020-01,2020-02-13 23:59:00,1,a30_wexpanding,0,insufficient_validation,
2020-01,2020-02-13 23:59:00,2,a30_wexpanding,0,insufficient_validation,
2020-01,2020-02-13 23:59:00,3,a30_wexpanding,0,insufficient_validation,
2020-02,2020-03-09 23:59:00,0,a30_wexpanding,0,insufficient_validation,
2020-02,2020-03-09 23:59:00,1,a30_wexpanding,0,insufficient_validation,
2020-02,2020-03-09 23:59:00,2,a30_wexpanding,0,insufficient_validation,
2020-02,2020-03-09 23:59:00,3,a30_wexpanding,0,insufficient_validation,
2020-03,2020-04-13 23:59:00,0,a30_wexpanding,0,insufficient_validation,
2020-03,2020-04-13 23:59:00,1,a30_wexpanding,0,insufficient_validation,
2020-03,2020-04-13 23:59:00,2,a30_wexpanding,0,insufficient_validation,
2020-03,2020-04-13 23:59:00,3,a30_wexpanding,0,insufficient_validation,
2020-04,2020-05-12 23:59:00,0,a30_wexpanding,0,insufficient_validation,
2020-04,2020-05-12 23:59:00,1,a30_wexpanding,0,insufficient_validation,
2020-04,2020-05-12 23:59:00,2,a30_wexpanding,0,insufficient_validation,
2020-04,2020-05-12 23:59:00,3,a30_wexpanding,0,insufficient_validation,
2020-05,2020-06-09 23:59:00,0,a30_wexpanding,0,insufficient_validation,
2020-05,2020-06-09 23:59:00,1,a30_wexpanding,0,insufficient_validation,
2020-05,2020-06-09 23:59:00,2,a30_wexpanding,0,insufficient_validation,
2020-05,2020-06-09 23:59:00,3,a30_wexpanding,0,insufficient_validation,
2020-06,2020-07-09 23:59:00,0,a30_wexpanding,0,insufficient_validation,
2020-06,2020-07-09 23:59:00,1,a30_wexpanding,0,insufficient_validation,
2020-06,2020-07-09 23:59:00,2,a30_wexpanding,0,insufficient_validation,
2020-06,2020-07-09 23:59:00,3,a30_wexpanding,0,insufficient_validation,
2020-07,2020-08-12 23:59:00,0,a30_wexpanding,0,insufficient_validation,
2020-07,2020-08-12 23:59:00,1,a30_wexpanding,0,insufficient_validation,
2020-07,2020-08-12 23:59:00,2,a30_wexpanding,0,insufficient_validation,
2020-07,2020-08-12 23:59:00,3,a30_wexpanding,0,insufficient_validation,
2020-08,2020-09-09 23:59:00,0,a30_wexpanding,0,insufficient_validation,
2020-08,2020-09-09 23:59:00,1,a30_wexpanding,0,insufficient_validation,
2020-08,2020-09-09 23:59:00,2,a30_wexpanding,0,insufficient_validation,
2020-08,2020-09-09 23:59:00,3,a30_wexpanding,0,insufficient_validation,
2020-09,2020-10-11 23:59:00,0,a30_wexpanding,0,insufficient_validation,
2020-09,2020-10-11 23:59:00,1,a30_wexpanding,0,insufficient_validation,
2020-09,2020-10-11 23:59:00,2,a30_wexpanding,0,insufficient_validation,
2020-09,2020-10-11 23:59:00,3,a30_wexpanding,0,insufficient_validation,
2020-10,2020-11-09 23:59:00,0,a30_wexpanding,1,insufficient_validation,2020-10-12 09:00:00
2020-10,2020-11-09 23:59:00,1,a30_wexpanding,0,insufficient_validation,
2020-10,2020-11-09 23:59:00,2,a30_wexpanding,0,insufficient_validation,
2020-10,2020-11-09 23:59:00,3,a30_wexpanding,0,insufficient_validation,
2020-11,2020-12-09 23:59:00,0,a30_wexpanding,2,insufficient_validation,2020-11-10 09:00:00
2020-11,2020-12-09 23:59:00,1,a30_wexpanding,0,insufficient_validation,
2020-11,2020-12-09 23:59:00,2,a30_wexpanding,0,insufficient_validation,
2020-11,2020-12-09 23:59:00,3,a30_wexpanding,0,insufficient_validation,
2020-12,2021-01-12 23:59:00,0,a30_wexpanding,3,insufficient_validation,2020-12-10 09:00:00
2020-12,2021-01-12 23:59:00,1,a30_wexpanding,0,insufficient_validation,
2020-12,2021-01-12 23:59:00,2,a30_wexpanding,0,insufficient_validation,
2020-12,2021-01-12 23:59:00,3,a30_wexpanding,0,insufficient_validation,
2021-01,2021-02-11 23:59:00,0,a30_wexpanding,4,insufficient_validation,2021-01-13 09:00:00
2021-01,2021-02-11 23:59:00,1,a30_wexpanding,0,insufficient_validation,
2021-01,2021-02-11 23:59:00,2,a30_wexpanding,0,insufficient_validation,
2021-01,2021-02-11 23:59:00,3,a30_wexpanding,0,insufficient_validation,
2021-02,2021-03-09 23:59:00,0,a30_wexpanding,5,insufficient_validation,2021-02-12 09:00:00
2021-02,2021-03-09 23:59:00,1,a30_wexpanding,0,insufficient_validation,
2021-02,2021-03-09 23:59:00,2,a30_wexpanding,0,insufficient_validation,
2021-02,2021-03-09 23:59:00,3,a30_wexpanding,0,insufficient_validation,
2021-03,2021-04-12 23:59:00,0,a30_wexpanding,6,insufficient_validation,2021-03-10 09:00:00
2021-03,2021-04-12 23:59:00,1,a30_wexpanding,0,insufficient_validation,
2021-03,2021-04-12 23:59:00,2,a30_wexpanding,0,insufficient_validation,
2021-03,2021-04-12 23:59:00,3,a30_wexpanding,0,insufficient_validation,
2021-04,2021-05-10 23:59:00,0,a30_wexpanding,7,insufficient_validation,2021-04-13 09:00:00
2021-04,2021-05-10 23:59:00,1,a30_wexpanding,1,insufficient_validation,2021-04-13 09:00:00
2021-04,2021-05-10 23:59:00,2,a30_wexpanding,0,insufficient_validation,
2021-04,2021-05-10 23:59:00,3,a30_wexpanding,0,insufficient_validation,
2021-05,2021-06-09 23:59:00,0,a30_wexpanding,8,insufficient_validation,2021-05-11 09:00:00
2021-05,2021-06-09 23:59:00,1,a30_wexpanding,2,insufficient_validation,2021-05-11 09:00:00
