origin,target,h,model,mm_forecast,mm_actual,cumulative_log_forecast,cumulative_log_actual
2019-03,2019-04,1,CORE_LEVEL_RF_R14,,0.4,,0.39920212695374535
2019-03,2019-05,2,CORE_LEVEL_RF_R14,,0.1,,0.49915216026209863
2019-03,2019-06,3,CORE_LEVEL_RF_R14,,0.3,,0.7987030582419465
2019-03,2019-07,4,CORE_LEVEL_RF_R14,,1.0,,1.793736143558755
2019-03,2019-08,5,CORE_LEVEL_RF_R14,,0.2,,1.9935364098260608
2019-03,2019-09,6,CORE_LEVEL_RF_R14,,-0.9,,1.0894619446111544
2019-03,2019-10,7,CORE_LEVEL_RF_R14,,0.6,,1.687669112365901
2019-03,2019-11,8,CORE_LEVEL_RF_R14,,0.0,,1.6876691123659007
2019-03,2019-12,9,CORE_LEVEL_RF_R14,,0.1,,1.7876191456742538
2019-03,2020-01,10,CORE_LEVEL_RF_R14,,0.8,,2.5844361105919416
2019-03,2020-02,11,CORE_LEVEL_RF_R14,,0.7,,3.2819974842344655
2019-03,2020-03,12,CORE_LEVEL_RF_R14,,-0.3,,2.9815465822045932
2019-03,2019-04,1,CORE_LEVEL_RIDGE_R14,,0.4,,0.39920212695374535
2019-03,2019-05,2,CORE_LEVEL_RIDGE_R14,,0.1,,0.49915216026209863
2019-03,2019-06,3,CORE_LEVEL_RIDGE_R14,,0.3,,0.7987030582419465
2019-03,2019-07,4,CORE_LEVEL_RIDGE_R14,,1.0,,1.793736143558755
2019-03,2019-08,5,CORE_LEVEL_RIDGE_R14,,0.2,,1.9935364098260608
2019-03,2019-09,6,CORE_LEVEL_RIDGE_R14,,-0.9,,1.0894619446111544
2019-03,2019-10,7,CORE_LEVEL_RIDGE_R14,,0.6,,1.687669112365901
2019-03,2019-11,8,CORE_LEVEL_RIDGE_R14,,0.0,,1.6876691123659007
2019-03,2019-12,9,CORE_LEVEL_RIDGE_R14,,0.1,,1.7876191456742538
2019-03,2020-01,10,CORE_LEVEL_RIDGE_R14,,0.8,,2.5844361105919416
2019-03,2020-02,11,CORE_LEVEL_RIDGE_R14,,0.7,,3.2819974842344655
2019-03,2020-03,12,CORE_LEVEL_RIDGE_R14,,-0.3,,2.9815465822045932
2019-03,2019-04,1,CORE_LOCAL_R14,0.4907012363807908,0.4,0.489501221919977,0.39920212695374535
2019-03,2019-05,2,CORE_LOCAL_R14,0.20927652513167283,0.1,0.6985590687735134,0.49915216026209863
2019-03,2019-06,3,CORE_LOCAL_R14,0.2786083585941047,0.3,0.9767800336542589,0.7987030582419465
2019-03,2019-07,4,CORE_LOCAL_R14,0.5447829646281815,1.0,1.520084423474624,1.793736143558755
2019-03,2019-08,5,CORE_LOCAL_R14,0.23440950448611902,0.2,1.7542196174713822,1.9935364098260608
2019-03,2019-09,6,CORE_LOCAL_R14,-0.30588236614825853,-0.9,1.4478684750334487,1.0894619446111544
2019-03,2019-10,7,CORE_LOCAL_R14,0.4388503232139794,0.6,1.8857586582432806,1.687669112365901
2019-03,2019-11,8,CORE_LOCAL_R14,0.08577926736937133,0.0,1.9715011562246052,1.6876691123659007
2019-03,2019-12,9,CORE_LOCAL_R14,0.2542842412240635,0.1,2.225462642100202,1.7876191456742538
2019-03,2020-01,10,CORE_LOCAL_R14,0.36097677771115955,0.8,2.585789462301969,2.5844361105919416
2019-03,2020-02,11,CORE_LOCAL_R14,0.36958951189481326,0.7,2.9546976703293573,3.2819974842344655
2019-03,2020-03,12,CORE_LOCAL_R14,0.1324788637810565,-0.3,3.0870888582897478,2.9815465822045932
2019-04,2019-05,1,CORE_GAP_ADAPT_R14,,0.1,,0.09995003330835331
2019-04,2019-06,2,CORE_GAP_ADAPT_R14,,0.3,,0.3995009312882012
2019-04,2019-07,3,CORE_GAP_ADAPT_R14,,1.0,,1.3945340166050095
2019-04,2019-08,4,CORE_GAP_ADAPT_R14,,0.2,,1.5943342828723153
2019-04,2019-09,5,CORE_GAP_ADAPT_R14,,-0.9,,0.6902598176574088
2019-04,2019-10,6,CORE_GAP_ADAPT_R14,,0.6,,1.2884669854121553
2019-04,2019-11,7,CORE_GAP_ADAPT_R14,,0.0,,1.2884669854121553
2019-04,2019-12,8,CORE_GAP_ADAPT_R14,,0.1,,1.3884170187205087
2019-04,2020-01,9,CORE_GAP_ADAPT_R14,,0.8,,2.185233983638196
2019-04,2020-02,10,CORE_GAP_ADAPT_R14,,0.7,,2.8827953572807203
2019-04,2020-03,11,CORE_GAP_ADAPT_R14,,-0.3,,2.5823444552508485
2019-04,2020-04,12,CORE_GAP_ADAPT_R14,,0.2,,2.7821447215181543
2019-04,2019-05,1,CORE_GAP_RF_R14,,0.1,,0.09995003330835331
2019-04,2019-06,2,CORE_GAP_RF_R14,,0.3,,0.3995009312882012
2019-04,2019-07,3,CORE_GAP_RF_R14,,1.0,,1.3945340166050095
2019-04,2019-08,4,CORE_GAP_RF_R14,,0.2,,1.5943342828723153
2019-04,2019-09,5,CORE_GAP_RF_R14,,-0.9,,0.6902598176574088
2019-04,2019-10,6,CORE_GAP_RF_R14,,0.6,,1.2884669854121553
2019-04,2019-11,7,CORE_GAP_RF_R14,,0.0,,1.2884669854121553
2019-04,2019-12,8,CORE_GAP_RF_R14,,0.1,,1.3884170187205087
2019-04,2020-01,9,CORE_GAP_RF_R14,,0.8,,2.185233983638196
2019-04,2020-02,10,CORE_GAP_RF_R14,,0.7,,2.8827953572807203
2019-04,2020-03,11,CORE_GAP_RF_R14,,-0.3,,2.5823444552508485
2019-04,2020-04,12,CORE_GAP_RF_R14,,0.2,,2.7821447215181543
2019-04,2019-05,1,CORE_GAP_RIDGE_R14,,0.1,,0.09995003330835331
2019-04,2019-06,2,CORE_GAP_RIDGE_R14,,0.3,,0.3995009312882012
2019-04,2019-07,3,CORE_GAP_RIDGE_R14,,1.0,,1.3945340166050095
2019-04,2019-08,4,CORE_GAP_RIDGE_R14,,0.2,,1.5943342828723153
2019-04,2019-09,5,CORE_GAP_RIDGE_R14,,-0.9,,0.6902598176574088
2019-04,2019-10,6,CORE_GAP_RIDGE_R14,,0.6,,1.2884669854121553
2019-04,2019-11,7,CORE_GAP_RIDGE_R14,,0.0,,1.2884669854121553
2019-04,2019-12,8,CORE_GAP_RIDGE_R14,,0.1,,1.3884170187205087
2019-04,2020-01,9,CORE_GAP_RIDGE_R14,,0.8,,2.185233983638196
2019-04,2020-02,10,CORE_GAP_RIDGE_R14,,0.7,,2.8827953572807203
2019-04,2020-03,11,CORE_GAP_RIDGE_R14,,-0.3,,2.5823444552508485
2019-04,2020-04,12,CORE_GAP_RIDGE_R14,,0.2,,2.7821447215181543
2019-04,2019-05,1,CORE_LEVEL_RF_R14,,0.1,,0.09995003330835331
2019-04,2019-06,2,CORE_LEVEL_RF_R14,,0.3,,0.3995009312882012
2019-04,2019-07,3,CORE_LEVEL_RF_R14,,1.0,,1.3945340166050095
2019-04,2019-08,4,CORE_LEVEL_RF_R14,,0.2,,1.5943342828723153
2019-04,2019-09,5,CORE_LEVEL_RF_R14,,-0.9,,0.6902598176574088
2019-04,2019-10,6,CORE_LEVEL_RF_R14,,0.6,,1.2884669854121553
2019-04,2019-11,7,CORE_LEVEL_RF_R14,,0.0,,1.2884669854121553
2019-04,2019-12,8,CORE_LEVEL_RF_R14,,0.1,,1.3884170187205087
2019-04,2020-01,9,CORE_LEVEL_RF_R14,,0.8,,2.185233983638196
2019-04,2020-02,10,CORE_LEVEL_RF_R14,,0.7,,2.8827953572807203
2019-04,2020-03,11,CORE_LEVEL_RF_R14,,-0.3,,2.5823444552508485
2019-04,2020-04,12,CORE_LEVEL_RF_R14,,0.2,,2.7821447215181543
2019-04,2019-05,1,CORE_LEVEL_RIDGE_R14,,0.1,,0.09995003330835331
2019-04,2019-06,2,CORE_LEVEL_RIDGE_R14,,0.3,,0.3995009312882012
2019-04,2019-07,3,CORE_LEVEL_RIDGE_R14,,1.0,,1.3945340166050095
2019-04,2019-08,4,CORE_LEVEL_RIDGE_R14,,0.2,,1.5943342828723153
2019-04,2019-09,5,CORE_LEVEL_RIDGE_R14,,-0.9,,0.6902598176574088
2019-04,2019-10,6,CORE_LEVEL_RIDGE_R14,,0.6,,1.2884669854121553
2019-04,2019-11,7,CORE_LEVEL_RIDGE_R14,,0.0,,1.2884669854121553
2019-04,2019-12,8,CORE_LEVEL_RIDGE_R14,,0.1,,1.3884170187205087
2019-04,2020-01,9,CORE_LEVEL_RIDGE_R14,,0.8,,2.185233983638196
2019-04,2020-02,10,CORE_LEVEL_RIDGE_R14,,0.7,,2.8827953572807203
2019-04,2020-03,11,CORE_LEVEL_RIDGE_R14,,-0.3,,2.5823444552508485
2019-04,2020-04,12,CORE_LEVEL_RIDGE_R14,,0.2,,2.7821447215181543
2019-04,2019-05,1,CORE_LOCAL_R14,0.1952845184760323,0.1,0.19509408614318868,0.09995003330835331
2019-04,2019-06,2,CORE_LOCAL_R14,0.2646066712830509,0.3,0.4593512903135867,0.3995009312882012
2019-04,2019-07,3,CORE_LOCAL_R14,0.530744111926973,1.0,0.9886919194236045,1.3945340166050095
2019-04,2019-08,4,CORE_LOCAL_R14,0.22041398856640038,0.2,1.208863352710015,1.5943342828723153
2019-04,2019-09,5,CORE_LOCAL_R14,-0.31980244227126337,-0.9,0.8885484495617336,0.6902598176574088
2019-04,2019-10,6,CORE_LOCAL_R14,0.4248262616606077,0.6,1.312474872061218,1.2884669854121553
2019-04,2019-11,7,CORE_LOCAL_R14,0.07180450437132901,0.0,1.384253609332195,1.2884669854121553
2019-04,2019-12,8,CORE_LOCAL_R14,0.24028595023742136,0.1,1.6242513344974439,1.3884170187205087
2019-04,2020-01,9,CORE_LOCAL_R14,0.34696358947415884,0.8,1.9706143939888627,2.185233983638196
2019-04,2020-02,10,CORE_LOCAL_R14,0.35557512108018513,0.7,2.3255588413059036,2.8827953572807203
2019-04,2020-03,11,CORE_LOCAL_R14,0.08602947324885739,-0.3,2.4115513304134115,2.5823444552508485
2019-04,2020-04,12,CORE_LOCAL_R14,0.4766699349954665,0.2,2.8870887916230408,2.7821447215181543
2019-05,2019-06,1,CORE_GAP_ADAPT_R14,,0.3,,0.2995508979798479
2019-05,2019-07,2,CORE_GAP_ADAPT_R14,,1.0,,1.2945839832966564
2019-05,2019-08,3,CORE_GAP_ADAPT_R14,,0.2,,1.4943842495639619
2019-05,2019-09,4,CORE_GAP_ADAPT_R14,,-0.9,,0.5903097843490555
2019-05,2019-10,5,CORE_GAP_ADAPT_R14,,0.6,,1.188516952103802
2019-05,2019-11,6,CORE_GAP_ADAPT_R14,,0.0,,1.188516952103802
2019-05,2019-12,7,CORE_GAP_ADAPT_R14,,0.1,,1.2884669854121553
2019-05,2020-01,8,CORE_GAP_ADAPT_R14,,0.8,,2.0852839503298424
2019-05,2020-02,9,CORE_GAP_ADAPT_R14,,0.7,,2.7828453239723667
2019-05,2020-03,10,CORE_GAP_ADAPT_R14,,-0.3,,2.4823944219424945
2019-05,2020-04,11,CORE_GAP_ADAPT_R14,,0.2,,2.6821946882098002
2019-05,2020-05,12,CORE_GAP_ADAPT_R14,,0.7,,3.3797560618523246
2019-05,2019-06,1,CORE_GAP_RF_R14,,0.3,,0.2995508979798479
2019-05,2019-07,2,CORE_GAP_RF_R14,,1.0,,1.2945839832966564
2019-05,2019-08,3,CORE_GAP_RF_R14,,0.2,,1.4943842495639619
2019-05,2019-09,4,CORE_GAP_RF_R14,,-0.9,,0.5903097843490555
2019-05,2019-10,5,CORE_GAP_RF_R14,,0.6,,1.188516952103802
2019-05,2019-11,6,CORE_GAP_RF_R14,,0.0,,1.188516952103802
2019-05,2019-12,7,CORE_GAP_RF_R14,,0.1,,1.2884669854121553
2019-05,2020-01,8,CORE_GAP_RF_R14,,0.8,,2.0852839503298424
2019-05,2020-02,9,CORE_GAP_RF_R14,,0.7,,2.7828453239723667
2019-05,2020-03,10,CORE_GAP_RF_R14,,-0.3,,2.4823944219424945
2019-05,2020-04,11,CORE_GAP_RF_R14,,0.2,,2.6821946882098002
2019-05,2020-05,12,CORE_GAP_RF_R14,,0.7,,3.3797560618523246
2019-05,2019-06,1,CORE_GAP_RIDGE_R14,,0.3,,0.2995508979798479
2019-05,2019-07,2,CORE_GAP_RIDGE_R14,,1.0,,1.2945839832966564
2019-05,2019-08,3,CORE_GAP_RIDGE_R14,,0.2,,1.4943842495639619
2019-05,2019-09,4,CORE_GAP_RIDGE_R14,,-0.9,,0.5903097843490555
2019-05,2019-10,5,CORE_GAP_RIDGE_R14,,0.6,,1.188516952103802
2019-05,2019-11,6,CORE_GAP_RIDGE_R14,,0.0,,1.188516952103802
2019-05,2019-12,7,CORE_GAP_RIDGE_R14,,0.1,,1.2884669854121553
2019-05,2020-01,8,CORE_GAP_RIDGE_R14,,0.8,,2.0852839503298424
2019-05,2020-02,9,CORE_GAP_RIDGE_R14,,0.7,,2.7828453239723667
2019-05,2020-03,10,CORE_GAP_RIDGE_R14,,-0.3,,2.4823944219424945
2019-05,2020-04,11,CORE_GAP_RIDGE_R14,,0.2,,2.6821946882098002
2019-05,2020-05,12,CORE_GAP_RIDGE_R14,,0.7,,3.3797560618523246
2019-05,2019-06,1,CORE_LEVEL_RF_R14,,0.3,,0.2995508979798479
2019-05,2019-07,2,CORE_LEVEL_RF_R14,,1.0,,1.2945839832966564
2019-05,2019-08,3,CORE_LEVEL_RF_R14,,0.2,,1.4943842495639619
2019-05,2019-09,4,CORE_LEVEL_RF_R14,,-0.9,,0.5903097843490555
2019-05,2019-10,5,CORE_LEVEL_RF_R14,,0.6,,1.188516952103802
