origin,as_of,band,model,level_prediction,current_trend,n_train,last_training_origin,last_training_target,training_last_release
2019-02,2019-03-10 23:59:00,0,CORE_LOCAL_R14,0.2655616739386371,0.2655616739386371,32,2018-10,2019-01,2019-02-13 09:00:00
2019-02,2019-03-10 23:59:00,0,CORE_LEVEL_RIDGE_R14,,0.2655616739386371,32,2018-10,2019-01,2019-02-13 09:00:00
2019-02,2019-03-10 23:59:00,0,CORE_GAP_RIDGE_R14,,0.2655616739386371,32,2018-10,2019-01,2019-02-13 09:00:00
2019-02,2019-03-10 23:59:00,0,CORE_GAP_ADAPT_R14,,0.2655616739386371,32,2018-10,2019-01,2019-02-13 09:00:00
2019-02,2019-03-10 23:59:00,0,CORE_LEVEL_RF_R14,,0.2655616739386371,32,2018-10,2019-01,2019-02-13 09:00:00
2019-02,2019-03-10 23:59:00,0,CORE_GAP_RF_R14,,0.2655616739386371,32,2018-10,2019-01,2019-02-13 09:00:00
2019-02,2019-03-10 23:59:00,1,CORE_LOCAL_R14,0.2655616739386371,0.2655616739386371,29,2018-07,2019-01,2019-02-13 09:00:00
2019-02,2019-03-10 23:59:00,1,CORE_LEVEL_RIDGE_R14,,0.2655616739386371,29,2018-07,2019-01,2019-02-13 09:00:00
2019-02,2019-03-10 23:59:00,1,CORE_GAP_RIDGE_R14,,0.2655616739386371,29,2018-07,2019-01,2019-02-13 09:00:00
2019-02,2019-03-10 23:59:00,1,CORE_GAP_ADAPT_R14,,0.2655616739386371,29,2018-07,2019-01,2019-02-13 09:00:00
2019-02,2019-03-10 23:59:00,1,CORE_LEVEL_RF_R14,,0.2655616739386371,29,2018-07,2019-01,2019-02-13 09:00:00
2019-02,2019-03-10 23:59:00,1,CORE_GAP_RF_R14,,0.2655616739386371,29,2018-07,2019-01,2019-02-13 09:00:00
2019-02,2019-03-10 23:59:00,2,CORE_LOCAL_R14,0.2655616739386371,0.2655616739386371,26,2018-04,2019-01,2019-02-13 09:00:00
2019-02,2019-03-10 23:59:00,2,CORE_LEVEL_RIDGE_R14,,0.2655616739386371,26,2018-04,2019-01,2019-02-13 09:00:00
2019-02,2019-03-10 23:59:00,2,CORE_GAP_RIDGE_R14,,0.2655616739386371,26,2018-04,2019-01,2019-02-13 09:00:00
2019-02,2019-03-10 23:59:00,2,CORE_GAP_ADAPT_R14,,0.2655616739386371,26,2018-04,2019-01,2019-02-13 09:00:00
2019-02,2019-03-10 23:59:00,2,CORE_LEVEL_RF_R14,,0.2655616739386371,26,2018-04,2019-01,2019-02-13 09:00:00
2019-02,2019-03-10 23:59:00,2,CORE_GAP_RF_R14,,0.2655616739386371,26,2018-04,2019-01,2019-02-13 09:00:00
2019-02,2019-03-10 23:59:00,3,CORE_LOCAL_R14,0.2655616739386371,0.2655616739386371,23,2018-01,2019-01,2019-02-13 09:00:00
2019-02,2019-03-10 23:59:00,3,CORE_LEVEL_RIDGE_R14,,0.2655616739386371,23,2018-01,2019-01,2019-02-13 09:00:00
2019-02,2019-03-10 23:59:00,3,CORE_GAP_RIDGE_R14,,0.2655616739386371,23,2018-01,2019-01,2019-02-13 09:00:00
2019-02,2019-03-10 23:59:00,3,CORE_GAP_ADAPT_R14,,0.2655616739386371,23,2018-01,2019-01,2019-02-13 09:00:00
2019-02,2019-03-10 23:59:00,3,CORE_LEVEL_RF_R14,,0.2655616739386371,23,2018-01,2019-01,2019-02-13 09:00:00
2019-02,2019-03-10 23:59:00,3,CORE_GAP_RF_R14,,0.2655616739386371,23,2018-01,2019-01,2019-02-13 09:00:00
2019-03,2019-04-09 23:59:00,0,CORE_LOCAL_R14,0.257257404857479,0.257257404857479,33,2018-11,2019-02,2019-03-11 09:00:00
2019-03,2019-04-09 23:59:00,0,CORE_LEVEL_RIDGE_R14,,0.257257404857479,33,2018-11,2019-02,2019-03-11 09:00:00
2019-03,2019-04-09 23:59:00,0,CORE_GAP_RIDGE_R14,,0.257257404857479,33,2018-11,2019-02,2019-03-11 09:00:00
2019-03,2019-04-09 23:59:00,0,CORE_GAP_ADAPT_R14,,0.257257404857479,33,2018-11,2019-02,2019-03-11 09:00:00
2019-03,2019-04-09 23:59:00,0,CORE_LEVEL_RF_R14,,0.257257404857479,33,2018-11,2019-02,2019-03-11 09:00:00
2019-03,2019-04-09 23:59:00,0,CORE_GAP_RF_R14,,0.257257404857479,33,2018-11,2019-02,2019-03-11 09:00:00
2019-03,2019-04-09 23:59:00,1,CORE_LOCAL_R14,0.257257404857479,0.257257404857479,30,2018-08,2019-02,2019-03-11 09:00:00
2019-03,2019-04-09 23:59:00,1,CORE_LEVEL_RIDGE_R14,,0.257257404857479,30,2018-08,2019-02,2019-03-11 09:00:00
2019-03,2019-04-09 23:59:00,1,CORE_GAP_RIDGE_R14,,0.257257404857479,30,2018-08,2019-02,2019-03-11 09:00:00
2019-03,2019-04-09 23:59:00,1,CORE_GAP_ADAPT_R14,,0.257257404857479,30,2018-08,2019-02,2019-03-11 09:00:00
2019-03,2019-04-09 23:59:00,1,CORE_LEVEL_RF_R14,,0.257257404857479,30,2018-08,2019-02,2019-03-11 09:00:00
2019-03,2019-04-09 23:59:00,1,CORE_GAP_RF_R14,,0.257257404857479,30,2018-08,2019-02,2019-03-11 09:00:00
2019-03,2019-04-09 23:59:00,2,CORE_LOCAL_R14,0.257257404857479,0.257257404857479,27,2018-05,2019-02,2019-03-11 09:00:00
2019-03,2019-04-09 23:59:00,2,CORE_LEVEL_RIDGE_R14,,0.257257404857479,27,2018-05,2019-02,2019-03-11 09:00:00
2019-03,2019-04-09 23:59:00,2,CORE_GAP_RIDGE_R14,,0.257257404857479,27,2018-05,2019-02,2019-03-11 09:00:00
2019-03,2019-04-09 23:59:00,2,CORE_GAP_ADAPT_R14,,0.257257404857479,27,2018-05,2019-02,2019-03-11 09:00:00
2019-03,2019-04-09 23:59:00,2,CORE_LEVEL_RF_R14,,0.257257404857479,27,2018-05,2019-02,2019-03-11 09:00:00
2019-03,2019-04-09 23:59:00,2,CORE_GAP_RF_R14,,0.257257404857479,27,2018-05,2019-02,2019-03-11 09:00:00
2019-03,2019-04-09 23:59:00,3,CORE_LOCAL_R14,0.257257404857479,0.257257404857479,24,2018-02,2019-02,2019-03-11 09:00:00
2019-03,2019-04-09 23:59:00,3,CORE_LEVEL_RIDGE_R14,,0.257257404857479,24,2018-02,2019-02,2019-03-11 09:00:00
2019-03,2019-04-09 23:59:00,3,CORE_GAP_RIDGE_R14,,0.257257404857479,24,2018-02,2019-02,2019-03-11 09:00:00
2019-03,2019-04-09 23:59:00,3,CORE_GAP_ADAPT_R14,,0.257257404857479,24,2018-02,2019-02,2019-03-11 09:00:00
2019-03,2019-04-09 23:59:00,3,CORE_LEVEL_RF_R14,,0.257257404857479,24,2018-02,2019-02,2019-03-11 09:00:00
2019-03,2019-04-09 23:59:00,3,CORE_GAP_RF_R14,,0.257257404857479,24,2018-02,2019-02,2019-03-11 09:00:00
2019-04,2019-05-12 23:59:00,0,CORE_LOCAL_R14,0.24059073263525343,0.24059073263525343,34,2018-12,2019-03,2019-04-10 09:00:00
2019-04,2019-05-12 23:59:00,0,CORE_LEVEL_RIDGE_R14,,0.24059073263525343,34,2018-12,2019-03,2019-04-10 09:00:00
2019-04,2019-05-12 23:59:00,0,CORE_GAP_RIDGE_R14,,0.24059073263525343,34,2018-12,2019-03,2019-04-10 09:00:00
2019-04,2019-05-12 23:59:00,0,CORE_GAP_ADAPT_R14,,0.24059073263525343,34,2018-12,2019-03,2019-04-10 09:00:00
2019-04,2019-05-12 23:59:00,0,CORE_LEVEL_RF_R14,,0.24059073263525343,34,2018-12,2019-03,2019-04-10 09:00:00
2019-04,2019-05-12 23:59:00,0,CORE_GAP_RF_R14,,0.24059073263525343,34,2018-12,2019-03,2019-04-10 09:00:00
2019-04,2019-05-12 23:59:00,1,CORE_LOCAL_R14,0.24059073263525343,0.24059073263525343,31,2018-09,2019-03,2019-04-10 09:00:00
2019-04,2019-05-12 23:59:00,1,CORE_LEVEL_RIDGE_R14,,0.24059073263525343,31,2018-09,2019-03,2019-04-10 09:00:00
2019-04,2019-05-12 23:59:00,1,CORE_GAP_RIDGE_R14,,0.24059073263525343,31,2018-09,2019-03,2019-04-10 09:00:00
2019-04,2019-05-12 23:59:00,1,CORE_GAP_ADAPT_R14,,0.24059073263525343,31,2018-09,2019-03,2019-04-10 09:00:00
2019-04,2019-05-12 23:59:00,1,CORE_LEVEL_RF_R14,,0.24059073263525343,31,2018-09,2019-03,2019-04-10 09:00:00
2019-04,2019-05-12 23:59:00,1,CORE_GAP_RF_R14,,0.24059073263525343,31,2018-09,2019-03,2019-04-10 09:00:00
2019-04,2019-05-12 23:59:00,2,CORE_LOCAL_R14,0.24059073263525343,0.24059073263525343,28,2018-06,2019-03,2019-04-10 09:00:00
2019-04,2019-05-12 23:59:00,2,CORE_LEVEL_RIDGE_R14,,0.24059073263525343,28,2018-06,2019-03,2019-04-10 09:00:00
2019-04,2019-05-12 23:59:00,2,CORE_GAP_RIDGE_R14,,0.24059073263525343,28,2018-06,2019-03,2019-04-10 09:00:00
2019-04,2019-05-12 23:59:00,2,CORE_GAP_ADAPT_R14,,0.24059073263525343,28,2018-06,2019-03,2019-04-10 09:00:00
2019-04,2019-05-12 23:59:00,2,CORE_LEVEL_RF_R14,,0.24059073263525343,28,2018-06,2019-03,2019-04-10 09:00:00
2019-04,2019-05-12 23:59:00,2,CORE_GAP_RF_R14,,0.24059073263525343,28,2018-06,2019-03,2019-04-10 09:00:00
2019-04,2019-05-12 23:59:00,3,CORE_LOCAL_R14,0.24059073263525343,0.24059073263525343,25,2018-03,2019-03,2019-04-10 09:00:00
2019-04,2019-05-12 23:59:00,3,CORE_LEVEL_RIDGE_R14,,0.24059073263525343,25,2018-03,2019-03,2019-04-10 09:00:00
2019-04,2019-05-12 23:59:00,3,CORE_GAP_RIDGE_R14,,0.24059073263525343,25,2018-03,2019-03,2019-04-10 09:00:00
2019-04,2019-05-12 23:59:00,3,CORE_GAP_ADAPT_R14,,0.24059073263525343,25,2018-03,2019-03,2019-04-10 09:00:00
2019-04,2019-05-12 23:59:00,3,CORE_LEVEL_RF_R14,,0.24059073263525343,25,2018-03,2019-03,2019-04-10 09:00:00
2019-04,2019-05-12 23:59:00,3,CORE_GAP_RF_R14,,0.24059073263525343,25,2018-03,2019-03,2019-04-10 09:00:00
2019-05,2019-06-10 23:59:00,0,CORE_LOCAL_R14,0.23229473062273995,0.23229473062273995,35,2019-01,2019-04,2019-05-13 09:00:00
2019-05,2019-06-10 23:59:00,0,CORE_LEVEL_RIDGE_R14,,0.23229473062273995,35,2019-01,2019-04,2019-05-13 09:00:00
2019-05,2019-06-10 23:59:00,0,CORE_GAP_RIDGE_R14,,0.23229473062273995,35,2019-01,2019-04,2019-05-13 09:00:00
2019-05,2019-06-10 23:59:00,0,CORE_GAP_ADAPT_R14,,0.23229473062273995,35,2019-01,2019-04,2019-05-13 09:00:00
2019-05,2019-06-10 23:59:00,0,CORE_LEVEL_RF_R14,,0.23229473062273995,35,2019-01,2019-04,2019-05-13 09:00:00
