model,reference,sample,block,n,rmse_delta,lower,upper
CORE_RF_MEAN_R21,HARD_BASE,full90,3,90,-0.004295446182401297,-0.012095622472017585,0.002748789045057327
CORE_RF_MEAN_R21,HARD_BASE,full90,6,90,-0.004295446182401297,-0.01121428837969912,0.003196726221200688
CORE_RF_MEAN_R21,HARD_BASE,full90,12,90,-0.004295446182401297,-0.011595641606799092,0.003802734708750771
CORE_RF_MEAN_R21,HARD_BASE,common_fitted,3,66,-0.0015192610010918983,-0.010641871617987958,0.006944723371997954
CORE_RF_MEAN_R21,HARD_BASE,common_fitted,6,66,-0.0015192610010918983,-0.008518449179919677,0.007103041353859872
CORE_RF_MEAN_R21,HARD_BASE,common_fitted,12,66,-0.0015192610010918983,-0.007565228906735638,0.009376122005082033
CORE_RF_MEAN_R21,HARD_BASE,2024+,3,31,0.0047101018098878455,-0.011243637156312231,0.021685362505005728
CORE_RF_MEAN_R21,HARD_BASE,2024+,6,31,0.0047101018098878455,-0.011443593036276272,0.020357758540702778
CORE_RF_MEAN_R21,HARD_BASE,2024+,12,31,0.0047101018098878455,-0.011353103473561544,0.016740300466270782
CORE_RF_MEAN_R21,HARD_FULL,full90,3,90,-0.00027474578789143944,-0.019778418958658776,0.01426256378259393
CORE_RF_MEAN_R21,HARD_FULL,full90,6,90,-0.00027474578789143944,-0.012309611415772526,0.008215585158741278
CORE_RF_MEAN_R21,HARD_FULL,full90,12,90,-0.00027474578789143944,-0.011639698278549104,0.007609484938720553
CORE_RF_MEAN_R21,HARD_FULL,common_fitted,3,66,0.0012512409463915075,-0.023481127205192326,0.018131154509645895
CORE_RF_MEAN_R21,HARD_FULL,common_fitted,6,66,0.0012512409463915075,-0.013388458357837748,0.01079479844075522
CORE_RF_MEAN_R21,HARD_FULL,common_fitted,12,66,0.0012512409463915075,-0.01321857813359003,0.010306141361121788
CORE_RF_MEAN_R21,HARD_FULL,2024+,3,31,-0.0016287169111762478,-0.023110702807386856,0.019377269123409334
CORE_RF_MEAN_R21,HARD_FULL,2024+,6,31,-0.0016287169111762478,-0.019400982315363354,0.014687797492514578
CORE_RF_MEAN_R21,HARD_FULL,2024+,12,31,-0.0016287169111762478,-0.01436996785474652,0.011401537983544313
CORE_RF_MEDIAN_R21,HARD_BASE,full90,3,90,-0.004165214408094364,-0.010386444907656996,0.0034144960495677925
CORE_RF_MEDIAN_R21,HARD_BASE,full90,6,90,-0.004165214408094364,-0.010741698525493643,0.0032912526395160193
CORE_RF_MEDIAN_R21,HARD_BASE,full90,12,90,-0.004165214408094364,-0.010569298654085839,0.0042203165825014525
CORE_RF_MEDIAN_R21,HARD_BASE,common_fitted,3,66,-0.002181079187944579,-0.00897115949301504,0.0074402969902439935
CORE_RF_MEDIAN_R21,HARD_BASE,common_fitted,6,66,-0.002181079187944579,-0.008908323517562284,0.007950136996218998
CORE_RF_MEDIAN_R21,HARD_BASE,common_fitted,12,66,-0.002181079187944579,-0.008089806154479066,0.008876962129497843
CORE_RF_MEDIAN_R21,HARD_BASE,2024+,3,31,0.00557905741055717,-0.00890663505392559,0.023992881182775733
CORE_RF_MEDIAN_R21,HARD_BASE,2024+,6,31,0.00557905741055717,-0.009122192578154761,0.022218112375794755
CORE_RF_MEDIAN_R21,HARD_BASE,2024+,12,31,0.00557905741055717,-0.007228677503359356,0.018654756837796795
CORE_RF_MEDIAN_R21,HARD_FULL,full90,3,90,-0.00014451401358450688,-0.01879808321146785,0.012710165335545292
CORE_RF_MEDIAN_R21,HARD_FULL,full90,6,90,-0.00014451401358450688,-0.012414594683479776,0.008355767835031397
CORE_RF_MEDIAN_R21,HARD_FULL,full90,12,90,-0.00014451401358450688,-0.012905062213802587,0.007619381715644895
CORE_RF_MEDIAN_R21,HARD_FULL,common_fitted,3,66,0.0005894227595388268,-0.022437525975892054,0.016475076721750068
CORE_RF_MEDIAN_R21,HARD_FULL,common_fitted,6,66,0.0005894227595388268,-0.015502309510970837,0.01087082867454952
CORE_RF_MEDIAN_R21,HARD_FULL,common_fitted,12,66,0.0005894227595388268,-0.015176613419349071,0.010135047097239348
CORE_RF_MEDIAN_R21,HARD_FULL,2024+,3,31,-0.0007597613105069234,-0.022980161540067687,0.021217049185041068
CORE_RF_MEDIAN_R21,HARD_FULL,2024+,6,31,-0.0007597613105069234,-0.020730074635569713,0.017187905492117742
CORE_RF_MEDIAN_R21,HARD_FULL,2024+,12,31,-0.0007597613105069234,-0.01670309300365142,0.015018833101845923
HEADLINE_ENET_R21,HARD_BASE,full90,3,90,0.07743430621770614,0.03871672272473523,0.11606721513229393
HEADLINE_ENET_R21,HARD_BASE,full90,6,90,0.07743430621770614,0.03920545088011187,0.11352176295467357
HEADLINE_ENET_R21,HARD_BASE,full90,12,90,0.07743430621770614,0.03262222134356255,0.11697940480276085
HEADLINE_ENET_R21,HARD_BASE,common_fitted,3,66,0.09434035951744257,0.05175547856713347,0.14557668990771117
HEADLINE_ENET_R21,HARD_BASE,common_fitted,6,66,0.09434035951744257,0.05757150556546028,0.1329483465684433
HEADLINE_ENET_R21,HARD_BASE,common_fitted,12,66,0.09434035951744257,0.053750129089704765,0.13553244933503947
HEADLINE_ENET_R21,HARD_BASE,2024+,3,31,0.026862905886100713,-0.028560775293268982,0.08939938180825868
HEADLINE_ENET_R21,HARD_BASE,2024+,6,31,0.026862905886100713,-0.022296579911359582,0.07431808190219384
HEADLINE_ENET_R21,HARD_BASE,2024+,12,31,0.026862905886100713,-0.016990660533123196,0.06655671567302753
