model,reference,omitted,rmse_delta,mae_delta
CORE_RF_MEAN_R21,HARD_BASE,2019-02,-0.004676670045430542,-0.004610313073667882
CORE_RF_MEAN_R21,HARD_BASE,2019-03,-0.004378694305769093,-0.0039000599507984512
CORE_RF_MEAN_R21,HARD_BASE,2019-04,-0.005185452723538153,-0.004741539097692149
CORE_RF_MEAN_R21,HARD_BASE,2019-05,-0.003447427275149184,-0.002826188641521732
CORE_RF_MEAN_R21,HARD_BASE,2019-06,-0.004331483986604712,-0.003741294194759881
CORE_RF_MEAN_R21,HARD_BASE,2019-07,-0.004346402246191539,-0.003923806362212345
CORE_RF_MEAN_R21,HARD_BASE,2019-08,-0.004313531062240861,-0.003571908625686626
CORE_RF_MEAN_R21,HARD_BASE,2019-09,-0.0042978666849967095,-0.003633955188773297
CORE_RF_MEAN_R21,HARD_BASE,2019-10,-0.003793528094639842,-0.002700994835293069
CORE_RF_MEAN_R21,HARD_BASE,2019-11,-0.0041779434588954945,-0.003168876482366245
CORE_RF_MEAN_R21,HARD_BASE,2019-12,-0.004281171342098156,-0.0035828916322409587
CORE_RF_MEAN_R21,HARD_BASE,2020-01,-0.003397377176594718,-0.00298850624618352
CORE_RF_MEAN_R21,HARD_BASE,2020-02,-0.00435843965515037,-0.004267353797140605
CORE_RF_MEAN_R21,HARD_BASE,2020-03,-0.004372857668237751,-0.0038053937323090925
CORE_RF_MEAN_R21,HARD_BASE,2020-04,-0.004316306121985136,-0.0036638711318407458
CORE_RF_MEAN_R21,HARD_BASE,2020-05,-0.0040864596924995444,-0.003189771649717288
CORE_RF_MEAN_R21,HARD_BASE,2020-06,-0.0039050656877414602,-0.0028848374768364327
CORE_RF_MEAN_R21,HARD_BASE,2020-07,-0.00428762122431825,-0.0035092810734795865
CORE_RF_MEAN_R21,HARD_BASE,2020-08,-0.004310497319467477,-0.0035398823675243385
CORE_RF_MEAN_R21,HARD_BASE,2020-09,-0.004206287100521344,-0.003444919019398307
CORE_RF_MEAN_R21,HARD_BASE,2020-10,-0.004385809515679628,-0.004305687843057404
CORE_RF_MEAN_R21,HARD_BASE,2020-11,-0.004425794971050001,-0.003977064730424085
CORE_RF_MEAN_R21,HARD_BASE,2020-12,-0.00416943480514842,-0.003490050593362881
CORE_RF_MEAN_R21,HARD_BASE,2021-01,-0.0033189490600421534,-0.0026829527232733463
CORE_RF_MEAN_R21,HARD_BASE,2021-02,-0.0049899653537830435,-0.004688089913659432
CORE_RF_MEAN_R21,HARD_BASE,2021-03,-0.004359947654166418,-0.00395842894903542
CORE_RF_MEAN_R21,HARD_BASE,2021-04,-0.003896365550036751,-0.002808303823955194
CORE_RF_MEAN_R21,HARD_BASE,2021-05,-0.004969579926258572,-0.00433956641879335
CORE_RF_MEAN_R21,HARD_BASE,2021-06,-0.00405832227580516,-0.0028569131609146314
CORE_RF_MEAN_R21,HARD_BASE,2021-07,-0.003923606571512417,-0.0031666334253016015
CORE_RF_MEAN_R21,HARD_BASE,2021-08,-0.004785789668377449,-0.004046824152384387
CORE_RF_MEAN_R21,HARD_BASE,2021-09,-0.004174541785290864,-0.0034717795135911778
CORE_RF_MEAN_R21,HARD_BASE,2021-10,-0.0036893697861076213,-0.0024902674370493316
CORE_RF_MEAN_R21,HARD_BASE,2021-11,-0.004190579571216824,-0.0035419814863753563
CORE_RF_MEAN_R21,HARD_BASE,2021-12,-0.005091598120399554,-0.004450930349319704
CORE_RF_MEAN_R21,HARD_BASE,2022-01,-0.004326389251199048,-0.0037886379520764013
CORE_RF_MEAN_R21,HARD_BASE,2022-02,-0.003648834418183089,-0.0029640134203057222
CORE_RF_MEAN_R21,HARD_BASE,2022-03,-0.004651955286859466,-0.0038257522578619696
CORE_RF_MEAN_R21,HARD_BASE,2022-04,-0.003656707410305715,-0.003364432040423748
CORE_RF_MEAN_R21,HARD_BASE,2022-05,-0.004515200047818746,-0.004761326203669758
CORE_RF_MEAN_R21,HARD_BASE,2022-06,-0.0038369159842596146,-0.0022718161918836577
CORE_RF_MEAN_R21,HARD_BASE,2022-07,-0.004826091471094585,-0.004992803447006033
