edge,horizon,n_train,n_features,seconds,status
2009-05,13,35,1,0.004346100031398237,skipped_short_warmup
2009-06,13,36,1,0.006716799980495125,
2009-07,13,37,1,0.006550899997819215,
2009-08,13,38,1,0.007000299985520542,
2009-09,13,39,1,0.006431899964809418,
2009-10,13,40,1,0.007441599969752133,
2009-11,13,41,1,0.006708099972456694,
2009-12,13,42,1,0.006976099975872785,
