month,food
2015-01,100.8
2015-02,100.8
2015-03,100.8
2015-04,101.3
2015-05,101.5
2015-06,101.5
2015-07,99.5
2015-08,98.700000000000003
2015-09,99.799999999999997
2015-10,99.200000000000003
2015-11,98.400000000000006
2015-12,97.700000000000003
2016-01,98.900000000000006
2016-02,99.099999999999994
2016-03,99.099999999999994
2016-04,99.299999999999997
2016-05,98.799999999999997
2016-06,98.299999999999997
2016-07,98.799999999999997
2016-08,98
2016-09,98
2016-10,98
2016-11,100
2016-12,101
2017-01,102.5
2017-02,104.2
2017-03,103.7
2017-04,103.2
2017-05,103.59999999999999
2017-06,103.90000000000001
2017-07,104.8
2017-08,103.90000000000001
2017-09,104.09999999999999
2017-10,105.90000000000001
2017-11,106.3
2017-12,106.90000000000001
2018-01,107.5
2018-02,106.7
2018-03,106.09999999999999
2018-04,105.3
2018-05,106.5
2018-06,107
2018-07,105
2018-08,104.5
2018-09,105.7
2018-10,106.2
2018-11,104.8
2018-12,106.3
2019-01,107.40000000000001
2019-02,108.09999999999999
2019-03,108.09999999999999
2019-04,107.40000000000001
2019-05,110
2019-06,110.2
2019-07,109.59999999999999
2019-08,109.2
2019-09,108.8
2019-10,109.5
2019-11,111.09999999999999
2019-12,111.7
2020-01,114.7
2020-02,114.5
2020-03,115.5
2020-04,116.40000000000001
2020-05,117.2
2020-06,116.7
2020-07,114.5
2020-08,113.8
2020-09,112.59999999999999
2020-10,113.3
2020-11,113.3
2020-12,111.7
2021-01,115.2
2021-02,115.2
2021-03,115.2
2021-04,116.09999999999999
2021-05,115.59999999999999
2021-06,115.09999999999999
2021-07,115.5
2021-08,115.8
2021-09,114.59999999999999
2021-10,114.2
2021-11,115.59999999999999
2021-12,116.59999999999999
2022-01,121.5
2022-02,123.2
2022-03,124.09999999999999
2022-04,128.90000000000001
2022-05,133.40000000000001
2022-06,136.59999999999999
2022-07,138.59999999999999
2022-08,139.19999999999999
2022-09,139.5
2022-10,144.09999999999999
2022-11,146.80000000000001
2022-12,147.30000000000001
2023-01,152.5
2023-02,153.40000000000001
2023-03,153.90000000000001
2023-04,151.5
2023-05,152.90000000000001
2023-06,152.59999999999999
2023-07,151.40000000000001
2023-08,149.80000000000001
2023-09,147.09999999999999
2023-10,148.69999999999999
2023-11,148
2023-12,145.80000000000001
2024-01,145.40000000000001
2024-02,145
2024-03,143.90000000000001
2024-04,146.19999999999999
2024-05,146.09999999999999
2024-06,145.30000000000001
2024-07,145.69999999999999
2024-08,146.40000000000001
2024-09,147.59999999999999
2024-10,148.09999999999999
2024-11,148.80000000000001
2024-12,147.69999999999999
2025-01,152.19999999999999
2025-02,151.19999999999999
2025-03,152.40000000000001
2025-04,152
2025-05,153.80000000000001
2025-06,154.19999999999999
2025-07,152.90000000000001
2025-08,153
2025-09,151.09999999999999
2025-10,153
2025-11,151.59999999999999
2025-12,149.90000000000001
2026-01,153.69999999999999
2026-02,151.59999999999999
2026-03,150.5
2026-04,149.69999999999999
2026-05,150.80000000000001
2026-06,148.90000000000001
2026-07,148
