month,insurance_financial_services
2015-01,98.700000000000003
2015-02,99.5
2015-03,99.5
2015-04,99.700000000000003
2015-05,99.900000000000006
2015-06,100.3
2015-07,100.3
2015-08,100.3
2015-09,100.40000000000001
2015-10,100.40000000000001
2015-11,100.40000000000001
2015-12,100.5
2016-01,100.59999999999999
2016-02,100.5
2016-03,100.5
2016-04,101.5
2016-05,101.7
2016-06,102.09999999999999
2016-07,102.40000000000001
2016-08,102.3
2016-09,102.8
2016-10,103.2
2016-11,102.90000000000001
2016-12,102.2
2017-01,102.40000000000001
2017-02,101.5
2017-03,101.5
2017-04,101.59999999999999
2017-05,100.90000000000001
2017-06,100.90000000000001
2017-07,100.59999999999999
2017-08,100.40000000000001
2017-09,100.5
2017-10,100.59999999999999
2017-11,100.8
2017-12,100.8
2018-01,101.09999999999999
2018-02,101.7
2018-03,101.90000000000001
2018-04,102.09999999999999
2018-05,102.5
2018-06,103.09999999999999
2018-07,104.59999999999999
2018-08,104.59999999999999
2018-09,104.8
2018-10,105.59999999999999
2018-11,105.7
2018-12,106
2019-01,106.3
2019-02,106.5
2019-03,106.90000000000001
2019-04,107.7
2019-05,108.3
2019-06,108.3
2019-07,109.90000000000001
2019-08,109.90000000000001
2019-09,110
2019-10,110
2019-11,109.8
2019-12,109.8
2020-01,110.3
2020-02,111.09999999999999
2020-03,111.3
2020-04,111.40000000000001
2020-05,111.5
2020-06,111.40000000000001
2020-07,111.90000000000001
2020-08,112
2020-09,112.09999999999999
2020-10,112.2
2020-11,112.2
2020-12,113.40000000000001
2021-01,114.59999999999999
2021-02,116.40000000000001
2021-03,117.5
2021-04,117.8
2021-05,117.8
2021-06,117.8
2021-07,117.8
2021-08,119
2021-09,119.09999999999999
2021-10,119.09999999999999
2021-11,120
2021-12,120
2022-01,121.09999999999999
2022-02,122.8
2022-03,122.90000000000001
2022-04,123.59999999999999
2022-05,124
2022-06,124
2022-07,125.40000000000001
2022-08,125.5
2022-09,125.59999999999999
2022-10,126.40000000000001
2022-11,126.8
2022-12,127.09999999999999
2023-01,128.69999999999999
2023-02,128
2023-03,128.09999999999999
2023-04,128.19999999999999
2023-05,128.19999999999999
2023-06,128.30000000000001
2023-07,128.40000000000001
2023-08,128.80000000000001
2023-09,129.19999999999999
2023-10,129.40000000000001
2023-11,130
2023-12,130.30000000000001
2024-01,130.90000000000001
2024-02,133.40000000000001
2024-03,133.69999999999999
2024-04,133.69999999999999
2024-05,134.40000000000001
2024-06,134.5
2024-07,135.30000000000001
2024-08,135.40000000000001
2024-09,135.80000000000001
2024-10,135.90000000000001
2024-11,136
2024-12,136.09999999999999
2025-01,137
2025-02,139.5
2025-03,139.90000000000001
2025-04,140.69999999999999
2025-05,141
2025-06,141.19999999999999
2025-07,141.40000000000001
2025-08,141.59999999999999
2025-09,142
2025-10,142.09999999999999
2025-11,143.40000000000001
2025-12,143.69999999999999
2026-01,145.09999999999999
2026-02,146.30000000000001
2026-03,146.40000000000001
2026-04,146.5
2026-05,146.59999999999999
2026-06,146.90000000000001
2026-07,147.19999999999999
2026-08,147.59999999999999
