memberStateCode,memberStateName,beginDate,endDate,price,unit,weekNumber,pigClass
CZ,Czechia,24/08/2026,30/08/2026,€166.21,100 KG,35,S
CZ,Czechia,24/08/2026,30/08/2026,€140.25,100 KG,35,R
CZ,Czechia,24/08/2026,30/08/2026,€162.77,100 KG,35,E
CZ,Czechia,17/08/2026,23/08/2026,€165.59,100 KG,34,S
CZ,Czechia,17/08/2026,23/08/2026,€45.65,P,34,Piglet
CZ,Czechia,17/08/2026,23/08/2026,€162.24,100 KG,34,E
CZ,Czechia,17/08/2026,23/08/2026,€141.50,100 KG,34,R
CZ,Czechia,10/08/2026,16/08/2026,€155.47,100 KG,33,S
CZ,Czechia,10/08/2026,16/08/2026,€124.28,100 KG,33,R
CZ,Czechia,10/08/2026,16/08/2026,€152.54,100 KG,33,E
CZ,Czechia,03/08/2026,09/08/2026,€123.81,100 KG,32,R
CZ,Czechia,03/08/2026,09/08/2026,€145.70,100 KG,32,S
CZ,Czechia,03/08/2026,09/08/2026,€142.77,100 KG,32,E
CZ,Czechia,27/07/2026,02/08/2026,€119.22,100 KG,31,R
CZ,Czechia,27/07/2026,02/08/2026,€142.58,100 KG,31,E
CZ,Czechia,27/07/2026,02/08/2026,€146.06,100 KG,31,S
CZ,Czechia,20/07/2026,26/07/2026,€145.09,100 KG,30,S
CZ,Czechia,20/07/2026,26/07/2026,€119.89,100 KG,30,R
CZ,Czechia,20/07/2026,26/07/2026,€142.52,100 KG,30,E
CZ,Czechia,13/07/2026,19/07/2026,€143.14,100 KG,29,E
CZ,Czechia,13/07/2026,19/07/2026,€124.49,100 KG,29,R
CZ,Czechia,13/07/2026,19/07/2026,€146.15,100 KG,29,S
CZ,Czechia,06/07/2026,12/07/2026,€123.81,100 KG,28,R
CZ,Czechia,06/07/2026,12/07/2026,€51.49,P,28,Piglet
CZ,Czechia,06/07/2026,12/07/2026,€150.21,100 KG,28,E
CZ,Czechia,06/07/2026,12/07/2026,€153.64,100 KG,28,S
CZ,Czechia,29/06/2026,05/07/2026,€153.69,100 KG,27,S
CZ,Czechia,29/06/2026,05/07/2026,€150.22,100 KG,27,E
CZ,Czechia,29/06/2026,05/07/2026,€122.56,100 KG,27,R
CZ,Czechia,29/06/2026,05/07/2026,€45.70,P,27,Piglet
CZ,Czechia,22/06/2026,28/06/2026,€153.13,100 KG,26,S
CZ,Czechia,22/06/2026,28/06/2026,€148.88,100 KG,26,E
CZ,Czechia,22/06/2026,28/06/2026,€123.05,100 KG,26,R
CZ,Czechia,15/06/2026,21/06/2026,€153.48,100 KG,25,S
CZ,Czechia,15/06/2026,21/06/2026,€123.34,100 KG,25,R
CZ,Czechia,15/06/2026,21/06/2026,€149.63,100 KG,25,E
CZ,Czechia,08/06/2026,14/06/2026,€163.57,100 KG,24,S
CZ,Czechia,08/06/2026,14/06/2026,€160.06,100 KG,24,E
CZ,Czechia,08/06/2026,14/06/2026,€132.27,100 KG,24,R
CZ,Czechia,01/06/2026,07/06/2026,€159.79,100 KG,23,E
CZ,Czechia,01/06/2026,07/06/2026,€163.17,100 KG,23,S
CZ,Czechia,01/06/2026,07/06/2026,€132.25,100 KG,23,R
CZ,Czechia,25/05/2026,31/05/2026,€135.61,100 KG,22,R
CZ,Czechia,25/05/2026,31/05/2026,€159.38,100 KG,22,E
CZ,Czechia,25/05/2026,31/05/2026,€162.80,100 KG,22,S
CZ,Czechia,18/05/2026,24/05/2026,€158.78,100 KG,21,E
CZ,Czechia,18/05/2026,24/05/2026,€130.68,100 KG,21,R
CZ,Czechia,18/05/2026,24/05/2026,€162.52,100 KG,21,S
CZ,Czechia,11/05/2026,17/05/2026,€130.47,100 KG,20,R
CZ,Czechia,11/05/2026,17/05/2026,€158.46,100 KG,20,E
CZ,Czechia,11/05/2026,17/05/2026,€162.20,100 KG,20,S
CZ,Czechia,04/05/2026,10/05/2026,€137.36,100 KG,19,R
CZ,Czechia,04/05/2026,10/05/2026,€171.29,100 KG,19,S
CZ,Czechia,04/05/2026,10/05/2026,€166.94,100 KG,19,E
CZ,Czechia,27/04/2026,03/05/2026,€166.52,100 KG,18,E
CZ,Czechia,27/04/2026,03/05/2026,€140.05,100 KG,18,R
CZ,Czechia,27/04/2026,03/05/2026,€171.32,100 KG,18,S
CZ,Czechia,20/04/2026,26/04/2026,€165.91,100 KG,17,E
CZ,Czechia,20/04/2026,26/04/2026,€171.21,100 KG,17,S
CZ,Czechia,20/04/2026,26/04/2026,€137.47,100 KG,17,R
CZ,Czechia,13/04/2026,19/04/2026,€166.24,100 KG,16,E
CZ,Czechia,13/04/2026,19/04/2026,€171.08,100 KG,16,S
CZ,Czechia,13/04/2026,19/04/2026,€148.62,100 KG,16,R
CZ,Czechia,06/04/2026,12/04/2026,€166.26,100 KG,15,E
CZ,Czechia,06/04/2026,12/04/2026,€136.37,100 KG,15,R
CZ,Czechia,06/04/2026,12/04/2026,€171.05,100 KG,15,S
CZ,Czechia,30/03/2026,05/04/2026,€165.10,100 KG,14,E
CZ,Czechia,30/03/2026,05/04/2026,€136.48,100 KG,14,R
CZ,Czechia,30/03/2026,05/04/2026,€170.03,100 KG,14,S
CZ,Czechia,23/03/2026,29/03/2026,€170.59,100 KG,13,S
CZ,Czechia,23/03/2026,29/03/2026,€140.96,100 KG,13,R
CZ,Czechia,23/03/2026,29/03/2026,€165.72,100 KG,13,E
CZ,Czechia,16/03/2026,22/03/2026,€139.50,100 KG,12,R
CZ,Czechia,16/03/2026,22/03/2026,€170.15,100 KG,12,S
CZ,Czechia,16/03/2026,22/03/2026,€165.17,100 KG,12,E
CZ,Czechia,09/03/2026,15/03/2026,€126.89,100 KG,11,R
CZ,Czechia,09/03/2026,15/03/2026,€161.93,100 KG,11,S
CZ,Czechia,09/03/2026,15/03/2026,€156.80,100 KG,11,E
CZ,Czechia,02/03/2026,08/03/2026,€127.11,100 KG,10,R
CZ,Czechia,02/03/2026,08/03/2026,€157.07,100 KG,10,S
CZ,Czechia,02/03/2026,08/03/2026,€152.18,100 KG,10,E
CZ,Czechia,23/02/2026,01/03/2026,€149.26,100 KG,9,E
CZ,Czechia,23/02/2026,01/03/2026,€128.38,100 KG,9,R
CZ,Czechia,23/02/2026,01/03/2026,€153.84,100 KG,9,S
CZ,Czechia,16/02/2026,22/02/2026,€147.55,100 KG,8,E
CZ,Czechia,16/02/2026,22/02/2026,€126.08,100 KG,8,R
CZ,Czechia,16/02/2026,22/02/2026,€152.83,100 KG,8,S
CZ,Czechia,09/02/2026,15/02/2026,€147.08,100 KG,7,E
CZ,Czechia,09/02/2026,15/02/2026,€153.10,100 KG,7,S
CZ,Czechia,09/02/2026,15/02/2026,€120.48,100 KG,7,R
CZ,Czechia,02/02/2026,08/02/2026,€153.14,100 KG,6,S
CZ,Czechia,02/02/2026,08/02/2026,€119.32,100 KG,6,R
CZ,Czechia,02/02/2026,08/02/2026,€148.00,100 KG,6,E
CZ,Czechia,26/01/2026,01/02/2026,€122.29,100 KG,5,R
CZ,Czechia,26/01/2026,01/02/2026,€147.73,100 KG,5,E
CZ,Czechia,26/01/2026,01/02/2026,€153.16,100 KG,5,S
CZ,Czechia,19/01/2026,25/01/2026,€47.39,P,4,Piglet
CZ,Czechia,19/01/2026,25/01/2026,€147.76,100 KG,4,E
CZ,Czechia,19/01/2026,25/01/2026,€153.15,100 KG,4,S
CZ,Czechia,19/01/2026,25/01/2026,€122.01,100 KG,4,R
CZ,Czechia,12/01/2026,18/01/2026,€146.99,100 KG,3,E
CZ,Czechia,12/01/2026,18/01/2026,€123.80,100 KG,3,R
CZ,Czechia,12/01/2026,18/01/2026,€153.21,100 KG,3,S
CZ,Czechia,05/01/2026,11/01/2026,€163.14,100 KG,2,E
CZ,Czechia,05/01/2026,11/01/2026,€167.79,100 KG,2,S
CZ,Czechia,05/01/2026,11/01/2026,€133.49,100 KG,2,R
CZ,Czechia,05/01/2026,11/01/2026,€46.34,P,2,Piglet
CZ,Czechia,29/12/2025,04/01/2026,€169.90,100 KG,1,S
CZ,Czechia,29/12/2025,04/01/2026,€140.40,100 KG,1,R
CZ,Czechia,29/12/2025,04/01/2026,€164.25,100 KG,53,E
CZ,Czechia,29/12/2025,04/01/2026,€164.25,100 KG,1,E
CZ,Czechia,29/12/2025,04/01/2026,€169.90,100 KG,53,S
CZ,Czechia,29/12/2025,04/01/2026,€140.40,100 KG,53,R
CZ,Czechia,22/12/2025,28/12/2025,€170.05,100 KG,52,S
CZ,Czechia,22/12/2025,28/12/2025,€164.71,100 KG,52,E
CZ,Czechia,22/12/2025,28/12/2025,€142.24,100 KG,52,R
CZ,Czechia,15/12/2025,21/12/2025,€165.07,100 KG,51,E
CZ,Czechia,15/12/2025,21/12/2025,€141.85,100 KG,51,R
CZ,Czechia,15/12/2025,21/12/2025,€169.55,100 KG,51,S
CZ,Czechia,08/12/2025,14/12/2025,€164.87,100 KG,50,E
CZ,Czechia,08/12/2025,14/12/2025,€169.82,100 KG,50,S
CZ,Czechia,08/12/2025,14/12/2025,€138.35,100 KG,50,R
CZ,Czechia,01/12/2025,07/12/2025,€170.77,100 KG,49,S
CZ,Czechia,01/12/2025,07/12/2025,€166.10,100 KG,49,E
CZ,Czechia,01/12/2025,07/12/2025,€136.14,100 KG,49,R
CZ,Czechia,24/11/2025,30/11/2025,€147.08,100 KG,48,R
CZ,Czechia,24/11/2025,30/11/2025,€166.40,100 KG,48,E
CZ,Czechia,24/11/2025,30/11/2025,€170.83,100 KG,48,S
CZ,Czechia,17/11/2025,23/11/2025,€180.44,100 KG,47,S
CZ,Czechia,17/11/2025,23/11/2025,€144.84,100 KG,47,R
CZ,Czechia,17/11/2025,23/11/2025,€175.80,100 KG,47,E
CZ,Czechia,10/11/2025,16/11/2025,€181.04,100 KG,46,S
CZ,Czechia,10/11/2025,16/11/2025,€175.97,100 KG,46,E
CZ,Czechia,10/11/2025,16/11/2025,€144.03,100 KG,46,R
CZ,Czechia,03/11/2025,09/11/2025,€174.51,100 KG,45,E
CZ,Czechia,03/11/2025,09/11/2025,€180.14,100 KG,45,S
CZ,Czechia,03/11/2025,09/11/2025,€148.63,100 KG,45,R
CZ,Czechia,27/10/2025,02/11/2025,€180.34,100 KG,44,S
CZ,Czechia,27/10/2025,02/11/2025,€144.35,100 KG,44,R
CZ,Czechia,27/10/2025,02/11/2025,€175.82,100 KG,44,E
CZ,Czechia,20/10/2025,26/10/2025,€138.21,100 KG,43,R
CZ,Czechia,20/10/2025,26/10/2025,€181.15,100 KG,43,S
CZ,Czechia,20/10/2025,26/10/2025,€175.47,100 KG,43,E
CZ,Czechia,13/10/2025,19/10/2025,€140.46,100 KG,42,R
CZ,Czechia,13/10/2025,19/10/2025,€176.37,100 KG,42,E
CZ,Czechia,13/10/2025,19/10/2025,€181.18,100 KG,42,S
CZ,Czechia,06/10/2025,12/10/2025,€189.48,100 KG,41,E
CZ,Czechia,06/10/2025,12/10/2025,€157.17,100 KG,41,R
CZ,Czechia,06/10/2025,12/10/2025,€194.25,100 KG,41,S
CZ,Czechia,29/09/2025,05/10/2025,€189.73,100 KG,40,E
CZ,Czechia,29/09/2025,05/10/2025,€163.29,100 KG,40,R
CZ,Czechia,29/09/2025,05/10/2025,€194.83,100 KG,40,S
CZ,Czechia,22/09/2025,28/09/2025,€159.59,100 KG,39,R
CZ,Czechia,22/09/2025,28/09/2025,€190.98,100 KG,39,E
CZ,Czechia,22/09/2025,28/09/2025,€195.01,100 KG,39,S
CZ,Czechia,15/09/2025,21/09/2025,€203.30,100 KG,38,S
CZ,Czechia,15/09/2025,21/09/2025,€175.82,100 KG,38,R
CZ,Czechia,15/09/2025,21/09/2025,€199.35,100 KG,38,E
CZ,Czechia,08/09/2025,14/09/2025,€199.45,100 KG,37,E
CZ,Czechia,08/09/2025,14/09/2025,€202.90,100 KG,37,S
CZ,Czechia,08/09/2025,14/09/2025,€167.84,100 KG,37,R
CZ,Czechia,01/09/2025,07/09/2025,€202.11,100 KG,36,S
CZ,Czechia,01/09/2025,07/09/2025,€166.36,100 KG,36,R
CZ,Czechia,01/09/2025,07/09/2025,€198.39,100 KG,36,E
CZ,Czechia,25/08/2025,31/08/2025,€164.70,100 KG,35,R
CZ,Czechia,25/08/2025,31/08/2025,€201.56,100 KG,35,S
CZ,Czechia,25/08/2025,31/08/2025,€198.01,100 KG,35,E
CZ,Czechia,18/08/2025,24/08/2025,€198.47,100 KG,34,E
CZ,Czechia,18/08/2025,24/08/2025,€171.69,100 KG,34,R
CZ,Czechia,18/08/2025,24/08/2025,€201.20,100 KG,34,S
CZ,Czechia,11/08/2025,17/08/2025,€198.16,100 KG,33,E
CZ,Czechia,11/08/2025,17/08/2025,€201.92,100 KG,33,S
CZ,Czechia,11/08/2025,17/08/2025,€169.23,100 KG,33,R
CZ,Czechia,04/08/2025,10/08/2025,€201.30,100 KG,32,S
CZ,Czechia,04/08/2025,10/08/2025,€168.06,100 KG,32,R
CZ,Czechia,04/08/2025,10/08/2025,€197.76,100 KG,32,E
CZ,Czechia,28/07/2025,03/08/2025,€201.37,100 KG,31,S
CZ,Czechia,28/07/2025,03/08/2025,€198.24,100 KG,31,E
CZ,Czechia,28/07/2025,03/08/2025,€165.54,100 KG,31,R
CZ,Czechia,21/07/2025,27/07/2025,€198.06,100 KG,30,E
CZ,Czechia,21/07/2025,27/07/2025,€201.11,100 KG,30,S
CZ,Czechia,21/07/2025,27/07/2025,€166.21,100 KG,30,R
CZ,Czechia,14/07/2025,20/07/2025,€201.25,100 KG,29,S
CZ,Czechia,14/07/2025,20/07/2025,€166.12,100 KG,29,R
CZ,Czechia,14/07/2025,20/07/2025,€198.37,100 KG,29,E
CZ,Czechia,07/07/2025,13/07/2025,€201.00,100 KG,28,S
CZ,Czechia,07/07/2025,13/07/2025,€168.33,100 KG,28,R
CZ,Czechia,07/07/2025,13/07/2025,€197.88,100 KG,28,E
CZ,Czechia,30/06/2025,06/07/2025,€211.12,100 KG,27,S
CZ,Czechia,30/06/2025,06/07/2025,€207.88,100 KG,27,E
CZ,Czechia,30/06/2025,06/07/2025,€173.03,100 KG,27,R
CZ,Czechia,23/06/2025,29/06/2025,€170.28,100 KG,26,R
CZ,Czechia,23/06/2025,29/06/2025,€206.58,100 KG,26,E
CZ,Czechia,23/06/2025,29/06/2025,€210.62,100 KG,26,S
CZ,Czechia,16/06/2025,22/06/2025,€174.10,100 KG,25,R
CZ,Czechia,16/06/2025,22/06/2025,€210.22,100 KG,25,S
CZ,Czechia,16/06/2025,22/06/2025,€205.50,100 KG,25,E
CZ,Czechia,09/06/2025,15/06/2025,€210.70,100 KG,24,S
CZ,Czechia,09/06/2025,15/06/2025,€206.47,100 KG,24,E
CZ,Czechia,09/06/2025,15/06/2025,€175.01,100 KG,24,R
CZ,Czechia,02/06/2025,08/06/2025,€205.52,100 KG,23,E
CZ,Czechia,02/06/2025,08/06/2025,€209.79,100 KG,23,S
CZ,Czechia,02/06/2025,08/06/2025,€177.58,100 KG,23,R
CZ,Czechia,26/05/2025,01/06/2025,€204.92,100 KG,22,E
CZ,Czechia,26/05/2025,01/06/2025,€171.72,100 KG,22,R
CZ,Czechia,26/05/2025,01/06/2025,€209.42,100 KG,22,S
CZ,Czechia,19/05/2025,25/05/2025,€201.60,100 KG,21,S
CZ,Czechia,19/05/2025,25/05/2025,€196.67,100 KG,21,E
CZ,Czechia,19/05/2025,25/05/2025,€165.23,100 KG,21,R
CZ,Czechia,12/05/2025,18/05/2025,€200.90,100 KG,20,S
CZ,Czechia,12/05/2025,18/05/2025,€166.58,100 KG,20,R
CZ,Czechia,12/05/2025,18/05/2025,€196.13,100 KG,20,E
CZ,Czechia,05/05/2025,11/05/2025,€195.97,100 KG,19,E
CZ,Czechia,05/05/2025,11/05/2025,€165.33,100 KG,19,R
CZ,Czechia,05/05/2025,11/05/2025,€201.07,100 KG,19,S
CZ,Czechia,28/04/2025,04/05/2025,€200.94,100 KG,18,S
CZ,Czechia,28/04/2025,04/05/2025,€196.65,100 KG,18,E
CZ,Czechia,28/04/2025,04/05/2025,€162.07,100 KG,18,R
CZ,Czechia,21/04/2025,27/04/2025,€192.24,100 KG,17,E
CZ,Czechia,21/04/2025,27/04/2025,€159.60,100 KG,17,R
CZ,Czechia,21/04/2025,27/04/2025,€196.28,100 KG,17,S
CZ,Czechia,21/04/2025,27/04/2025,€72.20,P,17,Piglet
CZ,Czechia,14/04/2025,20/04/2025,€195.82,100 KG,16,S
CZ,Czechia,14/04/2025,20/04/2025,€158.68,100 KG,16,R
CZ,Czechia,14/04/2025,20/04/2025,€191.90,100 KG,16,E
CZ,Czechia,07/04/2025,13/04/2025,€159.75,100 KG,15,R
CZ,Czechia,07/04/2025,13/04/2025,€195.41,100 KG,15,S
CZ,Czechia,07/04/2025,13/04/2025,€191.56,100 KG,15,E
CZ,Czechia,31/03/2025,06/04/2025,€184.41,100 KG,14,E
CZ,Czechia,31/03/2025,06/04/2025,€188.37,100 KG,14,S
CZ,Czechia,31/03/2025,06/04/2025,€150.37,100 KG,14,R
CZ,Czechia,24/03/2025,30/03/2025,€146.20,100 KG,13,R
CZ,Czechia,24/03/2025,30/03/2025,€178.87,100 KG,13,E
CZ,Czechia,24/03/2025,30/03/2025,€183.32,100 KG,13,S
CZ,Czechia,17/03/2025,23/03/2025,€153.84,100 KG,12,R
CZ,Czechia,17/03/2025,23/03/2025,€182.83,100 KG,12,S
CZ,Czechia,17/03/2025,23/03/2025,€178.35,100 KG,12,E
CZ,Czechia,10/03/2025,16/03/2025,€178.42,100 KG,11,E
CZ,Czechia,10/03/2025,16/03/2025,€61.58,P,11,Piglet
CZ,Czechia,10/03/2025,16/03/2025,€151.43,100 KG,11,R
CZ,Czechia,10/03/2025,16/03/2025,€183.06,100 KG,11,S
CZ,Czechia,03/03/2025,09/03/2025,€177.99,100 KG,10,E
CZ,Czechia,03/03/2025,09/03/2025,€182.70,100 KG,10,S
CZ,Czechia,03/03/2025,09/03/2025,€144.45,100 KG,10,R
CZ,Czechia,24/02/2025,02/03/2025,€184.17,100 KG,9,S
CZ,Czechia,24/02/2025,02/03/2025,€179.29,100 KG,9,E
CZ,Czechia,24/02/2025,02/03/2025,€147.92,100 KG,9,R
