memberStateCode,memberStateName,beginDate,endDate,price,unit,weekNumber,category,productCode
CZ,Czechia,24/12/2007,30/12/2007,€273.22,€/100Kg,52,Young bulls,AR2
CZ,Czechia,24/12/2007,30/12/2007,€207.00,€/100Kg,52,Heifers,EO2
CZ,Czechia,24/12/2007,30/12/2007,€160.98,€/100Kg,52,Cows,DP2
CZ,Czechia,24/12/2007,30/12/2007,€256.42,€/100Kg,52,Young bulls,AO2
CZ,Czechia,24/12/2007,30/12/2007,€194.65,€/100Kg,52,Cows,DO2
CZ,Czechia,24/12/2007,30/12/2007,€209.90,€/100Kg,52,Heifers,EO3
CZ,Czechia,24/12/2007,30/12/2007,€226.74,€/100Kg,52,Heifers,ER3
CZ,Czechia,24/12/2007,30/12/2007,€268.98,€/100Kg,52,Adult male indicative price,ACZURO
CZ,Czechia,24/12/2007,30/12/2007,€289.15,€/100Kg,52,Young bulls,AU2
CZ,Czechia,24/12/2007,30/12/2007,€246.06,€/100Kg,52,Heifers,EU3
CZ,Czechia,24/12/2007,30/12/2007,€268.28,€/100Kg,52,Young bulls,AR3
CZ,Czechia,24/12/2007,30/12/2007,€223.50,€/100Kg,52,Heifers,EO4
CZ,Czechia,24/12/2007,30/12/2007,€182.00,€/100Kg,52,Cows,DO4
CZ,Czechia,24/12/2007,30/12/2007,€151.37,€/100Kg,52,Cows,DP3
CZ,Czechia,24/12/2007,30/12/2007,€259.55,€/100Kg,52,Young bulls,AO3
CZ,Czechia,24/12/2007,30/12/2007,€257.44,€/100Kg,52,Bulls,BR3
CZ,Czechia,24/12/2007,30/12/2007,€185.16,€/100Kg,52,Cows,DO3
CZ,Czechia,24/12/2007,30/12/2007,€229.04,€/100Kg,52,Heifers,EU2
CZ,Czechia,24/12/2007,30/12/2007,€218.53,€/100Kg,52,Cows,DR3
CZ,Czechia,24/12/2007,30/12/2007,€210.39,€/100Kg,52,Cows,DR4
CZ,Czechia,24/12/2007,30/12/2007,€219.28,€/100Kg,52,Heifers,ER4
CZ,Czechia,24/12/2007,30/12/2007,€229.79,€/100Kg,52,Heifers,ER2
CZ,Czechia,24/12/2007,30/12/2007,€222.52,€/100Kg,52,Steers,CO4
CZ,Czechia,24/12/2007,30/12/2007,€219.76,€/100Kg,52,Steers,CO3
CZ,Czechia,24/12/2007,30/12/2007,€230.89,€/100Kg,52,Steers,CR3
CZ,Czechia,24/12/2007,30/12/2007,€282.15,€/100Kg,52,Young bulls,AU3
CZ,Czechia,17/12/2007,23/12/2007,€230.89,€/100Kg,51,Steers,CR3
CZ,Czechia,17/12/2007,23/12/2007,€227.66,€/100Kg,51,Heifers,ER2
CZ,Czechia,17/12/2007,23/12/2007,€267.98,€/100Kg,51,Young bulls,AR3
CZ,Czechia,17/12/2007,23/12/2007,€202.58,€/100Kg,51,Heifers,EO4
CZ,Czechia,17/12/2007,23/12/2007,€270.10,€/100Kg,51,Adult male indicative price,ACZURO
CZ,Czechia,17/12/2007,23/12/2007,€222.52,€/100Kg,51,Steers,CO4
CZ,Czechia,17/12/2007,23/12/2007,€274.76,€/100Kg,51,Young bulls,AR2
CZ,Czechia,17/12/2007,23/12/2007,€219.76,€/100Kg,51,Steers,CO3
CZ,Czechia,17/12/2007,23/12/2007,€282.91,€/100Kg,51,Young bulls,AU3
CZ,Czechia,17/12/2007,23/12/2007,€210.19,€/100Kg,51,Cows,DR4
CZ,Czechia,17/12/2007,23/12/2007,€246.06,€/100Kg,51,Heifers,EU3
CZ,Czechia,17/12/2007,23/12/2007,€188.63,€/100Kg,51,Cows,DO3
CZ,Czechia,17/12/2007,23/12/2007,€166.99,€/100Kg,51,Cows,DO4
CZ,Czechia,17/12/2007,23/12/2007,€233.08,€/100Kg,51,Steers,CU2
CZ,Czechia,17/12/2007,23/12/2007,€159.23,€/100Kg,51,Cows,DP2
CZ,Czechia,17/12/2007,23/12/2007,€125.96,€/100Kg,51,Cows,DP3
CZ,Czechia,17/12/2007,23/12/2007,€254.78,€/100Kg,51,Heifers,EU2
CZ,Czechia,17/12/2007,23/12/2007,€282.19,€/100Kg,51,Young bulls,AU2
CZ,Czechia,17/12/2007,23/12/2007,€207.77,€/100Kg,51,Heifers,EO2
CZ,Czechia,17/12/2007,23/12/2007,€253.16,€/100Kg,51,Young bulls,AO2
CZ,Czechia,17/12/2007,23/12/2007,€253.66,€/100Kg,51,Bulls,BR3
CZ,Czechia,17/12/2007,23/12/2007,€195.75,€/100Kg,51,Cows,DO2
CZ,Czechia,17/12/2007,23/12/2007,€224.10,€/100Kg,51,Heifers,ER3
CZ,Czechia,17/12/2007,23/12/2007,€214.21,€/100Kg,51,Heifers,ER4
CZ,Czechia,17/12/2007,23/12/2007,€245.62,€/100Kg,51,Young bulls,AO3
CZ,Czechia,17/12/2007,23/12/2007,€216.71,€/100Kg,51,Cows,DR3
CZ,Czechia,17/12/2007,23/12/2007,€212.54,€/100Kg,51,Heifers,EO3
CZ,Czechia,10/12/2007,16/12/2007,€206.31,€/100Kg,50,Heifers,EO4
CZ,Czechia,10/12/2007,16/12/2007,€246.06,€/100Kg,50,Heifers,EU3
CZ,Czechia,10/12/2007,16/12/2007,€206.50,€/100Kg,50,Cows,DR4
CZ,Czechia,10/12/2007,16/12/2007,€254.78,€/100Kg,50,Heifers,EU2
CZ,Czechia,10/12/2007,16/12/2007,€269.93,€/100Kg,50,Young bulls,AR3
CZ,Czechia,10/12/2007,16/12/2007,€156.60,€/100Kg,50,Cows,DP2
CZ,Czechia,10/12/2007,16/12/2007,€229.95,€/100Kg,50,Heifers,ER2
CZ,Czechia,10/12/2007,16/12/2007,€211.01,€/100Kg,50,Heifers,EO2
CZ,Czechia,10/12/2007,16/12/2007,€253.39,€/100Kg,50,Young bulls,AO3
CZ,Czechia,10/12/2007,16/12/2007,€271.98,€/100Kg,50,Adult male indicative price,ACZURO
CZ,Czechia,10/12/2007,16/12/2007,€154.34,€/100Kg,50,Cows,DP3
CZ,Czechia,10/12/2007,16/12/2007,€225.02,€/100Kg,50,Heifers,ER3
CZ,Czechia,10/12/2007,16/12/2007,€276.65,€/100Kg,50,Young bulls,AR2
CZ,Czechia,10/12/2007,16/12/2007,€286.92,€/100Kg,50,Young bulls,AU2
CZ,Czechia,10/12/2007,16/12/2007,€261.30,€/100Kg,50,Bulls,BR3
CZ,Czechia,10/12/2007,16/12/2007,€233.08,€/100Kg,50,Steers,CU2
CZ,Czechia,10/12/2007,16/12/2007,€186.26,€/100Kg,50,Cows,DO4
CZ,Czechia,10/12/2007,16/12/2007,€219.52,€/100Kg,50,Heifers,EO3
CZ,Czechia,10/12/2007,16/12/2007,€254.73,€/100Kg,50,Young bulls,AO2
CZ,Czechia,10/12/2007,16/12/2007,€288.29,€/100Kg,50,Young bulls,AU3
CZ,Czechia,10/12/2007,16/12/2007,€195.85,€/100Kg,50,Cows,DO2
CZ,Czechia,10/12/2007,16/12/2007,€220.02,€/100Kg,50,Heifers,ER4
CZ,Czechia,10/12/2007,16/12/2007,€186.53,€/100Kg,50,Cows,DO3
CZ,Czechia,10/12/2007,16/12/2007,€222.52,€/100Kg,50,Steers,CO4
CZ,Czechia,10/12/2007,16/12/2007,€219.26,€/100Kg,50,Cows,DR3
CZ,Czechia,10/12/2007,16/12/2007,€230.89,€/100Kg,50,Steers,CR3
CZ,Czechia,10/12/2007,16/12/2007,€219.76,€/100Kg,50,Steers,CO3
CZ,Czechia,03/12/2007,09/12/2007,€226.70,€/100Kg,49,Heifers,ER3
CZ,Czechia,03/12/2007,09/12/2007,€254.78,€/100Kg,49,Heifers,EU2
CZ,Czechia,03/12/2007,09/12/2007,€281.06,€/100Kg,49,Young bulls,AU2
CZ,Czechia,03/12/2007,09/12/2007,€254.36,€/100Kg,49,Young bulls,AO2
CZ,Czechia,03/12/2007,09/12/2007,€270.91,€/100Kg,49,Young bulls,AR3
CZ,Czechia,03/12/2007,09/12/2007,€209.15,€/100Kg,49,Heifers,EO3
CZ,Czechia,03/12/2007,09/12/2007,€222.52,€/100Kg,49,Steers,CO4
CZ,Czechia,03/12/2007,09/12/2007,€230.89,€/100Kg,49,Steers,CR3
CZ,Czechia,03/12/2007,09/12/2007,€277.25,€/100Kg,49,Young bulls,AR2
CZ,Czechia,03/12/2007,09/12/2007,€199.11,€/100Kg,49,Cows,DO2
CZ,Czechia,03/12/2007,09/12/2007,€283.81,€/100Kg,49,Young bulls,AU3
CZ,Czechia,03/12/2007,09/12/2007,€153.67,€/100Kg,49,Cows,DP2
CZ,Czechia,03/12/2007,09/12/2007,€219.60,€/100Kg,49,Cows,DR3
CZ,Czechia,03/12/2007,09/12/2007,€201.10,€/100Kg,49,Heifers,EO4
CZ,Czechia,03/12/2007,09/12/2007,€247.57,€/100Kg,49,Heifers,EU3
CZ,Czechia,03/12/2007,09/12/2007,€185.19,€/100Kg,49,Cows,DO3
CZ,Czechia,03/12/2007,09/12/2007,€185.68,€/100Kg,49,Cows,DO4
CZ,Czechia,03/12/2007,09/12/2007,€211.47,€/100Kg,49,Cows,DR4
CZ,Czechia,03/12/2007,09/12/2007,€258.97,€/100Kg,49,Young bulls,AO3
CZ,Czechia,03/12/2007,09/12/2007,€219.76,€/100Kg,49,Steers,CO3
CZ,Czechia,03/12/2007,09/12/2007,€153.67,€/100Kg,49,Cows,DP3
CZ,Czechia,03/12/2007,09/12/2007,€261.30,€/100Kg,49,Bulls,BR3
CZ,Czechia,03/12/2007,09/12/2007,€233.08,€/100Kg,49,Steers,CU2
CZ,Czechia,03/12/2007,09/12/2007,€210.21,€/100Kg,49,Heifers,EO2
CZ,Czechia,03/12/2007,09/12/2007,€235.01,€/100Kg,49,Heifers,ER2
CZ,Czechia,03/12/2007,09/12/2007,€221.32,€/100Kg,49,Heifers,ER4
CZ,Czechia,03/12/2007,09/12/2007,€272.66,€/100Kg,49,Adult male indicative price,ACZURO
CZ,Czechia,26/11/2007,02/12/2007,€214.27,€/100Kg,48,Heifers,EO3
CZ,Czechia,26/11/2007,02/12/2007,€210.13,€/100Kg,48,Cows,DR4
CZ,Czechia,26/11/2007,02/12/2007,€239.74,€/100Kg,48,Steers,CR3
CZ,Czechia,26/11/2007,02/12/2007,€216.35,€/100Kg,48,Cows,DR3
CZ,Czechia,26/11/2007,02/12/2007,€264.75,€/100Kg,48,Young bulls,AR3
CZ,Czechia,26/11/2007,02/12/2007,€274.40,€/100Kg,48,Young bulls,AU3
CZ,Czechia,26/11/2007,02/12/2007,€233.08,€/100Kg,48,Steers,CU2
CZ,Czechia,26/11/2007,02/12/2007,€188.30,€/100Kg,48,Heifers,EO4
CZ,Czechia,26/11/2007,02/12/2007,€216.31,€/100Kg,48,Heifers,ER4
