period,alcohol_tobacco
2015-01,
2015-02,1.5
2015-03,0.6
2015-04,0.2
2015-05,0.4
2015-06,0.1
2015-07,0.4
2015-08,-0.7
2015-09,0.4
2015-10,-0.1
2015-11,-0.8
2015-12,-0.2
2016-01,2.6
2016-02,0.3
2016-03,0.4
2016-04,2.5
2016-05,-0.8
2016-06,0.0
2016-07,0.8
2016-08,-0.2
2016-09,0.0
2016-10,0.3
2016-11,0.1
2016-12,-0.9
2017-01,1.3
2017-02,-0.3
2017-03,0.7
2017-04,-0.9
2017-05,0.6
2017-06,-0.1
2017-07,0.8
2017-08,0.0
2017-09,-0.1
2017-10,0.2
2017-11,0.2
2017-12,-0.3
2018-01,2.5
2018-02,-1.2
2018-03,0.4
2018-04,0.8
2018-05,0.4
2018-06,-0.2
2018-07,0.2
2018-08,-0.5
2018-09,0.8
2018-10,0.1
2018-11,0.2
2018-12,-0.6
2019-01,2.9
2019-02,-1.2
2019-03,0.7
2019-04,-1.6
2019-05,1.5
2019-06,-0.6
2019-07,-0.4
2019-08,0.6
2019-09,0.4
2019-10,0.0
2019-11,0.0
2019-12,-0.4
2020-01,4.5
2020-02,-1.5
2020-03,1.4
2020-04,-1.1
2020-05,2.9
2020-06,2.9
2020-07,0.4
2020-08,0.1
2020-09,0.8
2020-10,-0.9
2020-11,0.3
2020-12,0.4
2021-01,3.2
2021-02,-0.3
2021-03,0.9
2021-04,1.6
2021-05,0.0
2021-06,0.1
2021-07,-0.2
2021-08,0.5
2021-09,1.1
2021-10,0.7
2021-11,-0.3
2021-12,-0.7
2022-01,3.1
2022-02,0.1
2022-03,1.3
2022-04,-1.2
2022-05,1.2
2022-06,0.6
2022-07,-0.3
2022-08,0.9
2022-09,0.6
2022-10,0.4
2022-11,0.4
2022-12,-1.3
2023-01,4.0
2023-02,0.6
2023-03,0.4
2023-04,-0.9
2023-05,1.0
2023-06,0.6
2023-07,0.4
2023-08,0.9
2023-09,0.2
2023-10,-0.3
2023-11,0.1
2023-12,-1.5
2024-01,4.1
2024-02,-1.0
2024-03,0.5
2024-04,2.2
2024-05,-0.1
2024-06,-0.6
2024-07,0.0
2024-08,1.2
2024-09,0.1
2024-10,0.1
2024-11,-0.3
2024-12,-1.3
2025-01,4.1
2025-02,-0.6
2025-03,0.4
2025-04,-1.0
2025-05,1.6
2025-06,-0.2
2025-07,0.2
2025-08,-0.4
2025-09,0.6
2025-10,1.1
2025-11,-0.6
2025-12,-1.1
2026-01,4.7
2026-02,-1.2
2026-03,-0.3
2026-04,0.9
2026-05,0.1
2026-06,0.4
2026-07,-0.4
2026-08,0.6
