period,food,fuel
2015-02,-0.1,-3.7881327522628183
2015-03,0.0,4.32055749128919
2015-04,0.3,1.6477399242930346
2015-05,0.4,2.2453450164293454
2015-06,0.0,0.8034279592929794
2015-07,-1.9,0.021253985122227093
2015-08,-0.8,-1.6574585635359185
2015-09,0.8,-3.3167675021607668
2015-10,-0.3,-2.9835735836406307
2015-11,-0.8,-2.4533517622667533
2015-12,-0.9,-2.25528397685677
2016-01,1.4,-3.624063783522591
2016-02,0.3,-3.8982201052895404
2016-03,0.0,-0.4825877135776757
2016-04,0.2,3.2503276539973758
2016-05,-0.5,3.236862147753228
2016-06,-0.6,4.045247756055592
2016-07,0.5,-0.3545261167572811
2016-08,-0.6,-1.9212523719164931
2016-09,-0.1,0.39903264812575223
2016-10,-0.2,1.2164277971817405
2016-11,2.1,0.4402665397429617
2016-12,0.8,2.2509181376614285
2017-01,1.6,2.9892248870351024
2017-02,1.4,0.6637417032287152
2017-03,-0.2,-0.5364327223960741
2017-04,-0.5,-0.3370786516853852
2017-05,0.4,-1.0710259301014657
2017-06,0.2,-1.9259259259259198
2017-07,0.9,-2.1031838252382085
2017-08,-0.8,0.15430267062312986
2017-09,0.1,1.303626451765827
2017-10,1.6,0.7604117922320963
2017-11,0.2,1.6370602577499227
2017-12,0.6,-0.10281014393420662
2018-01,0.6,0.4917095483133238
2018-02,-0.7,0.0227583067819781
2018-03,-0.6,-0.8077360637087638
2018-04,-0.6,1.3648354169055965
2018-05,1.0,4.073319755600835
2018-06,0.5,3.348554033485529
2018-07,-1.9,-0.1683147485798453
2018-08,-0.1,-0.031612223393051586
2018-09,0.9,0.6640666174765331
2018-10,0.5,1.099476439790581
2018-11,-1.2,-0.35214914552046395
2018-12,1.2,-3.6066936908845215
2019-01,0.9,-3.752426137588949
2019-02,0.7,-1.49002912838897
2019-03,0.0,1.0349141362447467
2019-04,-0.7,4.0522287257991785
2019-05,2.0,2.672003461704886
2019-06,0.4,-0.0842903803603412
2019-07,-0.5,-1.3181482653168874
2019-08,-0.3,-0.4915580252190521
2019-09,-0.6,-0.5047250859106511
2019-10,0.8,0.06475984889366959
2019-11,1.2,-0.5608887930104611
2019-12,0.7,-0.4772751925371521
2020-01,2.3,0.7411444141689483
2020-02,0.0,-1.384831764578598
2020-03,0.9,-5.660998354360958
2020-04,0.6,-10.489591813001509
2020-05,0.6,-3.48187605560607
2020-06,-0.5,3.08251447031902
2020-07,-1.5,4.518150953251521
2020-08,-0.5,0.39980009995002064
2020-09,-1.2,-0.8088601294176323
2020-10,0.6,0.514364571571968
2020-11,-0.1,-0.41188217673489014
2020-12,-1.2,0.990099009900991
2021-01,3.1,0.27302060064531286
2021-02,0.0,1.7079207920792205
2021-03,0.0,5.877342419080067
2021-04,0.8,2.884725893575446
2021-05,-0.6,1.228775692582662
2021-06,-0.3,1.566983005958944
2021-07,0.4,2.9661016949152463
2021-08,0.3,0.9180120291231386
2021-09,-1.0,0.43914680050187727
2021-10,-0.4,5.798459296273162
2021-11,1.1,4.427826429203985
2021-12,0.7,-1.9315933289362097
2022-01,4.4,-0.47079169869330695
2022-02,1.4,3.957910995269809
2022-03,0.7,21.747608877333093
2022-04,3.6,-3.348333460453068
2022-05,3.4,3.2907196969696795
2022-06,2.2,3.8505615402246285
2022-07,1.5,0.22070183182518743
2022-08,0.5,-9.814284665638983
2022-09,0.2,-3.931303923164575
2022-10,3.0,4.854697958146237
2022-11,1.8,-1.7776341305753118
2022-12,0.3,-10.538005923000993
2023-01,3.9,-1.7563218390804547
2023-02,0.7,1.2074129539498157
2023-03,0.4,-1.794136687320813
2023-04,-1.6,-0.7062811940860669
2023-05,0.9,-3.90743550834598
2023-06,0.0,0.5428345834978421
2023-07,-0.8,1.7473250220869652
2023-08,-0.9,7.718282682103239
2023-09,-1.6,2.8302731751007615
2023-10,0.8,-0.17420085358418325
2023-11,-0.4,-3.33304249192915
2023-12,-1.4,-4.711616571892785
2024-01,0.1,-0.5209813393956542
2024-02,-0.3,4.322986097886128
2024-03,-0.8,1.5972982840452676
2024-04,1.7,2.793998742251369
2024-05,-0.1,-1.7304667016255881
2024-06,-0.6,-3.7620064034151635
2024-07,0.3,1.3215044820257038
2024-08,0.5,-2.2163443998540755
2024-09,0.8,-4.785001399123212
2024-10,0.3,-0.44083072100313814
2024-11,0.4,0.797008757256723
2024-12,-0.7,0.4685669660289049
2025-01,3.1,1.739214924212984
2025-02,-0.6,0.6303122910896963
2025-03,0.8,-3.2836670779159194
2025-04,-0.3,-2.698459424982824
2025-05,1.3,-1.9362646228317848
2025-06,0.2,1.0283833813245602
2025-07,-0.7,1.7100977198697187
2025-08,0.0,-0.8506805444355559
2025-09,-1.1,-0.7671343494498717
2025-10,1.1,-0.06103143118706411
2025-11,-1.0,1.6284987277353613
2025-12,-1.1,-1.8928392588883347
2026-01,2.7,-2.5928950592078337
2026-02,-1.5,1.0689582896667327
2026-03,-0.7,19.431771049357117
2026-04,-0.4,7.197430109393976
2026-05,0.6,-0.6074350044545263
2026-06,-1.3,-8.156779661016955
2026-07,-0.4,3.4779522668796137
2026-08,-1.1,7.176541198662445
