period,cpi_mm
2005-05,0.2
2005-06,0.15403023058681398
2005-07,0.058385316345285765
2005-08,0.0010007503399554613
2005-09,0.034635637913638814
2005-10,0.12836621854632263
2005-11,0.19601702866503662
2005-12,0.17539022543433047
2006-01,0.08544999661913866
2006-02,0.008886973811532306
2006-03,0.016092847092354756
2006-04,0.10044256979880509
2006-05,0.1843853958732492
2006-06,0.1907446781450196
2006-07,0.11367372182078336
2006-08,0.024031208714117874
2006-09,0.004234051967661537
2006-10,0.07248366619484031
2006-11,0.166031670824408
2006-12,0.1988704618186669
2007-01,0.1408082061813392
2007-02,0.04522707397757317
2007-03,3.91736053628744e-06
2007-04,0.04671669796666025
2007-05,0.1424179007336997
2007-06,0.19912028118634736
2007-07,0.16469193223286405
2007-08,0.07078611912661639
2007-09,0.003739413368643349
2007-10,0.02519424703109996
2007-11,0.11542514498875842
2007-12,0.19147423578045314
2008-01,0.18342233605065103
2008-02,0.09867232527769405
2008-03,0.015142972521539483
2008-04,0.00963077949084934
2008-05,0.08720363103725953
2008-06,0.17654140519453435
2008-07,0.1955073644047295
2008-08,0.12666429323599374
2008-09,0.03330619383477382
2008-10,0.0012660722476173641
2008-11,0.060001468501164876
2008-12,0.1555113301520626
2009-01,0.19998433086476913
2009-02,0.152532198881773
2009-03,0.056782205511522174
2009-04,0.0007664530849071371
2009-05,0.03598556605308004
2009-06,0.13005925437436372
2009-07,0.19649660284921133
2009-08,0.17421541968137827
2009-09,0.08370092192042947
2009-10,0.008171721378788119
2009-11,0.017069016713684992
2009-12,0.10221267562619558
2010-01,0.1853220107722584
2010-02,0.18998668269691937
2010-03,0.11191801354488193
2010-04,0.02289197770241548
2010-05,0.004758701958484379
2010-06,0.07418983640617326
2010-07,0.16735071623235864
2010-08,0.19858965815825497
2010-09,0.139185723042955
2010-10,0.043754614876182804
2010-11,3.5254403365006515e-05
2010-12,0.048223020021049494
2011-01,0.14401430224960407
