model,source,sample,n,rmse,mae,bias,consensus_rmse,closer_than_consensus,material_wins_big,material_losses_big,alerts,alerts_direction_right,alert_material_wins,alert_material_losses,alert_net_pp
HARD_BASE,recorded,all,90,0.41795154739724044,0.2625157341641442,-0.02522563676857154,0.3815174380753199,45,7,3,20,14,7,8,-0.7816507368084931
HARD_BASE,A,all,90,0.4181320846293641,0.2621713882994092,-0.0186078038139816,0.3815174380753199,46,8,2,21,14,6,9,-0.9675858535760645
HARD_BASE,B,all,90,0.4178836475000788,0.26183840698704886,-0.018616840989755436,0.3815174380753199,46,8,2,21,14,6,9,-0.9578412599610169
HARD_BASE,recorded,prints_2024plus,31,0.21897776134072022,0.1690393240182861,-0.005877997285901072,0.2409657986707497,19,2,0,4,3,2,1,0.1597788768339554
HARD_BASE,A,prints_2024plus,31,0.22082601310650488,0.17093578468463408,-0.0012704087181262679,0.2409657986707497,19,2,0,4,3,2,1,0.15518050426600974
HARD_BASE,B,prints_2024plus,31,0.22166496332844113,0.17112806832994862,-0.0012755800275600162,0.2409657986707497,19,2,0,4,3,2,1,0.15447912706855824
HARD_BASE,recorded,flash_era_2025plus,19,0.17300164605167864,0.13929634726858153,0.024692630835155792,0.19466570535691505,12,0,0,1,1,1,0,0.1823640155734311
HARD_BASE,A,flash_era_2025plus,19,0.17589493281698332,0.14238344262268965,0.030115948884064547,0.19466570535691505,12,0,0,1,1,1,0,0.17514439936954043
HARD_BASE,B,flash_era_2025plus,19,0.17576641900165738,0.14227065581923826,0.030126024134368507,0.19466570535691505,12,0,0,1,1,1,0,0.1753534788037903
HARD_HALF,recorded,all,90,0.41369643830575464,0.26437319954197214,-0.015502383955060347,0.3815174380753199,43,7,1,22,15,8,9,-1.08114994461171
HARD_HALF,A,all,90,0.4142529779198208,0.2646165464184466,-0.009319099556288261,0.3815174380753199,42,8,1,23,15,7,10,-1.3299250433001222
HARD_HALF,B,all,90,0.4139861638658117,0.2644988632849785,-0.009328136732062122,0.3815174380753199,42,8,1,23,15,7,10,-1.3121927392638808
HARD_HALF,recorded,prints_2024plus,31,0.21958807119044277,0.16785552729960737,-0.004092841621496921,0.2409657986707497,18,1,0,5,4,3,1,0.35255916831343737
HARD_HALF,A,prints_2024plus,31,0.22210436285378068,0.16911996737368998,0.0004511526944334833,0.2409657986707497,17,1,0,5,4,3,1,0.35216130959398895
HARD_HALF,B,prints_2024plus,31,0.22292561279864048,0.16993731024804634,0.0004459813849997403,0.2409657986707497,17,1,0,5,4,3,1,0.3515689167218885
HARD_HALF,recorded,flash_era_2025plus,19,0.16560096093755453,0.13375320629227996,0.032267453772336474,0.19466570535691505,12,0,0,2,2,2,0,0.40298820470505736
HARD_HALF,A,flash_era_2025plus,19,0.16960147811915155,0.13558778964758408,0.03812786651712009,0.19466570535691505,11,0,0,2,2,2,0,0.3958188043672859
HARD_HALF,B,flash_era_2025plus,19,0.16947857059558016,0.1354667968919186,0.03813794176742404,0.19466570535691505,11,0,0,2,2,2,0,0.39613686812688675
HARD_FULL,recorded,all,90,0.4139308470027306,0.2696268338876436,-0.005779131141549162,0.3815174380753199,42,9,2,23,16,9,10,-1.2904823398921823
HARD_FULL,A,all,90,0.4150418415791206,0.27072377080072546,-3.0395298594933074e-05,0.3815174380753199,45,9,2,24,17,9,9,-1.116772012016342
HARD_FULL,B,all,90,0.4147595157723301,0.270853925039442,-3.94324743687724e-05,0.3815174380753199,46,8,2,24,17,9,9,-1.0988123246619477
HARD_FULL,recorded,prints_2024plus,31,0.22531658006178432,0.17263970528256042,-0.002307685957092744,0.2409657986707497,17,2,1,5,4,3,2,0.365647072114763
HARD_FULL,A,prints_2024plus,31,0.22856409944526676,0.17530103608349168,0.0021727141069932316,0.2409657986707497,18,2,1,5,4,3,2,0.375955441782999
HARD_FULL,B,prints_2024plus,31,0.22934969225676305,0.17683419448531493,0.0021675427975594887,0.2409657986707497,18,1,1,5,4,3,2,0.37536304891089856
HARD_FULL,recorded,flash_era_2025plus,19,0.1638271242938502,0.13239549655765354,0.03984227670951719,0.19466570535691505,11,0,0,2,2,2,0,0.443920006158527
HARD_FULL,A,flash_era_2025plus,19,0.168948984829655,0.1345663360272301,0.046139784150175625,0.19466570535691505,12,0,0,2,2,2,0,0.4433065362260623
HARD_FULL,B,flash_era_2025plus,19,0.16883602056088592,0.1344453432715646,0.04614985940047958,0.19466570535691505,12,0,0,2,2,2,0,0.44362459998566317
