target_month,actual,survey_mean,survey_median,release_dt
2021-08-31,0.7,0.1,0.2,20210910.0
2021-09-30,0.2,-0.2,-0.2,20211011.0
2021-10-31,1.0,0.7,0.7,20211110.0
2021-11-30,0.2,0.2,0.3,20211210.0
2021-12-31,0.4,0.3,0.3,20220112.0
2022-01-31,4.4,3.7,3.8,20220214.0
2022-02-28,1.3,0.6,0.6,20220310.0
2022-03-31,1.7,1.4,1.4,20220411.0
2022-04-30,1.8,0.9,0.9,20220510.0
2022-05-31,1.8,1.3,1.4,20220610.0
2022-06-30,1.6,1.5,1.5,20220713.0
2022-07-31,1.3,1.7,1.6,20220810.0
2022-08-31,0.4,0.8,0.8,20220912.0
2022-09-30,0.8,0.3,0.2,20221011.0
2022-10-31,-1.4,1.0,0.9,20221110.0
2022-11-30,1.2,0.7,0.7,20221212.0
2022-12-31,0.0,0.4,0.4,20230111.0
2023-01-31,6.0,5.7,5.8,20230210.0
2023-02-28,0.6,0.5,0.5,20230310.0
2023-03-31,0.1,0.1,0.1,20230413.0
2023-04-30,-0.2,0.3,0.4,20230511.0
2023-05-31,0.3,0.1,0.1,20230612.0
2023-06-30,0.3,0.3,0.3,20230713.0
2023-07-31,0.5,0.4,0.4,20230810.0
2023-08-31,0.2,0.2,0.1,20230911.0
2023-09-30,-0.7,-0.2,-0.2,20231010.0
2023-10-31,0.1,0.1,0.0,20231110.0
2023-11-30,0.1,-0.1,-0.1,20231211.0
2023-12-31,-0.4,0.0,0.0,20240111.0
2024-01-31,1.5,2.1,2.0,20240215.0
2024-02-29,0.3,0.4,0.4,20240311.0
2024-03-31,0.1,0.1,0.1,20240410.0
2024-04-30,0.7,0.2,0.2,20240513.0
2024-05-31,0.0,0.1,0.1,20240611.0
2024-06-30,-0.3,0.2,0.2,20240710.0
2024-07-31,0.7,0.4,0.5,20240812.0
2024-08-31,0.3,0.0,0.0,20240910.0
2024-09-30,-0.4,-0.5,-0.5,20241010.0
2024-10-31,0.3,0.3,0.3,20241111.0
2024-11-30,0.1,0.2,0.2,20241210.0
2024-12-31,-0.3,0.1,0.1,20250113.0
2025-01-31,1.3,1.3,1.3,20250212.0
2025-02-28,0.2,0.2,0.2,20250311.0
2025-03-31,0.1,0.1,0.1,20250410.0
2025-04-30,-0.1,-0.1,-0.1,20250513.0
2025-05-31,0.5,0.5,0.5,20250610.0
2025-06-30,0.3,0.3,0.3,20250710.0
2025-07-31,0.5,,,20250808.0
2025-08-31,0.1,0.1,0.1,20250910.0
2025-09-30,-0.6,-0.3,-0.3,20251010.0
2025-10-31,0.5,0.5,0.5,20251111.0
2025-11-30,-0.3,-0.3,-0.3,20251210.0
2025-12-31,-0.3,-0.3,-0.3,20260113.0
2026-01-31,0.9,0.9,0.9,20260213.0
2026-02-28,-0.1,-0.1,-0.1,20260310.0
2026-03-31,0.6,0.6,0.6,20260414.0
2026-04-30,0.5,0.5,0.5,20260513.0
2026-05-31,0.1,0.1,0.1,20260610.0
2026-06-30,-0.3,0.0,,20260710.0
2026-07-31,0.6,0.6,0.6,20260811.0
