,seasadj
1996-01,
1996-02,0.9080936342323875
1996-03,1.473444126297574
1996-04,1.0141320667827136
1996-05,1.181928660455367
1996-06,0.24992144961495377
1996-07,0.2690935312875897
1996-08,-1.177563648303348
1996-09,0.06493919775303336
1996-10,1.0284169966863432
1996-11,0.6003308778773642
1996-12,0.5225522562877227
1997-01,-0.20854996616673782
1997-02,0.2748496076061313
1997-03,0.0661250087420795
1997-04,0.2951240267406563
1997-05,-0.12847644020643756
1997-06,1.495973547034568
1997-07,0.15202810618244467
1997-08,1.0586693358971555
1997-09,0.6493650363084136
1997-10,0.670767271456385
1997-11,0.5558698669520856
1997-12,0.3164716304950854
1998-01,1.2199201621250433
1998-02,0.5046603689972118
1998-03,0.5474561959551538
1998-04,0.28880232113519533
1998-05,-0.00928686523029576
1998-06,-0.4743351031197718
1998-07,-0.28922548638282697
1998-08,-0.7811445081247981
1998-09,0.05993970267061943
1998-10,-0.962865215608466
1998-11,-1.189798135805764
1998-12,-1.730684033544272
1999-01,-0.11224589983065414
1999-02,-0.556330424458451
1999-03,-0.5049537447487151
1999-04,-0.09164226208197013
1999-05,-0.31860038625348697
1999-06,-0.6498698963977478
1999-07,-0.1807491745825618
1999-08,-0.09285412266445414
1999-09,0.14178963656668042
1999-10,-0.324764962738755
1999-11,0.4638910962659004
1999-12,0.3927233713141298
2000-01,-0.2568849224029113
2000-02,0.5809960830332583
2000-03,-0.507490201210592
2000-04,-0.5171812023446964
2000-05,0.19834429213720917
2000-06,-0.11649276387273311
2000-07,1.5120042645210718
2000-08,0.9595708182414509
2000-09,0.534448414561628
2000-10,1.0584362795403202
2000-11,0.4051618150340941
2000-12,-0.05377297562825234
2001-01,0.0971344728822876
2001-02,-0.1738063872419482
2001-03,0.5539132331304542
2001-04,0.7094458804786319
2001-05,0.9651894394536065
2001-06,1.5888249801887744
2001-07,1.0571801414013704
2001-08,-0.9017104359184125
2001-09,-0.699233680048561
2001-10,-0.3310562745216239
2001-11,-0.19589630249916556
2001-12,0.17223966820114622
2002-01,0.7995661399527343
