check_ts,source_id,url,cadence,verdict,status,sha256,last_modified,etag,n_chars,note
2026-09-07T12:45:04+00:00,eru_price_decisions,https://eru.gov.cz/cenova-rozhodnuti,every_call,FIRST,200,3783c13469c22183e7d450a04311c667e5199d7ba88cad1dc0de3f951ca3fece,"Mon, 07 Sep 2026 11:15:39 GMT","""1788779739-gzip""",6174,protocol validation run 2026-09-07
2026-09-07T12:45:04+00:00,eru_home_news,https://eru.gov.cz/,every_call,FIRST,200,39f657086ed22e7ccee30bb091172b15d07979f3490e135c71983ded6c1ece4a,"Mon, 07 Sep 2026 11:12:24 GMT","""1788779544-gzip""",4319,protocol validation run 2026-09-07
2026-09-07T12:45:04+00:00,eru_ipnc,https://eru.gov.cz/ipnc,monthly,FIRST,200,aaefe9f43b51240d595c81259a77a6d27518e8ac428c284b161d22dc4d5e576b,"Mon, 07 Sep 2026 11:26:00 GMT","""1788780360-gzip""",7025,protocol validation run 2026-09-07
2026-09-07T12:45:04+00:00,gov_press,https://vlada.gov.cz/cz/media-centrum/tiskove-zpravy/,every_call,FIRST,200,2ca482e4a1a2006b44b791c657800c0ee1528e6562477c4689961d94f572011b,"Mon, 07 Sep 2026 12:30:13 GMT","""72be-65ae3c7a4a9b7""",1154,protocol validation run 2026-09-07
2026-09-07T12:45:04+00:00,law_energy_cap_298_2022,https://www.zakonyprolidi.cz/cs/2022-298,monthly,FIRST,200,d4f6515085650e8cc15c7e15bb5a86fe1550415c6548548993118c48755712c5,,,76045,protocol validation run 2026-09-07
2026-09-07T12:45:04+00:00,law_vat_235_2004,https://www.zakonyprolidi.cz/cs/2004-235,monthly,FIRST,200,2ad81ba32f23ddd1283aa6efd2f1ab2bb2b23c1cdb156be18681a5249475b3f0,,,602553,protocol validation run 2026-09-07
2026-09-07T12:45:04+00:00,law_excise_353_2003,https://www.zakonyprolidi.cz/cs/2003-353,monthly,FIRST,200,a6b8d4d33b34f4892cc4a9ebcd5186ebf302653e1410ef7747a8d0c0dcc75773,,,594739,protocol validation run 2026-09-07
2026-09-07T12:45:04+00:00,law_tv_radio_fee_348_2005,https://www.zakonyprolidi.cz/cs/2005-348,quarterly,FIRST,200,eb2d689496cb1e7627bd49059434e26a6ab9df4e5c52427e064e855681a7a166,,,31725,protocol validation run 2026-09-07
2026-09-07T12:45:04+00:00,law_health_48_1997,https://www.zakonyprolidi.cz/cs/1997-48,quarterly,FIRST,200,36b83f1e86238e780b971d665b86b4f2070506c78fb5053199b6cf51ad0c8e91,,,571390,protocol validation run 2026-09-07
2026-09-07T12:45:04+00:00,mpo_energy,https://www.mpo.gov.cz/,every_call,FIRST,200,9ec65917062f11badeff9aa97a0186824e932197c179907eba91029ee8addffb,"Sun, 06 Sep 2026 22:05:01 GMT","W/""6a9de38d-152f3""",7755,protocol validation run 2026-09-07
