ym,Hodnota
2005-01,8448.0
2005-02,4351.0
2005-03,4347.0
2005-04,-4312.0
2005-05,3505.0
2005-06,5640.0
2005-07,-3011.0
2005-08,-5932.0
2005-09,1171.0
2005-10,-1775.0
2005-11,-783.0
2005-12,-6484.0
2006-01,6872.0
2006-02,2923.0
2006-03,5414.0
2006-04,-4788.0
2006-05,-155.0
2006-06,3586.0
2006-07,-4273.0
2006-08,-2864.0
2006-09,2865.0
2006-10,-1697.0
2006-11,1791.0
2006-12,-7874.0
2007-01,4581.0
2007-02,3491.0
2007-03,3166.0
2007-04,-2097.0
2007-05,-762.0
2007-06,943.0
2007-07,-6255.0
2007-08,-8885.0
2007-09,-565.0
2007-10,-2732.0
2007-11,-1298.0
2007-12,-10828.0
2008-01,2502.0
2008-02,1137.0
2008-03,-4411.0
2008-04,-2198.0
2008-05,707.0
2008-06,2327.0
2008-07,-4195.0
2008-08,-5629.0
2008-09,-1770.0
2008-10,-12943.0
2008-11,-5681.0
2008-12,-14178.0
2009-01,-2730.0
2009-02,-74.0
2009-03,9819.0
2009-04,2739.0
2009-05,2499.0
2009-06,9256.0
2009-07,1037.0
2009-08,945.0
2009-09,4330.0
2009-10,5213.0
2009-11,2990.0
2009-12,-4957.0
2010-01,6318.0
2010-02,4155.0
2010-03,4636.0
2010-04,3018.0
2010-05,2689.0
2010-06,-1061.0
2010-07,-10935.0
2010-08,-7702.0
2010-09,-4851.0
2010-10,-3749.0
2010-11,-4867.0
2010-12,-8230.0
2011-01,3926.0
2011-02,559.0
2011-03,9384.0
2011-04,2092.0
2011-05,476.0
2011-06,4983.0
2011-07,-3777.0
2011-08,-14425.0
2011-09,5807.0
2011-10,12802.0
2011-11,-668.0
2011-12,-9182.0
2012-01,5713.0
2012-02,12215.0
2012-03,13526.0
2012-04,5646.0
2012-05,1833.0
2012-06,11270.0
2012-07,2780.0
2012-08,152.0
2012-09,9797.0
2012-10,-110.0
2012-11,8080.0
2012-12,-6492.0
2013-01,3739.0
2013-02,16690.0
2013-03,15220.0
2013-04,15797.0
2013-05,13375.0
2013-06,14898.0
2013-07,4905.0
2013-08,1127.0
2013-09,11065.0
2013-10,8569.0
2013-11,11383.0
2013-12,-10250.0
2014-01,15325.0
2014-02,14299.0
2014-03,24415.0
2014-04,15509.0
2014-05,11809.0
2014-06,16989.0
2014-07,10616.0
2014-08,1143.0
2014-09,19086.0
2014-10,12171.0
2014-11,10249.0
2014-12,-5602.0
2015-01,20140.717591
2015-02,16978.096856
2015-03,15998.411485
2015-04,13558.358019
2015-05,7673.18813
2015-06,14352.17972
2015-07,4361.549121
2015-08,-1725.935702
2015-09,15975.776051
2015-10,15176.068855
2015-11,9644.440591
2015-12,-1156.07264
2016-01,20890.038221
2016-02,19896.246516
2016-03,20926.759289
2016-04,23862.940204
2016-05,16877.21093
2016-06,20044.633478
2016-07,-209.23718
2016-08,7325.445303
2016-09,19370.985594
2016-10,14698.544828
2016-11,8327.656138
2016-12,-8356.731485
2017-01,23256.596269
2017-02,22607.73095
2017-03,27435.436527
2017-04,14901.165693
2017-05,16179.342867
2017-06,20705.839937
2017-07,-1944.036355
2017-08,4915.625696
2017-09,18708.770061
2017-10,9094.342948
2017-11,11264.324322
2017-12,-3658.790989
2018-01,20145.584363
2018-02,18319.648512
2018-03,16972.800467
2018-04,15485.764058
2018-05,6734.740655
2018-06,13241.333151
2018-07,-8228.370276
2018-08,-6763.54735
2018-09,10720.255436
2018-10,-645.318812
2018-11,17097.535166
2018-12,-4614.601537
2019-01,16978.191214
2019-02,15511.901214
2019-03,15754.670024
2019-04,15873.840181
2019-05,24158.087608
2019-06,16961.739932
2019-07,-1742.58353
2019-08,9233.11637
2019-09,20041.944534
2019-10,8966.978918
2019-11,12181.600904
2019-12,-8224.769958
2020-01,16738.56764
2020-02,19659.673504
2020-03,-215.812485
2020-04,-24102.27164
2020-05,-496.41924
2020-06,33889.841236
2020-07,13950.312671
2020-08,7454.923092
2020-09,33881.600905
2020-10,31041.613608
2020-11,32051.897015
2020-12,15786.250675
2021-01,24415.394227
2021-02,20290.800529
2021-03,16210.626462
2021-04,19308.903342
2021-05,3441.970505
2021-06,-8902.681612
2021-07,-10451.130879
2021-08,-27750.305192
2021-09,-16498.845984
2021-10,-16851.831351
2021-11,3822.274243
2021-12,-16239.817127
2022-01,7578.201582
2022-02,-7473.501548
2022-03,-12740.612626
2022-04,-29033.597959
2022-05,-28388.585971
2022-06,-15803.016166
2022-07,-22484.509447
2022-08,-29258.877997
2022-09,-12570.615517
2022-10,-25785.177918
2022-11,-26425.988991
2022-12,-2428.3021
2023-01,8102.00077
2023-02,15448.878966
2023-03,17334.28147
2023-04,8754.904526
2023-05,9411.847155
2023-06,18014.087871
2023-07,-6211.726745
2023-08,-6462.959905
2023-09,11451.144763
2023-10,14269.05961
2023-11,27766.127999
2023-12,4624.861449
2024-01,7255.067734
2024-02,35003.63346
2024-03,40024.216645
2024-04,29301.985405
2024-05,10548.514413
2024-06,31138.0412
2024-07,-7200.718678
2024-08,11256.090688
2024-09,23237.826596
2024-10,10966.805546
2024-11,21197.546489
2024-12,7759.92348
2025-01,17877.430931
2025-02,30403.63296
2025-03,28120.096068
2025-04,18332.251326
2025-05,10897.081612
2025-06,26940.084506
2025-07,-2653.845773
2025-08,1335.585003
2025-09,27985.869647
2025-10,22128.705815
2025-11,11214.492649
2025-12,14512.778695
2026-01,19253.793958
2026-02,22023.590266
2026-03,30489.769846
2026-04,9088.646635
2026-05,11443.156776
2026-06,15463.727942
