,ote_base_eur_mwh
2025-10-01,117.49
2025-10-02,106.16
2025-10-03,81.03
2025-10-04,30.78
2025-10-05,32.21
2025-10-06,94.18
2025-10-07,138.54
2025-10-08,117.38
2025-10-09,104.79
2025-10-10,93.24
2025-10-11,91.38
2025-10-12,88.89
2025-10-13,135.1
2025-10-14,157.23
2025-10-15,142.88
2025-10-16,102.49
2025-10-17,107.74
2025-10-18,92.81
2025-10-19,80.43
2025-10-20,90.23
2025-10-21,86.9
2025-10-22,129.46
2025-10-23,96.04
2025-10-24,97.38
2025-10-25,46.68
2025-10-26,63.25
2025-10-27,84.2
2025-10-28,76.67
2025-10-29,95.05
2025-10-30,82.86
2025-10-31,103.0
2025-11-01,66.95
2025-11-02,92.4
2025-11-03,90.48
2025-11-04,87.28
2025-11-05,94.22
2025-11-06,104.03
2025-11-07,110.4
2025-11-08,107.33
2025-11-09,102.93
2025-11-10,121.26
2025-11-11,104.04
2025-11-12,95.63
2025-11-13,88.54
2025-11-14,115.47
2025-11-15,98.63
2025-11-16,103.78
2025-11-17,102.83
2025-11-18,105.22
2025-11-19,110.3
2025-11-20,129.19
2025-11-21,147.15
2025-11-22,102.23
2025-11-23,88.74
2025-11-24,151.76
2025-11-25,227.31
2025-11-26,161.63
2025-11-27,110.4
2025-11-28,114.76
2025-11-29,108.87
2025-11-30,101.3
2025-12-01,132.97
2025-12-02,139.85
2025-12-03,166.47
2025-12-04,130.5
2025-12-05,133.52
2025-12-06,96.63
2025-12-07,89.63
2025-12-08,104.54
2025-12-09,107.33
2025-12-10,97.34
2025-12-11,102.9
2025-12-12,116.95
2025-12-13,101.71
2025-12-14,96.88
2025-12-15,106.83
2025-12-16,120.37
2025-12-17,117.74
2025-12-18,103.31
2025-12-19,100.9
2025-12-20,107.28
2025-12-21,100.14
2025-12-22,101.24
2025-12-23,96.47
2025-12-24,85.23
2025-12-25,82.07
2025-12-26,97.94
2025-12-27,97.43
2025-12-28,95.07
2025-12-29,100.17
2025-12-30,90.71
2025-12-31,97.52
2026-01-01,88.24
2026-01-02,102.6
2026-01-03,92.2
2026-01-04,94.99
2026-01-05,137.81
2026-01-06,128.04
2026-01-07,131.73
2026-01-08,166.35
2026-01-09,116.34
2026-01-10,113.55
2026-01-11,98.07
2026-01-12,168.25
2026-01-13,179.06
2026-01-14,131.43
2026-01-15,139.33
2026-01-16,145.77
2026-01-17,115.28
2026-01-18,110.0
2026-01-19,138.15
2026-01-20,151.51
2026-01-21,138.02
2026-01-22,138.98
2026-01-23,145.7
2026-01-24,120.18
2026-01-25,115.45
2026-01-26,154.46
2026-01-27,164.2
2026-01-28,153.84
2026-01-29,139.92
2026-01-30,125.77
2026-01-31,113.33
2026-02-01,109.91
2026-02-02,130.53
2026-02-03,127.11
2026-02-04,127.3
2026-02-05,120.28
2026-02-06,131.2
2026-02-07,111.16
2026-02-08,106.44
2026-02-09,141.74
2026-02-10,128.51
2026-02-11,119.93
2026-02-12,114.02
2026-02-13,110.03
2026-02-14,108.46
2026-02-15,96.33
2026-02-16,116.74
