period,core_ridge,correction,core_full,core_half,history_n,original_headline,archived_headline
2019-02,0.2655766793477111,0.15926453183111108,0.42484121117882223,0.3452089452632667,46,0.3883467517066025,0.3883467517066025
2019-03,0.014512459121095195,-0.030415131440275113,-0.015902672319179918,-0.0006951065990423617,47,0.08514376237884856,0.0851437623788485
2019-04,0.41730438316789614,0.08324904568641044,0.5005534288543065,0.45892890601110137,48,0.4650347785677892,0.4650347785677892
2019-05,0.11933138158888867,0.018245916400918077,0.13757729798980675,0.12845433978934773,49,0.2792886609282514,0.2792886609282514
2019-06,0.17466925068140848,-0.1942477426693355,-0.01957849198792702,0.07754537934674073,50,-0.0017604970694853912,-0.0017604970694853
2019-07,0.5822327523442462,0.039346430386447404,0.6215791827306936,0.6019059675374699,51,0.40159469097101214,0.4015946909710121
2019-08,0.11231945703088975,0.07355950262254105,0.1858789596534308,0.14909920834216028,52,0.02240490476241755,0.0224049047624175
2019-09,-0.5801347491155396,0.06412553102178013,-0.5160092180937595,-0.5480719836046496,53,-0.20419561287152513,-0.2041956128715251
2019-10,0.30436418987712266,0.19020779913852673,0.49457198901564936,0.399468089446386,54,0.3734682938368189,0.3734682938368189
2019-11,0.11565764843981875,0.1202837774447525,0.23594142588457123,0.17579953716219499,55,0.23082659944561723,0.2308265994456172
2019-12,0.03898251388749998,0.0437419919850782,0.08272450587257818,0.06085350988003908,56,0.052589309948211184,0.0525893099482111
2020-01,0.3311512711702965,0.10301953903755955,0.4341708102078561,0.3826610406890763,57,0.976188867467383,0.976188867467383
2020-02,0.29755481478851253,0.15869044533237567,0.4562452601208882,0.37690003745470035,58,0.3456140091298126,0.3456140091298126
2020-03,-0.08255306632320719,0.17605983403877407,0.09350676771556687,0.005476850696179841,59,-0.38269892289701074,-0.3826989228970107
2020-04,-0.055070923849511635,0.18199581934582326,0.12692489549631164,0.035926985823399996,60,-0.41726605228731717,-0.4172660522873171
2020-05,0.10704193982366575,0.20171142768471734,0.3087533675083831,0.20789765366602442,61,0.436166920370907,0.436166920370907
2020-06,0.3769648586200102,0.32941945418166724,0.7063843128016775,0.5416745857108438,62,0.39236249788194677,0.3923624978819467
2020-07,0.5467677081544859,0.2603474840599267,0.8071151922144126,0.6769414501844493,63,0.5323155355806566,0.5323155355806566
2020-08,0.12737274497046225,0.29661839500164616,0.4239911399721084,0.2756819424712853,64,0.14152816515212693,0.1415281651521269
2020-09,-0.7940965064782148,0.08003024410390161,-0.7140662623743133,-0.754081384426264,65,-0.3621882024477151,-0.3621882024477151
2020-10,0.2901443044927383,0.3760871506972659,0.6662314551900042,0.47818787984137123,66,0.40343252021283926,0.4034325202128392
2020-11,0.17997458005679307,0.21874629139638427,0.39872087145317736,0.2893477257549852,67,0.28195088270331586,0.2819508827033158
2020-12,0.22695171564798225,0.06703899930174445,0.29399071494972673,0.2604712152988545,68,0.23949134562892063,0.2394913456289206
2021-01,0.37310898893912237,0.2863777381876491,0.6594867271267715,0.5162978580329469,69,1.0262433303448029,1.0262433303448029
2021-02,0.6184576250555206,0.39678537473452774,1.0152429997900483,0.8168503124227845,70,0.6558869851701792,0.6558869851701792
2021-03,-0.1797651495067265,-0.05456035521653768,-0.2343255047232642,-0.20704532711499535,71,0.10506812251518738,0.1050681225151873
2021-04,0.2761500597562797,0.08396696163237755,0.36011702138865725,0.31813354057246845,72,0.32102908068779923,0.3210290806877992
2021-05,0.5816649902671487,0.06645043562911722,0.6481154258962659,0.6148902080817072,73,0.7176412983776062,0.7176412983776062
2021-06,0.4205782607870429,-0.012593079020598334,0.4079851817664446,0.41428172127674373,74,0.38496721969524944,0.3849672196952494
2021-07,0.9958349235302415,0.23341025331618145,1.229245176846423,1.1125400501883322,75,0.8061254747953097,0.8061254747953097
2021-08,0.3248185444243722,-0.14983821395972693,0.17498033046464526,0.2498994374445087,76,0.058305783681453005,0.058305783681453
2021-09,-0.21476254281753326,0.30019875922085093,0.08543621640331767,-0.0646631632071078,77,0.006864461324430367,0.0068644613244303
2021-10,0.7396916679727914,0.4252872283953794,1.1649788963681709,0.9523352821704811,78,0.99690828585716,0.99690828585716
2021-11,0.6820219728247788,0.5164545033272238,1.1984764761520026,0.9402492244883907,79,0.9828591962337243,0.9828591962337244
2021-12,1.3153412805952682,0.5273971246930321,1.8427384052883005,1.5790398429417842,80,1.2219157785560721,1.221915778556072
2022-01,1.097799854867081,0.4309816742261248,1.5287815290932059,1.3132906919801435,81,4.1746740441882055,4.1746740441882055
2022-02,1.067797614263972,0.4994324174040578,1.5672300316680299,1.3175138229660008,82,1.2276574941372433,1.2276574941372431
2022-03,0.11001381741020044,0.4153816002248155,0.525395417635016,0.3177046175226082,83,1.284968274445271,1.284968274445271
2022-04,1.1461590200437193,0.5561876404638078,1.702346660507527,1.4242528402756232,84,1.2388314224743917,1.2388314224743917
2022-05,2.144287185958008,0.516312628650857,2.660599814608865,2.4024435002834363,85,2.4807680445221028,2.4807680445221028
2022-06,1.5447619256328218,0.5448791583189555,2.0896410839517774,1.8172015047922996,86,1.8870623337710486,1.8870623337710488
2022-07,2.236045328077667,0.20688477489970994,2.442930102977377,2.339487715527522,87,1.7545236533927335,1.7545236533927335
2022-08,1.4522483099385493,-0.18889321639965748,1.2633550935388917,1.3578017017387205,88,0.5401444158497472,0.5401444158497472
2022-09,0.41548948817469256,-0.5178343547508327,-0.10234486657614017,0.1565723107992762,89,-0.21333742856125115,-0.2133374285612511
2022-10,1.4748278451730945,-0.37317776016690074,1.1016500850061939,1.2882389650896442,90,1.0267332195976762,1.0267332195976762
2022-11,0.8054343301266389,-0.34918559860249704,0.45624873152414186,0.6308415308253904,91,0.4948868968394475,0.4948868968394475
2022-12,0.3414213213513258,-0.37868028207550025,-0.03725896072417445,0.15208118031357568,92,-0.3451623685184926,-0.3451623685184926
2023-01,0.9557689297069799,-0.19360916941909997,0.7621597602878799,0.8589643449974299,93,3.6432213465152445,3.643221346515245
2023-02,0.7199207844554091,-0.27990800004494587,0.4400127844104632,0.5799667844329361,94,0.4096030264784785,0.4096030264784785
2023-03,0.30684966568489713,-0.15326976810984055,0.15357989757505658,0.23021478162997686,95,0.10639534871029663,0.1063953487102966
2023-04,0.8352052499294156,-0.13729449332274127,0.6979107566066743,0.7665580032680449,96,0.5253164222382853,0.5253164222382853
