date,seasadj
2015-01,
2015-02,-0.21720217619104476
2015-03,0.3703156053396883
2015-04,0.5835099126382026
2015-05,0.35646707679601874
2015-06,-0.1849407507106715
2015-07,-1.2609229571970637
2015-08,0.15783106772300215
2015-09,0.4901041965584385
2015-10,-0.860738195517341
2015-11,-0.6132699782192219
2015-12,-0.9977605592749406
2016-01,0.2144385357415901
2016-02,0.18499748056686194
2016-03,0.3625055352375339
2016-04,0.6467213797261229
2016-05,-0.6831075171623513
2016-06,-0.7814032696642603
2016-07,1.1891365549318467
2016-08,0.3331566396556074
2016-09,-0.16562947416556284
2016-10,-0.8327135465679536
2016-11,2.2325336077398727
2016-12,0.5982731440736577
2017-01,0.4678567872884898
2017-02,1.270934521105449
2017-03,0.11805269942011254
2017-04,-0.10772032408576937
2017-05,0.03760832130004221
2017-06,0.0505042081838214
2017-07,1.6059816228716217
2017-08,0.11476154443486042
2017-09,0.13507560943495367
2017-10,1.0990152815256726
2017-11,0.26873433116108014
2017-12,0.43795815474494404
2018-01,-0.5673551755721151
2018-02,-0.8374873149562978
2018-03,-0.32719479905948257
2018-04,-0.14404306001625233
2018-05,0.3874796873898356
2018-06,0.4320923404667276
2018-07,-1.1682565052026472
2018-08,0.705435579388336
2018-09,1.211177480956227
2018-10,-0.0550011194101141
2018-11,-1.135888232215576
2018-12,1.136771048200358
2019-01,-0.3719261762173631
2019-02,0.7629327750795722
2019-03,0.1402715346252803
2019-04,-0.2623493809349342
2019-05,1.2277861548893876
2019-06,0.4162419586908994
2019-07,0.18836503051944398
2019-08,0.46147291662459455
2019-09,0.09422290212961482
2019-10,0.27711736835587253
2019-11,1.3167802962080533
2019-12,0.7335628153851026
2020-01,0.7201715511708118
2020-02,0.08499948150044734
2020-03,0.9452663268670447
2020-04,0.9977479080235607
2020-05,-0.20975160417875394
2020-06,-0.4000684552548095
2020-07,-0.7782211774374326
2020-08,0.14766105625119152
2020-09,-0.32170346788309434
2020-10,0.02337977436286387
2020-11,0.016588074152723564
2020-12,-1.0279356499073078
2021-01,1.0933894132003186
2021-02,0.23346300657314245
2021-03,-0.025123382256786453
2021-04,1.0779983351230538
2021-05,-1.358600278634503
2021-06,-0.08500017394663661
2021-07,0.9916919400463797
2021-08,0.8731598135793384
2021-09,0.17844547149745704
2021-10,-1.065219920499061
2021-11,1.1210953875638197
2021-12,1.194391338703693
2022-01,2.1532060404599873
2022-02,1.7517384765926014
2022-03,0.6508665311370176
2022-04,3.8861812373220506
2022-05,2.6792607809602353
2022-06,2.425904264434431
2022-07,2.002554348980201
2022-08,1.04091001399087
2022-09,1.4927134754426863
2022-10,2.073427777907666
2022-11,1.9241049826623113
2022-12,0.9845733828171666
2023-01,1.3999979440082022
2023-02,1.204985575685602
2023-03,0.2981928677763257
2023-04,-1.375071055875765
2023-05,0.27222287457442373
2023-06,0.28252098537764336
2023-07,-0.37941500178402254
2023-08,-0.468545744739024
2023-09,-0.42231767115111785
2023-10,-0.17842465072458458
2023-11,-0.28053881431396865
2023-12,-0.6094639384885192
2024-01,-2.3669136961634862
2024-02,0.36921389950490546
2024-03,-0.8223871514946857
2024-04,1.992954193726737
2024-05,-0.750855470377465
2024-06,-0.2522514672173015
2024-07,0.741578275029986
2024-08,0.8646197321784177
2024-09,1.8762691454099922
2024-10,-0.7651804093541381
2024-11,0.5778981680987227
2024-12,0.18833476064150645
2025-01,0.6513352938742223
2025-02,0.18286481765932283
2025-03,0.7802671129030214
2025-04,-0.016910793141033942
2025-05,0.5206956805458685
2025-06,0.5813403256333505
2025-07,-0.27330782367489537
2025-08,0.2825385253027557
2025-09,-0.11314728357543213
2025-10,0.10502193316028752
2025-11,-0.8055790537191521
2025-12,-0.27282045138226074
2026-01,0.34232165449818996
2026-02,-0.7463108317667388
2026-03,-0.6486720926097256
2026-04,-0.17830232983866434
2026-05,-0.15901916831703167
2026-06,-0.8506329299749593
2026-07,-0.0073836056024623176
