code,product,rule,exceptions,periodicity,group,subgroup,source
011047-26,Indexy cen výrobců,16. kalendářní den po období,"Data za leden: +9 dnů; březen, duben: +4 dny; červen, prosinec: +1 den. ",M,"Ceny, inflace",Ceny výrobců,"https://csu.gov.cz/rychle_informace_archiv (Seznam Rychlych informaci na rok 2026, XLSX, downloaded 2026-09-07); all releases 09:00 Prague"
050056-26,Tvorba a užití HDP,60. kalendářní den po období,Data za 1Q a 2Q: -1 den; 3Q: +2 dny; 4Q: +1 den,Q,"HDP, národní účty",Čtvrtletní odhady HDP,"https://csu.gov.cz/rychle_informace_archiv (Seznam Rychlych informaci na rok 2026, XLSX, downloaded 2026-09-07); all releases 09:00 Prague"
012024-26,Indexy spotřebitelských cen - inflace,10. kalendářní den po období,"Data za leden: +3 dny; březen, duben, prosinec: +2 dny; červenec, září: +1 den ",M,"Ceny, inflace","Inflace, spotřebitelské ceny","https://csu.gov.cz/rychle_informace_archiv (Seznam Rychlych informaci na rok 2026, XLSX, downloaded 2026-09-07); all releases 09:00 Prague"
150153-26,Průmysl,37. kalendářní den po období,"Data za leden: +3 dny; únor, květen, listopad: +2 dny; březen: +1 den. Data jsou tříděna dle CZ-NACE 2008.",M,Průmysl,Krátkodobé statistiky průmyslu,"https://csu.gov.cz/rychle_informace_archiv (Seznam Rychlych informaci na rok 2026, XLSX, downloaded 2026-09-07); all releases 09:00 Prague"
200035-26,Stavebnictví,37. kalendářní den po období,Data za leden: +3 dny; únor: +2 dny; březen: +1 den; květen: +2 dny; listopad: +2 dny. Data jsou tříděna dle CZ-NACE 2008.,M,"Stavebnictví, byty",Stavební produkce,"https://csu.gov.cz/rychle_informace_archiv (Seznam Rychlych informaci na rok 2026, XLSX, downloaded 2026-09-07); all releases 09:00 Prague"
020026-26,Cestovní ruch,39. kalendářní den po období,"Data za 1Q: +2 dny; 2Q: -1 den; 3Q, 4Q: +1 den",Q,Cestovní ruch,Návštěvnost hromadných ubytovacích zařízení,"https://csu.gov.cz/rychle_informace_archiv (Seznam Rychlych informaci na rok 2026, XLSX, downloaded 2026-09-07); all releases 09:00 Prague"
050062-26,Notifikace deficitu a dluhu vládních institucí,Jiný,,P,"HDP, národní účty",Vládní finanční statistika,"https://csu.gov.cz/rychle_informace_archiv (Seznam Rychlych informaci na rok 2026, XLSX, downloaded 2026-09-07); all releases 09:00 Prague"
012064-26,Předběžný odhad indexu spotřebitelských cen,Jiný,,M,"Ceny, inflace","Inflace, spotřebitelské ceny","https://csu.gov.cz/rychle_informace_archiv (Seznam Rychlych informaci na rok 2026, XLSX, downloaded 2026-09-07); all releases 09:00 Prague"
110031-26,Průměrné mzdy,65. kalendářní den po období,,Q,Zaměstnanci a mzdy,,"https://csu.gov.cz/rychle_informace_archiv (Seznam Rychlych informaci na rok 2026, XLSX, downloaded 2026-09-07); all releases 09:00 Prague"
070008-26,Konjunkturální průzkumy,24. kalendářní den v období,Data za prosinec: -5 dní.,M,Konjunkturální průzkumy,,"https://csu.gov.cz/rychle_informace_archiv (Seznam Rychlych informaci na rok 2026, XLSX, downloaded 2026-09-07); all releases 09:00 Prague"
250146-26,"Míry zaměstnanosti, nezaměstnanosti a ekonomické aktivity",31. kalendářní den po období,Data jsou nastavena podle naplánovaných termínů Eurostatu. Termíny zveřejňování mohou být v průběhu roku korigovány v závislosti na termínech publikování Eurostatu.,M,Zaměstnanost a nezaměstnanost (VŠPS),,"https://csu.gov.cz/rychle_informace_archiv (Seznam Rychlych informaci na rok 2026, XLSX, downloaded 2026-09-07); all releases 09:00 Prague"
