origin,model,as_of,correction,n,last_release,train_origins,status
2019-04,CORE_RF_MEDIAN_R21,2019-05-12T23:59:00,0.14641098687969617,48,2019-04-10T00:00:00,2015-04|2015-05|2015-06|2015-07|2015-08|2015-09|2015-10|2015-11|2015-12|2016-01|2016-02|2016-03|2016-04|2016-05|2016-06|2016-07|2016-08|2016-09|2016-10|2016-11|2016-12|2017-01|2017-02|2017-03|2017-04|2017-05|2017-06|2017-07|2017-08|2017-09|2017-10|2017-11|2017-12|2018-01|2018-02|2018-03|2018-04|2018-05|2018-06|2018-07|2018-08|2018-09|2018-10|2018-11|2018-12|2019-01|2019-02|2019-03,estimated
2019-05,HEADLINE_MEAN_R21,2019-06-10T23:59:00,0.0,3,2019-05-13T00:00:00,2019-02|2019-03|2019-04,warmup
2019-05,HEADLINE_ENET_R21,2019-06-10T23:59:00,0.0,3,2019-05-13T00:00:00,2019-02|2019-03|2019-04,warmup
2019-05,CORE_RF_MEAN_R21,2019-06-10T23:59:00,0.13827814142720476,49,2019-05-13T00:00:00,2015-04|2015-05|2015-06|2015-07|2015-08|2015-09|2015-10|2015-11|2015-12|2016-01|2016-02|2016-03|2016-04|2016-05|2016-06|2016-07|2016-08|2016-09|2016-10|2016-11|2016-12|2017-01|2017-02|2017-03|2017-04|2017-05|2017-06|2017-07|2017-08|2017-09|2017-10|2017-11|2017-12|2018-01|2018-02|2018-03|2018-04|2018-05|2018-06|2018-07|2018-08|2018-09|2018-10|2018-11|2018-12|2019-01|2019-02|2019-03|2019-04,estimated
2019-05,CORE_RF_MEDIAN_R21,2019-06-10T23:59:00,0.10776858596238872,49,2019-05-13T00:00:00,2015-04|2015-05|2015-06|2015-07|2015-08|2015-09|2015-10|2015-11|2015-12|2016-01|2016-02|2016-03|2016-04|2016-05|2016-06|2016-07|2016-08|2016-09|2016-10|2016-11|2016-12|2017-01|2017-02|2017-03|2017-04|2017-05|2017-06|2017-07|2017-08|2017-09|2017-10|2017-11|2017-12|2018-01|2018-02|2018-03|2018-04|2018-05|2018-06|2018-07|2018-08|2018-09|2018-10|2018-11|2018-12|2019-01|2019-02|2019-03|2019-04,estimated
2019-06,HEADLINE_MEAN_R21,2019-07-10T23:59:00,0.0,4,2019-06-11T00:00:00,2019-02|2019-03|2019-04|2019-05,warmup
2019-06,HEADLINE_ENET_R21,2019-07-10T23:59:00,0.0,4,2019-06-11T00:00:00,2019-02|2019-03|2019-04|2019-05,warmup
2019-06,CORE_RF_MEAN_R21,2019-07-10T23:59:00,-0.00955216591610989,50,2019-06-11T00:00:00,2015-04|2015-05|2015-06|2015-07|2015-08|2015-09|2015-10|2015-11|2015-12|2016-01|2016-02|2016-03|2016-04|2016-05|2016-06|2016-07|2016-08|2016-09|2016-10|2016-11|2016-12|2017-01|2017-02|2017-03|2017-04|2017-05|2017-06|2017-07|2017-08|2017-09|2017-10|2017-11|2017-12|2018-01|2018-02|2018-03|2018-04|2018-05|2018-06|2018-07|2018-08|2018-09|2018-10|2018-11|2018-12|2019-01|2019-02|2019-03|2019-04|2019-05,estimated
2019-06,CORE_RF_MEDIAN_R21,2019-07-10T23:59:00,0.010618449070674454,50,2019-06-11T00:00:00,2015-04|2015-05|2015-06|2015-07|2015-08|2015-09|2015-10|2015-11|2015-12|2016-01|2016-02|2016-03|2016-04|2016-05|2016-06|2016-07|2016-08|2016-09|2016-10|2016-11|2016-12|2017-01|2017-02|2017-03|2017-04|2017-05|2017-06|2017-07|2017-08|2017-09|2017-10|2017-11|2017-12|2018-01|2018-02|2018-03|2018-04|2018-05|2018-06|2018-07|2018-08|2018-09|2018-10|2018-11|2018-12|2019-01|2019-02|2019-03|2019-04|2019-05,estimated
2019-07,HEADLINE_MEAN_R21,2019-08-11T23:59:00,0.0,5,2019-07-11T00:00:00,2019-02|2019-03|2019-04|2019-05|2019-06,warmup
2019-07,HEADLINE_ENET_R21,2019-08-11T23:59:00,0.0,5,2019-07-11T00:00:00,2019-02|2019-03|2019-04|2019-05|2019-06,warmup
2019-07,CORE_RF_MEAN_R21,2019-08-11T23:59:00,0.03902877710813473,51,2019-07-11T00:00:00,2015-04|2015-05|2015-06|2015-07|2015-08|2015-09|2015-10|2015-11|2015-12|2016-01|2016-02|2016-03|2016-04|2016-05|2016-06|2016-07|2016-08|2016-09|2016-10|2016-11|2016-12|2017-01|2017-02|2017-03|2017-04|2017-05|2017-06|2017-07|2017-08|2017-09|2017-10|2017-11|2017-12|2018-01|2018-02|2018-03|2018-04|2018-05|2018-06|2018-07|2018-08|2018-09|2018-10|2018-11|2018-12|2019-01|2019-02|2019-03|2019-04|2019-05|2019-06,estimated
2019-07,CORE_RF_MEDIAN_R21,2019-08-11T23:59:00,0.022776545440693782,51,2019-07-11T00:00:00,2015-04|2015-05|2015-06|2015-07|2015-08|2015-09|2015-10|2015-11|2015-12|2016-01|2016-02|2016-03|2016-04|2016-05|2016-06|2016-07|2016-08|2016-09|2016-10|2016-11|2016-12|2017-01|2017-02|2017-03|2017-04|2017-05|2017-06|2017-07|2017-08|2017-09|2017-10|2017-11|2017-12|2018-01|2018-02|2018-03|2018-04|2018-05|2018-06|2018-07|2018-08|2018-09|2018-10|2018-11|2018-12|2019-01|2019-02|2019-03|2019-04|2019-05|2019-06,estimated
2019-08,HEADLINE_MEAN_R21,2019-09-09T23:59:00,0.0,6,2019-08-12T00:00:00,2019-02|2019-03|2019-04|2019-05|2019-06|2019-07,warmup
2019-08,HEADLINE_ENET_R21,2019-09-09T23:59:00,0.0,6,2019-08-12T00:00:00,2019-02|2019-03|2019-04|2019-05|2019-06|2019-07,warmup
2019-08,CORE_RF_MEAN_R21,2019-09-09T23:59:00,0.08347167257907878,52,2019-08-12T00:00:00,2015-04|2015-05|2015-06|2015-07|2015-08|2015-09|2015-10|2015-11|2015-12|2016-01|2016-02|2016-03|2016-04|2016-05|2016-06|2016-07|2016-08|2016-09|2016-10|2016-11|2016-12|2017-01|2017-02|2017-03|2017-04|2017-05|2017-06|2017-07|2017-08|2017-09|2017-10|2017-11|2017-12|2018-01|2018-02|2018-03|2018-04|2018-05|2018-06|2018-07|2018-08|2018-09|2018-10|2018-11|2018-12|2019-01|2019-02|2019-03|2019-04|2019-05|2019-06|2019-07,estimated
2019-08,CORE_RF_MEDIAN_R21,2019-09-09T23:59:00,0.05320899070264026,52,2019-08-12T00:00:00,2015-04|2015-05|2015-06|2015-07|2015-08|2015-09|2015-10|2015-11|2015-12|2016-01|2016-02|2016-03|2016-04|2016-05|2016-06|2016-07|2016-08|2016-09|2016-10|2016-11|2016-12|2017-01|2017-02|2017-03|2017-04|2017-05|2017-06|2017-07|2017-08|2017-09|2017-10|2017-11|2017-12|2018-01|2018-02|2018-03|2018-04|2018-05|2018-06|2018-07|2018-08|2018-09|2018-10|2018-11|2018-12|2019-01|2019-02|2019-03|2019-04|2019-05|2019-06|2019-07,estimated
2019-09,HEADLINE_MEAN_R21,2019-10-09T23:59:00,0.0,7,2019-09-10T00:00:00,2019-02|2019-03|2019-04|2019-05|2019-06|2019-07|2019-08,warmup
2019-09,HEADLINE_ENET_R21,2019-10-09T23:59:00,0.0,7,2019-09-10T00:00:00,2019-02|2019-03|2019-04|2019-05|2019-06|2019-07|2019-08,warmup
2019-09,CORE_RF_MEAN_R21,2019-10-09T23:59:00,-0.007791343669738019,53,2019-09-10T00:00:00,2015-04|2015-05|2015-06|2015-07|2015-08|2015-09|2015-10|2015-11|2015-12|2016-01|2016-02|2016-03|2016-04|2016-05|2016-06|2016-07|2016-08|2016-09|2016-10|2016-11|2016-12|2017-01|2017-02|2017-03|2017-04|2017-05|2017-06|2017-07|2017-08|2017-09|2017-10|2017-11|2017-12|2018-01|2018-02|2018-03|2018-04|2018-05|2018-06|2018-07|2018-08|2018-09|2018-10|2018-11|2018-12|2019-01|2019-02|2019-03|2019-04|2019-05|2019-06|2019-07|2019-08,estimated
2019-09,CORE_RF_MEDIAN_R21,2019-10-09T23:59:00,0.02956975455815935,53,2019-09-10T00:00:00,2015-04|2015-05|2015-06|2015-07|2015-08|2015-09|2015-10|2015-11|2015-12|2016-01|2016-02|2016-03|2016-04|2016-05|2016-06|2016-07|2016-08|2016-09|2016-10|2016-11|2016-12|2017-01|2017-02|2017-03|2017-04|2017-05|2017-06|2017-07|2017-08|2017-09|2017-10|2017-11|2017-12|2018-01|2018-02|2018-03|2018-04|2018-05|2018-06|2018-07|2018-08|2018-09|2018-10|2018-11|2018-12|2019-01|2019-02|2019-03|2019-04|2019-05|2019-06|2019-07|2019-08,estimated
2019-10,HEADLINE_MEAN_R21,2019-11-10T23:59:00,0.0,8,2019-10-10T00:00:00,2019-02|2019-03|2019-04|2019-05|2019-06|2019-07|2019-08|2019-09,warmup
2019-10,HEADLINE_ENET_R21,2019-11-10T23:59:00,0.0,8,2019-10-10T00:00:00,2019-02|2019-03|2019-04|2019-05|2019-06|2019-07|2019-08|2019-09,warmup
2019-10,CORE_RF_MEAN_R21,2019-11-10T23:59:00,0.15823079181800748,54,2019-10-10T00:00:00,2015-04|2015-05|2015-06|2015-07|2015-08|2015-09|2015-10|2015-11|2015-12|2016-01|2016-02|2016-03|2016-04|2016-05|2016-06|2016-07|2016-08|2016-09|2016-10|2016-11|2016-12|2017-01|2017-02|2017-03|2017-04|2017-05|2017-06|2017-07|2017-08|2017-09|2017-10|2017-11|2017-12|2018-01|2018-02|2018-03|2018-04|2018-05|2018-06|2018-07|2018-08|2018-09|2018-10|2018-11|2018-12|2019-01|2019-02|2019-03|2019-04|2019-05|2019-06|2019-07|2019-08|2019-09,estimated
2019-10,CORE_RF_MEDIAN_R21,2019-11-10T23:59:00,0.14659011112427364,54,2019-10-10T00:00:00,2015-04|2015-05|2015-06|2015-07|2015-08|2015-09|2015-10|2015-11|2015-12|2016-01|2016-02|2016-03|2016-04|2016-05|2016-06|2016-07|2016-08|2016-09|2016-10|2016-11|2016-12|2017-01|2017-02|2017-03|2017-04|2017-05|2017-06|2017-07|2017-08|2017-09|2017-10|2017-11|2017-12|2018-01|2018-02|2018-03|2018-04|2018-05|2018-06|2018-07|2018-08|2018-09|2018-10|2018-11|2018-12|2019-01|2019-02|2019-03|2019-04|2019-05|2019-06|2019-07|2019-08|2019-09,estimated
2019-11,HEADLINE_MEAN_R21,2019-12-09T23:59:00,0.0,9,2019-11-11T00:00:00,2019-02|2019-03|2019-04|2019-05|2019-06|2019-07|2019-08|2019-09|2019-10,warmup
2019-11,HEADLINE_ENET_R21,2019-12-09T23:59:00,0.0,9,2019-11-11T00:00:00,2019-02|2019-03|2019-04|2019-05|2019-06|2019-07|2019-08|2019-09|2019-10,warmup
