period,eurczk_mm,services_l1,import_l2,core_l1,core_l2,core_l12,state,eurczk_mm_x_state,import_l2_x_state,mon_2,mon_3,mon_4,mon_5,mon_6,mon_7,mon_8,mon_9,mon_10,mon_11,mon_12,base_forecast,released_headline_error_last,released_headline_error_last3
2020-10,1.800082332248043,0.6154308015610788,-1.0999999999999943,-0.8,0.0,0.6,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.1835507038734855,-0.2206944687390875,-0.11359284098800887
2020-11,-2.716712006470112,0.0596747724899593,1.9000000000000057,0.5,-0.8,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.1331935220806632,0.016449296126514523,-0.07912630969968824
2020-12,-0.5706080187431462,-0.0447293872074094,1.5999999999999943,0.0,0.5,0.1,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.17439862975000198,-0.1331935220806632,-0.1124795648977454
2021-01,-0.6498935846762088,-0.044749403341282,-1.7999999999999972,0.0,0.0,0.8,0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8285790522695597,-0.374398629750002,-0.1637142852347169
2021-02,-1.0175586243831414,0.6416952693627742,-0.0999999999999943,0.7,0.0,0.7,0.0,-0.0,-0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4287738547440542,0.4714209477304403,-0.0120570680334083
2021-03,1.1748792270531272,0.2520759193357147,0.2999999999999971,0.3,0.7,-0.3,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15191007441957335,-0.2287738547440542,-0.0439171789212053
2021-04,-0.9740631804117772,0.2662328057979612,0.4000000000000057,-0.2,0.3,0.2,0.0,-0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.256026468736474,0.04808992558042666,0.09691233952227092
2021-05,-1.4118191637093047,0.0737571913261403,2.299999999999997,0.3,-0.2,0.7,0.0,-0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5680138323904842,0.243973531263526,0.021096534033299485
2021-06,-0.4069175991861629,0.3832547169811295,0.4000000000000057,0.4,0.3,0.5,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3296679179291987,-0.3680138323904842,-0.02531679184884385
2021-07,0.7346585998271316,0.3524229074889806,0.0999999999999943,0.9,0.4,1.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.6445519678863136,0.1703320820708013,0.015430593647947707
2021-08,-0.6747006747006679,0.3072870939420546,1.2000000000000028,1.5,0.9,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.22450335235865432,0.35544803211368636,0.05258876059800116
2021-09,-0.3180461755929009,0.4668125455871807,2.4000000000000057,1.0,1.5,-0.8,1.0,-0.3180461755929009,2.4000000000000057,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,-0.12400009742970602,0.47549664764134564,0.3337589206086111
2021-10,0.3860243431677679,0.5953245244663563,0.2999999999999971,0.2,1.0,0.5,1.0,0.3860243431677679,0.2999999999999971,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.7237052274417968,0.32400009742970604,0.38498159239491264
2021-11,-0.3335295271728489,0.2020785219399634,1.4000000000000057,1.3,0.2,0.0,1.0,-0.3335295271728489,1.4000000000000057,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.6823484514284204,0.2762947725582032,0.358597172543085
2021-12,-0.5629921259842408,0.6626332469028995,2.5999999999999943,1.1,1.3,0.0,1.0,-0.5629921259842408,2.5999999999999943,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.7709389674170302,-0.48234845142842037,0.03931547285316297
2022-01,-3.1199271489092184,0.2003434459072917,0.7999999999999972,0.8,1.1,0.7,1.0,-3.1199271489092184,0.7999999999999972,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.378137226971534,-0.37093896741703014,-0.19233088209574908
2022-02,-0.1226041113245424,1.5852613538988702,0.7999999999999972,1.7,0.8,0.3,1.0,-0.1226041113245424,0.7999999999999972,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8664254070284128,0.02186277302846662,-0.27714154860566126
2022-03,2.3282458365726955,0.9278785322648586,-0.5999999999999943,0.9,1.7,-0.2,1.0,2.3282458365726955,-0.5999999999999943,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9740717773895649,0.4335745929715873,0.028166132861007925
2022-04,-2.283269353806772,0.9332776152667588,1.5,0.7,0.9,0.3,1.0,-2.283269353806772,1.5,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7418585559133414,0.7259282226104351,0.3937885295368297
2022-05,1.2726603101853806,1.3386696108197649,7.0,1.5,0.7,0.4,1.0,1.2726603101853806,7.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8273429935590184,1.0581414440866586,0.7392147532228938
2022-06,-0.1171811863584948,1.1575650279177507,-0.2999999999999971,1.4,1.5,0.9,1.0,-0.1171811863584948,-0.2999999999999971,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3932606931984495,-0.02734299355901837,0.5855755577126918
2022-07,-0.5744568955054818,0.7404415724286517,2.0999999999999943,1.5,1.4,1.5,1.0,-0.5744568955054818,2.0999999999999943,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.4018402902822626,0.20673930680155062,0.41251258577639693
2022-08,-0.0366196036945098,0.7750902044634689,1.4000000000000057,1.6,1.5,1.0,1.0,-0.0366196036945098,1.4000000000000057,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.6308526564677204,-0.1018402902822626,0.025852007653423215
2022-09,0.0203516769781808,0.5702161517040283,2.700000000000003,0.9,1.6,0.2,1.0,0.0203516769781808,2.700000000000003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.16209244464284336,-0.23085265646772035,-0.04198454664947745
2022-10,-0.1668497944898872,1.595464135021074,2.5999999999999943,0.3,0.9,1.3,1.0,-0.1668497944898872,2.5999999999999943,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.1729476113272232,0.6379075553571567,0.10173820286905792
2022-11,-0.6725909016794374,0.7916937053860984,-2.0,1.2,0.3,1.1,1.0,-0.6725909016794374,-2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.7585158740889214,-2.572947611327223,-0.7219642374792623
2022-12,-0.4021832806664904,0.4635591037857489,-2.200000000000003,0.4,1.2,0.8,1.0,-0.4021832806664904,-2.200000000000003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.047475065722731635,0.44148412591107855,-0.49785197668632925
2023-01,-1.2814701883060664,0.3204306588054484,-1.7999999999999972,0.4,0.4,1.7,1.0,-1.2814701883060664,-1.7999999999999972,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.873148431243555,-0.047475065722731635,-0.7263128503796255
2023-02,-1.0267968945654848,1.4309441676248813,-0.7999999999999972,0.8,0.4,0.9,1.0,-1.0267968945654848,-0.7999999999999972,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5313152061494304,1.1268515687564449,0.5069535429815972
2023-03,-0.1223009446693623,0.6298022420959892,-2.0,0.7,0.8,0.7,1.0,-0.1223009446693623,-2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2926338566146489,0.06868479385056958,0.38268709896142755
2023-04,-1.034497318751848,0.6634121917636682,-1.5,0.2,0.7,1.5,1.0,-1.034497318751848,-1.5,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5640927888903151,-0.1926338566146489,0.3343008353307885
2023-05,0.7082515573001213,0.6093011688634631,-0.9000000000000057,0.2,0.2,1.4,1.0,0.7082515573001213,-0.9000000000000057,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.22898268041677386,-0.7640927888903151,-0.2960139505514648
2023-06,0.3897644467039551,0.3213447039920991,-2.9000000000000057,0.1,0.2,1.5,1.0,0.3897644467039551,-2.9000000000000057,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.035044079040744636,0.07101731958322613,-0.29523644197391263
2023-07,0.8693450371370703,0.3079955648638721,-0.7000000000000028,0.5,0.1,1.6,1.0,0.8693450371370703,-0.7000000000000028,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.38617514341012105,0.26495592095925535,-0.14270651611594454
2023-08,0.8785875658940512,0.1965119135347359,-0.0999999999999943,1.0,0.5,0.9,1.0,0.8785875658940512,-0.0999999999999943,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.4746143904367312,0.11382485658987895,0.14993269904412013
2023-09,1.1405109489051268,0.2451581269919067,0.0999999999999943,0.2,1.0,0.3,1.0,1.1405109489051268,0.0999999999999943,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,-0.24889839959904397,-0.2746143904367312,0.03472212903746771
2023-10,0.816008529134371,0.9048667155783896,1.2999999999999972,-0.6,0.2,1.2,1.0,0.816008529134371,1.2999999999999972,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.29059742738357847,-0.451101600400956,-0.20396371141593606
2023-11,-0.3945334743349793,0.1696558410082538,2.0,0.3,-0.6,0.4,1.0,-0.3945334743349793,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.05849249293244713,-0.19059742738357846,-0.3054378060737552
2023-12,-0.0245007962758836,0.0120977498185181,0.7999999999999972,0.1,0.3,0.4,1.0,-0.0245007962758836,0.7999999999999972,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-0.13307024110083232,0.04150750706755288,-0.20006384023899385
2024-01,0.9516807580770336,0.0725777186403764,-1.0,0.0,0.1,0.8,1.0,0.9516807580770336,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9319165376518567,-0.2669297588991677,-0.13867322640506444
2024-02,2.0877164589739428,0.9670010878762404,-1.2000000000000028,0.2,0.0,0.7,0.0,0.0,-0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2706200012537311,0.5680834623481433,0.11422040350550951
2024-03,0.2298668357641142,0.6464743206033852,0.2999999999999971,0.5,0.2,0.2,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.17828022163150525,0.0293799987462689,0.11017790073174817
2024-04,-0.0395413206801031,0.4282145830855288,1.2999999999999972,0.1,0.5,0.2,0.0,-0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.535513874597449,-0.07828022163150525,0.173061079820969
2024-05,-1.8750000000000044,0.414544593154087,0.4000000000000057,0.1,0.1,0.1,0.0,-0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2079810434726739,0.16448612540255092,0.03852863417243819
2024-06,-0.1088446343626592,0.3538570417551234,0.4000000000000057,0.1,0.1,0.5,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.049566412104763674,-0.2079810434726739,-0.04059171323387608
2024-07,2.122765244763713,0.2233192289609942,-1.4000000000000057,0.1,0.1,1.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.20998444901121854,-0.3495664121047637,-0.13102044339162888
2024-08,-0.4979253112033288,0.3635510730620295,0.0999999999999943,1.1,0.1,0.2,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.07281547435294283,0.4900155509887814,-0.022510634862885386
2024-09,-0.3177250883672822,0.0934797849965196,1.7999999999999972,0.2,1.1,-0.6,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,-0.4651739920724355,0.22718452564705716,0.12254455484369163
2024-10,0.7769233834017397,1.7044127947700272,-0.2999999999999971,-0.7,0.2,0.3,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.2218404811078794,0.06517399207243546,0.26079135623609134
2024-11,0.0316280540839652,0.1721763085399397,-0.5999999999999943,0.4,-0.7,0.1,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.13103934262291972,0.07815951889212058,0.12350601220387107
2024-12,-0.6521223618686234,-0.0572934570872041,1.0,0.0,0.4,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.00423825253460209,-0.031039342622919713,0.03743138944721211
2025-01,0.0994549866730309,-0.0573263013070479,0.7999999999999972,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1241131790061303,-0.30423825253460207,-0.08570602542180039
2025-02,-0.3417852316985881,0.7227257083859184,-0.2000000000000028,0.5,0.0,0.5,0.0,-0.0,-0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3273352565503001,0.17588682099386976,-0.05313025805455066
2025-03,-0.2911150103684812,0.6947608200455369,0.5999999999999943,0.5,0.5,0.1,0.0,-0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.025961209336477623,-0.1273352565503001,-0.08522889603034413
2025-04,0.1479822421309506,0.1696640651509984,-0.2999999999999971,0.0,0.5,0.1,0.0,0.0,-0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1887731296337113,0.07403879066352238,0.040863451702364016
2025-05,-0.4672523961661401,0.304878048780477,-1.0999999999999943,0.2,0.0,0.1,0.0,-0.0,-0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2616004842766493,-0.28877312963371127,-0.11402319850682967
2025-06,-0.4694458933515166,0.5403579871664954,-1.0999999999999943,0.2,0.2,0.1,0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.21403896943571182,0.23839951572335072,0.00788839225105394
2025-07,-0.7296621785052082,0.2015451797111156,-0.7000000000000028,0.3,0.2,1.1,0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.482699677975129,0.08596103056428817,0.011862472217975872
2025-08,-0.43857868020305,0.1564420605654426,-0.4000000000000057,0.9,0.3,0.2,0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.12246127477104277,0.017300322024870973,0.11388695610416995
