period,eurczk_mm,services_l1,import_l2,core_l1,core_l2,core_l12,state,eurczk_mm_x_state,import_l2_x_state,mon_2,mon_3,mon_4,mon_5,mon_6,mon_7,mon_8,mon_9,mon_10,mon_11,mon_12
2007-01,0.2304064513806381,,,,,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2007-02,1.400811752451414,,,0.3,,,0.0,0.0,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2007-03,-0.6234281463639357,,,0.2,0.3,,0.0,-0.0,,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2007-04,-0.1603992158260458,,,0.0,0.2,,0.0,-0.0,,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2007-05,0.7890039271688742,,,0.1,0.0,,0.0,0.0,,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2007-06,1.112252488399279,,,0.1,0.1,,0.0,0.0,,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
2007-07,-0.7531967069539403,,,0.1,0.1,,0.0,-0.0,,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
2007-08,-1.6660783621602504,,,0.4,0.1,,0.0,-0.0,,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
2007-09,-1.0230454447555437,,,0.1,0.4,,0.0,-0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
2007-10,-0.8595365031008662,,,-0.6,0.1,,0.0,-0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
2007-11,-2.213198712320741,,,0.2,-0.6,,1.0,-2.213198712320741,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
2007-12,-1.6123601810631882,,,0.0,0.2,,1.0,-1.6123601810631882,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2008-01,-0.9467680608365114,,,0.2,0.0,0.3,1.0,-0.9467680608365114,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2008-02,-2.591071360024555,,,0.6,0.2,0.2,1.0,-2.591071360024555,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2008-03,-0.6108133669609161,,,0.6,0.6,0.0,1.0,-0.6108133669609161,,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2008-04,-0.6106022758812113,,,0.1,0.6,0.1,1.0,-0.6106022758812113,,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2008-05,0.1236685682371119,,,0.2,0.1,0.1,1.0,0.1236685682371119,,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
