origin,series,stamp_t_minus_1,stamp_t,clock,t_minus_1_visible,t_visible
2020-04,food_ppi,2020-04-19 22:00:00+00:00,2020-05-19 22:00:00+00:00,2020-05-12 21:59:00+00:00,True,False
2020-04,food,2020-04-14 07:00:00+00:00,2020-05-13 07:00:00+00:00,2020-05-12 21:59:00+00:00,True,False
2020-05,agri4,2020-05-25 22:00:00+00:00,2020-06-25 22:00:00+00:00,2020-06-09 21:59:00+00:00,True,False
2020-05,food_ppi,2020-05-19 22:00:00+00:00,2020-06-15 22:00:00+00:00,2020-06-09 21:59:00+00:00,True,False
2020-05,food,2020-05-13 07:00:00+00:00,2020-06-10 07:00:00+00:00,2020-06-09 21:59:00+00:00,True,False
2020-06,agri4,2020-06-25 22:00:00+00:00,2020-07-25 22:00:00+00:00,2020-07-09 21:59:00+00:00,True,False
2020-06,food_ppi,2020-06-15 22:00:00+00:00,2020-07-16 22:00:00+00:00,2020-07-09 21:59:00+00:00,True,False
2020-06,food,2020-06-10 07:00:00+00:00,2020-07-10 07:00:00+00:00,2020-07-09 21:59:00+00:00,True,False
2020-07,agri4,2020-07-25 22:00:00+00:00,2020-08-25 22:00:00+00:00,2020-08-12 21:59:00+00:00,True,False
2020-07,food_ppi,2020-07-16 22:00:00+00:00,2020-08-15 22:00:00+00:00,2020-08-12 21:59:00+00:00,True,False
2020-07,food,2020-07-10 07:00:00+00:00,2020-08-13 07:00:00+00:00,2020-08-12 21:59:00+00:00,True,False
2020-08,agri4,2020-08-25 22:00:00+00:00,2020-09-25 22:00:00+00:00,2020-09-09 21:59:00+00:00,True,False
2020-08,food_ppi,2020-08-15 22:00:00+00:00,2020-09-15 22:00:00+00:00,2020-09-09 21:59:00+00:00,True,False
2020-08,food,2020-08-13 07:00:00+00:00,2020-09-10 07:00:00+00:00,2020-09-09 21:59:00+00:00,True,False
2020-09,agri4,2020-09-25 22:00:00+00:00,2020-10-25 23:00:00+00:00,2020-10-11 21:59:00+00:00,True,False
2020-09,food_ppi,2020-09-15 22:00:00+00:00,2020-10-15 22:00:00+00:00,2020-10-11 21:59:00+00:00,True,False
2020-09,food,2020-09-10 07:00:00+00:00,2020-10-12 07:00:00+00:00,2020-10-11 21:59:00+00:00,True,False
2020-10,agri4,2020-10-25 23:00:00+00:00,2020-11-25 23:00:00+00:00,2020-11-09 22:59:00+00:00,True,False
2020-10,food_ppi,2020-10-15 22:00:00+00:00,2020-11-15 23:00:00+00:00,2020-11-09 22:59:00+00:00,True,False
2020-10,food,2020-10-12 07:00:00+00:00,2020-11-10 08:00:00+00:00,2020-11-09 22:59:00+00:00,True,False
2020-11,agri4,2020-11-25 23:00:00+00:00,2020-12-25 23:00:00+00:00,2020-12-09 22:59:00+00:00,True,False
2020-11,food_ppi,2020-11-15 23:00:00+00:00,2020-12-15 23:00:00+00:00,2020-12-09 22:59:00+00:00,True,False
2020-11,food,2020-11-10 08:00:00+00:00,2020-12-10 08:00:00+00:00,2020-12-09 22:59:00+00:00,True,False
2020-12,agri4,2020-12-25 23:00:00+00:00,2021-01-25 23:00:00+00:00,2021-01-12 22:59:00+00:00,True,False
2020-12,food_ppi,2020-12-15 23:00:00+00:00,2021-01-16 23:00:00+00:00,2021-01-12 22:59:00+00:00,True,False
2020-12,food,2020-12-10 08:00:00+00:00,2021-01-13 08:00:00+00:00,2021-01-12 22:59:00+00:00,True,False
2021-01,agri4,2021-01-25 23:00:00+00:00,2021-02-25 23:00:00+00:00,2021-02-11 22:59:00+00:00,True,False
2021-01,food_ppi,2021-01-16 23:00:00+00:00,2021-02-24 23:00:00+00:00,2021-02-11 22:59:00+00:00,True,False
2021-01,food,2021-01-13 08:00:00+00:00,2021-02-12 08:00:00+00:00,2021-02-11 22:59:00+00:00,True,False
2021-02,agri4,2021-02-25 23:00:00+00:00,2021-03-25 23:00:00+00:00,2021-03-09 22:59:00+00:00,True,False
2021-02,food_ppi,2021-02-24 23:00:00+00:00,2021-03-15 23:00:00+00:00,2021-03-09 22:59:00+00:00,True,False
2021-02,food,2021-02-12 08:00:00+00:00,2021-03-10 08:00:00+00:00,2021-03-09 22:59:00+00:00,True,False
2021-03,agri4,2021-03-25 23:00:00+00:00,2021-04-25 22:00:00+00:00,2021-04-12 21:59:00+00:00,True,False
2021-03,food_ppi,2021-03-15 23:00:00+00:00,2021-04-19 22:00:00+00:00,2021-04-12 21:59:00+00:00,True,False
2021-03,food,2021-03-10 08:00:00+00:00,2021-04-13 07:00:00+00:00,2021-04-12 21:59:00+00:00,True,False
2021-04,agri4,2021-04-25 22:00:00+00:00,2021-05-25 22:00:00+00:00,2021-05-10 21:59:00+00:00,True,False
2021-04,food_ppi,2021-04-19 22:00:00+00:00,2021-05-19 22:00:00+00:00,2021-05-10 21:59:00+00:00,True,False
2021-04,food,2021-04-13 07:00:00+00:00,2021-05-11 07:00:00+00:00,2021-05-10 21:59:00+00:00,True,False
2021-05,agri4,2021-05-25 22:00:00+00:00,2021-06-25 22:00:00+00:00,2021-06-09 21:59:00+00:00,True,False
2021-05,food_ppi,2021-05-19 22:00:00+00:00,2021-06-15 22:00:00+00:00,2021-06-09 21:59:00+00:00,True,False
2021-05,food,2021-05-11 07:00:00+00:00,2021-06-10 07:00:00+00:00,2021-06-09 21:59:00+00:00,True,False
2021-06,agri4,2021-06-25 22:00:00+00:00,2021-07-25 22:00:00+00:00,2021-07-12 21:59:00+00:00,True,False
2021-06,food_ppi,2021-06-15 22:00:00+00:00,2021-07-16 22:00:00+00:00,2021-07-12 21:59:00+00:00,True,False
2021-06,food,2021-06-10 07:00:00+00:00,2021-07-13 07:00:00+00:00,2021-07-12 21:59:00+00:00,True,False
2021-07,agri4,2021-07-25 22:00:00+00:00,2021-08-25 22:00:00+00:00,2021-08-09 21:59:00+00:00,True,False
2021-07,food_ppi,2021-07-16 22:00:00+00:00,2021-08-15 22:00:00+00:00,2021-08-09 21:59:00+00:00,True,False
2021-07,food,2021-07-13 07:00:00+00:00,2021-08-10 07:00:00+00:00,2021-08-09 21:59:00+00:00,True,False
2021-08,agri4,2021-08-25 22:00:00+00:00,2021-09-25 22:00:00+00:00,2021-09-09 21:59:00+00:00,True,False
2021-08,food_ppi,2021-08-15 22:00:00+00:00,2021-09-15 22:00:00+00:00,2021-09-09 21:59:00+00:00,True,False
