origin,model,L,L_is_origin_minus_1,audit_L,L_matches_audit,last_food,last_ppi,last_agri,months_published_after_L,n_window,audit_n,window_start,audit_window_start,gap_last_own,gap_last_audit,gap_diff,alpha_raw_own,alpha_raw_audit,alpha_raw_diff,alpha_own,alpha_audit,n_pairs_own,n_pairs_audit,max_corr_diff_h1_6,max_corr_h7_12,coef_ppi_own,coef_ppi_audit,trend_own,trend_audit
2019-09,FOOD_ECM_R27,2019-08,True,2019-08,True,2019-08,2019-08,2019-08,0,56,56,2015-01,2015-01,0.8796834799881885,0.879683479988187,1.5543122344752192e-15,-0.34507825179301893,-0.34507825179301865,2.7755575615628914e-16,-0.25,-0.25,55,55,2.7755575615628914e-16,0.0,-0.3568287183311276,-0.3568287183311276,0.15671091337734444,0.15671091337734444
2019-09,FOOD_ECM_PPI_R27,2019-08,True,2019-08,True,2019-08,2019-08,2019-08,0,56,56,2015-01,2015-01,-0.18072256052524405,-0.18072256052524405,0.0,-0.3438623274806712,-0.3438623274806712,0.0,-0.25,-0.25,55,55,0.0,0.0,0.6797161487909712,0.6797161487909712,0.1417955899974814,0.1417955899974814
2019-10,FOOD_ECM_R27,2019-09,True,2019-09,True,2019-09,2019-09,2019-09,0,57,57,2015-01,2015-01,-0.42968975622074046,-0.4296897562207418,1.3322676295501878e-15,-0.3474824408843915,-0.3474824408843916,1.1102230246251565e-16,-0.25,-0.25,56,56,2.498001805406602e-16,0.0,-0.42637613822782916,-0.42637613822782916,0.15655061899287742,0.15655061899287742
2019-10,FOOD_ECM_PPI_R27,2019-09,True,2019-09,True,2019-09,2019-09,2019-09,0,57,57,2015-01,2015-01,-0.8062536425762399,-0.8062536425762399,0.0,-0.3243108668856034,-0.3243108668856034,0.0,-0.25,-0.25,56,56,0.0,0.0,0.638588623201655,0.638588623201655,0.1400672643201018,0.1400672643201018
2019-11,FOOD_ECM_R27,2019-10,True,2019-10,True,2019-10,2019-10,2019-10,0,58,58,2015-01,2015-01,0.9311267072097358,0.9311267072097361,3.3306690738754696e-16,-0.3547315694482222,-0.3547315694482222,0.0,-0.25,-0.25,57,57,8.326672684688674e-17,0.0,-0.3815199976953283,-0.3815199976953283,0.15630724563504855,0.15630724563504855
2019-11,FOOD_ECM_PPI_R27,2019-10,True,2019-10,True,2019-10,2019-10,2019-10,0,58,58,2015-01,2015-01,-0.404463354577304,-0.404463354577304,0.0,-0.31602276825067455,-0.31602276825067455,0.0,-0.25,-0.25,57,57,0.0,0.0,0.6121515966901323,0.6121515966901323,0.13908693893086832,0.13908693893086832
2019-12,FOOD_ECM_R27,2019-11,True,2019-11,True,2019-11,2019-11,2019-11,0,59,59,2015-01,2015-01,1.1703175350365316,1.1703175350365325,8.881784197001252e-16,-0.333200079116137,-0.333200079116137,0.0,-0.25,-0.25,58,58,1.6653345369377348e-16,0.0,-0.33470334817070607,-0.33470334817070607,0.15616993329578316,0.15616993329578316
2019-12,FOOD_ECM_PPI_R27,2019-11,True,2019-11,True,2019-11,2019-11,2019-11,0,59,59,2015-01,2015-01,0.26330612338317394,0.26330612338317394,0.0,-0.3191580539388476,-0.3191580539388476,0.0,-0.25,-0.25,58,58,0.0,0.0,0.6040708612239577,0.6040708612239577,0.13882513196211493,0.13882513196211493
2020-01,FOOD_ECM_R27,2019-12,True,2019-12,True,2019-12,2019-12,2019-12,0,60,60,2015-01,2015-01,1.3299379562325402,1.3299379562325404,2.220446049250313e-16,-0.32909802141797156,-0.3290980214179714,1.6653345369377348e-16,-0.25,-0.25,59,59,5.551115123125783e-17,0.0,-0.2544233906924155,-0.2544233906924155,0.1553759843513806,0.1553759843513806
2020-01,FOOD_ECM_PPI_R27,2019-12,True,2019-12,True,2019-12,2019-12,2019-12,0,60,60,2015-01,2015-01,0.027368681721305854,0.027368681721305854,0.0,-0.31364687193916435,-0.31364687193916435,0.0,-0.25,-0.25,59,59,0.0,0.0,0.5972163475444124,0.5972163475444124,0.13874397883784814,0.13874397883784814
2020-02,FOOD_ECM_R27,2020-01,True,2020-01,True,2020-01,2020-01,2020-01,0,61,61,2015-01,2015-01,1.7204988975814985,1.7204988975814972,1.3322676295501878e-15,-0.3207236958304145,-0.3207236958304144,1.1102230246251565e-16,-0.25,-0.25,60,60,2.7755575615628914e-16,0.0,-0.1047969838666162,-0.1047969838666162,0.1536060827699716,0.1536060827699716
2020-02,FOOD_ECM_PPI_R27,2020-01,True,2020-01,True,2020-01,2020-01,2020-01,0,61,61,2015-01,2015-01,0.4978949432168095,0.4978949432168095,0.0,-0.32886412821258365,-0.32886412821258365,0.0,-0.25,-0.25,60,60,0.0,0.0,0.6261729226962491,0.6261729226962491,0.13882750414517572,0.13882750414517572
2020-03,FOOD_ECM_R27,2020-02,True,2020-02,True,2020-02,2020-02,2020-02,0,62,62,2015-01,2015-01,1.6070692899118812,1.6070692899118812,0.0,-0.35228126179343416,-0.3522812617934341,5.551115123125783e-17,-0.25,-0.25,61,61,0.0,0.0,0.07494913183049086,0.07494913183049086,0.15191980863074858,0.15191980863074858
2020-03,FOOD_ECM_PPI_R27,2020-02,True,2020-02,True,2020-02,2020-02,2020-02,0,62,62,2015-01,2015-01,0.30976590591617037,0.30976590591617037,0.0,-0.34294220683420096,-0.34294220683420096,0.0,-0.25,-0.25,61,61,0.0,0.0,0.6477536313218215,0.6477536313218215,0.1394571178894429,0.1394571178894429
2020-04,FOOD_ECM_R27,2020-03,True,2020-03,True,2020-03,2020-03,2020-03,0,63,63,2015-01,2015-01,1.4998213804414737,1.4998213804414737,0.0,-0.3327890389567867,-0.3327890389567868,1.1102230246251565e-16,-0.25,-0.25,62,62,0.0,0.0,0.18679608345899137,0.18679608345899137,0.15093650192750202,0.15093650192750202
2020-04,FOOD_ECM_PPI_R27,2020-03,True,2020-03,True,2020-03,2020-03,2020-03,0,63,63,2015-01,2015-01,0.6655383646293416,0.6655383646293416,0.0,-0.3506505580640333,-0.3506505580640333,0.0,-0.25,-0.25,62,62,0.0,0.0,0.6739699782284542,0.6739699782284542,0.1399127565556271,0.1399127565556271
2020-05,FOOD_ECM_R27,2020-04,True,2020-04,True,2020-04,2020-04,2020-04,0,64,64,2015-01,2015-01,1.8622823222778617,1.862282322277862,2.220446049250313e-16,-0.3283555671102794,-0.3283555671102794,0.0,-0.25,-0.25,63,63,5.551115123125783e-17,0.0,0.31213686823129444,0.31213686823129444,0.1493346072794674,0.1493346072794674
2020-05,FOOD_ECM_PPI_R27,2020-04,True,2020-04,True,2020-04,2020-04,2020-04,0,64,64,2015-01,2015-01,1.169368647120241,1.169368647120241,0.0,-0.3501593674325371,-0.3501593674325371,0.0,-0.25,-0.25,63,63,0.0,0.0,0.7003834408701143,0.7003834408701143,0.14018842488385064,0.14018842488385064
2020-06,FOOD_ECM_R27,2020-05,True,2020-05,True,2020-05,2020-05,2020-05,0,65,65,2015-01,2015-01,1.8716171890546935,1.8716171890546924,1.1102230246251565e-15,-0.33640411471868215,-0.33640411471868226,1.1102230246251565e-16,-0.25,-0.25,64,64,2.220446049250313e-16,0.0,0.4076795201709336,0.4076795201709336,0.14957574596797732,0.14957574596797732
2020-06,FOOD_ECM_PPI_R27,2020-05,True,2020-05,True,2020-05,2020-05,2020-05,0,65,65,2015-01,2015-01,1.533272546957321,1.533272546957321,0.0,-0.35561815004635244,-0.35561815004635244,0.0,-0.25,-0.25,64,64,0.0,0.0,0.7242063633746191,0.7242063633746191,0.14177379761623846,0.14177379761623846
2020-07,FOOD_ECM_R27,2020-06,True,2020-06,True,2020-06,2020-06,2020-06,0,66,66,2015-01,2015-01,1.7859031151947988,1.7859031151947975,1.3322676295501878e-15,-0.3532240335242335,-0.3532240335242334,5.551115123125783e-17,-0.25,-0.25,65,65,2.220446049250313e-16,0.0,0.4820626822556674,0.4820626822556674,0.15056544868131147,0.15056544868131147
2020-07,FOOD_ECM_PPI_R27,2020-06,True,2020-06,True,2020-06,2020-06,2020-06,0,66,66,2015-01,2015-01,1.4523040683315638,1.4523040683315638,0.0,-0.3647816009910472,-0.3647816009910472,0.0,-0.25,-0.25,65,65,0.0,0.0,0.7352681772758617,0.7352681772758617,0.14392838078669307,0.14392838078669307
2020-08,FOOD_ECM_R27,2020-07,True,2020-07,True,2020-07,2020-07,2020-07,0,67,67,2015-01,2015-01,1.4260340964047924,1.4260340964047893,3.1086244689504383e-15,-0.36830648864183463,-0.3683064886418346,5.551115123125783e-17,-0.25,-0.25,66,66,6.106226635438361e-16,0.0,0.5272647194917909,0.5272647194917909,0.15094809041383106,0.15094809041383106
2020-08,FOOD_ECM_PPI_R27,2020-07,True,2020-07,True,2020-07,2020-07,2020-07,0,67,67,2015-01,2015-01,1.0664926969138777,1.0664926969138777,0.0,-0.3751543056090823,-0.3751543056090823,0.0,-0.25,-0.25,66,66,0.0,0.0,0.7372296363296437,0.7372296363296437,0.14489908251282552,0.14489908251282552
2020-09,FOOD_ECM_R27,2020-08,True,2020-08,True,2020-08,2020-08,2020-08,0,68,68,2015-01,2015-01,1.5801264066050686,1.5801264066050682,4.440892098500626e-16,-0.3595705929841684,-0.3595705929841683,5.551115123125783e-17,-0.25,-0.25,67,67,5.551115123125783e-17,0.0,0.5557110470223879,0.5557110470223879,0.15109787622038853,0.15109787622038853
2020-09,FOOD_ECM_PPI_R27,2020-08,True,2020-08,True,2020-08,2020-08,2020-08,0,68,68,2015-01,2015-01,1.2572466957603683,1.2572466957603683,0.0,-0.367462110985859,-0.367462110985859,0.0,-0.25,-0.25,67,67,0.0,0.0,0.737466458750981,0.737466458750981,0.1452565062837794,0.1452565062837794
2020-10,FOOD_ECM_R27,2020-09,True,2020-09,True,2020-09,2020-09,2020-09,0,69,69,2015-01,2015-01,0.8794430206780326,0.8794430206780328,2.220446049250313e-16,-0.3788899650618379,-0.3788899650618379,0.0,-0.25,-0.25,68,68,5.551115123125783e-17,0.0,0.5449347128040242,0.5449347128040242,0.15104347217929284,0.15104347217929284
2020-10,FOOD_ECM_PPI_R27,2020-09,True,2020-09,True,2020-09,2020-09,2020-09,0,69,69,2015-01,2015-01,0.4529366746873189,0.4529366746873189,0.0,-0.3848744685046797,-0.3848744685046797,0.0,-0.25,-0.25,68,68,0.0,0.0,0.7383477235175716,0.7383477235175716,0.14405323697566813,0.14405323697566813
2020-11,FOOD_ECM_R27,2020-10,True,2020-10,True,2020-10,2020-10,2020-10,0,70,70,2015-01,2015-01,1.1385197159635334,1.1385197159635334,0.0,-0.37196622548610736,-0.3719662254861073,5.551115123125783e-17,-0.25,-0.25,69,69,0.0,0.0,0.5493417105276012,0.5493417105276012,0.1511553771409349,0.1511553771409349
2020-11,FOOD_ECM_PPI_R27,2020-10,True,2020-10,True,2020-10,2020-10,2020-10,0,70,70,2015-01,2015-01,0.8123317356641226,0.8123317356641226,0.0,-0.38087641936047656,-0.38087641936047656,0.0,-0.25,-0.25,69,69,0.0,0.0,0.7388471517614736,0.7388471517614736,0.14373356315917113,0.14373356315917113
2020-12,FOOD_ECM_R27,2020-11,True,2020-11,True,2020-11,2020-11,2020-11,0,71,71,2015-01,2015-01,0.9015526765000583,0.9015526765000567,1.6653345369377348e-15,-0.3716008905547552,-0.37160089055475515,5.551115123125783e-17,-0.25,-0.25,70,70,3.0531133177191805e-16,0.0,0.5530864484144885,0.5530864484144885,0.151179048731398,0.151179048731398
2020-12,FOOD_ECM_PPI_R27,2020-11,True,2020-11,True,2020-11,2020-11,2020-11,0,71,71,2015-01,2015-01,0.4229717854695091,0.4229717854695091,0.0,-0.3802229183858579,-0.3802229183858579,0.0,-0.25,-0.25,70,70,0.0,0.0,0.7399744802836257,0.7399744802836257,0.1431025947452871,0.1431025947452871
2021-01,FOOD_ECM_R27,2020-12,True,2020-12,True,2020-12,2020-12,2020-12,0,72,72,2015-01,2015-01,-0.33932779137760394,-0.3393277913776055,1.5543122344752192e-15,-0.38525182247498846,-0.38525182247498835,1.1102230246251565e-16,-0.25,-0.25,71,71,2.7755575615628914e-16,0.0,0.5410303608296246,0.5410303608296246,0.15013123294231853,0.15013123294231853
2021-01,FOOD_ECM_PPI_R27,2020-12,True,2020-12,True,2020-12,2020-12,2020-12,0,72,72,2015-01,2015-01,-0.6719017847017822,-0.6719017847017822,0.0,-0.3855104793362198,-0.3855104793362198,0.0,-0.25,-0.25,71,71,0.0,0.0,0.747228803867417,0.747228803867417,0.14074077691397432,0.14074077691397432
2021-02,FOOD_ECM_R27,2021-01,True,2021-01,True,2021-01,2021-01,2021-01,0,73,73,2015-01,2015-01,0.7644114245456015,0.7644114245456015,0.0,-0.39770844240113484,-0.397708442401135,1.6653345369377348e-16,-0.25,-0.25,72,72,0.0,0.0,0.53800004864851,0.53800004864851,0.15226932773193538,0.15226932773193538
2021-02,FOOD_ECM_PPI_R27,2021-01,True,2021-01,True,2021-01,2021-01,2021-01,0,73,73,2015-01,2015-01,0.6149891450428873,0.6149891450428873,0.0,-0.4050442456563311,-0.4050442456563311,0.0,-0.25,-0.25,72,72,0.0,0.0,0.7405209230691929,0.7405209230691929,0.14296969769342133,0.14296969769342133
2021-03,FOOD_ECM_R27,2021-02,True,2021-02,True,2021-02,2021-02,2021-02,0,74,74,2015-01,2015-01,0.5605944889385712,0.5605944889385697,1.5543122344752192e-15,-0.40506302447211345,-0.40506302447211345,0.0,-0.25,-0.25,73,73,2.914335439641036e-16,0.0,0.5572239434396434,0.5572239434396434,0.15364088750877541,0.15364088750877541
2021-03,FOOD_ECM_PPI_R27,2021-02,True,2021-02,True,2021-02,2021-02,2021-02,0,74,74,2015-01,2015-01,0.23535799523078937,0.23535799523078937,0.0,-0.4091132058607985,-0.4091132058607985,0.0,-0.25,-0.25,73,73,0.0,0.0,0.732864600797133,0.732864600797133,0.14514499001183165,0.14514499001183165
2021-04,FOOD_ECM_R27,2021-03,True,2021-03,True,2021-03,2021-03,2021-03,0,75,75,2015-01,2015-01,-0.08681959494894176,-0.08681959494894176,0.0,-0.4050453737677413,-0.40504537376774125,5.551115123125783e-17,-0.25,-0.25,74,74,0.0,0.0,0.5536773126232634,0.5536773126232634,0.15472346532993558,0.15472346532993558
2021-04,FOOD_ECM_PPI_R27,2021-03,True,2021-03,True,2021-03,2021-03,2021-03,0,75,75,2015-01,2015-01,-0.152887117920826,-0.152887117920826,0.0,-0.4108352624701437,-0.4108352624701437,0.0,-0.25,-0.25,74,74,0.0,0.0,0.730058174012379,0.730058174012379,0.14621672919715206,0.14621672919715206
2021-05,FOOD_ECM_R27,2021-04,True,2021-04,True,2021-04,2021-04,2021-04,0,76,76,2015-01,2015-01,0.34895226405522844,0.34895226405522833,1.1102230246251565e-16,-0.4080427880332065,-0.4080427880332065,0.0,-0.25,-0.25,75,75,1.3877787807814457e-17,0.0,0.5515394080721491,0.5515394080721491,0.15572720504812157,0.15572720504812157
2021-05,FOOD_ECM_PPI_R27,2021-04,True,2021-04,True,2021-04,2021-04,2021-04,0,76,76,2015-01,2015-01,0.3415172718612101,0.3415172718612101,0.0,-0.415083053792431,-0.415083053792431,0.0,-0.25,-0.25,75,75,0.0,0.0,0.729273359245405,0.729273359245405,0.14718836483747602,0.14718836483747602
2021-06,FOOD_ECM_R27,2021-05,True,2021-05,True,2021-05,2021-05,2021-05,0,77,77,2015-01,2015-01,-1.0644190487404215,-1.0644190487404208,6.661338147750939e-16,-0.41215645748421603,-0.41215645748421587,1.6653345369377348e-16,-0.25,-0.25,76,76,1.1102230246251565e-16,0.0,0.5528346678346475,0.5528346678346475,0.15537546299417138,0.15537546299417138
2021-06,FOOD_ECM_PPI_R27,2021-05,True,2021-05,True,2021-05,2021-05,2021-05,0,77,77,2015-01,2015-01,-0.9934736841097372,-0.9934736841097372,0.0,-0.4193898694268093,-0.4193898694268093,0.0,-0.25,-0.25,76,76,0.0,0.0,0.7291858903120131,0.7291858903120131,0.14699231009925215,0.14699231009925215
2021-07,FOOD_ECM_R27,2021-06,True,2021-06,True,2021-06,2021-06,2021-06,0,78,78,2015-01,2015-01,-1.556573485039777,-1.5565734850397754,1.5543122344752192e-15,-0.3975379416154073,-0.39753794161540734,5.551115123125783e-17,-0.25,-0.25,77,77,2.7755575615628914e-16,0.0,0.5522954459561076,0.5522954459561076,0.1544465359140313,0.1544465359140313
2021-07,FOOD_ECM_PPI_R27,2021-06,True,2021-06,True,2021-06,2021-06,2021-06,0,78,78,2015-01,2015-01,-1.5380223604293404,-1.5380223604293404,0.0,-0.4048348334075987,-0.4048348334075987,0.0,-0.25,-0.25,77,77,0.0,0.0,0.7260002522782035,0.7260002522782035,0.1462277070016704,0.1462277070016704
2021-08,FOOD_ECM_R27,2021-07,True,2021-07,True,2021-07,2021-07,2021-07,0,79,79,2015-01,2015-01,-0.6496733372142228,-0.6496733372142242,1.3322676295501878e-15,-0.40521530091641617,-0.40521530091641617,0.0,-0.25,-0.25,78,78,2.498001805406602e-16,0.0,0.5472879324318322,0.5472879324318322,0.15389408803607224,0.15389408803607224
2021-08,FOOD_ECM_PPI_R27,2021-07,True,2021-07,True,2021-07,2021-07,2021-07,0,79,79,2015-01,2015-01,-0.645516004139017,-0.645516004139017,0.0,-0.4127611195017289,-0.4127611195017289,0.0,-0.25,-0.25,78,78,0.0,0.0,0.7222658810362208,0.7222658810362208,0.14559508113008712,0.14559508113008712
2021-09,FOOD_ECM_R27,2021-08,True,2021-08,True,2021-08,2021-08,2021-08,0,80,80,2015-01,2015-01,0.09582507295961007,0.09582507295961007,0.0,-0.40751988894508706,-0.40751988894508695,1.1102230246251565e-16,-0.25,-0.25,79,79,0.0,0.0,0.5414968852534101,0.5414968852534101,0.1535570912846979,0.1535570912846979
2021-09,FOOD_ECM_PPI_R27,2021-08,True,2021-08,True,2021-08,2021-08,2021-08,0,80,80,2015-01,2015-01,0.1139365999040276,0.1139365999040276,0.0,-0.41534664176081854,-0.41534664176081854,0.0,-0.25,-0.25,79,79,0.0,0.0,0.7196598233183719,0.7196598233183719,0.14504053217872312,0.14504053217872312
2021-10,FOOD_ECM_R27,2021-09,True,2021-09,True,2021-09,2021-09,2021-09,0,81,81,2015-01,2015-01,-0.41684699243541234,-0.416846992435411,1.3322676295501878e-15,-0.40143652218942844,-0.4014365221894283,1.1102230246251565e-16,-0.25,-0.25,80,80,2.498001805406602e-16,0.0,0.5158923506002583,0.5158923506002583,0.15344234937538503,0.15344234937538503
2021-10,FOOD_ECM_PPI_R27,2021-09,True,2021-09,True,2021-09,2021-09,2021-09,0,81,81,2015-01,2015-01,-0.5376366509510946,-0.5376366509510946,0.0,-0.41128404307388894,-0.41128404307388894,0.0,-0.25,-0.25,80,80,0.0,0.0,0.7139412389688483,0.7139412389688483,0.1437798635569955,0.1437798635569955
2021-11,FOOD_ECM_R27,2021-10,True,2021-10,True,2021-10,2021-10,2021-10,0,82,82,2015-01,2015-01,-1.3476540715571497,-1.347654071557151,1.3322676295501878e-15,-0.38551508657982514,-0.38551508657982514,0.0,-0.25,-0.25,81,81,2.7755575615628914e-16,0.0,0.4919259336219035,0.4919259336219035,0.1528399376476947,0.1528399376476947
2021-11,FOOD_ECM_PPI_R27,2021-10,True,2021-10,True,2021-10,2021-10,2021-10,0,82,82,2015-01,2015-01,-1.3919064269226062,-1.3919064269226062,0.0,-0.39320131778591816,-0.39320131778591816,0.0,-0.25,-0.25,81,81,0.0,0.0,0.7020621830639969,0.7020621830639969,0.1425118358206686,0.1425118358206686
2021-12,FOOD_ECM_R27,2021-11,True,2021-11,True,2021-11,2021-11,2021-11,0,83,83,2015-01,2015-01,-1.199178692452315,-1.1991786924523153,4.440892098500626e-16,-0.37794897001620364,-0.3779489700162035,1.6653345369377348e-16,-0.25,-0.25,82,82,8.326672684688674e-17,0.0,0.44872460955102705,0.44872460955102705,0.15398766864209135,0.15398766864209135
2021-12,FOOD_ECM_PPI_R27,2021-11,True,2021-11,True,2021-11,2021-11,2021-11,0,83,83,2015-01,2015-01,-1.3696525252180185,-1.3696525252180185,0.0,-0.3861173940954595,-0.3861173940954595,0.0,-0.25,-0.25,82,82,0.0,0.0,0.6796739372862528,0.6796739372862528,0.14251929755780285,0.14251929755780285
2022-01,FOOD_ECM_R27,2021-12,True,2021-12,True,2021-12,2021-12,2021-12,0,84,84,2015-01,2015-01,-1.3299506015815585,-1.3299506015815585,0.0,-0.36513111049837116,-0.3651311104983712,5.551115123125783e-17,-0.25,-0.25,83,83,0.0,0.0,0.40719972434505197,0.40719972434505197,0.1555136975683949,0.1555136975683949
2022-01,FOOD_ECM_PPI_R27,2021-12,True,2021-12,True,2021-12,2021-12,2021-12,0,84,84,2015-01,2015-01,-1.465629182059519,-1.465629182059519,0.0,-0.3712525285164302,-0.3712525285164302,0.0,-0.25,-0.25,83,83,0.0,0.0,0.6481472932531702,0.6481472932531702,0.14351800401338627,0.14351800401338627
2022-02,FOOD_ECM_R27,2022-01,True,2022-01,True,2022-01,2022-01,2022-01,0,85,85,2015-01,2015-01,-0.00936342826902914,-0.00936342826902925,1.1102230246251565e-16,-0.4070232644929379,-0.40702326449293785,5.551115123125783e-17,-0.25,-0.25,84,84,2.0816681711721685e-17,0.0,0.43209864159804207,0.43209864159804207,0.1541299304292216,0.1541299304292216
2022-02,FOOD_ECM_PPI_R27,2022-01,True,2022-01,True,2022-01,2022-01,2022-01,0,85,85,2015-01,2015-01,-0.40643704931488656,-0.40643704931488656,0.0,-0.41364007127953517,-0.41364007127953517,0.0,-0.25,-0.25,84,84,0.0,0.0,0.655869007087742,0.655869007087742,0.14305787812197682,0.14305787812197682
2022-03,FOOD_ECM_R27,2022-02,True,2022-02,True,2022-02,2022-02,2022-02,0,86,86,2015-01,2015-01,-0.19301285736391494,-0.19301285736391782,2.886579864025407e-15,-0.4193961650473165,-0.4193961650473167,1.6653345369377348e-16,-0.25,-0.25,85,85,5.412337245047638e-16,0.0,0.4829384895252555,0.4829384895252555,0.1511108584377812,0.1511108584377812
2022-03,FOOD_ECM_PPI_R27,2022-02,True,2022-02,True,2022-02,2022-02,2022-02,0,86,86,2015-01,2015-01,-0.7780788265042404,-0.7780788265042404,0.0,-0.42061547512089537,-0.42061547512089537,0.0,-0.25,-0.25,85,85,0.0,0.0,0.6618550822252295,0.6618550822252295,0.14262782935189963,0.14262782935189963
