origin,model,L,L_is_origin_minus_1,audit_L,L_matches_audit,last_food,last_ppi,last_agri,months_published_after_L,n_window,audit_n,window_start,audit_window_start,gap_last_own,gap_last_audit,gap_diff,alpha_raw_own,alpha_raw_audit,alpha_raw_diff,alpha_own,alpha_audit,n_pairs_own,n_pairs_audit,max_corr_diff_h1_6,max_corr_h7_12,coef_ppi_own,coef_ppi_audit,trend_own,trend_audit
2019-02,FOOD_ECM_R27,2019-01,True,2019-01,True,2019-01,2019-01,2019-01,0,49,49,2015-01,2015-01,-0.8995716927134134,-0.8995716927134136,2.220446049250313e-16,-0.3229534277740418,-0.32295342777404173,5.551115123125783e-17,-0.25,-0.25,48,48,5.551115123125783e-17,0.0,-0.3756028753374754,-0.3756028753374754,0.15952375948954797,0.15952375948954797
2019-02,FOOD_ECM_PPI_R27,2019-01,True,2019-01,True,2019-01,2019-01,2019-01,0,49,49,2015-01,2015-01,-0.9291621241635952,-0.9291621241635952,0.0,-0.4083986415525958,-0.4083986415525958,0.0,-0.25,-0.25,48,48,0.0,0.0,0.7997894311247202,0.7997894311247202,0.1495467078779517,0.1495467078779517
2019-03,FOOD_ECM_R27,2019-02,True,2019-02,True,2019-02,2019-02,2019-02,0,50,50,2015-01,2015-01,-0.8112818425693119,-0.8112818425693128,8.881784197001252e-16,-0.3251980130895582,-0.32519801308955815,5.551115123125783e-17,-0.25,-0.25,49,49,1.6653345369377348e-16,0.0,-0.3765399563715646,-0.3765399563715646,0.15881654833106887,0.15881654833106887
2019-03,FOOD_ECM_PPI_R27,2019-02,True,2019-02,True,2019-02,2019-02,2019-02,0,50,50,2015-01,2015-01,-1.1045284410436744,-1.1045284410436744,0.0,-0.40713660321691875,-0.40713660321691875,0.0,-0.25,-0.25,49,49,0.0,0.0,0.7977800510947436,0.7977800510947436,0.14922397695905376,0.14922397695905376
2019-04,FOOD_ECM_R27,2019-03,True,2019-03,True,2019-03,2019-03,2019-03,0,51,51,2015-01,2015-01,-0.538584249485164,-0.538584249485164,0.0,-0.3211715584226407,-0.32117155842264083,1.1102230246251565e-16,-0.25,-0.25,50,50,0.0,0.0,-0.3812150566449516,-0.3812150566449516,0.15838454486070572,0.15838454486070572
2019-04,FOOD_ECM_PPI_R27,2019-03,True,2019-03,True,2019-03,2019-03,2019-03,0,51,51,2015-01,2015-01,-1.1364791931937992,-1.1364791931937992,0.0,-0.39226704737621537,-0.39226704737621537,0.0,-0.25,-0.25,50,50,0.0,0.0,0.7932377984190406,0.7932377984190406,0.1485082801826531,0.1485082801826531
2019-05,FOOD_ECM_R27,2019-04,True,2019-04,True,2019-04,2019-04,2019-04,0,52,52,2015-01,2015-01,-1.35673067266672,-1.3567306726667203,2.220446049250313e-16,-0.29550217540753926,-0.29550217540753937,1.1102230246251565e-16,-0.25,-0.25,51,51,5.551115123125783e-17,0.0,-0.4405575590451658,-0.4405575590451658,0.1564557613805306,0.1564557613805306
2019-05,FOOD_ECM_PPI_R27,2019-04,True,2019-04,True,2019-04,2019-04,2019-04,0,52,52,2015-01,2015-01,-1.8588554907523032,-1.8588554907523032,0.0,-0.3414183285687718,-0.3414183285687718,0.0,-0.25,-0.25,51,51,0.0,0.0,0.7594862213662161,0.7594862213662161,0.14557584658706801,0.14557584658706801
2019-06,FOOD_ECM_R27,2019-05,True,2019-05,True,2019-05,2019-05,2019-05,0,53,53,2015-01,2015-01,-0.4156794226603162,-0.4156794226603162,0.0,-0.3414664208334193,-0.34146642083341944,1.1102230246251565e-16,-0.25,-0.25,52,52,0.0,0.0,-0.4004584236915566,-0.4004584236915566,0.15684369408858306,0.15684369408858306
2019-06,FOOD_ECM_PPI_R27,2019-05,True,2019-05,True,2019-05,2019-05,2019-05,0,53,53,2015-01,2015-01,-1.0896456348764527,-1.0896456348764527,0.0,-0.37606254303251174,-0.37606254303251174,0.0,-0.25,-0.25,52,52,0.0,0.0,0.7480516129747464,0.7480516129747464,0.14495504715156787,0.14495504715156787
2019-07,FOOD_ECM_R27,2019-06,True,2019-06,True,2019-06,2019-06,2019-06,0,54,54,2015-01,2015-01,-0.6110307527082599,-0.6110307527082596,3.3306690738754696e-16,-0.3425384224751857,-0.34253842247518573,5.551115123125783e-17,-0.25,-0.25,53,53,6.938893903907228e-17,0.0,-0.40151472459917886,-0.40151472459917886,0.1568284846176633,0.1568284846176633
2019-07,FOOD_ECM_PPI_R27,2019-06,True,2019-06,True,2019-06,2019-06,2019-06,0,54,54,2015-01,2015-01,-0.9456881212800312,-0.9456881212800312,0.0,-0.3685867776339893,-0.3685867776339893,0.0,-0.25,-0.25,53,53,0.0,0.0,0.7347817224454178,0.7347817224454178,0.14437368161423839,0.14437368161423839
2019-08,FOOD_ECM_R27,2019-07,True,2019-07,True,2019-07,2019-07,2019-07,0,55,55,2015-01,2015-01,-0.003722550221240975,-0.0037225502212411485,1.734723475976807e-16,-0.3394974533003636,-0.3394974533003635,1.1102230246251565e-16,-0.25,-0.25,54,54,3.252606517456513e-17,0.0,-0.4073248147554426,-0.4073248147554426,0.1568123532799863,0.1568123532799863
2019-08,FOOD_ECM_PPI_R27,2019-07,True,2019-07,True,2019-07,2019-07,2019-07,0,55,55,2015-01,2015-01,-0.7219631341344306,-0.7219631341344306,0.0,-0.35336598343505743,-0.35336598343505743,0.0,-0.25,-0.25,54,54,0.0,0.0,0.7065924792910444,0.7065924792910444,0.1431742004715186,0.1431742004715186
