area,model_use,reference,ticker,transform,first,last,n,exact_share,equal_after_rounding,within_tol,tol,mean_abs_gap,max_abs_gap,corr,exact_share_2000on,max_abs_gap_2000on,exact_share_2015on,max_abs_gap_2015on,verdict,largest_gaps,note
CPI and prices,"nowcast, bridge, R14B: CNB core m/m",fixture cnb_core_mm (ARAD SCPIMZM09MOMPECNA),CZCIXM Index,published m/m,2007-01,2026-07,235,1.0,1.0,,,0.0,0.0,1.0,1.0,0.0,1.0,0.0,exact,,
CPI and prices,"nowcast, bridge, R14B: CNB regulated m/m",fixture cnb_regulated_mm (ARAD SCPIMZM02MOMPECNA),CZCIRM Index,published m/m,2007-01,2026-07,235,1.0,1.0,,,0.0,0.0,1.0,1.0,0.0,1.0,0.0,exact,,
CPI and prices,"nowcast target, bridge, paths: headline m/m",fixture target_headline_cpi_mm (m/m of CZSO 2015=100 index),CZCIPM Index,published m/m,2015-02,2026-07,138,0.0725,0.9565,,,0.021633833130557556,0.10089197224973911,0.9993,0.0725,0.10089197224973911,0.0725,0.10089197224973911,extremely similar,2016-08: -0.2 vs -0.099108; 2016-09: -0.2 vs -0.297619; 2016-11: 0.3 vs 0.396825,
CPI and prices,"nowcast target, bridge, paths: headline m/m",fixture target_headline_cpi_mm (m/m of CZSO 2015=100 index),CZCPMOM Index,published m/m,2015-02,2026-07,138,0.0725,0.9565,,,0.021633833130557556,0.10089197224973911,0.9993,0.0725,0.10089197224973911,0.0725,0.10089197224973911,extremely similar,2016-08: -0.2 vs -0.099108; 2016-09: -0.2 vs -0.297619; 2016-11: 0.3 vs 0.396825,
CPI and prices,"nowcast, bridge: food (01) m/m",fixture component_food_fuel_mm.food (CZSO),CZCPFMOM Index,published m/m,2015-02,2026-07,138,0.0652,0.942,,,0.027036941797252034,0.1051881993896166,0.9995,0.0652,0.1051881993896166,0.0652,0.1051881993896166,extremely similar,2016-10: -0.2 vs -0.305188; 2016-04: 0.2 vs 0.302419; 2016-12: 0.8 vs 0.699301,
CPI and prices,"nowcast, bridge: alcohol and tobacco (02) m/m",fixture alcohol_tobacco (CZSO),CZCPAMOM Index,published m/m,2015-02,2026-07,138,0.0507,0.9493,,,0.026372170683412712,0.10535183349850086,0.9996,0.0507,0.10535183349850086,0.0507,0.10535183349850086,extremely similar,2015-08: -0.7 vs -0.594648; 2015-07: 0.4 vs 0.298211; 2016-01: 2.6 vs 2.51004,
CPI and prices,"nowcast, bridge: fuel item (07.22) m/m",fixture component_food_fuel_mm.fuel (CZSO),CP7FCZ Index,"HICP fuels, m/m from level",2015-02,2026-07,138,0.0,,0.9493,0.1,0.040267818117189644,0.1574279276712609,0.9999,0.0,0.1574279276712609,0.0,0.1574279276712609,similar,2016-04: 3.25033 vs 3.40776; 2019-04: 4.05223 vs 3.92354; 2017-01: 2.98922 vs 3.11526,
CPI and prices,headline y/y,CZSO published y/y (cpi_czso.cpi_long yoy_pct minus 100),CZCPYOY Index,published y/y,2015-01,2026-07,139,1.0,1.0,,,3.2136563594095807e-15,5.773159728050814e-15,1.0,1.0,5.773159728050814e-15,1.0,5.773159728050814e-15,exact,,
CPI and prices,"CZSO CPI index level, COICOP 0",CZSO 2025=100 index (cpi_czso.cpi_long),CZCPI Index,level,2015-01,2026-07,139,1.0,1.0,,,0.0,0.0,1.0,1.0,0.0,1.0,0.0,exact,,
CPI and prices,"CZSO CPI index level, COICOP 01",CZSO 2025=100 index (cpi_czso.cpi_long),CZCPF Index,level,2015-01,2026-07,139,1.0,1.0,,,0.0,0.0,1.0,1.0,0.0,1.0,0.0,exact,,
