horizon,policy,model,n,rmse,mae,bias,directional_hit,fallback_rate
1,independent,TVW_QRF,4,0.27613551506344197,0.22959410020411147,-0.015802559765725088,0.75,0.0
1,independent,BBIM,4,0.3968512280407487,0.3243790216837725,0.12890153534935017,0.75,0.0
1,common,AR3,4,0.40503854719995597,0.3483073935614116,0.08805036427282342,0.75,0.0
1,common,RW,4,0.5566760789261705,0.4602182677895861,-0.014566497784435084,0.5,0.0
3,independent,TVW_QRF,4,0.2693237161691826,0.233762788080807,-0.0028733566815986045,0.75,0.0
3,common,AR3,4,0.39695404961157094,0.32414875099287077,0.08199542362198987,0.75,0.0
3,independent,BBIM,4,0.4053977295127789,0.3473876164115738,0.14651909172016414,0.75,0.0
3,common,RW,4,0.5120012110556786,0.43159951923061324,0.2103619158049186,0.5,0.0
6,independent,TVW_QRF,4,0.23914953988592552,0.2275810324997689,0.014780872072525153,0.75,0.0
6,common,AR3,4,0.25396734965347173,0.19598020385275153,0.05618527016035395,0.75,0.0
6,common,RW,4,0.2784955275200609,0.21075131125513902,-0.04433914520331206,0.75,0.0
6,independent,BBIM,4,0.37361237964145394,0.3128780116356804,0.1370613300152785,0.75,0.0
9,common,RW,4,0.15627756496394365,0.12754070035806975,-0.12482024309215523,1.0,0.0
9,common,AR3,4,0.3592140482051325,0.29308332434246337,0.1107189474737,0.75,0.0
9,independent,TVW_QRF,4,0.38039676088890495,0.35164827608201576,0.13604616299378722,0.75,0.0
9,independent,BBIM,4,0.408332084299638,0.3150643841453139,0.20773630577649327,0.75,0.0
12,independent,TVW_QRF,4,0.3197436278474677,0.2921978662543354,-0.061201599982618884,0.75,0.0
12,independent,BBIM,4,0.3997034311012305,0.28964287825221247,0.214557085090186,0.75,0.0
12,common,AR3,4,0.44359381178591617,0.39704851205207836,0.15163683650667673,0.75,0.0
12,common,RW,4,0.44756762921263926,0.41516503456697496,0.036261871719536765,0.5,0.0
