model_input,reference,ticker,transform,first,last,n,corr,mean_abs_gap,max_abs_gap,max_gap_at,share_within_tol,tol,verdict
A6 row 52,A6 row 52: czso:CEN02032:0:IM; before 2010-01 rebuilt from cnb_arad:MOPAAPPXXNAJYOYPECM (mm_index_previous_month_100),CZPPAYOY Index,published m/m vs index-100,2002-05,2017-03,179,0.326,10.2665,32.4953,2009-06,0.006,0.1,different
A6 row 52,A6 row 52: czso:CEN02032:0:IM; before 2010-01 rebuilt from cnb_arad:MOPAAPPXXNAJYOYPECM (mm_index_previous_month_100),CZPPAMOM Index,published rate vs index-100,2002-05,2017-03,179,0.9178,0.5314,5.1,2012-09,0.475,0.1,different
A6 row 53,A6 row 53: cnb_arad:SVSDM12 (percent),GTCZK10Y Govt,monthly mean level,2007-03,2026-07,233,0.9991,0.0447,0.3084,2009-06,0.682,0.05,close
A6 row 55,A6 row 55: cnb_arad:SFTP01M11 (percent),CZBRREPO Index,month-end level,1995-12,2026-07,368,1.0,0.0027,0.25,2002-10,0.989,0.01,close
A6 row 57,A6 row 57: cnb_arad:SREERM103 (index_level),BISBCZR Index,m/m from levels,1999-02,2026-07,330,0.9562,0.3575,1.5573,2015-05,0.206,0.1,different
A6 row 57,A6 row 57: cnb_arad:SREERM103 (index_level),OECZFRAA Index,m/m from levels,1999-02,2026-07,330,0.965,0.2777,1.9277,2015-04,0.255,0.1,different
A6 row 57,A6 row 57: cnb_arad:SREERM103 (index_level),BRERCZ Index,m/m from levels,1999-02,2026-07,330,0.5884,1.3497,5.6797,2002-06,0.064,0.1,different
A6 row 56,A6 row 56: cnb_arad:SREERM101 (index_level),BISBCZR Index,m/m from levels,1999-02,2026-07,330,0.8694,0.5671,4.3595,2023-01,0.179,0.1,different
A6 row 59,"A6 row 59: cnb_arad:SUCM102211XXX101101 (level, stock_czk)",CZBLHPTV Index,y/y from levels,2003-01,2026-05,281,0.9906,1.5326,11.2775,2004-03,0.11,0.2,close
A6 row 59,"A6 row 59: cnb_arad:SUCM102211XXX101101 (level, stock_czk)",CZBLHHTV Index,y/y from levels,2003-01,2026-05,281,0.999,0.3278,2.3148,2014-11,0.552,0.2,close
A6 row 59,"A6 row 59: cnb_arad:SUCM102211XXX101101 (level, stock_czk)",CZHHHHTV Index,y/y from levels,2005-01,2026-07,259,0.1248,22.5843,176.3512,2020-04,0.0,0.2,different
A6 row 59,"A6 row 59: cnb_arad:SUCM102211XXX101101 (level, stock_czk)",LONSCZHH Index,y/y from levels,2003-01,2026-07,283,0.9247,4.5018,26.3294,2008-06,0.042,0.2,different
A6 row 25,A6 row 25: cnb_arad:SVEVZM4 (level),CZTBAL Index,level divided by 1,1993-01,2019-12,324,0.9721,10961.0076,38670.947,2017-03,0.0,1.0,different
A6 row 25,A6 row 25: cnb_arad:SVEVZM4 (level),CZTBNAL Index,level divided by 1,2005-01,2026-07,259,0.95,17469.9022,56480.976,2024-03,0.0,1.0,different
A6 row 25,A6 row 25: cnb_arad:SVEVZM4 (level),CZCMTRBA Index,level divided by 1,2004-01,2026-06,270,0.9932,16874.389,56466.85,2024-03,0.0,1.0,close
EC Oil Bulletin gross_petrol95 (CZK/l),data/research_r14/fuel/pump_weekly.csv,ECOBETCZ Index,ISO-week level divided by 1000,2005-01-03,2026-08-31,1081,1.0,0.0,0.0,2018-06-04,1.0,0.01,identical
CZSO weekly petrol95 (CZK/l),"fixture fuel_weekly.csv (CZSO CENPHMT, Mondays)",ECOBETCZ Index,ISO-week level divided by 1000,2016-01-04,2026-08-24,528,1.0,0.0052,0.481,2022-04-18,0.994,0.2,identical
EC Oil Bulletin gross_diesel (CZK/l),data/research_r14/fuel/pump_weekly.csv,ECOBOTCZ Index,ISO-week level divided by 1000,2005-01-03,2026-08-31,1081,1.0,0.0,0.0,2005-01-17,1.0,0.01,identical
CZSO weekly diesel (CZK/l),"fixture fuel_weekly.csv (CZSO CENPHMT, Mondays)",ECOBOTCZ Index,ISO-week level divided by 1000,2016-01-04,2026-08-24,528,0.9999,0.0073,1.096,2024-11-18,0.992,0.2,close
EC Oil Bulletin net_petrol95 (CZK/l),data/research_r14/fuel/pump_weekly.csv,ECOBEFCZ Index,ISO-week level divided by 1000,2005-01-03,2026-08-31,1081,1.0,0.0,0.031,2026-07-27,0.999,0.01,close
EC Oil Bulletin net_diesel (CZK/l),data/research_r14/fuel/pump_weekly.csv,ECOBOFCZ Index,ISO-week level divided by 1000,2005-01-03,2026-08-31,1081,0.9999,0.0018,1.939,2026-07-20,0.998,0.01,close
