group,ticker,retrieved_at,name,source,adjustment,frequency,last_update,status,periodicity,observations,first_date,last_date,last_value,probe,error
cpi_czso_index,CZCPI Index,2026-09-12T16:32:46.502604+00:00,Czech Republic CPI,Czech Statistical Office,Index NSA,Monthly,2026-08-31,ok,MONTHLY,140.0,2015-01-31,2026-08-31,102.6,20260912_bloomberg_probe,
cpi_czso_index,CZCPF Index,2026-09-12T16:32:47.310729+00:00,Czech Republic CPI Food & Non,Czech Statistical Office,Index NSA,Monthly,2026-08-31,ok,MONTHLY,140.0,2015-01-31,2026-08-31,96.3,20260912_bloomberg_probe,
cpi_czso_index,CZCPA Index,2026-09-12T16:32:47.845514+00:00,Czech Republic CPI Alcoholic B,Czech Statistical Office,Index NSA,Monthly,2026-08-31,ok,MONTHLY,140.0,2015-01-31,2026-08-31,104.5,20260912_bloomberg_probe,
cpi_czso_index,CZCPC Index,2026-09-12T16:32:48.428984+00:00,Czech Republic CPI Clothing &,Czech Statistical Office,Index NSA,Monthly,2026-08-31,ok,MONTHLY,140.0,2015-01-31,2026-08-31,96.0,20260912_bloomberg_probe,
cpi_czso_index,CZCPH Index,2026-09-12T16:32:49.009494+00:00,Czech Republic CPI Housing Wat,Czech Statistical Office,Index NSA,Monthly,2026-08-31,ok,MONTHLY,140.0,2015-01-31,2026-08-31,101.9,20260912_bloomberg_probe,
cpi_czso_index,CZCPN Index,2026-09-12T16:32:49.605971+00:00,Czech Republic CPI Furnishings,Czech Statistical Office,Index NSA,Monthly,2026-08-31,ok,MONTHLY,140.0,2015-01-31,2026-08-31,101.6,20260912_bloomberg_probe,
cpi_czso_index,CZCPHE Index,2026-09-12T16:32:50.185397+00:00,Czech Republic CPI Health,Czech Statistical Office,Index NSA,Monthly,2026-08-31,ok,MONTHLY,140.0,2015-01-31,2026-08-31,105.1,20260912_bloomberg_probe,
cpi_czso_index,CZCPTR Index,2026-09-12T16:32:50.731876+00:00,Czech Republic CPI Transport,Czech Statistical Office,Index NSA,Monthly,2026-08-31,ok,MONTHLY,140.0,2015-01-31,2026-08-31,109.5,20260912_bloomberg_probe,
cpi_czso_index,CZCPP Index,2026-09-12T16:32:51.317069+00:00,Czech Republic CPI Post & Tele,Czech Statistical Office,Index NSA,Monthly,2026-08-31,ok,MONTHLY,140.0,2015-01-31,2026-08-31,102.5,20260912_bloomberg_probe,
cpi_czso_index,CZCPR Index,2026-09-12T16:32:51.832613+00:00,Czech Republic CPI Recreation,Czech Statistical Office,Index NSA,Monthly,2026-08-31,ok,MONTHLY,140.0,2015-01-31,2026-08-31,108.0,20260912_bloomberg_probe,
cpi_czso_index,CZCPE Index,2026-09-12T16:32:52.389018+00:00,Czech Republic CPI Education,Czech Statistical Office,Index NSA,Monthly,2026-08-31,ok,MONTHLY,140.0,2015-01-31,2026-08-31,102.9,20260912_bloomberg_probe,
cpi_czso_index,CZCPSH Index,2026-09-12T16:32:52.931076+00:00,Czech Republic CPI Restaurants,Czech Statistical Office,Index NSA,Monthly,2026-08-31,ok,MONTHLY,140.0,2015-01-31,2026-08-31,104.9,20260912_bloomberg_probe,
