sample,horizon,model,n,rmse,mae,bias,first_target,last_target,paper_rmse,difference_vs_paper
paper_window,1,AR3,187,0.7100861017193695,0.3845437887586125,-0.052996399277412294,2011-01,2026-07,,
paper_window,1,AR3_DIRECT,187,0.7100861017193696,0.3845437887586125,-0.0529963992774123,2011-01,2026-07,,
paper_window,1,ARIMA313,187,0.6875989382668091,0.3794717389778756,0.005665405351549641,2011-01,2026-07,,
paper_window,1,QRF_MEAN,187,0.5965536553438451,0.3222856961638404,-0.033712155666196585,2011-01,2026-07,,
paper_window,1,QRF_MEDIAN,187,0.6208858946356882,0.3270403429852955,-0.09191749386446219,2011-01,2026-07,,
paper_window,1,RW,187,0.9242496081316491,0.5332405986682618,-0.0005137922613265675,2011-01,2026-07,,
paper_window,1,TVW1,187,0.5985520585428235,0.3218691117483928,-0.05473342539435402,2011-01,2026-07,,
paper_window,1,TVW2,187,0.6034574574061792,0.3203444562767218,-0.06861817456815444,2011-01,2026-07,,
paper_window,1,TVW3,187,0.5913174087015681,0.3234561036686282,-0.03167385123646007,2011-01,2026-07,,
paper_window,2,AR3,186,0.714661596803795,0.38351304093836946,-0.059326076036193984,2011-02,2026-07,,
paper_window,2,AR3_DIRECT,186,0.7259405265300333,0.3941295800019225,-0.06719840387290547,2011-02,2026-07,,
paper_window,2,ARIMA313,186,0.6935096770719743,0.3855700776127102,0.00552831097612799,2011-02,2026-07,,
paper_window,2,QRF_MEAN,186,0.6245946552583045,0.34320701861360464,-0.03050871528678697,2011-02,2026-07,,
paper_window,2,QRF_MEDIAN,186,0.6524108125014231,0.3470481845126489,-0.09811900333279999,2011-02,2026-07,,
paper_window,2,RW,186,0.8955275454528522,0.5414142065873279,0.004631656165356332,2011-02,2026-07,,
paper_window,2,TVW1,186,0.6343475058359578,0.34128565600281313,-0.05764034684372617,2011-02,2026-07,,
paper_window,2,TVW2,186,0.6402479890072489,0.3447877896373475,-0.07542606590435437,2011-02,2026-07,,
paper_window,2,TVW3,186,0.6307188031973247,0.3482964313518591,-0.019467560923316855,2011-02,2026-07,,
paper_window,3,AR3,185,0.7187275202382566,0.3798925796115178,-0.06472522895996663,2011-03,2026-07,0.71,0.008727520238256625
paper_window,3,AR3_DIRECT,185,0.7340720081262253,0.39472507743287377,-0.06785685806907318,2011-03,2026-07,,
paper_window,3,ARIMA313,185,0.732102138024047,0.40095700012156393,0.0024742502228829013,2011-03,2026-07,0.716,0.01610213802404703
paper_window,3,QRF_MEAN,185,0.6784779593959276,0.3706586065255121,-0.02369765731976498,2011-03,2026-07,0.713,-0.03452204060407238
paper_window,3,QRF_MEDIAN,185,0.7032472325976696,0.37443952812097697,-0.10545522851477973,2011-03,2026-07,0.731,-0.027752767402330347
paper_window,3,RW,185,0.9637531177691088,0.5077197290152711,0.0042047813764639,2011-03,2026-07,0.896,0.06775311776910875
paper_window,3,TVW1,185,0.6847641947739276,0.3712755978079556,-0.0707482835213719,2011-03,2026-07,0.694,-0.009235805226072369
paper_window,3,TVW2,185,0.6909351903299766,0.36929308830287383,-0.08729526972228777,2011-03,2026-07,0.701,-0.010064809670023322
paper_window,3,TVW3,185,0.6836780974579857,0.37929347844276756,-0.0348060507368932,2011-03,2026-07,0.669,0.01467809745798565
paper_window,4,AR3,184,0.7083479786846232,0.3850448791971528,-0.07721518219437086,2011-04,2026-07,,
paper_window,4,AR3_DIRECT,184,0.7143472373666133,0.3909240102264961,-0.062199702614615,2011-04,2026-07,,
paper_window,4,ARIMA313,184,0.7009454765876524,0.4034567144137561,0.0025831844260813096,2011-04,2026-07,,
paper_window,4,QRF_MEAN,184,0.6569617060068298,0.3769310100073695,-0.04728010507470959,2011-04,2026-07,,
paper_window,4,QRF_MEDIAN,184,0.6773502063969841,0.3687812387268992,-0.13258832609735832,2011-04,2026-07,,
paper_window,4,RW,184,0.9644780840205931,0.568966756179286,0.002386044191596389,2011-04,2026-07,,
paper_window,4,TVW1,184,0.6625170626985414,0.3707904171564949,-0.08892287685543614,2011-04,2026-07,,
paper_window,4,TVW2,184,0.6695177098981203,0.36866807457190687,-0.10723803880239069,2011-04,2026-07,,
paper_window,4,TVW3,184,0.6595197586035815,0.37683908946160616,-0.049684576635011156,2011-04,2026-07,,
paper_window,5,AR3,183,0.7114749583655751,0.3851398771562147,-0.082238985926221,2011-05,2026-07,,
paper_window,5,AR3_DIRECT,183,0.7048751939069943,0.383726242256274,-0.05191559757993237,2011-05,2026-07,,
paper_window,5,ARIMA313,183,0.7000787831140458,0.4016982807752752,0.0019800730462307525,2011-05,2026-07,,
paper_window,5,QRF_MEAN,183,0.6622952635610532,0.3810917404334831,-0.048466017175811935,2011-05,2026-07,,
paper_window,5,QRF_MEDIAN,183,0.6645807186457511,0.3746902667498761,-0.13520397440993054,2011-05,2026-07,,
paper_window,5,RW,183,0.9482741008686943,0.5805076043048999,0.0004135171493649377,2011-05,2026-07,,
paper_window,5,TVW1,183,0.6638188878357674,0.37741322333873617,-0.09450894057236707,2011-05,2026-07,,
paper_window,5,TVW2,183,0.6659722298099277,0.3753600190220756,-0.11264476201674567,2011-05,2026-07,,
paper_window,5,TVW3,183,0.6630285346209047,0.38538075508485803,-0.055683899386911616,2011-05,2026-07,,
paper_window,6,AR3,182,0.7097118518929223,0.38562765747590444,-0.08294912477599478,2011-06,2026-07,0.74,-0.030288148107077695
paper_window,6,AR3_DIRECT,182,0.7105543421742302,0.3867236397941744,-0.05546871468524255,2011-06,2026-07,,
paper_window,6,ARIMA313,182,0.7003762795365669,0.40978817888029256,0.0015648550860201042,2011-06,2026-07,0.736,-0.035623720463433095
paper_window,6,QRF_MEAN,182,0.6684698689074828,0.3820683888768505,-0.06083864320233571,2011-06,2026-07,0.723,-0.05453013109251714
paper_window,6,QRF_MEDIAN,182,0.6641613310629824,0.36998588057645393,-0.16353841694340973,2011-06,2026-07,0.708,-0.0438386689370176
paper_window,6,RW,182,0.8731662531138278,0.5230586840491249,0.0036740215989702596,2011-06,2026-07,0.715,0.15816625311382781
paper_window,6,TVW1,182,0.6664123548812639,0.3747931892000035,-0.1027920130111519,2011-06,2026-07,0.688,-0.02158764511873601
paper_window,6,TVW2,182,0.6647648224359921,0.3716536737053242,-0.1279634252396788,2011-06,2026-07,0.693,-0.02823517756400784
paper_window,6,TVW3,182,0.6646688325907184,0.38346125494552924,-0.05772208959274373,2011-06,2026-07,0.661,0.003668832590718374
paper_window,7,AR3,181,0.7165772789339905,0.3914758838595835,-0.08811559602448843,2011-07,2026-07,,
paper_window,7,AR3_DIRECT,181,0.7302702920966719,0.40604197005214415,-0.06836290074041594,2011-07,2026-07,,
paper_window,7,ARIMA313,181,0.7123390983990363,0.4246703041864545,0.0004790487683618637,2011-07,2026-07,,
paper_window,7,QRF_MEAN,181,0.6717720590212581,0.37263843066990815,-0.07169375316254202,2011-07,2026-07,,
paper_window,7,QRF_MEDIAN,181,0.6791797411895364,0.36403850065937904,-0.16221736341430681,2011-07,2026-07,,
paper_window,7,RW,181,0.953552999059399,0.5802309274629835,-0.0015150281373564644,2011-07,2026-07,,
paper_window,7,TVW1,181,0.6752997381874446,0.3713677770445942,-0.10714793104098169,2011-07,2026-07,,
paper_window,7,TVW2,181,0.6733781517790902,0.36696614111444265,-0.12992927196873424,2011-07,2026-07,,
paper_window,7,TVW3,181,0.6707468740002653,0.3771433836960782,-0.0680085111402589,2011-07,2026-07,,
paper_window,8,AR3,180,0.7207710883538346,0.39336673306311365,-0.09027562976167504,2011-08,2026-07,,
paper_window,8,AR3_DIRECT,180,0.746671343113729,0.4101306196694474,-0.07868524654327322,2011-08,2026-07,,
paper_window,8,ARIMA313,180,0.701466638569236,0.42267665038825725,0.0007730073573087292,2011-08,2026-07,,
paper_window,8,QRF_MEAN,180,0.6681347711563879,0.3757907797093723,-0.05611460329877966,2011-08,2026-07,,
paper_window,8,QRF_MEDIAN,180,0.684415706165707,0.3647368123513783,-0.159473171183274,2011-08,2026-07,,
paper_window,8,RW,180,0.986355396110954,0.5710363393510224,0.0010755415101804092,2011-08,2026-07,,
paper_window,8,TVW1,180,0.6729855345851515,0.36996081689029,-0.10528656424122021,2011-08,2026-07,,
paper_window,8,TVW2,180,0.6751757681044902,0.3657255329911041,-0.12721316321651613,2011-08,2026-07,,
paper_window,8,TVW3,180,0.6698751459969862,0.38184737659400475,-0.06967953490628077,2011-08,2026-07,,
paper_window,9,AR3,179,0.7240080555631416,0.3932341766897841,-0.09410691303074156,2011-09,2026-07,0.753,-0.028991944436858375
paper_window,9,AR3_DIRECT,179,0.737769658634696,0.4102246389557773,-0.06775768105553813,2011-09,2026-07,,
paper_window,9,ARIMA313,179,0.7157808323652742,0.42926346510021923,-0.004485287678124152,2011-09,2026-07,0.787,-0.0712191676347258
paper_window,9,QRF_MEAN,179,0.6968981646334235,0.4006286298484417,-0.03794850067355184,2011-09,2026-07,0.737,-0.04010183536657652
paper_window,9,QRF_MEDIAN,179,0.7045243989905233,0.3797223940765023,-0.13463995256581354,2011-09,2026-07,0.748,-0.04347560100947667
paper_window,9,RW,179,0.9581931750674937,0.5360628544759793,0.0016960895243672005,2011-09,2026-07,1.005,-0.04680682493250621
paper_window,9,TVW1,179,0.69582372133297,0.3926072622677157,-0.08617831018204009,2011-09,2026-07,0.732,-0.03617627866702999
paper_window,9,TVW2,179,0.6964487835754626,0.3833994072306912,-0.10960177414345075,2011-09,2026-07,0.738,-0.04155121642453741
paper_window,9,TVW3,179,0.6931632154821769,0.3981942043526,-0.05912395601267168,2011-09,2026-07,0.712,-0.018836784517823113
paper_window,10,AR3,178,0.7264107758164816,0.3930888368926009,-0.09800257354246794,2011-10,2026-07,,
paper_window,10,AR3_DIRECT,178,0.6582337294088161,0.3928069180239088,-0.0160970033976955,2011-10,2026-07,,
paper_window,10,ARIMA313,178,0.7181900744896135,0.4312396438774193,-0.006602289125680553,2011-10,2026-07,,
