survey_month,target_month,model,model_origin,model_h,as_of,forecast,status,survey_mean_yoy_pct,document_issue_date,source_url,pdf_sha256,availability_kind,actual,error,survey_error
2023-10,2024-10,INDEPENDENT_BRIDGE,2023-10,12,2023-10-24T00:00:00+02:00,2.319767379371723,estimated,2.8,2023-10-23,https://www.cnb.cz/export/sites/cnb/en/financial-markets/.galleries/inflation_expectations_ft/inflation_expectations_ft_2023/A_inflocek_10_2023.pdf,ac3720c927ad77e90783d0c8a13879d7849d4ebf5d86f413e919ea695b015af6,DOCUMENT_DATE_NEXT_DAY_RECONSTRUCTED,2.8359216745442337,-0.5161542951725107,-0.035921674544233895
2023-10,2024-10,PIPELINE_FOOD_FUEL_R14,2023-10,12,2023-10-24T00:00:00+02:00,1.3155674186354265,estimated,2.8,2023-10-23,https://www.cnb.cz/export/sites/cnb/en/financial-markets/.galleries/inflation_expectations_ft/inflation_expectations_ft_2023/A_inflocek_10_2023.pdf,ac3720c927ad77e90783d0c8a13879d7849d4ebf5d86f413e919ea695b015af6,DOCUMENT_DATE_NEXT_DAY_RECONSTRUCTED,2.8359216745442337,-1.5203542559088072,-0.035921674544233895
2023-10,2024-10,PIPELINE_GAP_RIDGE_R14,2023-10,12,2023-10-24T00:00:00+02:00,3.4852670246321313,estimated,2.8,2023-10-23,https://www.cnb.cz/export/sites/cnb/en/financial-markets/.galleries/inflation_expectations_ft/inflation_expectations_ft_2023/A_inflocek_10_2023.pdf,ac3720c927ad77e90783d0c8a13879d7849d4ebf5d86f413e919ea695b015af6,DOCUMENT_DATE_NEXT_DAY_RECONSTRUCTED,2.8359216745442337,0.6493453500878976,-0.035921674544233895
2023-10,2024-10,PIPELINE_GAP_RF_R14,2023-10,12,2023-10-24T00:00:00+02:00,4.531075787387648,estimated,2.8,2023-10-23,https://www.cnb.cz/export/sites/cnb/en/financial-markets/.galleries/inflation_expectations_ft/inflation_expectations_ft_2023/A_inflocek_10_2023.pdf,ac3720c927ad77e90783d0c8a13879d7849d4ebf5d86f413e919ea695b015af6,DOCUMENT_DATE_NEXT_DAY_RECONSTRUCTED,2.8359216745442337,1.6951541128434142,-0.035921674544233895
2023-10,2024-10,STABLE_PIPELINE_R14B,2023-10,12,2023-10-24T00:00:00+02:00,1.8947558469452115,estimated,2.8,2023-10-23,https://www.cnb.cz/export/sites/cnb/en/financial-markets/.galleries/inflation_expectations_ft/inflation_expectations_ft_2023/A_inflocek_10_2023.pdf,ac3720c927ad77e90783d0c8a13879d7849d4ebf5d86f413e919ea695b015af6,DOCUMENT_DATE_NEXT_DAY_RECONSTRUCTED,2.8359216745442337,-0.9411658275990222,-0.035921674544233895
2023-10,2024-10,STABLE_LOCAL_CORE_R14B,2023-10,12,2023-10-24T00:00:00+02:00,3.8768167917520864,estimated,2.8,2023-10-23,https://www.cnb.cz/export/sites/cnb/en/financial-markets/.galleries/inflation_expectations_ft/inflation_expectations_ft_2023/A_inflocek_10_2023.pdf,ac3720c927ad77e90783d0c8a13879d7849d4ebf5d86f413e919ea695b015af6,DOCUMENT_DATE_NEXT_DAY_RECONSTRUCTED,2.8359216745442337,1.0408951172078527,-0.035921674544233895
2023-10,2024-10,STABLE_LONG_CORE_R14B,2023-10,12,2023-10-24T00:00:00+02:00,3.5302338479169326,estimated,2.8,2023-10-23,https://www.cnb.cz/export/sites/cnb/en/financial-markets/.galleries/inflation_expectations_ft/inflation_expectations_ft_2023/A_inflocek_10_2023.pdf,ac3720c927ad77e90783d0c8a13879d7849d4ebf5d86f413e919ea695b015af6,DOCUMENT_DATE_NEXT_DAY_RECONSTRUCTED,2.8359216745442337,0.6943121733726989,-0.035921674544233895
2023-10,2024-10,STABLE_LONG_GAP_R14B,2023-10,12,2023-10-24T00:00:00+02:00,4.383402946708836,estimated,2.8,2023-10-23,https://www.cnb.cz/export/sites/cnb/en/financial-markets/.galleries/inflation_expectations_ft/inflation_expectations_ft_2023/A_inflocek_10_2023.pdf,ac3720c927ad77e90783d0c8a13879d7849d4ebf5d86f413e919ea695b015af6,DOCUMENT_DATE_NEXT_DAY_RECONSTRUCTED,2.8359216745442337,1.5474812721646023,-0.035921674544233895
2023-11,2024-11,INDEPENDENT_BRIDGE,2023-11,12,2023-11-24T00:00:00+01:00,2.3669246313027856,estimated,2.8,2023-11-23,https://www.cnb.cz/export/sites/cnb/en/financial-markets/.galleries/inflation_expectations_ft/inflation_expectations_ft_2023/A_inflocek_11_2023.pdf,1ece3a570b6aac6e09b30b2e87310cb92f6be85eace7e13c68aa471afdf5f316,DOCUMENT_DATE_NEXT_DAY_RECONSTRUCTED,2.834008097166013,-0.46708346586322724,-0.03400809716601305
2023-11,2024-11,PIPELINE_FOOD_FUEL_R14,2023-11,12,2023-11-24T00:00:00+01:00,0.8589083058520925,estimated,2.8,2023-11-23,https://www.cnb.cz/export/sites/cnb/en/financial-markets/.galleries/inflation_expectations_ft/inflation_expectations_ft_2023/A_inflocek_11_2023.pdf,1ece3a570b6aac6e09b30b2e87310cb92f6be85eace7e13c68aa471afdf5f316,DOCUMENT_DATE_NEXT_DAY_RECONSTRUCTED,2.834008097166013,-1.9750997913139203,-0.03400809716601305
