survey_month,max_future_h0_difference,annual_h0_difference,probed_h0,checked_families
2023-08,0.0,0.0,-50|0|100,block_values|contributions|weights|headline
2023-09,0.0,0.0,-50|0|100,block_values|contributions|weights|headline
2023-10,0.0,0.0,-50|0|100,block_values|contributions|weights|headline
2023-11,0.0,0.0,-50|0|100,block_values|contributions|weights|headline
2023-12,0.0,0.0,-50|0|100,block_values|contributions|weights|headline
2024-01,0.0,0.0,-50|0|100,block_values|contributions|weights|headline
2024-02,0.0,0.0,-50|0|100,block_values|contributions|weights|headline
2024-03,0.0,0.0,-50|0|100,block_values|contributions|weights|headline
2024-04,0.0,0.0,-50|0|100,block_values|contributions|weights|headline
2024-05,0.0,0.0,-50|0|100,block_values|contributions|weights|headline
2024-06,0.0,0.0,-50|0|100,block_values|contributions|weights|headline
2024-07,0.0,0.0,-50|0|100,block_values|contributions|weights|headline
2024-08,0.0,0.0,-50|0|100,block_values|contributions|weights|headline
2024-09,0.0,0.0,-50|0|100,block_values|contributions|weights|headline
2024-10,0.0,0.0,-50|0|100,block_values|contributions|weights|headline
2024-11,0.0,0.0,-50|0|100,block_values|contributions|weights|headline
2024-12,0.0,0.0,-50|0|100,block_values|contributions|weights|headline
2025-01,0.0,0.0,-50|0|100,block_values|contributions|weights|headline
2025-02,0.0,0.0,-50|0|100,block_values|contributions|weights|headline
2025-03,0.0,0.0,-50|0|100,block_values|contributions|weights|headline
2025-04,0.0,0.0,-50|0|100,block_values|contributions|weights|headline
2025-05,0.0,0.0,-50|0|100,block_values|contributions|weights|headline
2025-06,0.0,0.0,-50|0|100,block_values|contributions|weights|headline
2025-07,0.0,0.0,-50|0|100,block_values|contributions|weights|headline
