survey_month,model,h,target,mm_forecast,contribution_core,contribution_food,contribution_administered,contribution_alcohol_tobacco,contribution_fuel,contribution_wedge
2023-08,INDEPENDENT_BRIDGE,1,2023-09,-0.2280381432655038,-0.03485784553904043,-0.2291568264402162,0.022699770514271023,0.04385327906379951,-0.001693267056514229,-0.02888325380780349
2023-08,INDEPENDENT_BRIDGE,2,2023-10,0.42576632460117253,0.36764232291044546,0.06663080542254853,0.0,0.007436662297335007,0.029510599583262045,-0.045454065612418514
2023-08,INDEPENDENT_BRIDGE,3,2023-11,0.16901828450218787,0.15224137889896353,0.022112958737955588,0.0,0.0005358427445017519,-0.009741864310840256,0.0038699684316072487
2023-08,INDEPENDENT_BRIDGE,4,2023-12,0.13422535940087224,0.16328573327165574,0.06050112132526991,0.0,-0.04405771432018867,-0.03720495423600026,-0.00829882663986448
2023-08,INDEPENDENT_BRIDGE,5,2024-01,1.2459887551624216,0.3489304391119963,0.5218161031034977,0.13619862308562614,0.2614295913830328,-0.0029003914489823396,-0.019485610072748995
2023-08,INDEPENDENT_BRIDGE,6,2024-02,0.5392578704136883,0.4122441860762594,0.10066105462052331,0.015133180342847347,-0.018111063297426535,0.009598870996979125,0.019731641674505737
2023-08,INDEPENDENT_BRIDGE,7,2024-03,0.21950560422444257,0.11521004896434345,0.0717544713873035,0.015133180342847347,0.06507205553004264,-0.017230299184991086,-0.030433852815103284
2023-08,INDEPENDENT_BRIDGE,8,2024-04,0.3854722078623819,0.26246138160338023,0.09545923998381067,0.015133180342847347,-0.004900239066359156,0.016408648502927014,0.0009099964957758025
2023-08,INDEPENDENT_BRIDGE,9,2024-05,0.5566340613928378,0.19909796743747618,0.22352751627634035,0.022699770514271023,0.06864580052561835,0.06217428948823819,-0.01951128284910626
2023-08,INDEPENDENT_BRIDGE,10,2024-06,0.42072175184061855,0.23615172550324992,0.06371614985591371,0.015133180342847347,0.03301561597344711,0.07485540477015643,-0.002150324604995965
2023-08,INDEPENDENT_BRIDGE,11,2024-07,0.47054738045587935,0.4908922070196842,-0.03497981626569426,0.007566590171423674,0.018623853146216455,0.00014781316760079327,-0.01170326678335154
