model,n,wrong_sign_share,alpha_median,alpha_min,alpha_max,alpha_raw_median,gap_seasonal_share_raw_median,gap_seasonal_share_centred_median,gap_sd_median,gap_last_median_abs,cumulative_correction_h6_median_abs,trend_per_month_median,r2_median
FOOD_ECM_PPI_R27,90,0.0,-0.25,-0.25,-0.25,-0.4987123611119376,0.39834822566704575,2.5354238989149486e-33,0.9849793937567703,0.7946596637380872,0.4899204872691905,0.14009306827975526,0.9757953534686186
FOOD_ECM_R27,90,0.0,-0.25,-0.25,-0.25,-0.49898654284513033,0.34849475890508635,2.387721935238038e-33,0.9944439624362709,0.9005621846067352,0.5552110978218159,0.14790405121863975,0.9765388549088634
