H,sample,name,n,rmse,bias,ratio_to_baseline
3,full,STATE_FAST_R15,84,2.218792223024734,-0.17189875651481068,1.0190329519619876
3,full,FOOD_NORM_SHIFT_R24,84,2.1773508096600787,-0.4509565851602152,1.0
3,full,FOOD_ECM_R27,84,2.0906137015809896,-0.5882043095560611,0.960163925953379
3,full,FOOD_ECM_PPI_R27,84,2.0303379335867686,-0.5793561304569688,0.9324808499296164
3,full,FOOD_ECM_A002_R27,84,2.1590985581713933,-0.4691990964804211,0.9916172206115308
3,full,FOOD_ECM_A005_R27,84,2.1376046336368284,-0.4938451389213329,0.9817456259933348
3,full,FOOD_ECM_A010_R27,84,2.113924967875802,-0.5281595429522654,0.9708701778772257
3,full,FOOD_ECM_A015_R27,84,2.100703507948957,-0.5547781826891462,0.9647979088298189
3,full,ZERO,84,2.849617766277207,-1.1077596087766524,1.3087545441159665
3,full,SEASONAL_NAIVE,84,2.788263943856465,0.2406264755828344,1.2805763460283923
3,full,SA_AR,84,2.6106948294086765,-0.24829064819634145,1.199023518776127
3,full,SA_AR_TARGET,84,2.6106948294086765,-0.24829064819634145,1.199023518776127
3,origins_2019_2021,STATE_FAST_R15,32,1.8044260829719245,-0.360226735188477,1.0206286959913458
3,origins_2019_2021,FOOD_NORM_SHIFT_R24,32,1.7679554671145803,-0.3047920329177584,1.0
3,origins_2019_2021,FOOD_ECM_R27,32,1.7000162222893263,-0.47926434330818324,0.9615718573861278
3,origins_2019_2021,FOOD_ECM_PPI_R27,32,1.6259073796011314,-0.27671699191985966,0.9196540353217829
3,origins_2019_2021,FOOD_ECM_A002_R27,32,1.751114697500745,-0.3279823124751812,0.9904744378876689
3,origins_2019_2021,FOOD_ECM_A005_R27,32,1.7320344431080452,-0.3593129009098884,0.9796821669579944
3,origins_2019_2021,FOOD_ECM_A010_R27,32,1.712733981207578,-0.4029341221527268,0.9687653411332088
3,origins_2019_2021,FOOD_ECM_A015_R27,32,1.7037496063740798,-0.4367723194327724,0.963683553157994
3,origins_2019_2021,ZERO,32,2.60390132920154,-1.0374192585154067,1.4728319675671913
3,origins_2019_2021,SEASONAL_NAIVE,32,1.8048122971358727,-0.24349808058752304,1.0208471484190975
3,origins_2019_2021,SA_AR,32,1.853383749945301,-0.5124010774684916,1.04832038160449
3,origins_2019_2021,SA_AR_TARGET,32,1.853383749945301,-0.5124010774684916,1.04832038160449
3,origins_2022_2023,STATE_FAST_R15,24,3.299491592188676,-0.6113487268268453,1.0147391877276009
