H,sample,name,n,rmse,bias,ratio_to_baseline
3,origins_2022_2023,FOOD_NORM_SHIFT_R24,24,3.2515661483198777,-1.070421669516555,1.0
3,origins_2022_2023,FOOD_ECM_R27,24,3.151980247164478,-1.446926107285596,0.9693729431871295
3,origins_2022_2023,FOOD_ECM_PPI_R27,24,3.0405320249181793,-1.4940091405511993,0.9350976994545407
3,origins_2022_2023,FOOD_ECM_A002_R27,24,3.2323337172052407,-1.1204653878976327,0.9940851791913953
3,origins_2022_2023,FOOD_ECM_A005_R27,24,3.209198311887305,-1.1880755751943213,0.9869700216757193
3,origins_2022_2023,FOOD_ECM_A010_R27,24,3.182559655919864,-1.2822084685003252,0.9787774600754563
3,origins_2022_2023,FOOD_ECM_A015_R27,24,3.1664560827271817,-1.3552299778362882,0.9738249010752331
3,origins_2022_2023,ZERO,24,4.150223363240264,-2.0695889233614624,1.276376728606531
3,origins_2022_2023,SEASONAL_NAIVE,24,4.425411414373385,-0.3492133572543405,1.3610091914199707
3,origins_2022_2023,SA_AR,24,4.074292985813322,-1.0849920448210515,1.2530247886602452
3,origins_2022_2023,SA_AR_TARGET,24,4.074292985813322,-1.0849920448210515,1.2530247886602452
3,origins_2024plus,STATE_FAST_R15,28,1.3101974221597303,0.42000462223683765,1.039682030648476
3,origins_2024plus,FOOD_NORM_SHIFT_R24,28,1.260190503958722,-0.08703171541758858,1.0
3,origins_2024plus,FOOD_ECM_R27,28,1.137268690110293,0.023340127071679963,0.9024577526474876
3,origins_2024plus,FOOD_ECM_PPI_R27,28,1.192243155457068,-0.14124113727575338,0.9460816850403123
3,origins_2024plus,FOOD_ECM_A002_R27,28,1.2350089204499954,-0.07236145698594217,0.9800176374686034
3,origins_2024plus,FOOD_ECM_A005_R27,28,1.2049395739227327,-0.05254160841470779,0.9561566843565112
3,origins_2024plus,FOOD_ECM_A010_R27,28,1.1712311509070295,-0.02494665911054404,0.9294080119059471
3,origins_2024plus,FOOD_ECM_A015_R27,28,1.1520970495883742,-0.00354048771316594,0.9142245128567574
3,origins_2024plus,ZERO,28,1.3595276934648135,-0.36372345371681025,1.0788271211329055
3,origins_2024plus,SEASONAL_NAIVE,28,1.6775132825052104,1.299488682209393,1.331158485352432
3,origins_2024plus,SA_AR,28,1.5142582689860706,0.7707224680787246,1.2016106011188215
3,origins_2024plus,SA_AR_TARGET,28,1.5142582689860706,0.7707224680787246,1.2016106011188215
6,full,STATE_FAST_R15,81,4.2630877292889755,-0.3874413652860322,1.040438125275928
6,full,FOOD_NORM_SHIFT_R24,81,4.097396688686691,-0.9338281576079297,1.0
6,full,FOOD_ECM_R27,81,3.821386366064745,-1.136891214289302,0.9326376371162605
6,full,FOOD_ECM_PPI_R27,81,3.7577552703648722,-1.1054363685666249,0.9171079970705298
6,full,FOOD_ECM_A002_R27,81,4.038809636654603,-0.9706764583970383,0.985701396158724
6,full,FOOD_ECM_A005_R27,81,3.9706748950688096,-1.0167187695595257,0.96907260798844
6,full,FOOD_ECM_A010_R27,81,3.8957851767558824,-1.0727252904699633,0.9507952177324014
6,full,FOOD_ECM_A015_R27,81,3.8530985973523943,-1.108205164817988,0.9403772419671186
6,full,ZERO,81,5.145928795923932,-2.352586626090669,1.2559020243591108
6,full,SEASONAL_NAIVE,81,5.09738934180304,0.432279907629059,1.2440556111829313
6,full,SA_AR,81,4.814206965287625,-0.5885079827719112,1.1749428554428516
6,full,SA_AR_TARGET,81,4.814206965287625,-0.5885079827719112,1.1749428554428516
6,origins_2019_2021,STATE_FAST_R15,32,4.121690729621782,-1.4295467104674326,1.022815050405299
6,origins_2019_2021,FOOD_NORM_SHIFT_R24,32,4.029751740540508,-1.318677305925996,1.0
6,origins_2019_2021,FOOD_ECM_R27,32,3.773006308786053,-1.566755122262381,0.9362875312710907
6,origins_2019_2021,FOOD_ECM_PPI_R27,32,3.7242101396481386,-1.2787581070071083,0.924178554768392
6,origins_2019_2021,FOOD_ECM_A002_R27,32,3.9752424241217335,-1.3636940910806286,0.986473281748254
6,origins_2019_2021,FOOD_ECM_A005_R27,32,3.9118676168514157,-1.4199430031128781,0.9707465543092536
6,origins_2019_2021,FOOD_ECM_A010_R27,32,3.8422185352170466,-1.488364978213256,0.9534628390536267
6,origins_2019_2021,FOOD_ECM_A015_R27,32,3.8025131907830647,-1.5317099858970429,0.9436097892901552
6,origins_2019_2021,ZERO,32,5.354409553813152,-2.827104850488782,1.3287194593022171
6,origins_2019_2021,SEASONAL_NAIVE,32,3.902919228494333,-1.1361654830864543,0.9685259737541144
6,origins_2019_2021,SA_AR,32,4.216856694391382,-1.6854134642024974,1.0464308885255986
6,origins_2019_2021,SA_AR_TARGET,32,4.216856694391382,-1.6854134642024974,1.0464308885255986
6,origins_2022_2023,STATE_FAST_R15,24,5.695128224909846,-0.5492746311940558,1.0407929075589546
6,origins_2022_2023,FOOD_NORM_SHIFT_R24,24,5.471912984367883,-1.4674205165734753,1.0
6,origins_2022_2023,FOOD_ECM_R27,24,5.175787990603757,-2.0027627640263304,0.9458827297491584
6,origins_2022_2023,FOOD_ECM_PPI_R27,24,5.011840340151304,-2.06970895195086,0.9159210598686582
6,origins_2022_2023,FOOD_ECM_A002_R27,24,5.409769367389879,-1.564564982345076,0.9886431642543412
6,origins_2022_2023,FOOD_ECM_A005_R27,24,5.337180822299853,-1.6859479396317163,0.9753775028124658
6,origins_2022_2023,FOOD_ECM_A010_R27,24,5.256774660215132,-1.833599892016414,0.9606831605752219
6,origins_2022_2023,FOOD_ECM_A015_R27,24,5.210490255551776,-1.9271367272400646,0.9522246187826932
6,origins_2022_2023,ZERO,24,6.765832900044778,-3.3168144663936823,1.2364657331674234
6,origins_2022_2023,SEASONAL_NAIVE,24,7.627527195566095,0.311408526661056,1.393941610065137
6,origins_2022_2023,SA_AR,24,6.867717651028016,-1.2853233144048075,1.2550853185435618
6,origins_2022_2023,SA_AR_TARGET,24,6.867717651028016,-1.2853233144048075,1.2550853185435618
6,origins_2024plus,STATE_FAST_R15,25,2.44975852671233,1.1018134118178629,1.110626707331733
6,origins_2024plus,FOOD_NORM_SHIFT_R24,25,2.205744297827885,0.07102741684611909,1.0
6,origins_2024plus,FOOD_ECM_R27,25,1.8370987049546759,0.2445712756637859,0.8328702047484677
6,origins_2024plus,FOOD_ECM_PPI_R27,25,1.9708062805670745,0.04211713668605985,0.8934880994627679
6,origins_2024plus,FOOD_ECM_A002_R27,25,2.12804568178667,0.1025190944280737,0.9647744228024394
6,origins_2024plus,FOOD_ECM_A005_R27,25,2.0369422744283465,0.14186825265806893,0.9234716265317938
6,origins_2024plus,FOOD_ECM_A010_R27,25,1.936343079348164,0.1897331273260435,0.8778638037305525
6,origins_2024plus,FOOD_ECM_A015_R27,25,1.8791855031699594,0.22005530608839532,0.8519507474282011
6,origins_2024plus,ZERO,25,2.2703383677282165,-0.8195445721701929,1.0292844777900778
6,origins_2024plus,SEASONAL_NAIVE,25,2.972571999228083,2.5559265334741985,1.3476503156577733
6,origins_2024plus,SA_AR,25,2.655638644542314,1.48447375182682,1.2039648689820772
6,origins_2024plus,SA_AR_TARGET,25,2.655638644542314,1.48447375182682,1.2039648689820772
12,full,STATE_FAST_R15,75,7.949014658050488,-1.0483053163235025,1.0647206149622954
12,full,FOOD_NORM_SHIFT_R24,75,7.465822062938064,-2.0780353705350647,1.0
12,full,FOOD_ECM_R27,75,7.123946222624579,-2.275772612901376,0.9542078772529781
12,full,FOOD_ECM_PPI_R27,75,7.108889805898344,-2.240762194189308,0.9521911647463971
12,full,FOOD_ECM_A002_R27,75,7.399241259308281,-2.113917236508134,0.9910819193025904
12,full,FOOD_ECM_A005_R27,75,7.318799187740915,-2.1587519779437834,0.9803072087765121
12,full,FOOD_ECM_A010_R27,75,7.225206373628381,-2.2132895938959467,0.9677710388378862
12,full,FOOD_ECM_A015_R27,75,7.168411735500054,-2.247838923684131,0.9601637535785351
12,full,ZERO,75,8.91016789467808,-4.889782954011012,1.193461057545164
12,full,SEASONAL_NAIVE,75,9.034826381976174,0.7313994652147193,1.2101582793979222
12,full,SA_AR,75,8.357047465568352,-1.4934508189030289,1.1193740481780996
12,full,SA_AR_TARGET,75,8.357047465568352,-1.4934508189030289,1.1193740481780996
12,origins_2019_2021,STATE_FAST_R15,32,8.912585760666483,-4.4642335808417215,1.023573497424853
12,origins_2019_2021,FOOD_NORM_SHIFT_R24,32,8.707323688127058,-4.242494771758849,1.0
12,origins_2019_2021,FOOD_ECM_R27,32,8.416026860536613,-4.490572588095233,0.9665457679048218
12,origins_2019_2021,FOOD_ECM_PPI_R27,32,8.418145786365553,-4.202575572839961,0.9667891177451212
12,origins_2019_2021,FOOD_ECM_A002_R27,32,8.650984711721946,-4.287511556913481,0.993529702303139
12,origins_2019_2021,FOOD_ECM_A005_R27,32,8.582712549894865,-4.343760468945731,0.9856889277698373
12,origins_2019_2021,FOOD_ECM_A010_R27,32,8.50292281525794,-4.412182444046109,0.9765254077842734
12,origins_2019_2021,FOOD_ECM_A015_R27,32,8.454269364769857,-4.455527451729894,0.9709377608527112
12,origins_2019_2021,ZERO,32,10.316256996086825,-6.898908751550655,1.1847793151589898
12,origins_2019_2021,SEASONAL_NAIVE,32,8.811146685619988,-4.003281823728036,1.0119236405136172
12,origins_2019_2021,SA_AR,32,9.200138033926136,-4.952400050892986,1.0565976829908206
12,origins_2019_2021,SA_AR_TARGET,32,9.200138033926136,-4.952400050892986,1.0565976829908206
12,origins_2022_2023,STATE_FAST_R15,24,8.834515872395777,0.8513964142558258,1.1035793108420724
12,origins_2022_2023,FOOD_NORM_SHIFT_R24,24,8.005329372888216,-0.9848953565030131,1.0
12,origins_2022_2023,FOOD_ECM_R27,24,7.564233071708692,-1.5202376039558676,0.944899668629077
12,origins_2022_2023,FOOD_ECM_PPI_R27,24,7.471294669126744,-1.5871837918803975,0.9332901022698583
12,origins_2022_2023,FOOD_ECM_A002_R27,24,7.920543319557552,-1.0820398222746137,0.9894087988911724
12,origins_2022_2023,FOOD_ECM_A005_R27,24,7.8174580567273795,-1.2034227795612542,0.9765317193822026
12,origins_2022_2023,FOOD_ECM_A010_R27,24,7.696512565181728,-1.3510747319459515,0.9614235975408628
12,origins_2022_2023,FOOD_ECM_A015_R27,24,7.622519421482294,-1.444611567169602,0.9521806119930067
12,origins_2022_2023,ZERO,24,9.767098189083166,-4.3840508872606145,1.2200744946437259
12,origins_2022_2023,SEASONAL_NAIVE,24,11.164238395719407,3.3601846120846415,1.3946007560325402
12,origins_2022_2023,SA_AR,24,9.61850943326836,-0.141671795119881,1.2015132651310423
12,origins_2022_2023,SA_AR_TARGET,24,9.61850943326836,-0.141671795119881,1.2015132651310423
12,origins_2024plus,STATE_FAST_R15,19,4.129167990823488,2.305213785291189,1.2241393797582862
12,origins_2024plus,FOOD_NORM_SHIFT_R24,19,3.3731191554664446,0.18656149801187363,1.0
12,origins_2024plus,FOOD_ECM_R27,19,2.960516907618535,0.5000568077044787,0.8776793143582698
12,origins_2024plus,FOOD_ECM_PPI_R27,19,3.1022233305889,0.23777183009527497,0.9196898145627221
12,origins_2024plus,FOOD_ECM_A002_R27,19,3.2899569515880125,0.24344909566905723,0.9753456074198683
12,origins_2024plus,FOOD_ECM_A005_R27,19,3.190804668230647,0.31453070368156694,0.9459507717240464
12,origins_2024plus,FOOD_ECM_A010_R27,19,3.0780112748888864,0.4009953807359121,0.9125118719570552
12,origins_2024plus,FOOD_ECM_A015_R27,19,3.0114063774813036,0.4557703574272241,0.8927660834634458
12,origins_2024plus,ZERO,19,3.6936492824196776,-2.1448115898394837,1.0950248456043377
12,origins_2024plus,SEASONAL_NAIVE,19,5.832664540430154,5.385028818966826,1.7291605400235548
12,origins_2024plus,SA_AR,19,4.033279528973036,2.6246375417750256,1.195712141516478
12,origins_2024plus,SA_AR_TARGET,19,4.033279528973036,2.6246375417750256,1.195712141516478
