scope,benchmark,model,metric,h,sample,n,block,draws,seed,eligible_blocks,n_origins_in_blocks,mean_loss_difference,ci_low,ci_high,bootstrap_probability_improvement,status
paired_fast_FOOD_ECM_A002_R27,STATE_FAST_R15,FOOD_ECM_A002_R27,headline_yy,5,recent_targets,31,12,2000,1509,20,31,-0.042834115066666185,-0.09374987810238794,0.04242183637800761,0.7425,ok
paired_fast_FOOD_ECM_A002_R27,STATE_FAST_R15,FOOD_ECM_A002_R27,headline_yy,6,full,84,12,2000,1509,73,84,-0.10255450038298014,-0.246154603705024,0.02870151336117384,0.9445,ok
paired_fast_FOOD_ECM_A002_R27,STATE_FAST_R15,FOOD_ECM_A002_R27,headline_yy,6,origins_2019_2021,35,12,2000,1509,24,35,-0.13979567728818956,-0.2166196704669091,-0.022403986345885467,1.0,ok
paired_fast_FOOD_ECM_A002_R27,STATE_FAST_R15,FOOD_ECM_A002_R27,headline_yy,6,origins_2022_2023,24,12,2000,1509,13,24,-0.10001157547171748,-0.48852098348612755,0.3602310519441905,0.625,ok
paired_fast_FOOD_ECM_A002_R27,STATE_FAST_R15,FOOD_ECM_A002_R27,headline_yy,6,origins_2024plus,25,12,2000,1509,14,25,-0.05285806063049914,-0.15107882898286498,0.014342818269556315,0.9045,ok
paired_fast_FOOD_ECM_A002_R27,STATE_FAST_R15,FOOD_ECM_A002_R27,headline_yy,6,recent_targets,31,12,2000,1509,20,31,-0.08687897278765701,-0.1337470969843881,0.03947319568669008,0.786,ok
paired_fast_FOOD_ECM_A002_R27,STATE_FAST_R15,FOOD_ECM_A002_R27,headline_yy,7,full,83,12,2000,1509,72,83,-0.16628321833048823,-0.36991837692572765,-0.004311345713739607,0.9795,ok
paired_fast_FOOD_ECM_A002_R27,STATE_FAST_R15,FOOD_ECM_A002_R27,headline_yy,7,origins_2019_2021,35,12,2000,1509,24,35,-0.2006441548632094,-0.32376559588490367,-0.035922691083142416,1.0,ok
paired_fast_FOOD_ECM_A002_R27,STATE_FAST_R15,FOOD_ECM_A002_R27,headline_yy,7,origins_2022_2023,24,12,2000,1509,13,24,-0.20097752979188602,-0.7092779097996237,0.3334735337852115,0.7975,ok
paired_fast_FOOD_ECM_A002_R27,STATE_FAST_R15,FOOD_ECM_A002_R27,headline_yy,7,origins_2024plus,24,12,2000,1509,13,24,-0.08147920775887217,-0.2086265098255651,0.012513671531083043,0.9175,ok
paired_fast_FOOD_ECM_A002_R27,STATE_FAST_R15,FOOD_ECM_A002_R27,headline_yy,7,recent_targets,31,12,2000,1509,20,31,-0.1266133969112594,-0.1826254769441311,0.042012061581525297,0.832,ok
